Type,maximum_budget,maximum_budget_unit,case_study
0,6.73E+02,MtCO2e,SG_AUT
1,666.4201292,MtCO2e,SG_AUT
2,659.6886128,MtCO2e,SG_AUT
3,652.9570963,MtCO2e,SG_AUT
4,646.2255799,MtCO2e,SG_AUT
5,639.4940634,MtCO2e,SG_AUT
6,632.762547,MtCO2e,SG_AUT
7,626.0310305,MtCO2e,SG_AUT
8,619.2995141,MtCO2e,SG_AUT
9,612.5679976,MtCO2e,SG_AUT
10,6.06E+02,MtCO2e,SG_AUT
11,1.08E+04,MtCO2e,ID_AUT
12,9746.392043,MtCO2e,ID_AUT
13,8663.459594,MtCO2e,ID_AUT
14,7580.527145,MtCO2e,ID_AUT
15,6497.594696,MtCO2e,ID_AUT
16,5414.662246,MtCO2e,ID_AUT
17,4331.729797,MtCO2e,ID_AUT
18,3248.797348,MtCO2e,ID_AUT
19,2165.864899,MtCO2e,ID_AUT
20,1082.932449,MtCO2e,ID_AUT
21,0.00E+00,MtCO2e,ID_AUT
22,2.00E+03,MtCO2e,MY_AUT
23,1803.225652,MtCO2e,MY_AUT
24,1602.867246,MtCO2e,MY_AUT
25,1402.50884,MtCO2e,MY_AUT
26,1202.150435,MtCO2e,MY_AUT
27,1001.792029,MtCO2e,MY_AUT
28,801.4336231,MtCO2e,MY_AUT
29,601.0752173,MtCO2e,MY_AUT
30,400.7168116,MtCO2e,MY_AUT
31,200.3584058,MtCO2e,MY_AUT
32,0.00E+00,MtCO2e,MY_AUT
33,11502.47614,MtCO2e,SG-ID_AUT
34,10352.22852,MtCO2e,SG-ID_AUT
35,9201.980911,MtCO2e,SG-ID_AUT
36,8051.733297,MtCO2e,SG-ID_AUT
37,6901.485683,MtCO2e,SG-ID_AUT
38,5751.238069,MtCO2e,SG-ID_AUT
39,4600.990455,MtCO2e,SG-ID_AUT
40,3450.742842,MtCO2e,SG-ID_AUT
41,2300.495228,MtCO2e,SG-ID_AUT
42,1150.247614,MtCO2e,SG-ID_AUT
43,0,MtCO2e,SG-ID_AUT
44,11502.47614,MtCO2e,SG-ID_Collab
45,10352.22852,MtCO2e,SG-ID_Collab
46,9201.980911,MtCO2e,SG-ID_Collab
47,8051.733297,MtCO2e,SG-ID_Collab
48,6901.485683,MtCO2e,SG-ID_Collab
49,5751.238069,MtCO2e,SG-ID_Collab
50,4600.990455,MtCO2e,SG-ID_Collab
51,3450.742842,MtCO2e,SG-ID_Collab
52,2300.495228,MtCO2e,SG-ID_Collab
53,1150.247614,MtCO2e,SG-ID_Collab
54,0,MtCO2e,SG-ID_Collab
55,2.68E+03,MtCO2e,SG-MY_AUT
56,2409.062133,MtCO2e,SG-MY_AUT
57,2141.388563,MtCO2e,SG-MY_AUT
58,1873.714992,MtCO2e,SG-MY_AUT
59,1606.041422,MtCO2e,SG-MY_AUT
60,1338.367852,MtCO2e,SG-MY_AUT
61,1070.694281,MtCO2e,SG-MY_AUT
62,803.020711,MtCO2e,SG-MY_AUT
63,535.3471407,MtCO2e,SG-MY_AUT
64,267.6735703,MtCO2e,SG-MY_AUT
65,0.00E+00,MtCO2e,SG-MY_AUT
66,2.68E+03,MtCO2e,SG-MY_Collab
67,2409.062133,MtCO2e,SG-MY_Collab
68,2141.388563,MtCO2e,SG-MY_Collab
69,1873.714992,MtCO2e,SG-MY_Collab
70,1606.041422,MtCO2e,SG-MY_Collab
71,1338.367852,MtCO2e,SG-MY_Collab
72,1070.694281,MtCO2e,SG-MY_Collab
73,803.020711,MtCO2e,SG-MY_Collab
74,535.3471407,MtCO2e,SG-MY_Collab
75,267.6735703,MtCO2e,SG-MY_Collab
76,0.00E+00,MtCO2e,SG-MY_Collab
77,1.28E+04,MtCO2e,ID-MY_AUT
78,11549.6177,MtCO2e,ID-MY_AUT
79,10266.32684,MtCO2e,ID-MY_AUT
80,8983.035985,MtCO2e,ID-MY_AUT
81,7699.74513,MtCO2e,ID-MY_AUT
82,6416.454275,MtCO2e,ID-MY_AUT
83,5133.16342,MtCO2e,ID-MY_AUT
84,3849.872565,MtCO2e,ID-MY_AUT
85,2566.58171,MtCO2e,ID-MY_AUT
86,1283.290855,MtCO2e,ID-MY_AUT
87,0.00E+00,MtCO2e,ID-MY_AUT
88,1.28E+04,MtCO2e,ID-MY_Collab
89,11549.6177,MtCO2e,ID-MY_Collab
90,10266.32684,MtCO2e,ID-MY_Collab
