Demand,Unit
111.1903619,GW
112.8740464,GW
114.6328247,GW
119.4269778,GW
129.6476537,GW
133.5051091,GW
124.0116584,GW
106.7202983,GW
94.34166065,GW
87.97844014,GW
83.79689523,GW
82.27130323,GW
83.70599208,GW
87.77291997,GW
93.61443545,GW
100.0329883,GW
105.8073145,GW
110.0718579,GW
112.4313875,GW
112.9214741,GW
112.0519657,GW
110.6251815,GW
109.4829636,GW
109.2221111,GW
110.0362871,GW
111.6369731,GW
113.3285621,GW
118.6997526,GW
129.0350455,GW
132.4854129,GW
122.5967311,GW
105.1670401,GW
92.74492706,GW
86.46865738,GW
82.21992319,GW
80.62714191,GW
82.00254609,GW
86.01414163,GW
91.80822938,GW
98.18330682,GW
103.9181099,GW
108.1391779,GW
110.4433752,GW
110.8662724,GW
109.9295748,GW
108.4435059,GW
107.249908,GW
106.9653416,GW
107.7795176,GW
109.4039174,GW
111.1468865,GW
116.6801217,GW
127.1221271,GW
130.6080653,GW
120.7549542,GW
103.3924526,GW
91.03752876,GW
85.17229941,GW
80.98284988,GW
79.45725789,GW
78.52056021,GW
82.67839125,GW
88.59895295,GW
95.01750581,GW
100.6297873,GW
104.5109565,GW
106.246021,GW
105.9337885,GW
104.2066286,GW
102.0170484,GW
100.3412686,GW
99.89465743,GW
100.9104013,GW
103.08022,GW
105.6255082,GW
111.2219804,GW
122.3635448,GW
127.1418886,GW
118.3559015,GW
101.4479156,GW
89.19179958,GW
83.16452549,GW
78.9553144,GW
77.43762703,GW
78.94740978,GW
83.14476393,GW
89.10089643,GW
95.55106778,GW
101.1949677,GW
105.1117078,GW
106.8981523,GW
106.653109,GW
105.0010431,GW
102.8786521,GW
101.2542524,GW
100.8392597,GW
101.8629083,GW
104.0129654,GW
106.5068735,GW
112.4471968,GW
123.6203796,GW
128.0706817,GW
118.9685097,GW
101.9380022,GW
89.65817226,GW
83.84037065,GW
79.60349339,GW
78.05418752,GW
79.53235179,GW
86.0022847,GW
91.86751404,GW
98.31768539,GW
104.1275824,GW
108.4158397,GW
110.7793216,GW
111.2575512,GW
110.3682813,GW
108.9296401,GW
107.7834699,GW
107.5463313,GW
108.4158397,GW
110.0995241,GW
111.9017779,GW
117.4271085,GW
127.9165416,GW
131.5131445,GW
121.7588412,GW
104.4595765,GW
92.1441758,GW
85.87976306,GW
81.72983664,GW
80.23981544,GW
81.7140274,GW
85.83628764,GW
91.73313547,GW
98.21887762,GW
104.0603931,GW
108.4000304,GW
110.8307016,GW
111.3919298,GW
110.593563,GW
109.245825,GW
108.190558,GW
108.0285132,GW
108.9573063,GW
110.6805138,GW
112.5104338,GW
117.1781129,GW
127.4462166,GW
131.5526676,GW
122.3121647,GW
105.1472786,GW
92.83583021,GW
86.80460381,GW
82.69420049,GW
81.2437024,GW
82.75348516,GW
86.90341158,GW
92.8318779,GW
99.3373816,GW
105.1986586,GW
109.5343437,GW
111.9333964,GW
112.4313875,GW
111.5579268,GW
110.1311426,GW
108.9968294,GW
108.7755,GW
109.6687222,GW
111.3840252,GW
113.225802,GW
118.0673828,GW
128.4145327,GW
132.4696037,GW
123.1500546,GW
105.9575023,GW
93.60257852,GW
88.10491409,GW
83.92732149,GW
82.40172949,GW
83.83246603,GW
87.90334623,GW
93.7409094,GW
100.1634146,GW
105.9337885,GW
110.174618,GW
112.4669583,GW
