Demand,Units
0.968782638,GW
0.921789451,GW
0.905522578,GW
0.923596881,GW
0.972397499,GW
1.04107985,GW
1.118799353,GW
1.185674274,GW
1.238089752,GW
1.268816067,GW
1.279660649,GW
1.274238358,GW
1.263393776,GW
1.254356625,GW
1.254356625,GW
1.265201207,GW
1.28508294,GW
1.317616685,GW
1.500167145,GW
1.720673641,GW
1.764051968,GW
1.559812345,GW
1.248934334,GW
1.057346723,GW
0.990471802,GW
0.941671184,GW
0.923596881,GW
0.939863754,GW
0.986856941,GW
1.053731862,GW
1.127836504,GW
1.194711425,GW
1.243512043,GW
1.272430928,GW
1.279660649,GW
1.272430928,GW
1.257971486,GW
1.247126904,GW
1.245319473,GW
1.254356625,GW
1.270623498,GW
1.306772103,GW
1.496552284,GW
1.71163649,GW
1.745977665,GW
1.534508321,GW
1.220015449,GW
1.028427838,GW
0.957938056,GW
0.907330008,GW
0.887448275,GW
0.901907717,GW
0.947093475,GW
1.013968396,GW
1.086265607,GW
1.151333098,GW
1.200133716,GW
1.229052601,GW
1.236282322,GW
1.229052601,GW
1.216400589,GW
1.205556007,GW
1.203748577,GW
1.212785728,GW
1.230860031,GW
1.267008637,GW
1.458596248,GW
1.673680453,GW
1.706214199,GW
1.494744854,GW
1.182059413,GW
0.990471802,GW
0.91998202,GW
0.871181402,GW
0.853107099,GW
0.822380784,GW
0.871181402,GW
0.941671184,GW
1.015775826,GW
1.077228456,GW
1.116991922,GW
1.131451365,GW
1.122414213,GW
1.097110189,GW
1.068191305,GW
1.046502141,GW
1.04107985,GW
1.057346723,GW
1.086265607,GW
1.135066225,GW
1.333883558,GW
1.574271787,GW
1.635724417,GW
1.445944236,GW
1.142295947,GW
0.952515766,GW
0.883833414,GW
0.833225366,GW
0.816958493,GW
0.835032796,GW
0.883833414,GW
0.954323196,GW
1.030235268,GW
1.091687898,GW
1.133258795,GW
1.147718237,GW
1.138681086,GW
1.111569632,GW
1.082650747,GW
1.059154153,GW
1.053731862,GW
1.069998735,GW
1.10072505,GW
1.151333098,GW
1.357380152,GW
1.595960951,GW
1.65379872,GW
1.460403679,GW
1.154947959,GW
0.965167778,GW
0.896485426,GW
0.845877378,GW
0.827803075,GW
0.844069948,GW
0.938056323,GW
1.006738674,GW
1.080843317,GW
1.147718237,GW
1.198326286,GW
1.22724517,GW
1.236282322,GW
1.230860031,GW
1.218208019,GW
1.207363437,GW
1.207363437,GW
1.218208019,GW
1.236282322,GW
1.272430928,GW
1.464018539,GW
1.682717605,GW
1.718866211,GW
1.511011727,GW
1.200133716,GW
1.010353535,GW
0.941671184,GW
0.894677996,GW
0.876603693,GW
0.894677996,GW
0.941671184,GW
1.010353535,GW
1.086265607,GW
1.154947959,GW
1.205556007,GW
1.236282322,GW
1.247126904,GW
1.241704613,GW
1.230860031,GW
1.22182288,GW
1.22182288,GW
1.234474892,GW
1.254356625,GW
1.28508294,GW
1.462211109,GW
1.684525035,GW
1.733325653,GW
1.534508321,GW
1.22543774,GW
1.035657559,GW
0.968782638,GW
0.921789451,GW
0.905522578,GW
0.923596881,GW
0.972397499,GW
1.04288728,GW
1.118799353,GW
1.187481704,GW
1.238089752,GW
1.270623498,GW
1.281468079,GW
1.276045788,GW
1.265201207,GW
1.256164055,GW
1.257971486,GW
1.268816067,GW
1.288697801,GW
1.317616685,GW
1.496552284,GW
1.717058781,GW
1.762244538,GW
1.561619775,GW
1.250741764,GW
1.059154153,GW
0.990471802,GW
0.941671184,GW
0.923596881,GW
0.939863754,GW
0.986856941,GW
1.053731862,GW
1.127836504,GW
1.194711425,GW
1.243512043,GW
1.272430928,GW
1.281468079,GW
1.274238358,GW
1.261586346,GW
1.250741764,GW
1.248934334,GW
1.257971486,GW
1.276045788,GW
1.308579534,GW
1.492937424,GW
1.708021629,GW
1.744170235,GW
1.534508321,GW
1.22182288,GW
1.028427838,GW
0.957938056,GW
0.907330008,GW
0.887448275,GW
0.903715148,GW
0.948900905,GW
1.013968396,GW
1.086265607,GW
1.153140528,GW
1.201941146,GW
1.229052601,GW
1.238089752,GW
1.230860031,GW
1.218208019,GW
1.207363437,GW
1.205556007,GW
1.216400589,GW
1.232667461,GW
1.259778916,GW
1.431484794,GW
1.65018386,GW
1.697177047,GW
1.496552284,GW
1.183866843,GW
0.992279232,GW
0.921789451,GW
0.872988833,GW
0.85491453,GW
