Demand,Unit
62.96601947,GW
63.71328828,GW
63.84664702,GW
63.9627611,GW
65.01698494,GW
65.62399714,GW
65.70677153,GW
65.9470472,GW
68.28542375,GW
70.74681224,GW
70.77900228,GW
70.62265065,GW
70.86062703,GW
73.14497029,GW
74.3072607,GW
71.68262272,GW
72.00682241,GW
71.38716412,GW
70.57551523,GW
70.86752489,GW
70.55022306,GW
70.51458409,GW
73.1323242,GW
79.28637026,GW
83.16871913,GW
84.42987895,GW
84.01140842,GW
79.6818479,GW
81.23156845,GW
81.91100824,GW
81.43850443,GW
82.40765459,GW
83.73434413,GW
83.07559794,GW
80.66709309,GW
78.93227981,GW
77.38025997,GW
78.49541496,GW
80.4911975,GW
77.27909127,GW
74.96140832,GW
74.64525613,GW
74.15895658,GW
73.95661918,GW
74.58432498,GW
74.5900732,GW
74.63835827,GW
75.61095736,GW
76.79968959,GW
77.53431231,GW
77.05606027,GW
73.34615805,GW
73.4070892,GW
72.93228609,GW
72.13328329,GW
72.29308385,GW
73.75543143,GW
74.99819694,GW
73.95546954,GW
73.11163061,GW
72.52991058,GW
74.35209683,GW
76.60769899,GW
73.49676145,GW
70.60425634,GW
69.01199896,GW
68.87978986,GW
68.36704849,GW
67.76463487,GW
67.59908609,GW
67.05300503,GW
67.23349919,GW
67.3841026,GW
67.46227841,GW
66.89320447,GW
66.42644888,GW
66.58395015,GW
66.68281956,GW
67.04150859,GW
67.93248294,GW
69.4695574,GW
71.70446596,GW
71.71941133,GW
71.46304065,GW
71.68032343,GW
73.74623427,GW
74.09687579,GW
71.07446087,GW
70.83993343,GW
70.2996006,GW
69.91446975,GW
70.7950973,GW
72.3436682,GW
73.68300383,GW
77.88955241,GW
85.69103877,GW
90.64600579,GW
91.06217704,GW
89.98955889,GW
83.60098539,GW
86.2313716,GW
86.44060687,GW
85.6944877,GW
86.44175651,GW
86.58086347,GW
85.29326183,GW
82.67437207,GW
80.30380548,GW
78.41493986,GW
78.92653158,GW
80.65674629,GW
76.69277267,GW
74.67859582,GW
75.43506178,GW
75.06832524,GW
75.72017357,GW
77.03881561,GW
77.99417004,GW
79.6715011,GW
86.61305351,GW
90.48735488,GW
90.40573013,GW
89.12847529,GW
83.0824958,GW
86.06122424,GW
87.22466429,GW
87.04531978,GW
88.52261273,GW
89.97001493,GW
89.65731168,GW
87.13039346,GW
84.91732814,GW
82.79278544,GW
82.97327959,GW
84.33905705,GW
80.83839009,GW
80.654447,GW
80.23022824,GW
79.74277905,GW
80.11641346,GW
80.94185808,GW
82.52376866,GW
83.90679078,GW
90.50000096,GW
93.99262041,GW
93.94318571,GW
92.66018264,GW
86.10146179,GW
88.91924002,GW
89.62397199,GW
89.06179592,GW
90.35514578,GW
90.63680864,GW
89.43198139,GW
86.97404183,GW
85.04493866,GW
83.12043407,GW
83.40899479,GW
84.82075802,GW
81.64314111,GW
80.89012408,GW
80.2187318,GW
79.70369114,GW
79.87498815,GW
80.58546834,GW
82.23290865,GW
83.71709947,GW
90.89892754,GW
94.18001244,GW
94.04090547,GW
92.51417782,GW
85.81290107,GW
88.61573392,GW
89.35035664,GW
88.66631827,GW
89.56534013,GW
90.48505559,GW
90.32295574,GW
87.42585205,GW
85.17599811,GW
83.15262411,GW
83.1135362,GW
85.07023084,GW
81.68107938,GW
80.68088882,GW
80.3405941,GW
79.53239414,GW
79.98190507,GW
80.62685553,GW
81.21547343,GW
82.84566907,GW
89.96541636,GW
