Demand,Units
1.349409706,GW
1.28672976,GW
1.265239492,GW
1.289416043,GW
1.354782273,GW
1.447011337,GW
1.54819468,GW
1.639528316,GW
1.706685402,GW
1.740711658,GW
1.743397942,GW
1.72369853,GW
1.695940268,GW
1.672659145,GW
1.66639115,GW
1.67892714,GW
1.70758083,GW
1.78906476,GW
2.072915375,GW
2.350497996,GW
2.378256258,GW
2.102464493,GW
1.709371685,GW
1.466710749,GW
1.374481685,GW
1.309115455,GW
1.285834332,GW
1.307324599,GW
1.370004546,GW
1.460442755,GW
1.558939813,GW
1.647587166,GW
1.711162541,GW
1.742502514,GW
1.742502514,GW
1.720116819,GW
1.688776846,GW
1.663704867,GW
1.653855161,GW
1.663704867,GW
1.688776846,GW
1.779215054,GW
2.069333664,GW
2.339752862,GW
2.354079707,GW
2.070229092,GW
1.673554573,GW
1.429998209,GW
1.336873717,GW
1.269716632,GW
1.243749225,GW
1.264344065,GW
1.325233156,GW
1.413880509,GW
1.51148214,GW
1.598338637,GW
1.661018584,GW
1.691463129,GW
1.691463129,GW
1.668182006,GW
1.636842033,GW
1.610874626,GW
1.601920348,GW
1.611770054,GW
1.637737461,GW
1.729966525,GW
2.020980562,GW
2.292295188,GW
2.306622033,GW
2.023666846,GW
1.628783182,GW
1.386122247,GW
1.292997755,GW
1.227631525,GW
1.204350402,GW
1.168533289,GW
1.233004091,GW
1.326128583,GW
1.424625642,GW
1.508795856,GW
1.561626097,GW
1.575057514,GW
1.554462674,GW
1.509691284,GW
1.458651899,GW
1.420148503,GW
1.406717086,GW
1.423730214,GW
1.465815321,GW
1.56431238,GW
1.868757835,GW
2.172307862,GW
2.223347247,GW
1.965464038,GW
1.579534653,GW
1.340455428,GW
1.247330936,GW
1.181964706,GW
1.158683583,GW
1.182860134,GW
1.249121792,GW
1.342246284,GW
1.442534198,GW
1.526704412,GW
1.580430081,GW
1.595652354,GW
1.574162086,GW
1.530286124,GW
1.479246739,GW
1.440743343,GW
1.427311926,GW
1.444325054,GW
1.485514733,GW
1.591175215,GW
1.900993236,GW
2.200961552,GW
2.244837514,GW
1.982477167,GW
1.595652354,GW
1.355677701,GW
1.261657781,GW
1.195396123,GW
1.171219573,GW
1.194500696,GW
1.31538345,GW
1.406717086,GW
1.506109573,GW
1.596547781,GW
1.661018584,GW
1.693253985,GW
1.69504484,GW
1.673554573,GW
1.644005455,GW
1.620724332,GW
1.612665482,GW
1.625201471,GW
1.652064305,GW
1.742502514,GW
2.032621124,GW
2.306622033,GW
2.325426017,GW
2.046052541,GW
1.652064305,GW
1.411194225,GW
1.319860589,GW
1.255389787,GW
1.233004091,GW
1.256285214,GW
1.320756017,GW
1.412089653,GW
1.513272995,GW
1.603711204,GW
1.669972862,GW
1.703999118,GW
1.705789974,GW
1.68698599,GW
1.6583323,GW
1.635946605,GW
1.630574038,GW
1.644005455,GW
1.672659145,GW
1.747875081,GW
2.025457701,GW
2.307517461,GW
2.343334573,GW
2.074706231,GW
1.682508851,GW
1.441638771,GW
1.349409706,GW
1.28672976,GW
1.265239492,GW
1.289416043,GW
1.353886845,GW
1.447011337,GW
1.54819468,GW
1.639528316,GW
1.705789974,GW
1.739816231,GW
1.743397942,GW
1.72369853,GW
1.69504484,GW
1.672659145,GW
1.66639115,GW
1.67892714,GW
1.70758083,GW
1.783692193,GW
2.062170241,GW
2.341543718,GW
2.374674546,GW
2.102464493,GW
1.709371685,GW
1.466710749,GW
1.373586257,GW
1.309115455,GW
1.284938904,GW
1.307324599,GW
1.370004546,GW
1.460442755,GW
1.558939813,GW
1.647587166,GW
1.711162541,GW
1.742502514,GW
1.742502514,GW
1.720116819,GW
1.688776846,GW
1.662809439,GW
1.653855161,GW
1.663704867,GW
1.688776846,GW
1.772051632,GW
2.056797675,GW
2.329903156,GW
2.350497996,GW
2.070229092,GW
1.674450001,GW
1.429998209,GW
1.336873717,GW
1.269716632,GW
1.244644653,GW
1.264344065,GW
1.325233156,GW
1.413880509,GW
1.51148214,GW
1.599234065,GW
1.661914011,GW
1.692358557,GW
1.691463129,GW
1.669077434,GW
1.637737461,GW
1.611770054,GW
1.601920348,GW
1.612665482,GW
1.638632888,GW
1.70758083,GW
1.979790883,GW
2.260059787,GW
2.295876899,GW
2.025457701,GW
1.630574038,GW
1.387017674,GW
1.293893182,GW
1.22942238,GW
1.205245829,GW
1.169428717,GW
1.233899519,GW
1.327024011,GW
1.42552107,GW
1.509691284,GW
1.562521525,GW
1.57684837,GW
1.555358102,GW
1.510586712,GW
1.460442755,GW
1.421939359,GW
1.408507942,GW
1.42552107,GW
1.466710749,GW
1.55625353,GW
1.851744707,GW
2.158876445,GW
2.219765536,GW
1.967254894,GW
1.582220936,GW
1.341350856,GW
1.248226364,GW
