Demand,Unit
31.48662302,GW
31.49780718,GW
30.65420151,GW
28.60749912,GW
28.35186104,GW
30.40175891,GW
30.13014345,GW
28.92704672,GW
28.31191759,GW
26.62949946,GW
25.36888417,GW
24.45657576,GW
23.77114615,GW
23.17518988,GW
22.79652597,GW
23.25986999,GW
23.40366641,GW
24.15939649,GW
27.40280466,GW
29.18428254,GW
30.42892045,GW
30.71491556,GW
29.7035474,GW
30.2963082,GW
31.38596552,GW
31.68953575,GW
31.17027089,GW
28.84715982,GW
28.71934078,GW
30.71012234,GW
30.42892045,GW
29.69715644,GW
28.91746029,GW
27.92686273,GW
26.70938636,GW
25.53504892,GW
24.75215729,GW
24.20732863,GW
23.62894747,GW
23.57941759,GW
23.3988732,GW
22.82528525,GW
24.96305871,GW
26.88513754,GW
28.09622295,GW
28.00035867,GW
27.44115037,GW
27.9763926,GW
28.18729402,GW
28.08024557,GW
27.40600013,GW
26.43137995,GW
26.8499873,GW
28.81840054,GW
28.89189649,GW
28.26877866,GW
27.77188214,GW
23.78233032,GW
22.98026584,GW
22.51372634,GW
21.71485733,GW
21.08694629,GW
20.86166523,GW
21.05818701,GW
20.49258775,GW
19.53234721,GW
20.34879133,GW
21.45602377,GW
22.75658252,GW
22.75019156,GW
22.71504133,GW
22.73421418,GW
22.92754048,GW
22.91475858,GW
22.76616894,GW
22.47378289,GW
23.64812033,GW
25.49510547,GW
25.22668548,GW
24.61954504,GW
24.03157745,GW
23.34614784,GW
22.43863265,GW
21.6589365,GW
20.92397702,GW
20.59644072,GW
20.33441169,GW
20.28168633,GW
20.56927918,GW
20.33760716,GW
21.75160531,GW
22.95310429,GW
23.85103305,GW
24.14981006,GW
23.84304436,GW
24.28561779,GW
24.39586172,GW
24.29999744,GW
24.1849603,GW
23.94370186,GW
24.88476955,GW
26.60393565,GW
26.61192434,GW
25.94566759,GW
25.07649811,GW
23.84943532,GW
22.59521098,GW
21.93694292,GW
21.40968937,GW
21.19079926,GW
20.90320642,GW
21.59822246,GW
22.20696064,GW
23.11287809,GW
26.56239446,GW
28.28635378,GW
29.39837944,GW
29.40477039,GW
28.71294983,GW
29.66040847,GW
30.15730499,GW
30.28991725,GW
29.76585918,GW
27.85176904,GW
27.77347988,GW
29.38399979,GW
28.95740374,GW
27.74631833,GW
26.51606006,GW
25.21550132,GW
23.93890865,GW
23.11128035,GW
22.4194598,GW
22.09831445,GW
21.82190578,GW
22.49295574,GW
22.84445811,GW
23.65610902,GW
26.86596469,GW
28.44133437,GW
29.79142299,GW
29.74029537,GW
29.20665087,GW
30.07262488,GW
30.70213365,GW
30.86670067,GW
30.37299962,GW
28.27357187,GW
27.90768987,GW
30.02788821,GW
29.67478811,GW
28.74490459,GW
27.76549119,GW
26.09905044,GW
24.80488265,GW
24.10986661,GW
23.24868582,GW
22.85404453,GW
22.49135801,GW
23.28064058,GW
23.42603474,GW
24.14821233,GW
27.36286121,GW
29.33766539,GW
30.43690914,GW
30.48484128,GW
29.67798359,GW
30.87309162,GW
31.48662302,GW
31.49780718,GW
30.65420151,GW
28.60749912,GW
28.35186104,GW
30.40175891,GW
30.13014345,GW
28.92704672,GW
28.31191759,GW
26.62949946,GW
25.36888417,GW
24.45657576,GW
23.77114615,GW
23.17518988,GW
22.79652597,GW
23.25986999,GW
23.40366641,GW
24.15939649,GW
27.40280466,GW
29.18428254,GW
30.42892045,GW
30.71491556,GW
29.7035474,GW
30.2963082,GW
31.38596552,GW
31.68953575,GW
31.17027089,GW
28.84715982,GW
28.71934078,GW
30.71012234,GW
30.42892045,GW
29.69715644,GW
28.91746029,GW
27.92686273,GW
26.70938636,GW
25.53504892,GW
24.75215729,GW
24.20732863,GW
23.62894747,GW
23.57941759,GW
23.3988732,GW
22.82528525,GW
24.96305871,GW
26.88513754,GW
28.09622295,GW
28.00035867,GW
27.44115037,GW
27.9763926,GW
28.18729402,GW
28.08024557,GW
27.40600013,GW
26.43137995,GW
26.8499873,GW
28.81840054,GW
28.89189649,GW
28.26877866,GW
27.77188214,GW
27.07846384,GW
25.96963366,GW
24.84802157,GW
23.84304436,GW
23.43082796,GW
22.92754048,GW
22.76616894,GW
22.5121286,GW
21.39211425,GW
22.60160193,GW
23.89576972,GW
24.86559669,GW
24.90713788,GW
24.84961931,GW
25.45516202,GW
25.82264176,GW
25.94406985,GW
25.59256749,GW
24.85920574,GW
25.46794392,GW
28.07225688,GW
28.30073342,GW
28.08663653,GW
27.58814227,GW
26.23805365,GW
24.84802157,GW
23.70244342,GW
23.12246452,GW
22.45780551,GW
22.32359551,GW
22.81250335,GW
23.12725774,GW
24.08909602,GW
27.93485142,GW
29.80100941,GW
31.22778946,GW
31.1495003,GW
30.78841151,GW
31.92600097,GW
32.84310259,GW
32.81753878,GW
32.14009787,GW
29.87929858,GW
29.28014682,GW
31.53934837,GW
31.59686694,GW
30.75485901,GW
29.78982525,GW
28.22563973,GW
26.9841973,GW
25.88495355,GW
24.93909264,GW
24.3782866,GW
24.26804268,GW
24.53486492,GW
24.34153862,GW
24.97264514,GW
28.24641033,GW
29.94640357,GW
31.66876515,GW
31.71829503,GW
31.02487673,GW
32.23755988,GW
33.23774388,GW
33.27608959,GW
32.53633689,GW
30.19245523,GW
29.51820979,GW
31.79977967,GW
31.81895252,GW
30.8762871,GW
30.07102714,GW
28.55796924,GW
26.97940408,GW
25.97602461,GW
25.25864024,GW
24.64830432,GW
24.43740291,GW
24.61315409,GW
24.69144325,GW
25.36568869,GW
28.51802579,GW
30.51839378,GW
31.76782491,GW
31.84771181,GW
30.956174,GW
32.21359381,GW
32.67054689,GW
32.83671164,GW
32.1161318,GW
29.590108,GW
29.24659432,GW
31.41312707,GW
31.36199945,GW
30.44489783,GW
29.52939395,GW
28.15374152,GW
26.68701803,GW
25.76192772,GW
24.73458218,GW
24.2776291,GW
23.75836425,GW
24.31597482,GW
24.1514078,GW
24.81287134,GW
28.26078997,GW
30.17488011,GW
31.55852123,GW
31.55532575,GW
30.87309162,GW
31.93398966,GW
32.50118666,GW
32.64338534,GW
32.12252275,GW
29.87929858,GW
29.1235685,GW
31.52976194,GW
31.40833386,GW
30.54395759,GW
29.83136644,GW
28.14894831,GW
26.78927326,GW
26.17414413,GW
25.25864024,GW
24.37349339,GW
23.9452996,GW
24.28881327,GW
24.3782866,GW
24.87518312,GW
27.97799034,GW
29.8089981,GW
31.08878625,GW
30.96096721,GW
30.09019999,GW
30.61905128,GW
31.44827731,GW
31.45307052,GW
30.75006579,GW
28.82638923,GW
28.38221806,GW
30.16848916,GW
29.72751347,GW
28.90787387,GW
27.99236998,GW
27.02254301,GW
25.73636391,GW
24.74257087,GW
24.16738518,GW
23.56823343,GW
23.15122381,GW
23.32537725,GW
23.22631749,GW
22.3986892,GW
24.27922684,GW
26.33551566,GW
27.46032323,GW
27.52902596,GW
27.0976367,GW
27.91248308,GW
28.22244426,GW
28.27197414,GW
27.65524726,GW
26.61831529,GW
26.81483707,GW
28.92225351,GW
28.58193531,GW
28.05308403,GW
27.53541691,GW
26.43137995,GW
25.70600689,GW
24.72499575,GW
23.94849507,GW
23.3317682,GW
22.81729656,GW
22.71344359,GW
22.19098326,GW
21.37134366,GW
22.34596385,GW
23.49633522,GW
24.67227039,GW
24.86879217,GW
24.76973241,GW
25.42001178,GW
25.77311188,GW
25.78589379,GW
25.30018143,GW
24.69304099,GW
24.94069038,GW
28.05308403,GW
28.45731175,GW
27.97958808,GW
27.34368835,GW
26.31953828,GW
24.76014598,GW
23.75836425,GW
23.05535952,GW
22.59840645,GW
22.12867148,GW
22.55686526,GW
23.1384419,GW
23.86701044,GW
27.37244764,GW
29.35843598,GW
30.53117569,GW
30.62064902,GW
30.30429689,GW
31.23577815,GW
31.92600097,GW
32.05541775,GW
31.4690479,GW
29.35524051,GW
29.03569291,GW
31.21340982,GW
31.0488428,GW
30.17488011,GW
29.39039075,GW
27.79105499,GW
26.42658673,GW
25.10525739,GW
24.55403778,GW
24.02838197,GW
23.80629639,GW
24.37029791,GW
24.1977422,GW
24.98063383,GW
28.49565746,GW
30.09339547,GW
31.59846468,GW
31.57609635,GW
30.99451971,GW
32.0026924,GW
32.60344189,GW
32.31425131,GW
31.3556085,GW
29.41595455,GW
29.25298528,GW
30.61425806,GW
30.2755376,GW
29.25458301,GW
28.08184331,GW
26.71737505,GW
25.40882762,GW
24.42781648,GW
23.72481175,GW
23.32377951,GW
23.10968262,GW
23.82227377,GW
23.97086341,GW
24.64830432,GW
27.71596131,GW
29.59969442,GW
31.00410614,GW
31.00889935,GW
30.58070556,GW
31.84771181,GW
32.52195725,GW
32.35259702,GW
31.79019324,GW
29.38399979,GW
29.09960243,GW
30.63982187,GW
30.40175891,GW
29.42554098,GW
28.30872211,GW
26.98259956,GW
25.49670321,GW
24.87678086,GW
23.9580815,GW
23.6513158,GW
23.12086678,GW
23.81588282,GW
24.02039328,GW
24.55244004,GW
28.04030212,GW
29.77065239,GW
31.02487673,GW
30.9354034,GW
30.2755376,GW
31.57449861,GW
31.86528693,GW
31.41312707,GW
30.67177663,GW
28.90787387,GW
28.69217923,GW
30.31707879,GW
29.95439226,GW
29.01811779,GW
27.99236998,GW
26.33551566,GW
25.06850942,GW
23.98044983,GW
23.53148545,GW
23.02979572,GW
22.88440156,GW
23.2854338,GW
23.38928677,GW
24.20253542,GW
27.20628288,GW
29.17948933,GW
29.96877191,GW
29.99273798,GW
29.09800469,GW
29.37760884,GW
30.48484128,GW
30.96096721,GW
30.55194628,GW
28.37902258,GW
28.27197414,GW
29.78023882,GW
29.21463956,GW
28.29434247,GW
27.38043633,GW
25.92969021,GW
24.85121705,GW
24.09548697,GW
23.43562117,GW
23.07453238,GW
22.61278609,GW
22.74699609,GW
22.8188943,GW
22.45620777,GW
24.73298444,GW
26.33072245,GW
27.290963,GW
27.1775236,GW
26.44416185,GW
26.93946063,GW
26.68382255,GW
26.42978221,GW
26.12940746,GW
25.58298106,GW
26.02395675,GW
27.87893059,GW
27.66163822,GW
27.0305317,GW
26.1981102,GW
25.17236239,GW
23.98364531,GW
23.03778441,GW
22.40348242,GW
21.87942435,GW
21.61419984,GW
21.55508353,GW
21.45442604,GW
20.61082036,GW
22.00564565,GW
23.27424963,GW
24.47415088,GW
24.81926229,GW
24.65629301,GW
24.88956276,GW
25.14520085,GW
25.07969359,GW
24.3782866,GW
23.89097651,GW
24.75215729,GW
27.19350098,GW
27.28616978,GW
26.8499873,GW
26.01916354,GW
25.06052073,GW
23.77274389,GW
22.89558572,GW
22.28205433,GW
21.83628542,GW
21.4863808,GW
22.3523548,GW
22.53130146,GW
24.05075031,GW
27.69838619,GW
29.30251515,GW
30.40016117,GW
30.02469274,GW
28.97817434,GW
29.92723072,GW
30.2755376,GW
30.38578153,GW
29.77384787,GW
28.12657998,GW
28.01314058,GW
29.17150064,GW
