Demand,Unit
28.00324987,GW
28.58475982,GW
31.33629471,GW
34.97285937,GW
35.86356241,GW
32.60143343,GW
27.33380427,GW
23.84190794,GW
22.35834841,GW
21.29744733,GW
20.90882849,GW
21.26340772,GW
22.28743256,GW
23.75397229,GW
25.36801698,GW
26.81470027,GW
27.86709145,GW
28.41172516,GW
28.45994793,GW
28.15359147,GW
27.70823995,GW
27.33947754,GW
27.21750228,GW
27.39053695,GW
27.7876657,GW
28.37201228,GW
31.24268579,GW
34.79698807,GW
35.49480001,GW
32.07949279,GW
26.74662106,GW
23.22068512,GW
21.68606618,GW
20.59112549,GW
20.1656304,GW
20.48900667,GW
21.48182853,GW
22.92283856,GW
24.51135354,GW
25.94101703,GW
26.97355177,GW
27.50116567,GW
27.53520528,GW
27.21750228,GW
26.76080422,GW
26.38920518,GW
26.26722993,GW
26.44310123,GW
26.85157651,GW
27.45577953,GW
30.36332928,GW
33.93748799,GW
34.64664647,GW
31.24552242,GW
25.93818039,GW
22.44061079,GW
20.84358591,GW
19.77984819,GW
19.38839272,GW
18.75582336,GW
19.82523434,GW
21.33432357,GW
22.94836826,GW
24.31278917,GW
25.17228924,GW
25.41623976,GW
25.09570012,GW
24.39788818,GW
23.60930396,GW
23.01644747,GW
22.82922964,GW
23.12423956,GW
23.81637824,GW
24.74112089,GW
27.84156174,GW
31.88660168,GW
33.15741367,GW
30.16760154,GW
25.03613081,GW
21.58678399,GW
20.08904129,GW
19.01395704,GW
18.62817483,GW
19.02530358,GW
20.11457099,GW
21.6463533,GW
23.27741779,GW
24.65318524,GW
25.51835858,GW
25.75096256,GW
25.40205659,GW
24.66736841,GW
23.84190794,GW
23.21501185,GW
23.00226431,GW
23.2859277,GW
23.980903,GW
24.95386843,GW
28.20465088,GW
32.27238389,GW
33.48929984,GW
30.4569382,GW
25.32546747,GW
21.87612065,GW
20.33582844,GW
19.24372439,GW
18.84092237,GW
19.22103132,GW
21.24922455,GW
22.73278408,GW
24.36101194,GW
25.82755167,GW
26.89696265,GW
27.4529429,GW
27.50967557,GW
27.21182901,GW
26.77215076,GW
26.42040816,GW
26.31828934,GW
26.52252698,GW
