Demand,Units
21.520052,GW
20.761522,GW
20.101316,GW
19.756723,GW
19.67843,GW
19.602338,GW
19.783327,GW
21.096426,GW
22.415322,GW
23.443308,GW
24.192012,GW
24.226095,GW
23.918295,GW
23.536271,GW
22.858751,GW
22.60981,GW
22.440021,GW
22.398466,GW
22.640478,GW
23.897548,GW
24.083832,GW
22.859162,GW
21.448001,GW
20.300404,GW
19.716256,GW
19.384304,GW
19.303715,GW
19.425492,GW
19.775048,GW
20.563791,GW
21.679803,GW
23.136529,GW
24.902365,GW
25.680299,GW
26.020764,GW
26.127901,GW
26.014849,GW
25.78444,GW
25.770874,GW
25.959357,GW
26.007237,GW
26.114897,GW
26.177204,GW
27.388818,GW
27.111168,GW
25.301371,GW
23.455216,GW
22.083184,GW
21.062985,GW
20.653376,GW
20.434657,GW
20.424946,GW
20.977876,GW
21.76344,GW
22.906479,GW
24.389356,GW
26.15612,GW
26.727357,GW
27.045222,GW
27.147623,GW
27.019112,GW
26.971479,GW
26.953035,GW
27.112019,GW
27.261031,GW
27.505491,GW
27.620117,GW
28.382553,GW
27.87244,GW
25.964264,GW
23.837986,GW
22.540591,GW
20.915407,GW
20.629905,GW
20.426948,GW
20.349212,GW
20.786534,GW
21.790801,GW
22.929896,GW
24.387929,GW
25.982976,GW
26.482465,GW
26.85756,GW
26.844441,GW
26.712885,GW
26.469854,GW
26.319511,GW
26.297083,GW
26.445561,GW
26.30039,GW
26.103485,GW
27.006556,GW
26.521679,GW
24.869837,GW
23.287402,GW
22.013864,GW
21.627338,GW
21.278455,GW
21.032428,GW
21.054069,GW
21.212612,GW
21.711038,GW
22.723384,GW
24.095702,GW
25.838071,GW
26.567237,GW
26.669905,GW
26.651823,GW
26.551203,GW
26.089407,GW
25.535208,GW
25.504896,GW
25.614585,GW
25.549315,GW
25.745041,GW
26.631771,GW
26.505903,GW
24.986856,GW
23.275803,GW
22.099697,GW
21.370238,GW
20.926197,GW
20.679253,GW
20.621824,GW
20.751734,GW
21.139103,GW
22.203425,GW
23.991045,GW
25.485113,GW
26.24881,GW
26.464963,GW
26.572459,GW
26.396072,GW
25.788626,GW
25.202888,GW
25.15405,GW
25.299194,GW
25.353213,GW
25.799047,GW
27.181643,GW
27.039011,GW
25.331138,GW
23.614805,GW
22.32301,GW
21.579455,GW
21.293923,GW
21.17671,GW
21.266444,GW
21.84222,GW
22.997563,GW
24.168635,GW
25.723247,GW
27.391392,GW
28.114741,GW
28.51198,GW
28.503578,GW
28.505755,GW
28.389908,GW
28.431528,GW
28.653484,GW
28.634858,GW
28.373628,GW
28.143478,GW
29.124566,GW
28.579212,GW
26.400281,GW
24.598116,GW
23.313296,GW
22.414075,GW
21.981542,GW
21.845559,GW
22.003955,GW
22.569968,GW
23.978079,GW
24.932635,GW
26.135151,GW
27.663864,GW
28.067833,GW
28.583974,GW
28.802731,GW
28.708423,GW
28.45414,GW
28.298289,GW
28.509282,GW
28.456676,GW
28.349141,GW
28.245998,GW
29.532133,GW
28.874245,GW
