Demand,Unit
51.63878808,GW
52.07554324,GW
52.92363396,GW
54.82086143,GW
59.02434105,GW
62.33813421,GW
61.68184603,GW
56.63258656,GW
49.79239983,GW
44.8378862,GW
42.18731384,GW
40.19302967,GW
39.4558609,GW
40.11677083,GW
42.02786354,GW
44.77318173,GW
47.79118304,GW
50.49721637,GW
52.4683918,GW
53.49673069,GW
53.61227438,GW
53.06459727,GW
52.25116966,GW
51.57870535,GW
51.35223971,GW
51.66420769,GW
52.3805786,GW
54.32171267,GW
58.49515092,GW
61.60789806,GW
60.69048113,GW
55.43324301,GW
48.4590256,GW
43.40283351,GW
40.42873881,GW
38.34201968,GW
37.5170377,GW
38.09937792,GW
39.93652267,GW
42.61482551,GW
45.57505497,GW
48.23024908,GW
50.16213966,GW
51.17430242,GW
51.28984612,GW
50.75603425,GW
49.9634045,GW
49.31635981,GW
49.11300291,GW
49.44345787,GW
50.1760049,GW
52.14718033,GW
56.33679471,GW
59.45185272,GW
58.53674665,GW
53.30030641,GW
46.36999559,GW
41.37850798,GW
38.46911774,GW
36.46559008,GW
35.72611043,GW
34.28874687,GW
36.3130724,GW
39.16931253,GW
42.18500297,GW
44.68074678,GW
46.17357131,GW
46.47167404,GW
45.67442255,GW
44.16773277,GW
42.51776881,GW
41.29762739,GW
40.92326582,GW
41.54258003,GW
42.98687621,GW
45.71832915,GW
50.92703892,GW
55.27841446,GW
55.51874535,GW
51.09804358,GW
44.59524444,GW
39.7562745,GW
36.93469748,GW
34.90112845,GW
34.17782492,GW
34.94503505,GW
37.02251068,GW
39.9249683,GW
42.98456534,GW
45.51497225,GW
47.03783815,GW
47.35442787,GW
46.56641987,GW
45.06435184,GW
43.41207701,GW
42.18500297,GW
41.80370878,GW
42.41377948,GW
43.84421043,GW
46.67734182,GW
51.94382343,GW
56.239738,GW
56.37607956,GW
51.87680809,GW
45.33241321,GW
40.46340192,GW
37.44540061,GW
35.37023585,GW
34.60533659,GW
35.32632925,GW
39.37729118,GW
42.15958336,GW
45.21918039,GW
47.9714312,GW
