Demand,Units
22.0213899,GW
21.5254774,GW
21.35873581,GW
21.55997566,GW
22.08751157,GW
22.83641132,GW
23.65718244,GW
24.39745763,GW
24.93649295,GW
25.2153539,GW
25.24266502,GW
25.09173513,GW
24.87037129,GW
24.69213027,GW
24.64325774,GW
24.74962737,GW
24.97961578,GW
25.29584984,GW
26.71459082,GW
28.51856238,GW
28.94691579,GW
27.34130923,GW
24.76543908,GW
23.05777516,GW
22.33474911,GW
21.81296291,GW
21.62034762,GW
21.79283892,GW
22.29306371,GW
23.01034005,GW
23.79948777,GW
24.50813955,GW
25.01411404,GW
25.25847672,GW
25.25272701,GW
25.06586143,GW
24.8085619,GW
24.59726005,GW
24.51245183,GW
24.58432321,GW
24.77981335,GW
25.09604741,GW
26.56653578,GW
28.32882195,GW
28.66230514,GW
26.98051491,GW
24.3701465,GW
22.63948375,GW
21.84027403,GW
21.29261414,GW
21.07700001,GW
21.2279299,GW
21.7080307,GW
22.40805791,GW
23.18139393,GW
23.874234,GW
24.36870908,GW
24.60444719,GW
24.59007292,GW
24.39745763,GW
24.13872067,GW
23.92598139,GW
23.8426106,GW
23.91735683,GW
24.11859668,GW
24.44633016,GW
25.93550509,GW
27.70785325,GW
28.04852358,GW
26.37679535,GW
23.78223864,GW
22.07169987,GW
21.32136269,GW
20.79670164,GW
20.60264892,GW
20.2202932,GW
20.75070396,GW
21.49816628,GW
22.287314,GW
22.93846867,GW
23.31507469,GW
23.35819751,GW
23.09802313,GW
22.64523346,GW
22.15650809,GW
21.78996407,GW
21.66203302,GW
21.81583777,GW
22.20825548,GW
22.76166509,GW
24.44058045,GW
26.53347495,GW
27.2248776,GW
25.80757404,GW
23.33088639,GW
21.65484588,GW
20.90882099,GW
20.37553537,GW
20.18723236,GW
20.38703479,GW
20.93181983,GW
21.69365642,GW
22.49286614,GW
23.1540828,GW
23.53787596,GW
23.58818592,GW
23.33376125,GW
22.88528385,GW
22.39799592,GW
22.0314519,GW
21.90208342,GW
22.05445074,GW
22.44255617,GW
23.01177748,GW
24.74100281,GW
26.82239788,GW
27.46492799,GW
26.0088139,GW
23.5191894,GW
21.83596175,GW
21.07843744,GW
20.53508983,GW
20.3352874,GW
20.52359041,GW
21.58872421,GW
22.31749998,GW
23.11814712,GW
23.83829831,GW
24.35864708,GW
24.61882147,GW
24.62888346,GW
24.46070444,GW
24.22352889,GW
24.03235103,GW
23.97054165,GW
24.06684929,GW
24.28821313,GW
24.62457118,GW
26.11230868,GW
27.90478082,GW
28.27851198,GW
26.6355323,GW
24.05822473,GW
22.3606228,GW
21.6347219,GW
21.12443512,GW
20.94331925,GW
21.13305968,GW
21.6505336,GW
22.38937135,GW
23.20151791,GW
23.93460596,GW
24.469329,GW
24.74531509,GW
24.77118879,GW
24.61882147,GW
24.39889505,GW
24.22496632,GW
24.1818435,GW
24.29540027,GW
24.53545067,GW
24.84449759,GW
26.21867832,GW
28.04277387,GW
28.52718695,GW
26.97045292,GW
24.41901904,GW
22.73147911,GW
22.01420277,GW
21.51829026,GW
21.35154867,GW
21.55278853,GW
22.08176186,GW
22.83066161,GW
23.65143273,GW
