Demand,Unit
26.99949488,GW
26.99949488,GW
26.99949488,GW
26.99949488,GW
26.11117527,GW
25.29677963,GW
24.56616448,GW
24.49100845,GW
24.463903,GW
24.76329504,GW
26.25409493,GW
28.08371298,GW
29.12973704,GW
29.55356775,GW
29.46855519,GW
29.13220117,GW
28.45456485,GW
27.53667567,GW
27.11900528,GW
27.00195901,GW
27.11407702,GW
27.64756161,GW
29.84803153,GW
30.27432637,GW
28.6196617,GW
26.7703306,GW
25.51731945,GW
25.0405099,GW
24.66103356,GW
24.41215623,GW
24.36164152,GW
24.46143887,GW
24.78547223,GW
25.65777498,GW
27.58472624,GW
29.58929766,GW
30.54045264,GW
30.5527733,GW
30.41971016,GW
30.15851217,GW
29.33549206,GW
28.67264054,GW
28.41513874,GW
28.51616816,GW
29.09031092,GW
29.85912012,GW
31.48298314,GW
31.18235903,GW
29.21844579,GW
27.55638872,GW
26.05819644,GW
25.05529469,GW
24.5328987,GW
24.16943922,GW
24.12138864,GW
24.15711856,GW
24.50209705,GW
25.39657698,GW
27.61922409,GW
29.65213303,GW
30.58603908,GW
30.4221743,GW
30.34825034,GW
29.94906094,GW
29.16300282,GW
28.42622734,GW
28.02580588,GW
27.90629547,GW
28.25620222,GW
29.53139056,GW
31.88833287,GW
31.76266213,GW
29.69032708,GW
27.93340093,GW
26.25655907,GW
25.84258488,GW
25.47542921,GW
25.25858558,GW
25.23764046,GW
25.94361429,GW
27.55885285,GW
29.50428511,GW
31.91790245,GW
34.12946097,GW
34.98451479,GW
35.50814285,GW
35.52415971,GW
35.22230353,GW
34.85021959,GW
34.71962059,GW
34.78122389,GW
34.70976407,GW
34.67526622,GW
34.43994161,GW
35.4046493,GW
35.36645526,GW
33.09575757,GW
30.35194653,GW
28.4890627,GW
27.23112329,GW
26.75184961,GW
26.52022119,GW
26.62494681,GW
27.17568032,GW
28.70344219,GW
30.60452007,GW
32.85304056,GW
34.81325761,GW
35.21860733,GW
35.60917226,GW
35.6695435,GW
35.473645,GW
35.0966328,GW
35.19026981,GW
35.22969593,GW
35.25433725,GW
34.90319843,GW
34.77506356,GW
36.18577916,GW
35.83340828,GW
33.55408613,GW
30.87927079,GW
28.8192564,GW
27.7929454,GW
27.4048446,GW
27.17568032,GW
27.15966346,GW
27.75228722,GW
29.7765717,GW
31.70105883,GW
33.42225507,GW
35.28390683,GW
35.60670813,GW
36.09953454,GW
35.89501158,GW
35.83217621,GW
35.4157379,GW
35.61286846,GW
35.81492729,GW
35.7890539,GW
35.29992369,GW
35.20505461,GW
36.46669022,GW
36.18947536,GW
33.84362165,GW
30.95935508,GW
29.25171157,GW
28.05907166,GW
27.56131699,GW
27.34940163,GW
27.34200923,GW
27.96420258,GW
29.81106955,GW
31.91297419,GW
33.66866827,GW
35.55988962,GW
36.09337421,GW
36.81413284,GW
36.68106971,GW
36.39153419,GW
36.15620958,GW
36.15374545,GW
36.3151461,GW
36.27941618,GW
36.05518016,GW
35.7311468,GW
37.04576125,GW
36.43342443,GW
34.13808543,GW
31.56553157,GW
29.6570613,GW
28.47797411,GW
28.046751,GW
27.88535035,GW
27.83113945,GW
28.45579692,GW
30.31621662,GW
32.52777513,GW
34.51016937,GW
36.6231626,GW
37.05808191,GW
37.33160057,GW
37.37841908,GW
36.98292588,GW
36.30652163,GW
36.01575405,GW
35.86667406,GW
35.50567872,GW
35.14221924,GW
34.72085266,GW
36.10939107,GW
35.66831143,GW
33.58365572,GW
31.19837589,GW
29.79751682,GW
28.67017641,GW
28.09726571,GW
27.7350383,GW
27.69807632,GW
27.84099597,GW
28.26605875,GW
29.50058891,GW
31.94623997,GW
34.38080244,GW
35.212447,GW
35.13482684,GW
34.89457397,GW
34.43501334,GW
33.82514066,GW
32.99596022,GW
32.50929414,GW
32.58198604,GW
32.93435692,GW
33.14257608,GW
34.53604276,GW
34.46335086,GW
32.40826473,GW
30.2952715,GW
28.48783064,GW
27.26685321,GW
26.65205226,GW
26.30337757,GW
26.13088833,GW
26.27011179,GW
26.62741094,GW
27.78308887,GW
30.38767645,GW
32.71258504,GW
33.61938563,GW
33.81774826,GW
33.64649109,GW
33.15120054,GW
32.36267829,GW
31.53472992,GW
31.06161656,GW
30.98153227,GW
31.23656994,GW
32.08176723,GW
34.32166327,GW
34.29086162,GW
31.80455238,GW
29.74330592,GW
28.10589017,GW
26.73090449,GW
26.41426352,GW
26.22082915,GW
26.30707377,GW
27.03645686,GW
28.8771635,GW
31.26613952,GW
33.51219589,GW
35.7964463,GW
36.41740758,GW
37.08888356,GW
36.97799762,GW
36.61084194,GW
36.35087601,GW
36.26463139,GW
36.44574509,GW
36.238758,GW
35.98618447,GW
35.64367011,GW
36.98415795,GW
36.58989682,GW
34.04198428,GW
31.14170086,GW
29.20489306,GW
28.10096191,GW
27.65618607,GW
27.50587402,GW
27.51819468,GW
28.05537546,GW
30.10922953,GW
32.19018904,GW
34.1282289,GW
36.1192476,GW
36.37058907,GW
36.87943234,GW
36.64533979,GW
36.48393914,GW
36.11678347,GW
36.07612529,GW
36.30898577,GW
36.58250442,GW
35.996041,GW
35.97632794,GW
