Type,profile_filename,set_size,set_number,unmet_fraction
0,2019_GW,24,0,0.005
1,2019_GW,24,1,0.005
2,2019_GW,24,2,0.005
3,2019_GW,24,3,0.005
4,2019_GW,24,4,0.005
5,2019_GW,24,5,0.005
6,2019_GW,168,0,0.005
7,2019_GW,168,1,0.005
8,2019_GW,336,0,0.005
9,2019_GW,336,1,0.005
10,KSA_GW,24,0,0.005
11,KSA_GW,24,1,0.005
12,KSA_GW,24,2,0.005
13,KSA_GW,24,3,0.005
14,GB_2019_GW,24,0,0.005
15,GB_2019_GW,24,1,0.005
16,RSA_2019_GW,24,0,0.005
17,IBP_2019_GW,24,0,0.005
18,MA_temporary,24,0,0.005
