Demand,units
2.8431,GW
2.7496,GW
2.5986,GW
2.4578,GW
2.3607,GW
2.3178,GW
2.3285,GW
2.3717,GW
2.3556,GW
2.4172,GW
2.6157,GW
2.7799,GW
2.8704,GW
2.9352,GW
2.8996,GW
2.7516,GW
2.6959,GW
2.7453,GW
3.0654,GW
3.2803,GW
3.4105,GW
3.4521,GW
3.3511,GW
3.1237,GW
2.8264,GW
2.5959,GW
2.4454,GW
2.3772,GW
2.3557,GW
2.4421,GW
2.7302,GW
3.1502,GW
3.5382,GW
3.8907,GW
4.1229,GW
4.1628,GW
4.1293,GW
4.1092,GW
4.0142,GW
3.9205,GW
3.8506,GW
3.8803,GW
4.1225,GW
4.241,GW
4.3021,GW
4.2689,GW
4.0211,GW
3.6725,GW
3.334,GW
3.0262,GW
2.857,GW
2.7672,GW
2.746,GW
2.8049,GW
3.0517,GW
3.4486,GW
3.8616,GW
4.1935,GW
4.3481,GW
4.3545,GW
4.3046,GW
4.2485,GW
4.1332,GW
4.0548,GW
4.0167,GW
4.059,GW
4.2697,GW
4.3872,GW
4.4354,GW
4.3844,GW
4.1229,GW
3.7785,GW
3.4221,GW
3.1148,GW
2.9497,GW
2.861,GW
2.8346,GW
2.8845,GW
3.1257,GW
3.5262,GW
3.9145,GW
4.259,GW
4.4254,GW
4.4205,GW
4.3494,GW
4.2837,GW
4.1371,GW
4.0485,GW
3.9944,GW
4.0103,GW
4.23,GW
4.3517,GW
4.3728,GW
4.3105,GW
4.0886,GW
3.8013,GW
3.5074,GW
3.2053,GW
2.9875,GW
2.8623,GW
2.817,GW
2.7974,GW
2.8548,GW
3.0118,GW
3.1846,GW
3.4825,GW
3.7793,GW
3.8365,GW
3.785,GW
3.7628,GW
3.6908,GW
3.5694,GW
3.4898,GW
3.4815,GW
3.707,GW
3.8245,GW
3.9045,GW
3.9225,GW
3.7937,GW
3.5971,GW
3.333,GW
3.0457,GW
2.8323,GW
2.7094,GW
2.6416,GW
2.6232,GW
2.649,GW
2.7382,GW
2.8234,GW
3.0433,GW
3.3032,GW
3.4181,GW
3.405,GW
3.3841,GW
3.2971,GW
3.1474,GW
3.0817,GW
3.105,GW
3.4247,GW
3.6745,GW
3.8156,GW
3.863,GW
3.7728,GW
3.5164,GW
3.1923,GW
2.9349,GW
2.7773,GW
2.7038,GW
2.6818,GW
2.7525,GW
2.976,GW
3.3295,GW
3.6404,GW
3.9353,GW
4.1525,GW
4.207,GW
4.1648,GW
4.1438,GW
4.0523,GW
3.9767,GW
3.9006,GW
3.9231,GW
4.1965,GW
4.4005,GW
4.5192,GW
4.4638,GW
4.1853,GW
3.808,GW
3.4858,GW
3.1903,GW
3.0292,GW
2.9476,GW
2.9472,GW
3.029,GW
3.331,GW
3.8803,GW
4.3,GW
4.5151,GW
4.6325,GW
4.6062,GW
4.5591,GW
4.4947,GW
4.3562,GW
4.3026,GW
4.2542,GW
4.2801,GW
4.5192,GW
4.699,GW
4.7796,GW
4.6971,GW
4.3684,GW
3.9607,GW
3.6084,GW
3.3014,GW
