Demand,Units
0.100739242,GW
0.098541295,GW
0.100739242,GW
0.107699407,GW
0.117956494,GW
0.128579905,GW
0.138470667,GW
0.146529806,GW
0.153489972,GW
0.158252191,GW
0.161549111,GW
0.164113383,GW
0.165945005,GW
0.168509277,GW
0.170707224,GW
0.172905171,GW
0.174004145,GW
0.17766739,GW
0.179499012,GW
0.172538847,GW
0.155687919,GW
0.135173746,GW
0.119421792,GW
0.10953103,GW
0.102570864,GW
0.100006593,GW
0.10220454,GW
0.108798381,GW
0.118689143,GW
0.129312554,GW
0.138836991,GW
0.146896131,GW
0.152757323,GW
0.156420568,GW
0.158618515,GW
0.159717489,GW
0.160816462,GW
0.162648085,GW
0.164479707,GW
0.16631133,GW
0.168142952,GW
0.172905171,GW
0.175103118,GW
0.168875601,GW
0.152390998,GW
0.131876825,GW
0.116491196,GW
0.10550146,GW
0.098541295,GW
0.095610698,GW
0.097808646,GW
0.104402487,GW
0.114293249,GW
0.12491666,GW
0.134074773,GW
0.142133912,GW
0.148727753,GW
0.153489972,GW
0.156786892,GW
0.15898484,GW
0.160816462,GW
0.163014409,GW
0.165578681,GW
0.167043979,GW
0.168142952,GW
0.172172522,GW
0.17363782,GW
0.165945005,GW
0.148727753,GW
0.127847256,GW
0.112095302,GW
0.10220454,GW
0.095244374,GW
0.092680102,GW
0.089749506,GW
0.096709672,GW
0.106600434,GW
0.117223845,GW
0.126748282,GW
0.133342123,GW
0.137738018,GW
0.13956964,GW
0.13956964,GW
0.138470667,GW
0.138104342,GW
0.139203316,GW
0.141767587,GW
0.145064508,GW
0.148727753,GW
0.155321594,GW
0.160450138,GW
0.156786892,GW
0.142133912,GW
0.123085037,GW
0.108065732,GW
0.099273944,GW
0.091947453,GW
0.089383182,GW
0.091947453,GW
0.099273944,GW
0.109164706,GW
0.119788116,GW
0.129312554,GW
0.13627272,GW
0.140668614,GW
0.142500236,GW
0.142500236,GW
0.142133912,GW
0.141767587,GW
0.142866561,GW
0.145430832,GW
0.148727753,GW
0.152390998,GW
0.159351164,GW
0.164113383,GW
0.159717489,GW
0.145064508,GW
0.125649309,GW
0.110263679,GW
0.100006593,GW
0.092680102,GW
0.090115831,GW
0.092680102,GW
0.104768811,GW
0.114293249,GW
0.125282984,GW
0.134807422,GW
0.143232885,GW
0.150559376,GW
0.156054243,GW
0.160450138,GW
0.164113383,GW
0.167043979,GW
0.169974575,GW
0.172538847,GW
0.174370469,GW
0.175103118,GW
0.178033714,GW
0.178400039,GW
0.169974575,GW
0.152024674,GW
0.130777852,GW
0.115025898,GW
0.105135136,GW
0.09817497,GW
0.095610698,GW
0.09817497,GW
0.105135136,GW
0.115025898,GW
0.125649309,GW
0.135540071,GW
0.143965534,GW
0.1509257,GW
0.156054243,GW
0.160083813,GW
0.162648085,GW
0.165578681,GW
0.168142952,GW
0.170707224,GW
0.172538847,GW
0.173271496,GW
0.176568416,GW
0.178033714,GW
0.170707224,GW
0.153856296,GW
0.132975799,GW
0.117590169,GW
0.107699407,GW
0.101105566,GW
0.098541295,GW
0.101105566,GW
0.108065732,GW
0.117956494,GW
0.128946229,GW
0.138836991,GW
0.146896131,GW
0.154222621,GW
0.159717489,GW
0.163747058,GW
0.166677654,GW
0.16960825,GW
0.172172522,GW
0.174736794,GW
0.176568416,GW
0.177301065,GW
0.180597986,GW
0.181330635,GW
0.17363782,GW
0.156420568,GW
0.135540071,GW
0.119788116,GW
0.10953103,GW
0.102570864,GW
0.100006593,GW
0.102570864,GW
0.109164706,GW
0.119055467,GW
0.129678878,GW
0.139203316,GW
0.147262455,GW
0.154222621,GW
0.159351164,GW
0.163014409,GW
0.165945005,GW
0.168142952,GW
0.170707224,GW
0.172905171,GW
0.174736794,GW
0.175469443,GW
0.178766363,GW
0.179499012,GW
0.171439873,GW
0.153856296,GW
0.132609474,GW
0.11685752,GW
0.106600434,GW
0.099640268,GW
0.096709672,GW
0.098907619,GW
0.105867785,GW
0.115392222,GW
0.126015633,GW
0.135540071,GW
