Demand,Unit
6.734213599,GW
6.734213599,GW
6.734213599,GW
6.745400001,GW
6.790145606,GW
6.846077613,GW
6.890823218,GW
6.913196021,GW
6.902009619,GW
6.868450415,GW
6.846077613,GW
6.834891211,GW
6.82370481,GW
6.834891211,GW
6.857264014,GW
6.935568823,GW
7.013873632,GW
7.025060034,GW
7.002687231,GW
6.969128027,GW
6.913196021,GW
6.857264014,GW
6.801332007,GW
6.756586402,GW
6.734213599,GW
6.734213599,GW
6.734213599,GW
6.745400001,GW
6.790145606,GW
6.846077613,GW
6.890823218,GW
6.913196021,GW
6.902009619,GW
6.868450415,GW
6.846077613,GW
6.834891211,GW
6.82370481,GW
6.834891211,GW
6.857264014,GW
6.935568823,GW
7.013873632,GW
7.025060034,GW
7.002687231,GW
6.969128027,GW
6.913196021,GW
6.857264014,GW
6.801332007,GW
6.756586402,GW
12.97622554,GW
12.97622554,GW
12.97622554,GW
12.97622554,GW
12.97622554,GW
13.08808955,GW
13.31181758,GW
13.42368159,GW
13.42368159,GW
13.42368159,GW
13.31181758,GW
13.31181758,GW
13.19995357,GW
13.19995357,GW
13.31181758,GW
13.42368159,GW
13.53554561,GW
13.53554561,GW
13.53554561,GW
13.42368159,GW
13.31181758,GW
13.19995357,GW
13.08808955,GW
12.97622554,GW
12.97622554,GW
12.97622554,GW
12.97622554,GW
12.97622554,GW
12.97622554,GW
13.08808955,GW
13.31181758,GW
13.42368159,GW
13.42368159,GW
13.42368159,GW
13.31181758,GW
13.31181758,GW
13.19995357,GW
13.19995357,GW
13.31181758,GW
13.42368159,GW
13.53554561,GW
13.53554561,GW
13.53554561,GW
13.42368159,GW
13.31181758,GW
13.19995357,GW
13.08808955,GW
12.97622554,GW
12.97622554,GW
12.97622554,GW
12.97622554,GW
12.97622554,GW
12.97622554,GW
13.08808955,GW
13.31181758,GW
13.42368159,GW
13.42368159,GW
13.42368159,GW
13.31181758,GW
13.31181758,GW
13.19995357,GW
13.19995357,GW
13.31181758,GW
13.42368159,GW
13.53554561,GW
13.53554561,GW
13.53554561,GW
13.42368159,GW
13.31181758,GW
13.19995357,GW
13.08808955,GW
12.97622554,GW
12.97622554,GW
12.97622554,GW
12.97622554,GW
12.97622554,GW
12.97622554,GW
13.08808955,GW
13.31181758,GW
13.42368159,GW
13.42368159,GW
13.42368159,GW
13.31181758,GW
13.31181758,GW
13.19995357,GW
13.19995357,GW
13.31181758,GW
13.42368159,GW
13.53554561,GW
13.53554561,GW
13.53554561,GW
13.42368159,GW
13.31181758,GW
13.19995357,GW
13.08808955,GW
12.97622554,GW
12.97622554,GW
12.97622554,GW
12.97622554,GW
12.97622554,GW
12.97622554,GW
13.08808955,GW
13.31181758,GW
13.42368159,GW
13.42368159,GW
13.42368159,GW
13.31181758,GW
13.31181758,GW
13.19995357,GW
13.19995357,GW
13.31181758,GW
13.42368159,GW
13.53554561,GW
13.53554561,GW
13.53554561,GW
13.42368159,GW
13.31181758,GW
13.19995357,GW
13.08808955,GW
12.97622554,GW
6.734213599,GW
6.734213599,GW
6.734213599,GW
6.745400001,GW
6.790145606,GW
6.846077613,GW
6.890823218,GW
6.913196021,GW
6.902009619,GW
6.868450415,GW
6.846077613,GW
6.834891211,GW
6.82370481,GW
6.834891211,GW
6.857264014,GW
6.935568823,GW
7.013873632,GW
7.025060034,GW
7.002687231,GW
6.969128027,GW
6.913196021,GW
6.857264014,GW
6.801332007,GW
6.756586402,GW
6.734213599,GW
6.734213599,GW
6.734213599,GW
6.745400001,GW
6.790145606,GW
6.846077613,GW
6.890823218,GW
6.913196021,GW
6.902009619,GW
6.868450415,GW
6.846077613,GW
6.834891211,GW
6.82370481,GW
6.834891211,GW
6.857264014,GW
6.935568823,GW
7.013873632,GW
7.025060034,GW
7.002687231,GW
6.969128027,GW
6.913196021,GW
6.857264014,GW
6.801332007,GW
6.756586402,GW
12.97622554,GW
12.97622554,GW
12.97622554,GW
12.97622554,GW
12.97622554,GW
13.08808955,GW
13.31181758,GW
13.42368159,GW
13.42368159,GW
13.42368159,GW
13.31181758,GW
13.31181758,GW
13.19995357,GW
13.19995357,GW
13.31181758,GW
13.42368159,GW
13.53554561,GW
13.53554561,GW
13.53554561,GW
13.42368159,GW
13.31181758,GW
13.19995357,GW
13.08808955,GW
12.97622554,GW
12.97622554,GW
12.97622554,GW
12.97622554,GW
12.97622554,GW
12.97622554,GW
13.08808955,GW
13.31181758,GW
13.42368159,GW
13.42368159,GW
13.42368159,GW
13.31181758,GW
13.31181758,GW
13.19995357,GW
13.19995357,GW
13.31181758,GW
13.42368159,GW
13.53554561,GW
13.53554561,GW
13.53554561,GW
13.42368159,GW
13.31181758,GW
13.19995357,GW
13.08808955,GW
12.97622554,GW
12.97622554,GW
12.97622554,GW
12.97622554,GW
12.97622554,GW
12.97622554,GW
13.08808955,GW
13.31181758,GW
13.42368159,GW
