Demand,Unit
37.9521788,GW
36.76949951,GW
35.53241696,GW
35.12794064,GW
35.96764295,GW
35.7760489,GW
34.34027622,GW
34.42306377,GW
34.91032765,GW
35.66487704,GW
35.84700965,GW
35.63649274,GW
35.64831954,GW
35.473283,GW
35.60337772,GW
36.71509625,GW
38.13904214,GW
42.40141834,GW
44.49712608,GW
44.3410124,GW
43.65742377,GW
41.94253877,GW
39.48966191,GW
37.88831413,GW
36.8215374,GW
35.76658746,GW
35.25093928,GW
35.68616527,GW
38.28096365,GW
39.35956719,GW
40.81899344,GW
45.98257127,GW
50.26387035,GW
52.35957807,GW
53.68181354,GW
53.42162408,GW
53.30335616,GW
54.97566469,GW
54.28971069,GW
53.99167552,GW
53.17799214,GW
54.13123167,GW
55.03716402,GW
54.83610853,GW
53.62267957,GW
51.45837645,GW
49.0267878,GW
46.64014097,GW
45.00331282,GW
43.86557533,GW
42.85083649,GW
42.93362404,GW
44.79752661,GW
45.55207601,GW
45.56390281,GW
49.5471667,GW
52.75459297,GW
54.02952125,GW
54.95674183,GW
54.70837917,GW
54.26842247,GW
55.92180814,GW
55.66398404,GW
55.20983519,GW
54.24713424,GW
54.68709095,GW
56.24822763,GW
56.15597864,GW
55.22166199,GW
52.83974587,GW
50.63759701,GW
48.04043327,GW
46.33027899,GW
45.48821132,GW
44.63195152,GW
44.20145624,GW
46.39414367,GW
47.12503947,GW
46.92871472,GW
51.11066874,GW
54.36776754,GW
56.10157539,GW
56.67872288,GW
55.02297186,GW
54.92362679,GW
58.04116943,GW
57.61777026,GW
57.12104495,GW
56.25768905,GW
56.74968365,GW
58.56627905,GW
58.25641708,GW
57.26533181,GW
55.30444953,GW
52.85630339,GW
50.35375398,GW
48.4094292,GW
47.4609204,GW
46.20728033,GW
45.97074449,GW
47.61466872,GW
47.75185952,GW
46.56681486,GW
48.889597,GW
51.39451176,GW
52.91307198,GW
53.5871992,GW
53.43345088,GW
52.37140487,GW
53.37668227,GW
52.47311529,GW
51.68781623,GW
51.37795426,GW
53.63923707,GW
56.20801652,GW
55.55044684,GW
54.52861191,GW
52.54407604,GW
50.03916128,GW
47.96237642,GW
46.42016262,GW
45.19727223,GW
44.1919948,GW
43.65978913,GW
44.85902594,GW
44.65323973,GW
43.07081484,GW
43.28842782,GW
44.53733717,GW
45.49057668,GW
46.06062812,GW
46.13868494,GW
46.12212743,GW
46.62831417,GW
46.44145084,GW
46.71110172,GW
47.45145896,GW
51.17216805,GW
54.0035023,GW
53.77642787,GW
53.05735886,GW
51.14614911,GW
49.16870932,GW
46.91215721,GW
45.35575124,GW
44.29607059,GW
43.45163758,GW
43.335735,GW
46.10083921,GW
47.03988657,GW
47.12977019,GW
52.00004356,GW
56.21274724,GW
58.10266876,GW
58.81937242,GW
58.4953183,GW
58.34393535,GW
60.3237405,GW
59.68509368,GW
59.09848473,GW
58.2895321,GW
58.36522356,GW
59.94291776,GW
59.89087987,GW
58.68218162,GW
56.30972694,GW
53.6723521,GW
50.94982434,GW
49.09774855,GW
47.98603002,GW
47.09902054,GW
46.93108008,GW
49.27988116,GW
49.95164302,GW
49.00786492,GW
53.4500084,GW
56.87268229,GW
58.17362953,GW
58.97312073,GW
58.5355294,GW
58.48822222,GW
60.57210315,GW
60.01151315,GW
59.19309908,GW
57.93945903,GW
57.93709367,GW
59.37050097,GW
59.14106119,GW
58.44328041,GW
56.18199758,GW
53.50441163,GW
51.09647658,GW
49.34374585,GW
48.22256588,GW
47.12977019,GW
46.9405415,GW
49.73403003,GW
50.07700702,GW
49.21601649,GW
53.2040111,GW
56.32155374,GW
57.38359975,GW
58.31082033,GW
57.76205714,GW
57.51132912,GW
59.63778651,GW
59.43909638,GW
58.85012209,GW
57.77861463,GW
58.57574049,GW
60.12741573,GW
60.01387851,GW
58.93054428,GW
56.52024387,GW
53.8615808,GW
51.65943193,GW
49.72220323,GW
48.71929119,GW
47.42544003,GW
47.15105843,GW
49.20418969,GW
49.87595153,GW
49.06226818,GW
52.9580138,GW
56.4492831,GW
57.41198405,GW
58.37705036,GW
58.03407337,GW
57.49950232,GW
60.08483928,GW
59.73949691,GW
59.1576187,GW
58.06482303,GW
58.6727202,GW
60.38523981,GW
59.84830342,GW
59.01333182,GW
57.38123439,GW
54.72730204,GW
52.1750801,GW
50.3182736,GW
49.03151852,GW
47.84883922,GW
47.56736154,GW
49.82627902,GW
50.6210395,GW
49.6607039,GW
53.91834939,GW
57.5917513,GW
58.80044956,GW
59.60467147,GW
57.7289421,GW
57.62250098,GW
60.84411938,GW
60.214934,GW
59.43673102,GW
58.2777053,GW
58.29899353,GW
59.6945551,GW
59.26405984,GW
58.38414644,GW
56.29080408,GW
54.00113695,GW
51.52697184,GW
49.73166467,GW
48.68854151,GW
47.44199754,GW
46.64723705,GW
48.71456047,GW
48.84228983,GW
47.46801648,GW
49.48330201,GW
52.48257673,GW
53.76696645,GW
54.68472559,GW
54.56172693,GW
53.15197321,GW
53.91361867,GW
53.02424384,GW
52.08046575,GW
51.89123708,GW
54.13596239,GW
56.03534534,GW
55.46292857,GW
54.42926685,GW
52.21529119,GW
49.7813372,GW
47.70928306,GW
45.93289874,GW
45.01277426,GW
43.9696511,GW
43.67161592,GW
45.09083108,GW
45.17125327,GW
43.48711795,GW
43.44927222,GW
44.69345083,GW
45.60647926,GW
45.89268764,GW
45.9068798,GW
45.76732364,GW
45.88559156,GW
44.90396775,GW
45.17598399,GW
46.61648739,GW
50.09356454,GW
51.95746711,GW
51.65233586,GW
50.80080675,GW
48.82573231,GW
46.37995153,GW
44.41670389,GW
43.43034934,GW
42.36357261,GW
41.41742917,GW
41.79352119,GW
44.59647114,GW
45.97784055,GW
46.15051174,GW
51.04680405,GW
54.8550314,GW
56.46584062,GW
57.11631423,GW
56.52733993,GW
55.95019244,GW
58.32264711,GW
58.06718839,GW
57.67690421,GW
56.63378107,GW
56.82537512,GW
59.03698542,GW
58.93764036,GW
57.6319624,GW
55.12704764,GW
52.77824654,GW
50.28988929,GW
48.58210039,GW
47.4325361,GW
46.4036051,GW
46.26404895,GW
48.76186764,GW
49.78370256,GW
48.83046303,GW
52.93909094,GW
56.09684467,GW
57.36467688,GW
58.23512884,GW
57.6154049,GW
57.43090693,GW
59.73713155,GW
59.24750233,GW
58.42199218,GW
57.45692586,GW
58.41253074,GW
59.15998406,GW
59.23804089,GW
58.37231964,GW
55.60248473,GW
53.10703139,GW
50.75349958,GW
48.86594342,GW
47.91270389,GW
46.81281214,GW
46.39650903,GW
49.24913151,GW
50.33719646,GW
49.58974315,GW
53.04080134,GW
55.99513425,GW
56.79462546,GW
57.09739136,GW
56.71893398,GW
55.47948607,GW
57.35994616,GW
57.11394888,GW
56.89397051,GW
56.12049825,GW
57.3694076,GW
58.21857135,GW
57.79517215,GW
56.61485821,GW
54.52151584,GW
51.9125253,GW
49.5471667,GW
47.75895559,GW
47.19363488,GW
46.41070118,GW
46.28060646,GW
48.9298081,GW
49.75768361,GW
49.1923629,GW
53.26551043,GW
56.51078243,GW
57.3291965,GW
57.77388392,GW
