Demand,Unit
14.3172593,GW
14.3172593,GW
14.3172593,GW
14.3172593,GW
14.37253829,GW
14.42781728,GW
14.42781728,GW
14.42781728,GW
14.42781728,GW
14.37253829,GW
14.37253829,GW
14.37253829,GW
14.37253829,GW
14.37253829,GW
14.37253829,GW
14.42781728,GW
14.48309628,GW
14.53837527,GW
14.48309628,GW
14.48309628,GW
14.42781728,GW
14.37253829,GW
14.37253829,GW
14.3172593,GW
14.3172593,GW
14.3172593,GW
14.3172593,GW
14.3172593,GW
14.37253829,GW
14.42781728,GW
14.42781728,GW
14.42781728,GW
14.42781728,GW
14.37253829,GW
14.37253829,GW
14.37253829,GW
14.37253829,GW
14.37253829,GW
14.37253829,GW
14.42781728,GW
14.48309628,GW
14.53837527,GW
14.48309628,GW
14.48309628,GW
14.42781728,GW
14.37253829,GW
14.37253829,GW
14.3172593,GW
27.52893873,GW
27.47365973,GW
27.47365973,GW
27.47365973,GW
27.52893873,GW
27.58421772,GW
27.69477571,GW
27.80533369,GW
27.80533369,GW
27.80533369,GW
27.80533369,GW
27.7500547,GW
27.69477571,GW
27.69477571,GW
27.69477571,GW
27.80533369,GW
27.91589168,GW
27.91589168,GW
27.86061269,GW
27.80533369,GW
27.7500547,GW
27.63949671,GW
27.58421772,GW
27.52893873,GW
27.52893873,GW
27.47365973,GW
27.47365973,GW
27.47365973,GW
27.52893873,GW
27.58421772,GW
27.69477571,GW
27.80533369,GW
27.80533369,GW
27.80533369,GW
27.80533369,GW
27.7500547,GW
27.69477571,GW
27.69477571,GW
27.69477571,GW
27.80533369,GW
27.91589168,GW
27.91589168,GW
27.86061269,GW
27.80533369,GW
27.7500547,GW
27.63949671,GW
27.58421772,GW
27.52893873,GW
27.52893873,GW
27.47365973,GW
27.47365973,GW
27.47365973,GW
27.52893873,GW
27.58421772,GW
27.69477571,GW
27.80533369,GW
27.80533369,GW
27.80533369,GW
27.80533369,GW
27.7500547,GW
27.69477571,GW
27.69477571,GW
27.69477571,GW
27.80533369,GW
27.91589168,GW
27.91589168,GW
27.86061269,GW
27.80533369,GW
27.7500547,GW
27.63949671,GW
27.58421772,GW
27.52893873,GW
27.52893873,GW
27.47365973,GW
27.47365973,GW
27.47365973,GW
27.52893873,GW
27.58421772,GW
27.69477571,GW
27.80533369,GW
27.80533369,GW
27.80533369,GW
27.80533369,GW
27.7500547,GW
27.69477571,GW
27.69477571,GW
27.69477571,GW
27.80533369,GW
27.91589168,GW
27.91589168,GW
27.86061269,GW
27.80533369,GW
27.7500547,GW
27.63949671,GW
27.58421772,GW
27.52893873,GW
27.52893873,GW
27.47365973,GW
27.47365973,GW
27.47365973,GW
27.52893873,GW
27.58421772,GW
27.69477571,GW
27.80533369,GW
27.80533369,GW
27.80533369,GW
27.80533369,GW
27.7500547,GW
27.69477571,GW
27.69477571,GW
27.69477571,GW
27.80533369,GW
27.91589168,GW
27.91589168,GW
27.86061269,GW
27.80533369,GW
27.7500547,GW
27.63949671,GW
27.58421772,GW
27.52893873,GW
14.3172593,GW
14.3172593,GW
14.3172593,GW
14.3172593,GW
14.37253829,GW
14.42781728,GW
14.42781728,GW
14.42781728,GW
14.42781728,GW
14.37253829,GW
14.37253829,GW
14.37253829,GW
14.37253829,GW
14.37253829,GW
14.37253829,GW
14.42781728,GW
14.48309628,GW
14.53837527,GW
14.48309628,GW
14.48309628,GW
14.42781728,GW
14.37253829,GW
14.37253829,GW
14.3172593,GW
14.3172593,GW
14.3172593,GW
14.3172593,GW
14.3172593,GW
14.37253829,GW
14.42781728,GW
14.42781728,GW
14.42781728,GW
14.42781728,GW
14.37253829,GW
14.37253829,GW
14.37253829,GW
14.37253829,GW
14.37253829,GW
14.37253829,GW
14.42781728,GW
14.48309628,GW
14.53837527,GW
14.48309628,GW
14.48309628,GW
14.42781728,GW
14.37253829,GW
14.37253829,GW
14.3172593,GW
27.52893873,GW
27.47365973,GW
27.47365973,GW
27.47365973,GW
27.52893873,GW
27.58421772,GW
27.69477571,GW
27.80533369,GW
27.80533369,GW
27.80533369,GW
27.80533369,GW
27.7500547,GW
27.69477571,GW
27.69477571,GW
27.69477571,GW
27.80533369,GW
27.91589168,GW
27.91589168,GW
27.86061269,GW
27.80533369,GW
27.7500547,GW
27.63949671,GW
27.58421772,GW
27.52893873,GW
27.52893873,GW
27.47365973,GW
27.47365973,GW
27.47365973,GW
27.52893873,GW
27.58421772,GW
27.69477571,GW
27.80533369,GW
27.80533369,GW
27.80533369,GW
27.80533369,GW
27.7500547,GW
27.69477571,GW
27.69477571,GW
27.69477571,GW
27.80533369,GW
27.91589168,GW
27.91589168,GW
27.86061269,GW
27.80533369,GW
27.7500547,GW
27.63949671,GW
27.58421772,GW
27.52893873,GW
27.52893873,GW
27.47365973,GW
27.47365973,GW
27.47365973,GW
27.52893873,GW
27.58421772,GW
27.69477571,GW
27.80533369,GW
27.80533369,GW
27.80533369,GW
27.80533369,GW
27.7500547,GW
27.69477571,GW
27.69477571,GW
27.69477571,GW
27.80533369,GW
27.91589168,GW
27.91589168,GW
27.86061269,GW
27.80533369,GW
27.7500547,GW
27.63949671,GW
27.58421772,GW
27.52893873,GW
27.52893873,GW
27.47365973,GW
27.47365973,GW
27.47365973,GW
27.52893873,GW
27.58421772,GW
27.69477571,GW
27.80533369,GW
27.80533369,GW
27.80533369,GW
27.80533369,GW
27.7500547,GW
27.69477571,GW
27.69477571,GW
27.69477571,GW
27.80533369,GW
27.91589168,GW
27.91589168,GW
27.86061269,GW
27.80533369,GW
27.7500547,GW
27.63949671,GW
27.58421772,GW
27.52893873,GW
27.52893873,GW
27.47365973,GW
27.47365973,GW
27.47365973,GW
27.52893873,GW
27.58421772,GW
27.69477571,GW
27.80533369,GW
27.80533369,GW
27.80533369,GW
27.80533369,GW
27.7500547,GW
27.69477571,GW
27.69477571,GW
27.69477571,GW
27.80533369,GW
27.91589168,GW
27.91589168,GW
27.86061269,GW
27.80533369,GW
27.7500547,GW
27.63949671,GW
27.58421772,GW
27.52893873,GW
14.3172593,GW
14.3172593,GW
14.3172593,GW
14.3172593,GW
14.37253829,GW
14.42781728,GW
14.42781728,GW
14.42781728,GW
14.42781728,GW
14.37253829,GW
14.37253829,GW
14.37253829,GW
14.37253829,GW
14.37253829,GW
14.37253829,GW
14.42781728,GW
14.48309628,GW
14.53837527,GW
14.48309628,GW
14.48309628,GW
14.42781728,GW
14.37253829,GW
14.37253829,GW
14.3172593,GW
14.3172593,GW
14.3172593,GW
14.3172593,GW
14.3172593,GW
14.37253829,GW
14.42781728,GW
14.42781728,GW
14.42781728,GW
14.42781728,GW
14.37253829,GW
14.37253829,GW
14.37253829,GW
14.37253829,GW
14.37253829,GW
14.37253829,GW
14.42781728,GW
14.48309628,GW
14.53837527,GW
14.48309628,GW
14.48309628,GW
14.42781728,GW
14.37253829,GW
14.37253829,GW
14.3172593,GW
27.52893873,GW
27.47365973,GW
27.47365973,GW
27.47365973,GW
27.52893873,GW
27.58421772,GW
27.69477571,GW
27.80533369,GW
27.80533369,GW
27.80533369,GW
27.80533369,GW
27.7500547,GW
27.69477571,GW
27.69477571,GW
27.69477571,GW
27.80533369,GW
27.91589168,GW
27.91589168,GW
27.86061269,GW
27.80533369,GW
27.7500547,GW
27.63949671,GW
27.58421772,GW
27.52893873,GW
27.52893873,GW
27.47365973,GW
27.47365973,GW
27.47365973,GW
27.52893873,GW
27.58421772,GW
27.69477571,GW
27.80533369,GW
27.80533369,GW
27.80533369,GW
27.80533369,GW
27.7500547,GW
27.69477571,GW
27.69477571,GW
27.69477571,GW
27.80533369,GW
27.91589168,GW
27.91589168,GW
27.86061269,GW
27.80533369,GW
27.7500547,GW
27.63949671,GW
27.58421772,GW
27.52893873,GW
27.52893873,GW
27.47365973,GW
27.47365973,GW
27.47365973,GW
27.52893873,GW
27.58421772,GW
27.69477571,GW
27.80533369,GW
27.80533369,GW
27.80533369,GW
27.80533369,GW
27.7500547,GW
27.69477571,GW
27.69477571,GW
27.69477571,GW
27.80533369,GW
27.91589168,GW
27.91589168,GW
27.86061269,GW
27.80533369,GW
27.7500547,GW
27.63949671,GW
27.58421772,GW
27.52893873,GW
27.52893873,GW
27.47365973,GW
27.47365973,GW
27.47365973,GW
27.52893873,GW
27.58421772,GW
27.69477571,GW
27.80533369,GW
27.80533369,GW
27.80533369,GW
27.80533369,GW
27.7500547,GW
27.69477571,GW
27.69477571,GW
27.69477571,GW
27.80533369,GW
27.91589168,GW
27.91589168,GW
27.86061269,GW
27.80533369,GW
27.7500547,GW
27.63949671,GW
27.58421772,GW
27.52893873,GW
27.52893873,GW
27.47365973,GW
27.47365973,GW
27.47365973,GW
27.52893873,GW
27.58421772,GW
27.69477571,GW
27.80533369,GW
27.80533369,GW
27.80533369,GW
27.80533369,GW
27.7500547,GW
27.69477571,GW
27.69477571,GW
27.69477571,GW
27.80533369,GW
27.91589168,GW
27.91589168,GW
27.86061269,GW
27.80533369,GW
27.7500547,GW
27.63949671,GW
27.58421772,GW
27.52893873,GW
14.3172593,GW
14.3172593,GW
14.3172593,GW
14.3172593,GW
14.37253829,GW
14.42781728,GW
14.42781728,GW
14.42781728,GW
14.42781728,GW
14.37253829,GW
14.37253829,GW
14.37253829,GW
14.37253829,GW
14.37253829,GW
14.37253829,GW
14.42781728,GW
14.48309628,GW
14.53837527,GW
14.48309628,GW
14.48309628,GW
14.42781728,GW
14.37253829,GW
14.37253829,GW
14.3172593,GW
14.3172593,GW
14.3172593,GW
14.3172593,GW
14.3172593,GW
14.37253829,GW
14.42781728,GW
14.42781728,GW
14.42781728,GW
14.42781728,GW
14.37253829,GW
14.37253829,GW
14.37253829,GW
14.37253829,GW
14.37253829,GW
14.37253829,GW
14.42781728,GW
14.48309628,GW
14.53837527,GW
14.48309628,GW
14.48309628,GW
14.42781728,GW
14.37253829,GW
14.37253829,GW
14.3172593,GW
27.52893873,GW
27.47365973,GW
27.47365973,GW
27.47365973,GW
27.52893873,GW
27.58421772,GW
27.69477571,GW
27.80533369,GW
27.80533369,GW
27.80533369,GW
27.80533369,GW
27.7500547,GW
27.69477571,GW
27.69477571,GW
27.69477571,GW
27.80533369,GW
27.91589168,GW
27.91589168,GW
27.86061269,GW
27.80533369,GW
27.7500547,GW
27.63949671,GW
27.58421772,GW
27.52893873,GW
27.52893873,GW
27.47365973,GW
27.47365973,GW
27.47365973,GW
27.52893873,GW
27.58421772,GW
27.69477571,GW
27.80533369,GW
27.80533369,GW
27.80533369,GW
27.80533369,GW
27.7500547,GW
27.69477571,GW
27.69477571,GW
27.69477571,GW
27.80533369,GW
27.91589168,GW
27.91589168,GW
27.86061269,GW
27.80533369,GW
27.7500547,GW
27.63949671,GW
27.58421772,GW
27.52893873,GW
27.52893873,GW
27.47365973,GW
27.47365973,GW
27.47365973,GW
27.52893873,GW
27.58421772,GW
27.69477571,GW
27.80533369,GW
27.80533369,GW
27.80533369,GW
27.80533369,GW
27.7500547,GW
27.69477571,GW
27.69477571,GW
27.69477571,GW
27.80533369,GW
27.91589168,GW
27.91589168,GW
27.86061269,GW
27.80533369,GW
27.7500547,GW
27.63949671,GW
27.58421772,GW
27.52893873,GW
27.52893873,GW
27.47365973,GW
27.47365973,GW
27.47365973,GW
27.52893873,GW
27.58421772,GW
27.69477571,GW
27.80533369,GW
27.80533369,GW
27.80533369,GW
27.80533369,GW
27.7500547,GW
27.69477571,GW
27.69477571,GW
27.69477571,GW
27.80533369,GW
27.91589168,GW
27.91589168,GW
27.86061269,GW
27.80533369,GW
27.7500547,GW
27.63949671,GW
27.58421772,GW
27.52893873,GW
27.52893873,GW
27.47365973,GW
27.47365973,GW
27.47365973,GW
27.52893873,GW
27.58421772,GW
27.69477571,GW
27.80533369,GW
27.80533369,GW
27.80533369,GW
27.80533369,GW
27.7500547,GW
27.69477571,GW
27.69477571,GW
27.69477571,GW
27.80533369,GW
27.91589168,GW
27.91589168,GW
27.86061269,GW
27.80533369,GW
27.7500547,GW
27.63949671,GW
27.58421772,GW
27.52893873,GW
14.3172593,GW
14.3172593,GW
14.3172593,GW
14.3172593,GW
14.37253829,GW
14.42781728,GW
14.42781728,GW
14.42781728,GW
14.42781728,GW
14.37253829,GW
14.37253829,GW
14.37253829,GW
14.37253829,GW
14.37253829,GW
14.37253829,GW
14.42781728,GW
14.48309628,GW
14.53837527,GW
14.48309628,GW
14.48309628,GW
14.42781728,GW
14.37253829,GW
14.37253829,GW
14.3172593,GW
14.3172593,GW
14.3172593,GW
14.3172593,GW
14.3172593,GW
14.37253829,GW
14.42781728,GW
14.42781728,GW
14.42781728,GW
14.42781728,GW
14.37253829,GW
14.37253829,GW
14.37253829,GW
14.37253829,GW
14.37253829,GW
14.37253829,GW
14.42781728,GW
14.48309628,GW
14.53837527,GW
14.48309628,GW
14.48309628,GW
14.42781728,GW
14.37253829,GW
14.37253829,GW
14.3172593,GW
27.52893873,GW
27.47365973,GW
27.47365973,GW
27.47365973,GW
27.52893873,GW
27.58421772,GW
27.69477571,GW
27.80533369,GW
27.80533369,GW
27.80533369,GW
27.80533369,GW
27.7500547,GW
27.69477571,GW
27.69477571,GW
27.69477571,GW
27.80533369,GW
27.91589168,GW
27.91589168,GW
27.86061269,GW
27.80533369,GW
27.7500547,GW
27.63949671,GW
27.58421772,GW
27.52893873,GW
27.58421772,GW
27.52893873,GW
27.52893873,GW
27.52893873,GW
27.58421772,GW
27.63949671,GW
27.7500547,GW
27.86061269,GW
27.86061269,GW
27.86061269,GW
27.86061269,GW
27.80533369,GW
27.7500547,GW
27.7500547,GW
27.7500547,GW
27.86061269,GW
27.97117067,GW
27.97117067,GW
27.91589168,GW
27.86061269,GW
27.80533369,GW
27.69477571,GW
27.63949671,GW
27.58421772,GW
27.58421772,GW
27.52893873,GW
27.52893873,GW
27.52893873,GW
27.58421772,GW
27.63949671,GW
27.7500547,GW
27.86061269,GW
27.86061269,GW
27.86061269,GW
27.86061269,GW
27.80533369,GW
27.7500547,GW
27.7500547,GW
27.7500547,GW
27.86061269,GW
27.97117067,GW
27.97117067,GW
27.91589168,GW
27.86061269,GW
27.80533369,GW
27.69477571,GW
27.63949671,GW
27.58421772,GW
27.58421772,GW
27.52893873,GW
27.52893873,GW
27.52893873,GW
27.58421772,GW
27.63949671,GW
27.7500547,GW
27.86061269,GW
27.86061269,GW
27.86061269,GW
27.86061269,GW
27.80533369,GW
27.7500547,GW
27.7500547,GW
27.7500547,GW
27.86061269,GW
27.97117067,GW
27.97117067,GW
27.91589168,GW
27.86061269,GW
27.80533369,GW
27.69477571,GW
27.63949671,GW
27.58421772,GW
27.58421772,GW
27.52893873,GW
27.52893873,GW
27.52893873,GW
27.58421772,GW
27.63949671,GW
27.7500547,GW
27.86061269,GW
27.86061269,GW
27.86061269,GW
27.86061269,GW
27.80533369,GW
27.7500547,GW
27.7500547,GW
27.7500547,GW
27.86061269,GW
27.97117067,GW
27.97117067,GW
27.91589168,GW
27.86061269,GW
27.80533369,GW
27.69477571,GW
27.63949671,GW
27.58421772,GW
27.58421772,GW
27.52893873,GW
27.52893873,GW
27.52893873,GW
27.58421772,GW
27.63949671,GW
27.7500547,GW
27.86061269,GW
27.86061269,GW
27.86061269,GW
27.86061269,GW
27.80533369,GW
27.7500547,GW
27.7500547,GW
27.7500547,GW
27.86061269,GW
27.97117067,GW
27.97117067,GW
27.91589168,GW
27.86061269,GW
27.80533369,GW
27.69477571,GW
27.63949671,GW
27.58421772,GW
14.3172593,GW
14.3172593,GW
14.3172593,GW
14.3172593,GW
14.37253829,GW
14.42781728,GW
14.42781728,GW
14.48309628,GW
14.42781728,GW
14.42781728,GW
14.42781728,GW
14.42781728,GW
14.37253829,GW
14.37253829,GW
14.42781728,GW
14.48309628,GW
14.53837527,GW
14.53837527,GW
14.53837527,GW
14.48309628,GW
14.48309628,GW
14.42781728,GW
14.37253829,GW
14.37253829,GW
14.3172593,GW
14.3172593,GW
14.3172593,GW
14.3172593,GW
14.37253829,GW
14.42781728,GW
14.42781728,GW
14.48309628,GW
14.42781728,GW
14.42781728,GW
14.42781728,GW
14.42781728,GW
14.37253829,GW
14.37253829,GW
14.42781728,GW
14.48309628,GW
14.53837527,GW
14.53837527,GW
14.53837527,GW
14.48309628,GW
14.48309628,GW
14.42781728,GW
14.37253829,GW
14.37253829,GW
27.58421772,GW
27.52893873,GW
27.52893873,GW
27.52893873,GW
27.58421772,GW
27.63949671,GW
27.7500547,GW
27.86061269,GW
27.86061269,GW
27.86061269,GW
27.86061269,GW
27.80533369,GW
27.7500547,GW
27.7500547,GW
27.7500547,GW
27.86061269,GW
27.97117067,GW
27.97117067,GW
27.91589168,GW
27.86061269,GW
27.80533369,GW
27.69477571,GW
27.63949671,GW
27.58421772,GW
27.58421772,GW
27.52893873,GW
27.52893873,GW
27.52893873,GW
27.58421772,GW
27.63949671,GW
27.7500547,GW
27.86061269,GW
27.86061269,GW
27.86061269,GW
27.86061269,GW
27.80533369,GW
27.7500547,GW
27.7500547,GW
27.7500547,GW
27.86061269,GW
27.97117067,GW
27.97117067,GW
27.91589168,GW
27.86061269,GW
27.80533369,GW
27.69477571,GW
27.63949671,GW
27.58421772,GW
27.58421772,GW
27.52893873,GW
27.52893873,GW
27.52893873,GW
27.58421772,GW
27.63949671,GW
27.7500547,GW
27.86061269,GW
27.86061269,GW
27.86061269,GW
27.86061269,GW
27.80533369,GW
27.7500547,GW
27.7500547,GW
27.7500547,GW
27.86061269,GW
27.97117067,GW
27.97117067,GW
27.91589168,GW
27.86061269,GW
27.80533369,GW
27.69477571,GW
27.63949671,GW
27.58421772,GW
27.58421772,GW
27.52893873,GW
27.52893873,GW
27.52893873,GW
27.58421772,GW
27.63949671,GW
27.7500547,GW
27.86061269,GW
27.86061269,GW
27.86061269,GW
27.86061269,GW
27.80533369,GW
27.7500547,GW
27.7500547,GW
27.7500547,GW
27.86061269,GW
27.97117067,GW
27.97117067,GW
27.91589168,GW
27.86061269,GW
27.80533369,GW
27.69477571,GW
27.63949671,GW
27.58421772,GW
27.58421772,GW
27.52893873,GW
27.52893873,GW
27.52893873,GW
27.58421772,GW
27.63949671,GW
27.7500547,GW
27.86061269,GW
27.86061269,GW
27.86061269,GW
27.86061269,GW
27.80533369,GW
27.7500547,GW
27.7500547,GW
27.7500547,GW
27.86061269,GW
27.97117067,GW
27.97117067,GW
27.91589168,GW
27.86061269,GW
27.80533369,GW
27.69477571,GW
27.63949671,GW
27.58421772,GW
14.3172593,GW
14.3172593,GW
14.3172593,GW
14.3172593,GW
14.37253829,GW
14.42781728,GW
14.42781728,GW
14.48309628,GW
14.42781728,GW
14.42781728,GW
14.42781728,GW
14.42781728,GW
14.37253829,GW
14.37253829,GW
14.42781728,GW
14.48309628,GW
14.53837527,GW
14.53837527,GW
14.53837527,GW
14.48309628,GW
14.48309628,GW
14.42781728,GW
14.37253829,GW
14.37253829,GW
14.3172593,GW
14.3172593,GW
14.3172593,GW
14.3172593,GW
14.37253829,GW
14.42781728,GW
14.42781728,GW
14.48309628,GW
14.42781728,GW
14.42781728,GW
14.42781728,GW
14.42781728,GW
14.37253829,GW
14.37253829,GW
14.42781728,GW
14.48309628,GW
14.53837527,GW
14.53837527,GW
14.53837527,GW
14.48309628,GW
14.48309628,GW
14.42781728,GW
14.37253829,GW
14.37253829,GW
27.58421772,GW
27.52893873,GW
27.52893873,GW
27.52893873,GW
27.58421772,GW
27.63949671,GW
27.7500547,GW
27.86061269,GW
27.86061269,GW
27.86061269,GW
27.86061269,GW
27.80533369,GW
27.7500547,GW
27.7500547,GW
27.7500547,GW
27.86061269,GW
27.97117067,GW
27.97117067,GW
27.91589168,GW
27.86061269,GW
27.80533369,GW
27.69477571,GW
27.63949671,GW
27.58421772,GW
27.58421772,GW
27.52893873,GW
27.52893873,GW
27.52893873,GW
27.58421772,GW
27.63949671,GW
27.7500547,GW
27.86061269,GW
27.86061269,GW
27.86061269,GW
27.86061269,GW
27.80533369,GW
27.7500547,GW
27.7500547,GW
27.7500547,GW
27.86061269,GW
27.97117067,GW
27.97117067,GW
27.91589168,GW
27.86061269,GW
27.80533369,GW
27.69477571,GW
27.63949671,GW
27.58421772,GW
27.58421772,GW
27.52893873,GW
27.52893873,GW
27.52893873,GW
27.58421772,GW
27.63949671,GW
27.7500547,GW
27.86061269,GW
27.86061269,GW
27.86061269,GW
27.86061269,GW
27.80533369,GW
27.7500547,GW
27.7500547,GW
27.7500547,GW
27.86061269,GW
27.97117067,GW
27.97117067,GW
27.91589168,GW
27.86061269,GW
27.80533369,GW
27.69477571,GW
27.63949671,GW
27.58421772,GW
27.58421772,GW
27.52893873,GW
27.52893873,GW
27.52893873,GW
27.58421772,GW
27.63949671,GW
27.7500547,GW
27.86061269,GW
27.86061269,GW
27.86061269,GW
27.86061269,GW
27.80533369,GW
27.7500547,GW
27.7500547,GW
27.7500547,GW
27.86061269,GW
27.97117067,GW
27.97117067,GW
27.91589168,GW
27.86061269,GW
27.80533369,GW
27.69477571,GW
27.63949671,GW
27.58421772,GW
27.58421772,GW
27.52893873,GW
27.52893873,GW
27.52893873,GW
27.58421772,GW
27.63949671,GW
27.7500547,GW
27.86061269,GW
27.86061269,GW
27.86061269,GW
27.86061269,GW
27.80533369,GW
27.7500547,GW
27.7500547,GW
27.7500547,GW
27.86061269,GW
27.97117067,GW
27.97117067,GW
27.91589168,GW
27.86061269,GW
27.80533369,GW
27.69477571,GW
27.63949671,GW
27.58421772,GW
14.3172593,GW
14.3172593,GW
14.3172593,GW
14.3172593,GW
14.37253829,GW
14.42781728,GW
14.42781728,GW
14.48309628,GW
14.42781728,GW
14.42781728,GW
14.42781728,GW
14.42781728,GW
14.37253829,GW
14.37253829,GW
14.42781728,GW
14.48309628,GW
14.53837527,GW
14.53837527,GW
14.53837527,GW
14.48309628,GW
14.48309628,GW
14.42781728,GW
14.37253829,GW
14.37253829,GW
14.3172593,GW
14.3172593,GW
14.3172593,GW
14.3172593,GW
14.37253829,GW
