Type,sizing_constant,sizing_constant_unit,usage_constant_1,usage_constant_1_unit,conversion_factor,conversion_factor_unit,lifespan,lifespan_units,location_name
0,2.385,G$/(Gg/h),0.00E+00,G$/Gg,3.11,GWh/Gg,262800,h,SG
1,2.385,G$/(Gg/h),0.00E+00,G$/Gg,3.11,GWh/Gg,262800,h,ID
2,2.385,G$/(Gg/h),0.00E+00,G$/Gg,3.11,GWh/Gg,262800,h,MY
3,2.385,G$/(Gg/h),0.00E+00,G$/Gg,3.11,GWh/Gg,262800,h,BN
4,2.385,G$/(Gg/h),0.00E+00,G$/Gg,3.11,GWh/Gg,262800,h,KH
5,2.385,G$/(Gg/h),0.00E+00,G$/Gg,3.11,GWh/Gg,262800,h,MM
6,2.385,G$/(Gg/h),0.00E+00,G$/Gg,3.11,GWh/Gg,262800,h,PH
7,2.385,G$/(Gg/h),0.00E+00,G$/Gg,3.11,GWh/Gg,262800,h,TH
8,2.385,G$/(Gg/h),0.00E+00,G$/Gg,3.11,GWh/Gg,262800,h,VN
9,2.385,G$/(Gg/h),0.00E+00,G$/Gg,3.11,GWh/Gg,262800,h,LA
10,2.385,G$/(Gg/h),0.00E+00,G$/Gg,3.11,GWh/Gg,262800,h,AU
11,2.385,G$/(Gg/h),0.00E+00,G$/Gg,3.11,GWh/Gg,262800,h,SA
12,2.385,G$/(Gg/h),0.00E+00,G$/Gg,3.11,GWh/Gg,262800,h,IN
13,2.385,G$/(Gg/h),0.00E+00,G$/Gg,3.11,GWh/Gg,262800,h,AE
14,2.385,G$/(Gg/h),0.00E+00,G$/Gg,3.11,GWh/Gg,262800,h,MA
15,2.385,G$/(Gg/h),0.00E+00,G$/Gg,3.11,GWh/Gg,262800,h,KE
16,2.385,G$/(Gg/h),0.00E+00,G$/Gg,3.11,GWh/Gg,262800,h,ZA
17,2.385,G$/(Gg/h),0.00E+00,G$/Gg,3.11,GWh/Gg,262800,h,KR
18,2.385,G$/(Gg/h),0.00E+00,G$/Gg,3.11,GWh/Gg,262800,h,EG
19,2.385,G$/(Gg/h),0.00E+00,G$/Gg,3.11,GWh/Gg,262800,h,NG
20,2.385,G$/(Gg/h),0.00E+00,G$/Gg,3.11,GWh/Gg,262800,h,BR
21,2.385,G$/(Gg/h),0.00E+00,G$/Gg,3.11,GWh/Gg,262800,h,CO
22,2.385,G$/(Gg/h),0.00E+00,G$/Gg,3.11,GWh/Gg,262800,h,PE
23,2.385,G$/(Gg/h),0.00E+00,G$/Gg,3.11,GWh/Gg,262800,h,CL
24,2.385,G$/(Gg/h),0.00E+00,G$/Gg,3.11,GWh/Gg,262800,h,MZ
