Type,sizing_constant,sizing_constant_unit,usage_constant_1,usage_constant_1_unit,usage_constant_2,usage_constant_2_unit,lifespan,lifespan_units,CO2_emissions_factor,CO2_emissions_factor_unit,
0,1.352,G$/GWp,2.78E-05,G$/GWh,0,G$/(GWh^2),525600,h,0.34056,GgCO2e/GWh,SG
1,1.352,G$/GWp,2.78E-05,G$/GWh,0,G$/(GWh^2),525600,h,0.34056,GgCO2e/GWh,ID
2,1.352,G$/GWp,0.000277778,G$/GWh,0,G$/(GWh^2),525600,h,0.34056,GgCO2e/GWh,MY
3,1,G$/GWp,2.00E-04,G$/GWh,0,G$/(GWh^2),525600,h,0.34056,GgCO2e/GWh,BR
4,1,G$/GWp,2.00E-04,G$/GWh,0,G$/(GWh^2),525600,h,0.34056,GgCO2e/GWh,KH
5,1.352,G$/GWp,0.000277778,G$/GWh,0,G$/(GWh^2),525600,h,0.34056,GgCO2e/GWh,MM
6,1.352,G$/GWp,0.000277778,G$/GWh,0,G$/(GWh^2),525600,h,0.34056,GgCO2e/GWh,PH
7,1,G$/GWp,2.00E-04,G$/GWh,0,G$/(GWh^2),525600,h,0.34056,GgCO2e/GWh,TH
8,1.352,G$/GWp,0.000277778,G$/GWh,0,G$/(GWh^2),525600,h,0.34056,GgCO2e/GWh,VN
9,1,G$/GWp,2.00E-04,G$/GWh,0,G$/(GWh^2),525600,h,0.34056,GgCO2e/GWh,LA
