Type,sizing_constant,sizing_constant_unit,lifespan,lifespan_unit,RE_type,set_size,set_number,maximum_size,maximum_size_unit,location_name
0,1.248101692,G$/GWp,210240,h,PVOUT,24,0,7.4319661,GWp,SG
1,1.658316,G$/GWp,210240,h,PVOUT,24,0,194.6983221,GWp,ID
2,1.658316,G$/GWp,210240,h,PVOUT,24,0,5127.898157,GWp,MY
3,1.658316,G$/GWp,210240,h,PVOUT,24,0,0.372455306,GWp,BN
4,1.658316,G$/GWp,210240,h,PVOUT,24,0,11.85836712,GWp,KH
5,1.658316,G$/GWp,210240,h,PVOUT,24,0,10,GWp,MM
6,1.658316,G$/GWp,210240,h,PVOUT,24,0,90.86142092,GWp,PH
7,1.658316,G$/GWp,210240,h,PVOUT,24,0,68.09770177,GWp,TH
8,1.658316,G$/GWp,210240,h,PVOUT,24,0,14164.97676,GWp,VN
9,1.658316,G$/GWp,210240,h,PVOUT,24,0,2794.702241,GWp,LA
10,1.658316,G$/GWp,210240,h,PVOUT,24,0,0,GWp,AU
11,1.658316,G$/GWp,210240,h,PVOUT,24,0,0,GWp,SA
12,1.658316,G$/GWp,210240,h,PVOUT,24,0,0,GWp,IN
13,1.658316,G$/GWp,210240,h,PVOUT,24,0,0,GWp,AE
14,2.13282,G$/GWp,210240,h,PVOUT,24,0,25,GWp,MA
15,2.13282,G$/GWp,210240,h,PVOUT,24,0,64,GWp,KE
16,2.13282,G$/GWp,210240,h,PVOUT,24,0,66,GWp,ZA
17,1.658316,G$/GWp,210240,h,PVOUT,24,0,42,GWp,KR
18,2.13282,G$/GWp,210240,h,PVOUT,24,0,71,GWp,EG
19,2.13282,G$/GWp,210240,h,PVOUT,24,0,177,GWp,NG
20,2.13282,G$/GWp,210240,h,PVOUT,24,0,209,GWp,BR
21,2.13282,G$/GWp,210240,h,PVOUT,24,0,38,GWp,CO
22,2.13282,G$/GWp,210240,h,PVOUT,24,0,29,GWp,PE
23,2.13282,G$/GWp,210240,h,PVOUT,24,0,18,GWp,CL
