,local_time,electricity,irradiance_direct,irradiance_diffuse,temperature
2019-01-01 00:00:00,2018-12-31 21:00:00-03:00,0.0,0.0,0.0,19.571
2019-01-01 01:00:00,2018-12-31 22:00:00-03:00,0.0,0.0,0.0,17.857
2019-01-01 02:00:00,2018-12-31 23:00:00-03:00,0.0,0.0,0.0,16.973
2019-01-01 03:00:00,2019-01-01 00:00:00-03:00,0.0,0.0,0.0,15.985
2019-01-01 04:00:00,2019-01-01 01:00:00-03:00,0.0,0.0,0.0,15.555
2019-01-01 05:00:00,2019-01-01 02:00:00-03:00,0.0,0.0,0.0,15.183
2019-01-01 06:00:00,2019-01-01 03:00:00-03:00,0.0,0.0,0.0,14.555
2019-01-01 07:00:00,2019-01-01 04:00:00-03:00,0.0,0.0,0.0,13.973
2019-01-01 08:00:00,2019-01-01 05:00:00-03:00,0.0,0.0,0.0,13.836
2019-01-01 09:00:00,2019-01-01 06:00:00-03:00,0.0,0.0,0.005,13.815
2019-01-01 10:00:00,2019-01-01 07:00:00-03:00,0.02,0.0,0.035,16.661
2019-01-01 11:00:00,2019-01-01 08:00:00-03:00,0.17500000000000002,0.166,0.048,22.651
2019-01-01 12:00:00,2019-01-01 09:00:00-03:00,0.396,0.425,0.059000000000000004,26.042
2019-01-01 13:00:00,2019-01-01 10:00:00-03:00,0.5730000000000001,0.664,0.069,28.442
2019-01-01 14:00:00,2019-01-01 11:00:00-03:00,0.6980000000000001,0.857,0.078,30.306
2019-01-01 15:00:00,2019-01-01 12:00:00-03:00,0.772,0.981,0.085,31.194
2019-01-01 16:00:00,2019-01-01 13:00:00-03:00,0.8,1.027,0.09,31.56
2019-01-01 17:00:00,2019-01-01 14:00:00-03:00,0.754,0.932,0.106,31.785
2019-01-01 18:00:00,2019-01-01 15:00:00-03:00,0.658,0.744,0.134,31.713
2019-01-01 19:00:00,2019-01-01 16:00:00-03:00,0.47700000000000004,0.41000000000000003,0.196,30.768
2019-01-01 20:00:00,2019-01-01 17:00:00-03:00,0.373,0.299,0.165,29.742
2019-01-01 21:00:00,2019-01-01 18:00:00-03:00,0.231,0.157,0.13,28.66
2019-01-01 22:00:00,2019-01-01 19:00:00-03:00,0.082,0.012,0.099,26.874
2019-01-01 23:00:00,2019-01-01 20:00:00-03:00,0.006,0.0,0.017,23.85
2019-01-02 00:00:00,2019-01-01 21:00:00-03:00,0.0,0.0,0.0,21.316
2019-01-02 01:00:00,2019-01-01 22:00:00-03:00,0.0,0.0,0.0,20.411
2019-01-02 02:00:00,2019-01-01 23:00:00-03:00,0.0,0.0,0.0,19.873
2019-01-02 03:00:00,2019-01-02 00:00:00-03:00,0.0,0.0,0.0,18.973
2019-01-02 04:00:00,2019-01-02 01:00:00-03:00,0.0,0.0,0.0,18.045
2019-01-02 05:00:00,2019-01-02 02:00:00-03:00,0.0,0.0,0.0,17.375
2019-01-02 06:00:00,2019-01-02 03:00:00-03:00,0.0,0.0,0.0,15.902
2019-01-02 07:00:00,2019-01-02 04:00:00-03:00,0.0,0.0,0.0,15.134
2019-01-02 08:00:00,2019-01-02 05:00:00-03:00,0.0,0.0,0.0,15.243
2019-01-02 09:00:00,2019-01-02 06:00:00-03:00,0.0,0.0,0.005,15.11
2019-01-02 10:00:00,2019-01-02 07:00:00-03:00,0.029,0.0,0.047,17.836
2019-01-02 11:00:00,2019-01-02 08:00:00-03:00,0.167,0.125,0.081,22.791
2019-01-02 12:00:00,2019-01-02 09:00:00-03:00,0.361,0.34,0.099,25.955
2019-01-02 13:00:00,2019-01-02 10:00:00-03:00,0.522,0.543,0.116,28.19
2019-01-02 14:00:00,2019-01-02 11:00:00-03:00,0.627,0.682,0.138,29.892
2019-01-02 15:00:00,2019-01-02 12:00:00-03:00,0.676,0.733,0.17,30.997
2019-01-02 16:00:00,2019-01-02 13:00:00-03:00,0.649,0.63,0.231,31.294
2019-01-02 17:00:00,2019-01-02 14:00:00-03:00,0.592,0.495,0.279,31.309
2019-01-02 18:00:00,2019-01-02 15:00:00-03:00,0.533,0.405,0.281,31.239
2019-01-02 19:00:00,2019-01-02 16:00:00-03:00,0.452,0.313,0.259,31.034
2019-01-02 20:00:00,2019-01-02 17:00:00-03:00,0.329,0.18,0.23,30.346
2019-01-02 21:00:00,2019-01-02 18:00:00-03:00,0.20700000000000002,0.082,0.177,29.379
2019-01-02 22:00:00,2019-01-02 19:00:00-03:00,0.078,0.006,0.101,27.81
2019-01-02 23:00:00,2019-01-02 20:00:00-03:00,0.008,0.0,0.02,24.611
2019-01-03 00:00:00,2019-01-02 21:00:00-03:00,0.0,0.0,0.0,22.363
2019-01-03 01:00:00,2019-01-02 22:00:00-03:00,0.0,0.0,0.0,20.876
2019-01-03 02:00:00,2019-01-02 23:00:00-03:00,0.0,0.0,0.0,19.741
2019-01-03 03:00:00,2019-01-03 00:00:00-03:00,0.0,0.0,0.0,18.762
2019-01-03 04:00:00,2019-01-03 01:00:00-03:00,0.0,0.0,0.0,18.029
2019-01-03 05:00:00,2019-01-03 02:00:00-03:00,0.0,0.0,0.0,17.69
2019-01-03 06:00:00,2019-01-03 03:00:00-03:00,0.0,0.0,0.0,17.287
2019-01-03 07:00:00,2019-01-03 04:00:00-03:00,0.0,0.0,0.0,16.483
2019-01-03 08:00:00,2019-01-03 05:00:00-03:00,0.0,0.0,0.0,15.841
2019-01-03 09:00:00,2019-01-03 06:00:00-03:00,0.0,0.0,0.004,15.372
2019-01-03 10:00:00,2019-01-03 07:00:00-03:00,0.015,0.0,0.029,18.814
2019-01-03 11:00:00,2019-01-03 08:00:00-03:00,0.171,0.171,0.041,25.504
2019-01-03 12:00:00,2019-01-03 09:00:00-03:00,0.394,0.438,0.051000000000000004,28.588
2019-01-03 13:00:00,2019-01-03 10:00:00-03:00,0.5740000000000001,0.682,0.06,30.364
2019-01-03 14:00:00,2019-01-03 11:00:00-03:00,0.7000000000000001,0.879,0.068,31.72
2019-01-03 15:00:00,2019-01-03 12:00:00-03:00,0.775,1.009,0.074,32.906
2019-01-03 16:00:00,2019-01-03 13:00:00-03:00,0.803,1.064,0.077,33.845
2019-01-03 17:00:00,2019-01-03 14:00:00-03:00,0.786,1.037,0.077,34.378
2019-01-03 18:00:00,2019-01-03 15:00:00-03:00,0.725,0.931,0.075,34.428
2019-01-03 19:00:00,2019-01-03 16:00:00-03:00,0.618,0.755,0.07,33.867
2019-01-03 20:00:00,2019-01-03 17:00:00-03:00,0.462,0.527,0.064,32.785
2019-01-03 21:00:00,2019-01-03 18:00:00-03:00,0.264,0.273,0.058,31.235
2019-01-03 22:00:00,2019-01-03 19:00:00-03:00,0.065,0.042,0.051000000000000004,29.079
2019-01-03 23:00:00,2019-01-03 20:00:00-03:00,0.008,0.0,0.019,24.55
2019-01-04 00:00:00,2019-01-03 21:00:00-03:00,0.0,0.0,0.0,21.609
2019-01-04 01:00:00,2019-01-03 22:00:00-03:00,0.0,0.0,0.0,19.22
2019-01-04 02:00:00,2019-01-03 23:00:00-03:00,0.0,0.0,0.0,18.13
2019-01-04 03:00:00,2019-01-04 00:00:00-03:00,0.0,0.0,0.0,17.502
2019-01-04 04:00:00,2019-01-04 01:00:00-03:00,0.0,0.0,0.0,17.016
2019-01-04 05:00:00,2019-01-04 02:00:00-03:00,0.0,0.0,0.0,16.766000000000002
2019-01-04 06:00:00,2019-01-04 03:00:00-03:00,0.0,0.0,0.0,16.847
2019-01-04 07:00:00,2019-01-04 04:00:00-03:00,0.0,0.0,0.0,16.452
2019-01-04 08:00:00,2019-01-04 05:00:00-03:00,0.0,0.0,0.0,15.85
2019-01-04 09:00:00,2019-01-04 06:00:00-03:00,0.0,0.0,0.004,15.141
2019-01-04 10:00:00,2019-01-04 07:00:00-03:00,0.018000000000000002,0.0,0.033,17.497
2019-01-04 11:00:00,2019-01-04 08:00:00-03:00,0.17,0.166,0.044,24.131
2019-01-04 12:00:00,2019-01-04 09:00:00-03:00,0.389,0.423,0.057,27.786
2019-01-04 13:00:00,2019-01-04 10:00:00-03:00,0.544,0.621,0.077,29.876
2019-01-04 14:00:00,2019-01-04 11:00:00-03:00,0.656,0.781,0.092,31.339
2019-01-04 15:00:00,2019-01-04 12:00:00-03:00,0.72,0.88,0.10300000000000001,32.268
2019-01-04 16:00:00,2019-01-04 13:00:00-03:00,0.762,0.96,0.1,32.878
2019-01-04 17:00:00,2019-01-04 14:00:00-03:00,0.762,0.968,0.093,33.158
2019-01-04 18:00:00,2019-01-04 15:00:00-03:00,0.711,0.885,0.08600000000000001,32.887
2019-01-04 19:00:00,2019-01-04 16:00:00-03:00,0.613,0.731,0.078,32.105
2019-01-04 20:00:00,2019-01-04 17:00:00-03:00,0.459,0.509,0.07100000000000001,30.868
2019-01-04 21:00:00,2019-01-04 18:00:00-03:00,0.265,0.265,0.063,29.268
2019-01-04 22:00:00,2019-01-04 19:00:00-03:00,0.068,0.042,0.052000000000000005,27.094
2019-01-04 23:00:00,2019-01-04 20:00:00-03:00,0.007,0.0,0.019,23.525
2019-01-05 00:00:00,2019-01-04 21:00:00-03:00,0.0,0.0,0.0,20.312
2019-01-05 01:00:00,2019-01-04 22:00:00-03:00,0.0,0.0,0.0,18.844
2019-01-05 02:00:00,2019-01-04 23:00:00-03:00,0.0,0.0,0.0,18.138
2019-01-05 03:00:00,2019-01-05 00:00:00-03:00,0.0,0.0,0.0,17.676
2019-01-05 04:00:00,2019-01-05 01:00:00-03:00,0.0,0.0,0.0,17.709
2019-01-05 05:00:00,2019-01-05 02:00:00-03:00,0.0,0.0,0.0,17.613
2019-01-05 06:00:00,2019-01-05 03:00:00-03:00,0.0,0.0,0.0,17.203
2019-01-05 07:00:00,2019-01-05 04:00:00-03:00,0.0,0.0,0.0,16.852
2019-01-05 08:00:00,2019-01-05 05:00:00-03:00,0.0,0.0,0.0,16.573
2019-01-05 09:00:00,2019-01-05 06:00:00-03:00,0.0,0.0,0.004,16.279
2019-01-05 10:00:00,2019-01-05 07:00:00-03:00,0.031,0.0,0.049,18.042
2019-01-05 11:00:00,2019-01-05 08:00:00-03:00,0.161,0.123,0.075,22.42
2019-01-05 12:00:00,2019-01-05 09:00:00-03:00,0.365,0.361,0.082,25.193
2019-01-05 13:00:00,2019-01-05 10:00:00-03:00,0.548,0.607,0.085,27.025
2019-01-05 14:00:00,2019-01-05 11:00:00-03:00,0.68,0.805,0.09,28.546
2019-01-05 15:00:00,2019-01-05 12:00:00-03:00,0.757,0.934,0.095,29.576
2019-01-05 16:00:00,2019-01-05 13:00:00-03:00,0.786,0.985,0.099,30.298
2019-01-05 17:00:00,2019-01-05 14:00:00-03:00,0.769,0.9570000000000001,0.099,30.663
2019-01-05 18:00:00,2019-01-05 15:00:00-03:00,0.712,0.864,0.096,30.696
2019-01-05 19:00:00,2019-01-05 16:00:00-03:00,0.604,0.6960000000000001,0.092,30.26
2019-01-05 20:00:00,2019-01-05 17:00:00-03:00,0.444,0.465,0.091,29.269
2019-01-05 21:00:00,2019-01-05 18:00:00-03:00,0.247,0.20400000000000001,0.1,27.814
2019-01-05 22:00:00,2019-01-05 19:00:00-03:00,0.081,0.019,0.091,25.859
2019-01-05 23:00:00,2019-01-05 20:00:00-03:00,0.009000000000000001,0.0,0.021,23.21
2019-01-06 00:00:00,2019-01-05 21:00:00-03:00,0.0,0.0,0.0,20.437
2019-01-06 01:00:00,2019-01-05 22:00:00-03:00,0.0,0.0,0.0,18.924
2019-01-06 02:00:00,2019-01-05 23:00:00-03:00,0.0,0.0,0.0,17.823
2019-01-06 03:00:00,2019-01-06 00:00:00-03:00,0.0,0.0,0.0,17.01
2019-01-06 04:00:00,2019-01-06 01:00:00-03:00,0.0,0.0,0.0,16.277
2019-01-06 05:00:00,2019-01-06 02:00:00-03:00,0.0,0.0,0.0,15.687
2019-01-06 06:00:00,2019-01-06 03:00:00-03:00,0.0,0.0,0.0,15.192
2019-01-06 07:00:00,2019-01-06 04:00:00-03:00,0.0,0.0,0.0,14.831
2019-01-06 08:00:00,2019-01-06 05:00:00-03:00,0.0,0.0,0.0,14.581
2019-01-06 09:00:00,2019-01-06 06:00:00-03:00,0.0,0.0,0.004,14.16
2019-01-06 10:00:00,2019-01-06 07:00:00-03:00,0.035,0.0,0.053,15.548
2019-01-06 11:00:00,2019-01-06 08:00:00-03:00,0.167,0.128,0.073,18.384
2019-01-06 12:00:00,2019-01-06 09:00:00-03:00,0.375,0.363,0.084,21.032
2019-01-06 13:00:00,2019-01-06 10:00:00-03:00,0.552,0.587,0.094,23.015
2019-01-06 14:00:00,2019-01-06 11:00:00-03:00,0.68,0.772,0.10200000000000001,24.587
2019-01-06 15:00:00,2019-01-06 12:00:00-03:00,0.758,0.895,0.108,25.624
2019-01-06 16:00:00,2019-01-06 13:00:00-03:00,0.788,0.9490000000000001,0.111,26.439
2019-01-06 17:00:00,2019-01-06 14:00:00-03:00,0.77,0.919,0.114,26.934
2019-01-06 18:00:00,2019-01-06 15:00:00-03:00,0.7000000000000001,0.803,0.116,26.993
2019-01-06 19:00:00,2019-01-06 16:00:00-03:00,0.591,0.638,0.114,26.63
2019-01-06 20:00:00,2019-01-06 17:00:00-03:00,0.428,0.402,0.122,25.777
2019-01-06 21:00:00,2019-01-06 18:00:00-03:00,0.226,0.125,0.149,24.276
2019-01-06 22:00:00,2019-01-06 19:00:00-03:00,0.076,0.007,0.096,22.254
2019-01-06 23:00:00,2019-01-06 20:00:00-03:00,0.006,0.0,0.017,20.022
2019-01-07 00:00:00,2019-01-06 21:00:00-03:00,0.0,0.0,0.0,17.87
2019-01-07 01:00:00,2019-01-06 22:00:00-03:00,0.0,0.0,0.0,16.411
2019-01-07 02:00:00,2019-01-06 23:00:00-03:00,0.0,0.0,0.0,15.715
2019-01-07 03:00:00,2019-01-07 00:00:00-03:00,0.0,0.0,0.0,14.989
2019-01-07 04:00:00,2019-01-07 01:00:00-03:00,0.0,0.0,0.0,13.999
2019-01-07 05:00:00,2019-01-07 02:00:00-03:00,0.0,0.0,0.0,13.399
2019-01-07 06:00:00,2019-01-07 03:00:00-03:00,0.0,0.0,0.0,13.034
2019-01-07 07:00:00,2019-01-07 04:00:00-03:00,0.0,0.0,0.0,12.704
2019-01-07 08:00:00,2019-01-07 05:00:00-03:00,0.0,0.0,0.0,12.538
2019-01-07 09:00:00,2019-01-07 06:00:00-03:00,0.0,0.0,0.004,12.62
2019-01-07 10:00:00,2019-01-07 07:00:00-03:00,0.035,0.0,0.053,14.825
2019-01-07 11:00:00,2019-01-07 08:00:00-03:00,0.161,0.107,0.08700000000000001,17.756
2019-01-07 12:00:00,2019-01-07 09:00:00-03:00,0.357,0.323,0.1,20.479
2019-01-07 13:00:00,2019-01-07 10:00:00-03:00,0.529,0.535,0.113,22.499
2019-01-07 14:00:00,2019-01-07 11:00:00-03:00,0.603,0.597,0.159,23.591
2019-01-07 15:00:00,2019-01-07 12:00:00-03:00,0.67,0.685,0.17300000000000001,24.413
2019-01-07 16:00:00,2019-01-07 13:00:00-03:00,0.761,0.877,0.131,25.342
2019-01-07 17:00:00,2019-01-07 14:00:00-03:00,0.789,0.9530000000000001,0.105,25.878
2019-01-07 18:00:00,2019-01-07 15:00:00-03:00,0.714,0.8260000000000001,0.106,25.708
2019-01-07 19:00:00,2019-01-07 16:00:00-03:00,0.622,0.6960000000000001,0.094,24.973
