,,,capex,capex,capex,capex
year,,,2021,2030,2040,2050
region,scenario,group,,,,
MYS,high,0,12220.193299702258,5992.611778601948,5618.07354243929,5243.535306276696
MYS,high,1,17623.103398202813,8642.123279847292,8101.990574856783,7561.857869866365
MYS,high,2,19335.282765625125,9481.752080526236,8889.142575493404,8296.533070460431
MYS,high,3,17746.977436400284,8702.869374623366,8158.940038709399,7615.010702795424
MYS,high,4,17206.485379738537,8437.819633955987,7910.455906833693,7383.0921797115525
MYS,high,5,17348.927075156724,8507.671047987807,7975.941607488549,7444.212166989326
MYS,high,6,18965.010349714288,9300.175669543298,8718.914690196845,8137.65371085032
MYS,high,7,19277.490186016897,9453.411408265007,8862.573195248537,8271.734982231892
MYS,high,8,19714.7963702395,9667.860241123713,9063.618976053413,8459.377710983237
MYS,high,9,21195.849335376246,10394.147888621688,9744.513645582856,9094.879402543922
MYS,low,0,3284.276325595804,3196.834692689289,2915.1340671016524,2633.4262581533553
MYS,low,1,4736.352351779541,4610.250178088272,4204.00134631322,3797.7421552005885
MYS,low,2,5196.514480453539,5058.16080172918,4612.442708945601,4166.713250358978
MYS,low,3,4769.644506905905,4642.65595213137,4233.5515686315875,3824.436752977609
MYS,low,4,4624.382871321966,4501.261809217034,4104.616880879071,3707.9618381028076
MYS,low,5,4662.665235321164,4538.524931201307,4138.596428395638,3738.6577274206147
MYS,low,6,5097.000757571048,4961.296564323179,4524.114013379401,4086.920314288721
MYS,low,7,5180.982254706562,5043.042110973642,4598.656256185876,4154.2590695670615
MYS,low,8,5298.511847950753,5157.442558394114,4702.975895336953,4248.497643388357
MYS,low,9,5696.556876458625,5544.889907592316,5056.281923152161,4567.661479217555
MYS,medium,0,5080.9998453004755,4607.202939775697,4279.55165431212,3950.1393872300364
MYS,medium,1,7327.460658266713,6644.184080635656,6171.66843864329,5696.613232800853
MYS,medium,2,8039.362907899027,7289.702332397137,6771.279252042639,6250.069875538447
MYS,medium,3,7378.96589664411,6690.886519700935,6215.04953189554,5736.6551294664005
MYS,medium,4,7154.2362226584255,6487.1126078400475,6025.767446211578,5561.942757154257
MYS,medium,5,7213.461655074557,6540.815342468053,6075.650993739738,5607.986591130894
MYS,medium,6,7885.408380190572,7150.103872596744,6641.608641177922,6130.3804714330645
MYS,medium,7,8015.333493564305,7267.913631012664,6751.040101678649,6231.388604350616
MYS,medium,8,8197.159803499879,7432.784864070943,6904.186157410612,6372.746465082582
MYS,medium,9,8812.96265556489,7991.164867364952,7422.855748932431,6851.49221882629
