,,,lcoe,lcoe,lcoe,lcoe
year,,,2021,2030,2040,2050
region,scenario,group,,,,
MYS,high,0,0.4000213008716296,0.19616484784683638,0.18390454485640925,0.17164424186598187
MYS,high,1,0.569704073554408,0.2793749049438415,0.26191397338485156,0.24445304182586142
MYS,high,2,0.6613105739588483,0.324297450754433,0.30402886008228086,0.28376026941012883
MYS,high,3,0.7362699367528187,0.36105647324932216,0.33849044367123937,0.31592441409315697
MYS,high,4,0.8149355989539074,0.39963301310563154,0.37465594978652983,0.3496788864674277
MYS,high,5,0.9405891463666635,0.4612517542974878,0.43242351965389475,0.4035952850103019
MYS,high,6,1.0777718854646674,0.5285242497464439,0.4954914841372914,0.46245871852813836
MYS,high,7,1.191321053167025,0.5842071725231384,0.5476942242404423,0.5111812759577461
MYS,high,8,1.402843077416557,0.6879346130688103,0.6449386997520097,0.6019427864352092
MYS,high,9,2.8866242796220236,1.4155601498450054,1.3270876404796943,1.2386151311143807
MYS,low,0,0.10750897763775619,0.10464662391815784,0.09542530900600685,0.08620375895049755
MYS,low,1,0.15311260268001228,0.14903608332852877,0.13590323100908114,0.12277004380214432
MYS,low,2,0.17773259462042776,0.1730005846573177,0.1577560138209091,0.14251105424822844
MYS,low,3,0.19787853295120578,0.19261015102379134,0.17563761248058515,0.15866464113796255
MYS,low,4,0.2190205693877857,0.21318929505860354,0.1944033509733711,0.17561692784691477
MYS,low,5,0.25279098208697814,0.24606059339055114,0.22437807622784206,0.20269500616134983
MYS,low,6,0.28965995880856105,0.28194795857628263,0.25710309672098414,0.23225760132217182
MYS,low,7,0.320177221026095,0.31165271935496336,0.2841903153060002,0.25672721096624623
MYS,low,8,0.37702548516949247,0.36698743696579267,0.33464901458427965,0.30230976757359895
MYS,low,9,0.7758037495760224,0.7551485001534154,0.6886058649051042,0.6220615328208356
MYS,medium,0,0.16632373302107945,0.1508142521275507,0.14008876765860945,0.12930563842574627
MYS,medium,1,0.23687565643233738,0.2147872965762378,0.199512229524843,0.18415506570321644
MYS,medium,2,0.27496446591089313,0.249324372023006,0.23159312552516417,0.21376658137234267
MYS,medium,3,0.30613160880455487,0.2775852176707188,0.25784413949717216,0.23799696170694384
MYS,medium,4,0.33883978351762867,0.30724339584054317,0.28539311164137166,0.2634253917703722
MYS,medium,5,0.39108491903289355,0.35461673755743817,0.32939739483986685,0.30404250924202475
MYS,medium,6,0.44812374477322314,0.40633676385802175,0.37743923866767615,0.34838640198325765
MYS,medium,7,0.49533603425016076,0.44914656615960563,0.4172045285095505,0.3850908164493693
MYS,medium,8,0.5832841825430126,0.5288936591923736,0.491280233091294,0.4534646513603983
MYS,medium,9,1.2002214006350937,1.088302250294744,1.0109052621561296,0.9330922992312538
