,,,lcoe,lcoe,lcoe,lcoe
year,,,2021,2030,2040,2050
region,scenario,group,,,,
PHL,high,0,0.17377730599996016,0.08521795893477876,0.07989183650135509,0.07456571406793143
PHL,high,1,0.2202892525930219,0.10802676663228719,0.10127509371776924,0.09452342080325128
PHL,high,2,0.24599576719778316,0.12063288164448181,0.11309332654170166,0.10555377143892156
PHL,high,3,0.27124294742526595,0.13301374550621686,0.12470038641207833,0.11638702731793978
PHL,high,4,0.30966218425223874,0.15185400158791298,0.1423631264886684,0.1328722513894238
PHL,high,5,0.37085119029686436,0.1818602338422674,0.17049396922712567,0.15912770461198394
PHL,high,6,0.4348645188291144,0.21325147431955424,0.1999232571745821,0.18659504002960994
PHL,high,7,0.549567699852674,0.2695003090791196,0.25265653976167457,0.23581277044422963
PHL,high,8,0.8396424477365506,0.411748905988489,0.3860145993642084,0.360280292739928
PHL,high,9,155.66510381413923,76.33598845417961,71.56498917579337,66.79398989740717
PHL,low,0,0.04670406416855946,0.045460600090204334,0.0414546752564038,0.037448648271594685
PHL,low,1,0.05920452805702294,0.057628247593524515,0.052550126589727006,0.04747187609393858
PHL,low,2,0.06611336290598221,0.06435313939360983,0.05868243028025966,0.05301157656393284
PHL,low,3,0.07289874790567724,0.0709578681130617,0.0647051594936498,0.058452291430284735
PHL,low,4,0.08322423023346998,0.0810084414667668,0.07387009030608505,0.06673155711758183
PHL,low,5,0.09966927320541716,0.09701564630692269,0.0884667625254292,0.07991766074755866
PHL,low,6,0.11687337581369434,0.11376170133466129,0.1037371784817367,0.0937124000036663
PHL,low,7,0.14770078849589718,0.14376835503193716,0.13109968760136387,0.11843069712000734
PHL,low,8,0.22566073591763014,0.2196526716516159,0.2002971838130503,0.18094120240990572
PHL,low,9,41.83626254018865,40.72240038349051,37.13399911592027,33.5455063441846
PHL,medium,0,0.07225437791757776,0.06551674719325738,0.060857380823277185,0.056172972407392045
PHL,medium,1,0.09159344953846048,0.08305247447864078,0.07714601661698975,0.07120781414090786
PHL,medium,2,0.10228188903582831,0.09274423030883136,0.08614852209340361,0.07951736484589926
PHL,medium,3,0.11277934318274759,0.10226280993456785,0.09499016716884395,0.08767843714542711
PHL,medium,4,0.1287535697425818,0.11674745976882892,0.10844470953883152,0.10009733567637279
PHL,medium,5,0.15419517468465835,0.13981666674590879,0.129873299547336,0.11987649112133796
PHL,medium,6,0.1808110967402824,0.16395068722869463,0.15229097652670875,0.14056860000549942
PHL,medium,7,0.228503210174395,0.20719557050122447,0.19246040560736008,0.17764604568001102
PHL,medium,8,0.3491125747709007,0.3165582621075736,0.29404553087791324,0.2714118036148586
PHL,medium,9,64.72355624829616,58.68816526253127,54.51442838982797,50.31825951627693
