country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_capacity,technology_name
BR,,,,39.9,5.3,181.4,RE_PV_Openfield_Lim_[BR]
BR,,,,39.9,0.0,0.0,RE_PV_Rooftop_Lim_[BR]
BR,,,,39.9,23.6,671.8,RE_WIND_Onshore_Lim_[BR]
BR,,,,39.9,0.0,0.0,RE_WIND_Offshore_Lim_[BR]
BR,,,,39.9,3.3,65.4,PP_CO2_[BR]
BR,,,,39.9,1.1,59.1,BESS_[BR]
BR,,,,39.9,1.5,133.1,EL_to_HTH_[BR]
BR,,,,39.9,0.0,0.7,EL_to_NH3_[BR]
BR,,,,39.9,0.1,4.1,NH3_Storage_[BR]
BR,,,,39.9,0.1,0.8,NH3_to_EL_[BR]
BR,,,,39.9,0.0,0.5,NH3_to_HTH_[BR]
BR,,,,39.9,5.0,130.3,FF_to_HTH_[BR]
BR,,,,39.9,0.0,206.6,EL_Demand_[BR]
BR,,,,39.9,0.0,137.1,HTH_Demand_[BR]
BR,,,,10.0,7.5,259.1,RE_PV_Openfield_Lim_[BR]
BR,,,,10.0,0.0,0.0,RE_PV_Rooftop_Lim_[BR]
BR,,,,10.0,26.8,763.1,RE_WIND_Onshore_Lim_[BR]
BR,,,,10.0,0.0,0.0,RE_WIND_Offshore_Lim_[BR]
BR,,,,10.0,5.2,59.3,PP_CO2_[BR]
BR,,,,10.0,0.6,34.2,BESS_[BR]
BR,,,,10.0,1.5,133.0,EL_to_HTH_[BR]
BR,,,,10.0,0.6,9.8,EL_to_NH3_[BR]
BR,,,,10.0,0.8,46.7,NH3_Storage_[BR]
BR,,,,10.0,0.0,0.0,NH3_to_EL_[BR]
BR,,,,10.0,0.1,9.4,NH3_to_HTH_[BR]
BR,,,,10.0,1.1,83.9,FF_to_HTH_[BR]
BR,,,,10.0,0.0,206.6,EL_Demand_[BR]
BR,,,,10.0,0.0,137.1,HTH_Demand_[BR]
BR,,,,54.9,5.1,175.7,RE_PV_Openfield_Lim_[BR]
BR,,,,54.9,0.0,0.0,RE_PV_Rooftop_Lim_[BR]
BR,,,,54.9,21.1,600.0,RE_WIND_Onshore_Lim_[BR]
BR,,,,54.9,0.0,0.0,RE_WIND_Offshore_Lim_[BR]
BR,,,,54.9,4.0,74.0,PP_CO2_[BR]
BR,,,,54.9,1.1,59.2,BESS_[BR]
BR,,,,54.9,1.5,132.6,EL_to_HTH_[BR]
BR,,,,54.9,0.0,0.0,EL_to_NH3_[BR]
BR,,,,54.9,0.0,0.2,NH3_Storage_[BR]
BR,,,,54.9,0.0,0.0,NH3_to_EL_[BR]
BR,,,,54.9,0.0,0.2,NH3_to_HTH_[BR]
BR,,,,54.9,6.4,131.4,FF_to_HTH_[BR]
BR,,,,54.9,0.0,206.6,EL_Demand_[BR]
BR,,,,54.9,0.0,137.1,HTH_Demand_[BR]
BR,,,,27.4,6.2,213.6,RE_PV_Openfield_Lim_[BR]
BR,,,,27.4,0.0,0.0,RE_PV_Rooftop_Lim_[BR]
BR,,,,27.4,23.9,680.6,RE_WIND_Onshore_Lim_[BR]
BR,,,,27.4,0.0,0.0,RE_WIND_Offshore_Lim_[BR]
BR,,,,27.4,4.6,53.0,PP_CO2_[BR]
BR,,,,27.4,1.1,59.6,BESS_[BR]
BR,,,,27.4,1.5,132.3,EL_to_HTH_[BR]
BR,,,,27.4,0.1,2.3,EL_to_NH3_[BR]
BR,,,,27.4,0.2,13.2,NH3_Storage_[BR]
BR,,,,27.4,0.2,2.9,NH3_to_EL_[BR]
BR,,,,27.4,0.0,1.2,NH3_to_HTH_[BR]
BR,,,,27.4,3.3,129.8,FF_to_HTH_[BR]
BR,,,,27.4,0.0,206.6,EL_Demand_[BR]
BR,,,,27.4,0.0,137.1,HTH_Demand_[BR]
BR,,,,49.9,4.9,167.7,RE_PV_Openfield_Lim_[BR]
BR,,,,49.9,0.0,0.0,RE_PV_Rooftop_Lim_[BR]
BR,,,,49.9,22.1,628.8,RE_WIND_Onshore_Lim_[BR]
BR,,,,49.9,0.0,0.0,RE_WIND_Offshore_Lim_[BR]
BR,,,,49.9,4.0,76.1,PP_CO2_[BR]
BR,,,,49.9,0.9,50.2,BESS_[BR]
BR,,,,49.9,1.5,132.9,EL_to_HTH_[BR]
BR,,,,49.9,0.0,0.2,EL_to_NH3_[BR]
BR,,,,49.9,0.0,0.4,NH3_Storage_[BR]
BR,,,,49.9,0.0,0.0,NH3_to_EL_[BR]
BR,,,,49.9,0.0,0.3,NH3_to_HTH_[BR]
BR,,,,49.9,5.9,130.8,FF_to_HTH_[BR]
BR,,,,49.9,0.0,206.6,EL_Demand_[BR]
BR,,,,49.9,0.0,137.1,HTH_Demand_[BR]
BR,,,,69.4,4.0,137.8,RE_PV_Openfield_Lim_[BR]
BR,,,,69.4,0.0,0.0,RE_PV_Rooftop_Lim_[BR]
BR,,,,69.4,19.8,562.3,RE_WIND_Onshore_Lim_[BR]
BR,,,,69.4,0.0,0.0,RE_WIND_Offshore_Lim_[BR]
BR,,,,69.4,5.6,92.8,PP_CO2_[BR]
BR,,,,69.4,0.5,28.1,BESS_[BR]
BR,,,,69.4,1.5,131.4,EL_to_HTH_[BR]
BR,,,,69.4,0.0,0.0,EL_to_NH3_[BR]
BR,,,,69.4,0.0,0.2,NH3_Storage_[BR]
BR,,,,69.4,0.0,0.0,NH3_to_EL_[BR]
BR,,,,69.4,0.0,0.2,NH3_to_HTH_[BR]
BR,,,,69.4,7.7,131.4,FF_to_HTH_[BR]
BR,,,,69.4,0.0,206.6,EL_Demand_[BR]
BR,,,,69.4,0.0,137.1,HTH_Demand_[BR]
BR,,,,0.0,9.2,317.0,RE_PV_Openfield_Lim_[BR]
BR,,,,0.0,0.0,0.0,RE_PV_Rooftop_Lim_[BR]
BR,,,,0.0,30.5,867.3,RE_WIND_Onshore_Lim_[BR]
BR,,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_[BR]
BR,,,,0.0,0.0,0.0,PP_CO2_[BR]
BR,,,,0.0,0.8,43.6,BESS_[BR]
