country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_name
BR,,,,34.4,255.7,RE_PV_Openfield_Lim_[BR]
BR,,,,34.4,7.4,RE_PV_Rooftop_Lim_[BR]
BR,,,,34.4,654.4,RE_WIND_Onshore_Lim_[BR]
BR,,,,34.4,107.8,RE_WIND_Offshore_Lim_[BR]
BR,,,,34.4,1.6,PP_CO2_[BR]
BR,,,,34.4,137.6,BESS_[BR]
BR,,,,34.4,30.7,EL_to_HTH_[BR]
BR,,,,34.4,65.9,EL_to_NH3_[BR]
BR,,,,34.4,148.2,NH3_Storage_[BR]
BR,,,,34.4,0.0,NH3_to_EL_[BR]
BR,,,,34.4,3.7,NH3_to_HTH_[BR]
BR,,,,34.4,3.1,FF_to_HTH_[BR]
BR,,,,34.4,0.0,EL_Demand_[BR]
BR,,,,34.4,0.0,HTH_Demand_[BR]
BR,,,,35.5,255.2,RE_PV_Openfield_Lim_[BR]
BR,,,,35.5,7.3,RE_PV_Rooftop_Lim_[BR]
BR,,,,35.5,654.4,RE_WIND_Onshore_Lim_[BR]
BR,,,,35.5,107.9,RE_WIND_Offshore_Lim_[BR]
BR,,,,35.5,1.6,PP_CO2_[BR]
BR,,,,35.5,138.1,BESS_[BR]
BR,,,,35.5,30.7,EL_to_HTH_[BR]
BR,,,,35.5,65.1,EL_to_NH3_[BR]
BR,,,,35.5,147.0,NH3_Storage_[BR]
BR,,,,35.5,0.0,NH3_to_EL_[BR]
BR,,,,35.5,3.7,NH3_to_HTH_[BR]
BR,,,,35.5,3.2,FF_to_HTH_[BR]
BR,,,,35.5,0.0,EL_Demand_[BR]
BR,,,,35.5,0.0,HTH_Demand_[BR]
BR,,,,36.7,255.0,RE_PV_Openfield_Lim_[BR]
BR,,,,36.7,7.3,RE_PV_Rooftop_Lim_[BR]
BR,,,,36.7,654.4,RE_WIND_Onshore_Lim_[BR]
BR,,,,36.7,107.9,RE_WIND_Offshore_Lim_[BR]
BR,,,,36.7,1.7,PP_CO2_[BR]
BR,,,,36.7,138.8,BESS_[BR]
BR,,,,36.7,30.7,EL_to_HTH_[BR]
BR,,,,36.7,64.4,EL_to_NH3_[BR]
BR,,,,36.7,146.7,NH3_Storage_[BR]
BR,,,,36.7,0.0,NH3_to_EL_[BR]
BR,,,,36.7,3.7,NH3_to_HTH_[BR]
BR,,,,36.7,3.4,FF_to_HTH_[BR]
BR,,,,36.7,0.0,EL_Demand_[BR]
BR,,,,36.7,0.0,HTH_Demand_[BR]
BR,,,,36.2,255.0,RE_PV_Openfield_Lim_[BR]
BR,,,,36.2,7.3,RE_PV_Rooftop_Lim_[BR]
BR,,,,36.2,654.4,RE_WIND_Onshore_Lim_[BR]
BR,,,,36.2,107.9,RE_WIND_Offshore_Lim_[BR]
BR,,,,36.2,1.7,PP_CO2_[BR]
BR,,,,36.2,138.5,BESS_[BR]
BR,,,,36.2,30.7,EL_to_HTH_[BR]
BR,,,,36.2,64.6,EL_to_NH3_[BR]
BR,,,,36.2,146.9,NH3_Storage_[BR]
BR,,,,36.2,0.0,NH3_to_EL_[BR]
