country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_capacity,technology_name
CO,,,,7.7,0.5,29.9,RE_PV_Openfield_Lim_[CO]
CO,,,,7.7,0.0,0.0,RE_PV_Rooftop_Lim_[CO]
CO,,,,7.7,3.1,79.8,RE_WIND_Onshore_Lim_[CO]
CO,,,,7.7,0.0,0.0,RE_WIND_Offshore_Lim_[CO]
CO,,,,7.7,0.7,10.6,PP_CO2_[CO]
CO,,,,7.7,0.3,18.7,BESS_[CO]
CO,,,,7.7,0.1,12.7,EL_to_HTH_[CO]
CO,,,,7.7,0.0,0.0,EL_to_NH3_[CO]
CO,,,,7.7,0.0,0.0,NH3_Storage_[CO]
CO,,,,7.7,0.0,0.0,NH3_to_EL_[CO]
CO,,,,7.7,0.0,0.0,NH3_to_HTH_[CO]
CO,,,,7.7,0.7,12.5,FF_to_HTH_[CO]
CO,,,,7.7,0.0,33.0,EL_Demand_[CO]
CO,,,,7.7,0.0,12.9,HTH_Demand_[CO]
CO,,,,1.9,0.8,48.1,RE_PV_Openfield_Lim_[CO]
CO,,,,1.9,0.0,0.0,RE_PV_Rooftop_Lim_[CO]
CO,,,,1.9,4.2,106.8,RE_WIND_Onshore_Lim_[CO]
CO,,,,1.9,0.0,0.0,RE_WIND_Offshore_Lim_[CO]
CO,,,,1.9,0.4,5.8,PP_CO2_[CO]
CO,,,,1.9,0.4,24.9,BESS_[CO]
CO,,,,1.9,0.1,12.7,EL_to_HTH_[CO]
CO,,,,1.9,0.1,1.4,EL_to_NH3_[CO]
CO,,,,1.9,0.3,16.6,NH3_Storage_[CO]
CO,,,,1.9,0.0,0.0,NH3_to_EL_[CO]
CO,,,,1.9,0.0,1.2,NH3_to_HTH_[CO]
CO,,,,1.9,0.2,8.3,FF_to_HTH_[CO]
CO,,,,1.9,0.0,33.0,EL_Demand_[CO]
CO,,,,1.9,0.0,12.9,HTH_Demand_[CO]
CO,,,,10.3,0.4,27.1,RE_PV_Openfield_Lim_[CO]
CO,,,,10.3,0.0,0.0,RE_PV_Rooftop_Lim_[CO]
CO,,,,10.3,2.8,71.1,RE_WIND_Onshore_Lim_[CO]
CO,,,,10.3,0.0,0.0,RE_WIND_Offshore_Lim_[CO]
CO,,,,10.3,0.8,12.0,PP_CO2_[CO]
CO,,,,10.3,0.3,17.4,BESS_[CO]
CO,,,,10.3,0.1,12.7,EL_to_HTH_[CO]
CO,,,,10.3,0.0,0.0,EL_to_NH3_[CO]
CO,,,,10.3,0.0,0.0,NH3_Storage_[CO]
CO,,,,10.3,0.0,0.0,NH3_to_EL_[CO]
CO,,,,10.3,0.0,0.0,NH3_to_HTH_[CO]
CO,,,,10.3,1.0,12.5,FF_to_HTH_[CO]
CO,,,,10.3,0.0,33.0,EL_Demand_[CO]
CO,,,,10.3,0.0,12.9,HTH_Demand_[CO]
CO,,,,5.2,0.5,30.4,RE_PV_Openfield_Lim_[CO]
CO,,,,5.2,0.0,0.0,RE_PV_Rooftop_Lim_[CO]
CO,,,,5.2,3.6,91.6,RE_WIND_Onshore_Lim_[CO]
CO,,,,5.2,0.0,0.0,RE_WIND_Offshore_Lim_[CO]
CO,,,,5.2,0.5,8.3,PP_CO2_[CO]
CO,,,,5.2,0.4,22.0,BESS_[CO]
CO,,,,5.2,0.1,12.7,EL_to_HTH_[CO]
CO,,,,5.2,0.0,0.0,EL_to_NH3_[CO]
CO,,,,5.2,0.0,0.1,NH3_Storage_[CO]
CO,,,,5.2,0.0,0.0,NH3_to_EL_[CO]
CO,,,,5.2,0.0,0.0,NH3_to_HTH_[CO]
CO,,,,5.2,0.5,12.3,FF_to_HTH_[CO]
CO,,,,5.2,0.0,33.0,EL_Demand_[CO]
CO,,,,5.2,0.0,12.9,HTH_Demand_[CO]
CO,,,,9.6,0.4,28.1,RE_PV_Openfield_Lim_[CO]
CO,,,,9.6,0.0,0.0,RE_PV_Rooftop_Lim_[CO]
CO,,,,9.6,2.8,73.0,RE_WIND_Onshore_Lim_[CO]
CO,,,,9.6,0.0,0.0,RE_WIND_Offshore_Lim_[CO]
CO,,,,9.6,0.8,11.7,PP_CO2_[CO]
CO,,,,9.6,0.3,17.7,BESS_[CO]
CO,,,,9.6,0.1,12.7,EL_to_HTH_[CO]
CO,,,,9.6,0.0,0.0,EL_to_NH3_[CO]
CO,,,,9.6,0.0,0.0,NH3_Storage_[CO]
CO,,,,9.6,0.0,0.0,NH3_to_EL_[CO]
CO,,,,9.6,0.0,0.0,NH3_to_HTH_[CO]
CO,,,,9.6,0.9,12.4,FF_to_HTH_[CO]
CO,,,,9.6,0.0,33.0,EL_Demand_[CO]
CO,,,,9.6,0.0,12.9,HTH_Demand_[CO]
CO,,,,10.8,0.4,26.4,RE_PV_Openfield_Lim_[CO]
CO,,,,10.8,0.0,0.0,RE_PV_Rooftop_Lim_[CO]
CO,,,,10.8,2.7,69.6,RE_WIND_Onshore_Lim_[CO]
CO,,,,10.8,0.0,0.0,RE_WIND_Offshore_Lim_[CO]
CO,,,,10.8,0.9,12.3,PP_CO2_[CO]
CO,,,,10.8,0.3,17.1,BESS_[CO]
CO,,,,10.8,0.1,12.6,EL_to_HTH_[CO]
CO,,,,10.8,0.0,0.0,EL_to_NH3_[CO]
CO,,,,10.8,0.0,0.0,NH3_Storage_[CO]
CO,,,,10.8,0.0,0.0,NH3_to_EL_[CO]
CO,,,,10.8,0.0,0.0,NH3_to_HTH_[CO]
CO,,,,10.8,1.0,12.5,FF_to_HTH_[CO]
CO,,,,10.8,0.0,33.0,EL_Demand_[CO]
CO,,,,10.8,0.0,12.9,HTH_Demand_[CO]
CO,,,,0.0,1.2,77.5,RE_PV_Openfield_Lim_[CO]
CO,,,,0.0,0.0,0.0,RE_PV_Rooftop_Lim_[CO]
CO,,,,0.0,4.9,125.0,RE_WIND_Onshore_Lim_[CO]
CO,,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_[CO]
CO,,,,0.0,0.0,0.0,PP_CO2_[CO]
CO,,,,0.0,0.7,36.5,BESS_[CO]
CO,,,,0.0,0.1,12.7,EL_to_HTH_[CO]
CO,,,,0.0,0.4,6.7,EL_to_NH3_[CO]
CO,,,,0.0,1.0,58.0,NH3_Storage_[CO]
CO,,,,0.0,0.1,0.7,NH3_to_EL_[CO]
CO,,,,0.0,0.0,2.4,NH3_to_HTH_[CO]
CO,,,,0.0,0.0,0.0,FF_to_HTH_[CO]
CO,,,,0.0,0.0,33.0,EL_Demand_[CO]
CO,,,,0.0,0.0,12.9,HTH_Demand_[CO]
CO,,,,10.8,0.4,26.4,RE_PV_Openfield_Lim_[CO]
CO,,,,10.8,0.0,0.0,RE_PV_Rooftop_Lim_[CO]
CO,,,,10.8,2.7,69.6,RE_WIND_Onshore_Lim_[CO]
CO,,,,10.8,0.0,0.0,RE_WIND_Offshore_Lim_[CO]
CO,,,,10.8,0.9,12.3,PP_CO2_[CO]
CO,,,,10.8,0.3,17.1,BESS_[CO]
CO,,,,10.8,0.1,12.6,EL_to_HTH_[CO]
CO,,,,10.8,0.0,0.0,EL_to_NH3_[CO]
CO,,,,10.8,0.0,0.0,NH3_Storage_[CO]
CO,,,,10.8,0.0,0.0,NH3_to_EL_[CO]
CO,,,,10.8,0.0,0.0,NH3_to_HTH_[CO]
CO,,,,10.8,1.0,12.5,FF_to_HTH_[CO]
CO,,,,10.8,0.0,33.0,EL_Demand_[CO]
CO,,,,10.8,0.0,12.9,HTH_Demand_[CO]
CO,,,,10.8,0.4,26.4,RE_PV_Openfield_Lim_[CO]
CO,,,,10.8,0.0,0.0,RE_PV_Rooftop_Lim_[CO]
CO,,,,10.8,2.7,69.6,RE_WIND_Onshore_Lim_[CO]
CO,,,,10.8,0.0,0.0,RE_WIND_Offshore_Lim_[CO]
CO,,,,10.8,0.9,12.3,PP_CO2_[CO]
CO,,,,10.8,0.3,17.1,BESS_[CO]
CO,,,,10.8,0.1,12.6,EL_to_HTH_[CO]
CO,,,,10.8,0.0,0.0,EL_to_NH3_[CO]
CO,,,,10.8,0.0,0.0,NH3_Storage_[CO]
CO,,,,10.8,0.0,0.0,NH3_to_EL_[CO]
CO,,,,10.8,0.0,0.0,NH3_to_HTH_[CO]
CO,,,,10.8,1.0,12.5,FF_to_HTH_[CO]
CO,,,,10.8,0.0,33.0,EL_Demand_[CO]
CO,,,,10.8,0.0,12.9,HTH_Demand_[CO]
CO,,,,3.9,0.5,30.1,RE_PV_Openfield_Lim_[CO]
CO,,,,3.9,0.0,0.0,RE_PV_Rooftop_Lim_[CO]
CO,,,,3.9,3.9,100.5,RE_WIND_Onshore_Lim_[CO]
CO,,,,3.9,0.0,0.0,RE_WIND_Offshore_Lim_[CO]
CO,,,,3.9,0.4,6.5,PP_CO2_[CO]
CO,,,,3.9,0.4,25.0,BESS_[CO]
CO,,,,3.9,0.1,12.7,EL_to_HTH_[CO]
CO,,,,3.9,0.0,0.0,EL_to_NH3_[CO]
CO,,,,3.9,0.0,0.2,NH3_Storage_[CO]
CO,,,,3.9,0.0,0.0,NH3_to_EL_[CO]
CO,,,,3.9,0.0,0.0,NH3_to_HTH_[CO]
CO,,,,3.9,0.4,12.3,FF_to_HTH_[CO]
CO,,,,3.9,0.0,33.0,EL_Demand_[CO]
CO,,,,3.9,0.0,12.9,HTH_Demand_[CO]
CO,,,,5.8,0.5,31.0,RE_PV_Openfield_Lim_[CO]
CO,,,,5.8,0.0,0.0,RE_PV_Rooftop_Lim_[CO]
CO,,,,5.8,3.4,88.0,RE_WIND_Onshore_Lim_[CO]
CO,,,,5.8,0.0,0.0,RE_WIND_Offshore_Lim_[CO]
CO,,,,5.8,0.6,9.1,PP_CO2_[CO]
CO,,,,5.8,0.4,20.6,BESS_[CO]
CO,,,,5.8,0.1,12.7,EL_to_HTH_[CO]
CO,,,,5.8,0.0,0.0,EL_to_NH3_[CO]
CO,,,,5.8,0.0,0.1,NH3_Storage_[CO]
CO,,,,5.8,0.0,0.0,NH3_to_EL_[CO]
CO,,,,5.8,0.0,0.0,NH3_to_HTH_[CO]
CO,,,,5.8,0.6,12.4,FF_to_HTH_[CO]
CO,,,,5.8,0.0,33.0,EL_Demand_[CO]
CO,,,,5.8,0.0,12.9,HTH_Demand_[CO]
