country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_name
ID,,,,144.4,0.0,RE_PV_Rooftop_Lim_[ID]
ID,,,,144.4,1.9,RE_PV_Openfield_Lim_[ID]
ID,,,,144.4,20.2,RE_WIND_Offshore_Lim_[ID]
ID,,,,144.4,0.0,RE_WIND_Onshore_Lim_[ID]
ID,,,,144.4,18.9,PP_CO2_[ID]
ID,,,,144.4,0.0,BESS_[ID]
ID,,,,144.4,14.1,EL_to_HTH_[ID]
ID,,,,144.4,0.1,EL_to_NH3_[ID]
ID,,,,144.4,0.8,NH3_Storage_[ID]
ID,,,,144.4,0.0,NH3_to_EL_[ID]
ID,,,,144.4,0.1,NH3_to_HTH_[ID]
ID,,,,144.4,0.0,EL_Demand_[ID]
ID,,,,144.4,0.0,HTH_Demand_[ID]
ID,,,,252.7,0.0,RE_PV_Rooftop_Lim_[ID]
ID,,,,252.7,1.1,RE_PV_Openfield_Lim_[ID]
ID,,,,252.7,9.5,RE_WIND_Offshore_Lim_[ID]
ID,,,,252.7,0.0,RE_WIND_Onshore_Lim_[ID]
ID,,,,252.7,28.1,PP_CO2_[ID]
ID,,,,252.7,0.0,BESS_[ID]
ID,,,,252.7,14.2,EL_to_HTH_[ID]
ID,,,,252.7,0.0,EL_to_NH3_[ID]
ID,,,,252.7,0.3,NH3_Storage_[ID]
ID,,,,252.7,0.0,NH3_to_EL_[ID]
ID,,,,252.7,0.0,NH3_to_HTH_[ID]
ID,,,,252.7,0.0,EL_Demand_[ID]
ID,,,,252.7,0.0,HTH_Demand_[ID]
ID,,,,352.5,0.0,RE_PV_Rooftop_Lim_[ID]
ID,,,,352.5,1.0,RE_PV_Openfield_Lim_[ID]
ID,,,,352.5,0.0,RE_WIND_Offshore_Lim_[ID]
ID,,,,352.5,0.0,RE_WIND_Onshore_Lim_[ID]
ID,,,,352.5,36.4,PP_CO2_[ID]
ID,,,,352.5,0.0,BESS_[ID]
ID,,,,352.5,14.1,EL_to_HTH_[ID]
ID,,,,352.5,0.0,EL_to_NH3_[ID]
ID,,,,352.5,0.0,NH3_Storage_[ID]
ID,,,,352.5,0.0,NH3_to_EL_[ID]
ID,,,,352.5,0.0,NH3_to_HTH_[ID]
ID,,,,352.5,0.0,EL_Demand_[ID]
ID,,,,352.5,0.0,HTH_Demand_[ID]
ID,,,,324.9,0.0,RE_PV_Rooftop_Lim_[ID]
ID,,,,324.9,1.2,RE_PV_Openfield_Lim_[ID]
ID,,,,324.9,2.4,RE_WIND_Offshore_Lim_[ID]
ID,,,,324.9,0.0,RE_WIND_Onshore_Lim_[ID]
ID,,,,324.9,34.1,PP_CO2_[ID]
ID,,,,324.9,0.0,BESS_[ID]
ID,,,,324.9,14.2,EL_to_HTH_[ID]
ID,,,,324.9,0.0,EL_to_NH3_[ID]
ID,,,,324.9,0.1,NH3_Storage_[ID]
ID,,,,324.9,0.0,NH3_to_EL_[ID]
ID,,,,324.9,0.0,NH3_to_HTH_[ID]
ID,,,,324.9,0.0,EL_Demand_[ID]
ID,,,,324.9,0.0,HTH_Demand_[ID]
ID,,,,108.3,0.0,RE_PV_Rooftop_Lim_[ID]
ID,,,,108.3,5.7,RE_PV_Openfield_Lim_[ID]
ID,,,,108.3,21.5,RE_WIND_Offshore_Lim_[ID]
ID,,,,108.3,0.1,RE_WIND_Onshore_Lim_[ID]
ID,,,,108.3,15.6,PP_CO2_[ID]
ID,,,,108.3,0.0,BESS_[ID]
ID,,,,108.3,14.0,EL_to_HTH_[ID]
ID,,,,108.3,0.5,EL_to_NH3_[ID]
ID,,,,108.3,1.1,NH3_Storage_[ID]
ID,,,,108.3,0.0,NH3_to_EL_[ID]
ID,,,,108.3,0.1,NH3_to_HTH_[ID]
ID,,,,108.3,0.0,EL_Demand_[ID]
ID,,,,108.3,0.0,HTH_Demand_[ID]
ID,,,,36.1,0.0,RE_PV_Rooftop_Lim_[ID]
ID,,,,36.1,7.4,RE_PV_Openfield_Lim_[ID]
ID,,,,36.1,9.6,RE_WIND_Offshore_Lim_[ID]
ID,,,,36.1,29.3,RE_WIND_Onshore_Lim_[ID]
ID,,,,36.1,6.8,PP_CO2_[ID]
ID,,,,36.1,0.0,BESS_[ID]
ID,,,,36.1,12.3,EL_to_HTH_[ID]
ID,,,,36.1,2.7,EL_to_NH3_[ID]
ID,,,,36.1,1.9,NH3_Storage_[ID]
ID,,,,36.1,0.0,NH3_to_EL_[ID]
ID,,,,36.1,0.2,NH3_to_HTH_[ID]
ID,,,,36.1,0.0,EL_Demand_[ID]
ID,,,,36.1,0.0,HTH_Demand_[ID]
ID,,,,288.8,0.0,RE_PV_Rooftop_Lim_[ID]
ID,,,,288.8,1.1,RE_PV_Openfield_Lim_[ID]
ID,,,,288.8,6.0,RE_WIND_Offshore_Lim_[ID]
ID,,,,288.8,0.0,RE_WIND_Onshore_Lim_[ID]
ID,,,,288.8,31.1,PP_CO2_[ID]
ID,,,,288.8,0.0,BESS_[ID]
ID,,,,288.8,14.2,EL_to_HTH_[ID]
ID,,,,288.8,0.0,EL_to_NH3_[ID]
ID,,,,288.8,0.2,NH3_Storage_[ID]
ID,,,,288.8,0.0,NH3_to_EL_[ID]
ID,,,,288.8,0.0,NH3_to_HTH_[ID]
ID,,,,288.8,0.0,EL_Demand_[ID]
ID,,,,288.8,0.0,HTH_Demand_[ID]
ID,,,,0.0,0.0,RE_PV_Rooftop_Lim_[ID]
ID,,,,0.0,13.3,RE_PV_Openfield_Lim_[ID]
ID,,,,0.0,8.3,RE_WIND_Offshore_Lim_[ID]
ID,,,,0.0,37.0,RE_WIND_Onshore_Lim_[ID]
ID,,,,0.0,0.0,PP_CO2_[ID]
ID,,,,0.0,2.4,BESS_[ID]
ID,,,,0.0,7.5,EL_to_HTH_[ID]
ID,,,,0.0,7.3,EL_to_NH3_[ID]
ID,,,,0.0,11.8,NH3_Storage_[ID]
ID,,,,0.0,0.1,NH3_to_EL_[ID]
ID,,,,0.0,0.4,NH3_to_HTH_[ID]
ID,,,,0.0,0.0,EL_Demand_[ID]
ID,,,,0.0,0.0,HTH_Demand_[ID]
ID,,,,72.2,0.0,RE_PV_Rooftop_Lim_[ID]
ID,,,,72.2,6.5,RE_PV_Openfield_Lim_[ID]
ID,,,,72.2,12.3,RE_WIND_Offshore_Lim_[ID]
ID,,,,72.2,17.0,RE_WIND_Onshore_Lim_[ID]
ID,,,,72.2,11.1,PP_CO2_[ID]
ID,,,,72.2,0.0,BESS_[ID]
ID,,,,72.2,13.6,EL_to_HTH_[ID]
ID,,,,72.2,1.0,EL_to_NH3_[ID]
ID,,,,72.2,1.3,NH3_Storage_[ID]
ID,,,,72.2,0.0,NH3_to_EL_[ID]
ID,,,,72.2,0.1,NH3_to_HTH_[ID]
ID,,,,72.2,0.0,EL_Demand_[ID]
ID,,,,72.2,0.0,HTH_Demand_[ID]
ID,,,,216.6,0.0,RE_PV_Rooftop_Lim_[ID]
ID,,,,216.6,1.5,RE_PV_Openfield_Lim_[ID]
ID,,,,216.6,12.6,RE_WIND_Offshore_Lim_[ID]
ID,,,,216.6,0.0,RE_WIND_Onshore_Lim_[ID]
ID,,,,216.6,25.1,PP_CO2_[ID]
ID,,,,216.6,0.0,BESS_[ID]
ID,,,,216.6,14.2,EL_to_HTH_[ID]
ID,,,,216.6,0.0,EL_to_NH3_[ID]
ID,,,,216.6,0.4,NH3_Storage_[ID]
ID,,,,216.6,0.0,NH3_to_EL_[ID]
ID,,,,216.6,0.0,NH3_to_HTH_[ID]
ID,,,,216.6,0.0,EL_Demand_[ID]
ID,,,,216.6,0.0,HTH_Demand_[ID]
ID,,,,180.5,0.0,RE_PV_Rooftop_Lim_[ID]
ID,,,,180.5,1.7,RE_PV_Openfield_Lim_[ID]
ID,,,,180.5,16.1,RE_WIND_Offshore_Lim_[ID]
ID,,,,180.5,0.0,RE_WIND_Onshore_Lim_[ID]
ID,,,,180.5,22.0,PP_CO2_[ID]
ID,,,,180.5,0.0,BESS_[ID]
ID,,,,180.5,14.2,EL_to_HTH_[ID]
ID,,,,180.5,0.0,EL_to_NH3_[ID]
ID,,,,180.5,0.6,NH3_Storage_[ID]
ID,,,,180.5,0.0,NH3_to_EL_[ID]
ID,,,,180.5,0.0,NH3_to_HTH_[ID]
ID,,,,180.5,0.0,EL_Demand_[ID]
ID,,,,180.5,0.0,HTH_Demand_[ID]
