country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_capacity,technology_name
KE,,,,1.9,0.3,17.6,RE_PV_Openfield_Lim_[KE]
KE,,,,1.9,0.0,0.0,RE_PV_Rooftop_Lim_[KE]
KE,,,,1.9,1.2,24.2,RE_WIND_Onshore_Lim_[KE]
KE,,,,1.9,0.0,0.0,RE_WIND_Offshore_Lim_[KE]
KE,,,,1.9,0.4,6.4,PP_CO2_[KE]
KE,,,,1.9,0.2,8.4,BESS_[KE]
KE,,,,1.9,0.1,5.7,EL_to_HTH_[KE]
KE,,,,1.9,0.0,0.2,EL_to_NH3_[KE]
KE,,,,1.9,0.0,0.9,NH3_Storage_[KE]
KE,,,,1.9,0.0,0.1,NH3_to_EL_[KE]
KE,,,,1.9,0.0,0.1,NH3_to_HTH_[KE]
KE,,,,1.9,0.2,5.0,FF_to_HTH_[KE]
KE,,,,1.9,0.0,12.2,EL_Demand_[KE]
KE,,,,1.9,0.0,5.8,HTH_Demand_[KE]
KE,,,,0.0,0.6,39.9,RE_PV_Openfield_Lim_[KE]
KE,,,,0.0,0.0,0.0,RE_PV_Rooftop_Lim_[KE]
KE,,,,0.0,1.3,25.0,RE_WIND_Onshore_Lim_[KE]
KE,,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_[KE]
KE,,,,0.0,0.0,0.0,PP_CO2_[KE]
KE,,,,0.0,0.8,46.9,BESS_[KE]
KE,,,,0.0,0.1,5.7,EL_to_HTH_[KE]
KE,,,,0.0,0.1,2.0,EL_to_NH3_[KE]
KE,,,,0.0,0.8,50.6,NH3_Storage_[KE]
KE,,,,0.0,0.0,0.6,NH3_to_EL_[KE]
KE,,,,0.0,0.0,1.1,NH3_to_HTH_[KE]
KE,,,,0.0,0.0,0.0,FF_to_HTH_[KE]
KE,,,,0.0,0.0,12.2,EL_Demand_[KE]
KE,,,,0.0,0.0,5.8,HTH_Demand_[KE]
KE,,,,3.5,0.2,11.3,RE_PV_Openfield_Lim_[KE]
KE,,,,3.5,0.0,0.0,RE_PV_Rooftop_Lim_[KE]
KE,,,,3.5,1.0,19.9,RE_WIND_Onshore_Lim_[KE]
KE,,,,3.5,0.0,0.0,RE_WIND_Offshore_Lim_[KE]
KE,,,,3.5,0.6,7.5,PP_CO2_[KE]
KE,,,,3.5,0.1,5.6,BESS_[KE]
KE,,,,3.5,0.1,5.7,EL_to_HTH_[KE]
KE,,,,3.5,0.0,0.0,EL_to_NH3_[KE]
KE,,,,3.5,0.0,0.0,NH3_Storage_[KE]
KE,,,,3.5,0.0,0.0,NH3_to_EL_[KE]
KE,,,,3.5,0.0,0.0,NH3_to_HTH_[KE]
KE,,,,3.5,0.4,5.6,FF_to_HTH_[KE]
KE,,,,3.5,0.0,12.2,EL_Demand_[KE]
KE,,,,3.5,0.0,5.8,HTH_Demand_[KE]
KE,,,,2.5,0.2,13.8,RE_PV_Openfield_Lim_[KE]
KE,,,,2.5,0.0,0.0,RE_PV_Rooftop_Lim_[KE]
KE,,,,2.5,1.2,23.0,RE_WIND_Onshore_Lim_[KE]
KE,,,,2.5,0.0,0.0,RE_WIND_Offshore_Lim_[KE]
KE,,,,2.5,0.5,6.7,PP_CO2_[KE]
KE,,,,2.5,0.2,8.4,BESS_[KE]
KE,,,,2.5,0.1,5.7,EL_to_HTH_[KE]
KE,,,,2.5,0.0,0.0,EL_to_NH3_[KE]
KE,,,,2.5,0.0,0.1,NH3_Storage_[KE]
KE,,,,2.5,0.0,0.0,NH3_to_EL_[KE]
KE,,,,2.5,0.0,0.0,NH3_to_HTH_[KE]
KE,,,,2.5,0.3,5.6,FF_to_HTH_[KE]
KE,,,,2.5,0.0,12.2,EL_Demand_[KE]
KE,,,,2.5,0.0,5.8,HTH_Demand_[KE]
KE,,,,2.6,0.2,12.9,RE_PV_Openfield_Lim_[KE]
KE,,,,2.6,0.0,0.0,RE_PV_Rooftop_Lim_[KE]
KE,,,,2.6,1.2,22.9,RE_WIND_Onshore_Lim_[KE]
KE,,,,2.6,0.0,0.0,RE_WIND_Offshore_Lim_[KE]
KE,,,,2.6,0.5,6.7,PP_CO2_[KE]
KE,,,,2.6,0.2,8.4,BESS_[KE]
KE,,,,2.6,0.1,5.7,EL_to_HTH_[KE]
KE,,,,2.6,0.0,0.0,EL_to_NH3_[KE]
KE,,,,2.6,0.0,0.0,NH3_Storage_[KE]
KE,,,,2.6,0.0,0.0,NH3_to_EL_[KE]
KE,,,,2.6,0.0,0.0,NH3_to_HTH_[KE]
KE,,,,2.6,0.3,5.6,FF_to_HTH_[KE]
KE,,,,2.6,0.0,12.2,EL_Demand_[KE]
KE,,,,2.6,0.0,5.8,HTH_Demand_[KE]
KE,,,,3.5,0.2,11.3,RE_PV_Openfield_Lim_[KE]
KE,,,,3.5,0.0,0.0,RE_PV_Rooftop_Lim_[KE]
KE,,,,3.5,1.0,19.9,RE_WIND_Onshore_Lim_[KE]
KE,,,,3.5,0.0,0.0,RE_WIND_Offshore_Lim_[KE]
KE,,,,3.5,0.6,7.5,PP_CO2_[KE]
KE,,,,3.5,0.1,5.6,BESS_[KE]
