country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_name
KH,,,,7.4,0.0,RE_PV_Rooftop_Lim_[KH]
KH,,,,7.4,0.2,RE_PV_Openfield_Lim_[KH]
KH,,,,7.4,0.0,RE_WIND_Offshore_Lim_[KH]
KH,,,,7.4,0.8,RE_WIND_Onshore_Lim_[KH]
KH,,,,7.4,0.0,PP_CO2_[KH]
KH,,,,7.4,0.0,BESS_[KH]
KH,,,,7.4,0.1,EL_to_HTH_[KH]
KH,,,,7.4,0.0,EL_to_NH3_[KH]
KH,,,,7.4,0.0,NH3_Storage_[KH]
KH,,,,7.4,0.0,NH3_to_EL_[KH]
KH,,,,7.4,0.0,NH3_to_HTH_[KH]
KH,,,,7.4,0.8,FF_to_HTH_[KH]
KH,,,,7.4,0.0,EL_Demand_[KH]
KH,,,,7.4,0.0,HTH_Demand_[KH]
KH,,,,5.0,0.0,RE_PV_Rooftop_Lim_[KH]
KH,,,,5.0,0.4,RE_PV_Openfield_Lim_[KH]
KH,,,,5.0,0.0,RE_WIND_Offshore_Lim_[KH]
KH,,,,5.0,1.0,RE_WIND_Onshore_Lim_[KH]
KH,,,,5.0,0.0,PP_CO2_[KH]
KH,,,,5.0,0.0,BESS_[KH]
KH,,,,5.0,0.1,EL_to_HTH_[KH]
KH,,,,5.0,0.0,EL_to_NH3_[KH]
KH,,,,5.0,0.0,NH3_Storage_[KH]
KH,,,,5.0,0.0,NH3_to_EL_[KH]
KH,,,,5.0,0.0,NH3_to_HTH_[KH]
KH,,,,5.0,0.6,FF_to_HTH_[KH]
KH,,,,5.0,0.0,EL_Demand_[KH]
KH,,,,5.0,0.0,HTH_Demand_[KH]
KH,,,,2.5,0.0,RE_PV_Rooftop_Lim_[KH]
KH,,,,2.5,0.4,RE_PV_Openfield_Lim_[KH]
KH,,,,2.5,0.0,RE_WIND_Offshore_Lim_[KH]
KH,,,,2.5,1.6,RE_WIND_Onshore_Lim_[KH]
KH,,,,2.5,0.0,PP_CO2_[KH]
KH,,,,2.5,0.0,BESS_[KH]
KH,,,,2.5,0.1,EL_to_HTH_[KH]
KH,,,,2.5,0.0,EL_to_NH3_[KH]
KH,,,,2.5,0.0,NH3_Storage_[KH]
KH,,,,2.5,0.0,NH3_to_EL_[KH]
KH,,,,2.5,0.0,NH3_to_HTH_[KH]
