country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_size,technology_name,technology_capacity
KR,,,,48.0,2.1,,RE_PV_Openfield_Lim_[KR],130.0
KR,,,,48.0,0.8,,RE_PV_Rooftop_Lim_[KR],42.0
KR,,,,48.0,1.3,,RE_WIND_Onshore_Lim_[KR],33.0
KR,,,,48.0,14.6,,RE_WIND_Offshore_Lim_[KR],136.0
KR,,,,48.0,3.5,,PP_CO2_[KR],35.4
KR,,,,48.0,6.2,,BESS_[KR],342.2
KR,,,,48.0,0.3,,EL_to_HTH_[KR],23.0
KR,,,,48.0,0.3,,EL_to_NH3_[KR],5.4
KR,,,,48.0,0.4,,NH3_Storage_[KR],27.0
KR,,,,48.0,0.1,,NH3_to_EL_[KR],1.3
KR,,,,48.0,0.0,,NH3_to_HTH_[KR],0.4
KR,,,,48.0,2.0,,FF_to_HTH_[KR],23.5
KR,,,,48.0,0.0,,EL_Demand_[KR],93.8
KR,,,,48.0,0.0,,HTH_Demand_[KR],23.8
KR,,,,0.0,2.1,,RE_PV_Openfield_Lim_[KR],130.0
KR,,,,0.0,0.8,,RE_PV_Rooftop_Lim_[KR],42.0
KR,,,,0.0,1.3,,RE_WIND_Onshore_Lim_[KR],33.0
KR,,,,0.0,23.3,,RE_WIND_Offshore_Lim_[KR],217.0
KR,,,,0.0,0.0,,PP_CO2_[KR],0.0
KR,,,,0.0,6.2,,BESS_[KR],346.8
KR,,,,0.0,0.3,,EL_to_HTH_[KR],23.4
KR,,,,0.0,3.9,,EL_to_NH3_[KR],68.8
KR,,,,0.0,9.7,,NH3_Storage_[KR],584.4
KR,,,,0.0,0.8,,NH3_to_EL_[KR],10.1
KR,,,,0.0,0.1,,NH3_to_HTH_[KR],4.6
KR,,,,0.0,0.0,,FF_to_HTH_[KR],0.0
KR,,,,0.0,0.0,,EL_Demand_[KR],93.8
KR,,,,0.0,0.0,,HTH_Demand_[KR],23.8
KR,,,,94.8,2.1,,RE_PV_Openfield_Lim_[KR],130.0
KR,,,,94.8,0.8,,RE_PV_Rooftop_Lim_[KR],42.0
