country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_name
KR,,,,48.0,2.1,RE_PV_Openfield_Lim_[KR]
KR,,,,48.0,0.8,RE_PV_Rooftop_Lim_[KR]
KR,,,,48.0,1.3,RE_WIND_Onshore_Lim_[KR]
KR,,,,48.0,14.6,RE_WIND_Offshore_Lim_[KR]
KR,,,,48.0,3.5,PP_CO2_[KR]
KR,,,,48.0,6.2,BESS_[KR]
KR,,,,48.0,0.3,EL_to_HTH_[KR]
KR,,,,48.0,0.3,EL_to_NH3_[KR]
KR,,,,48.0,0.4,NH3_Storage_[KR]
KR,,,,48.0,0.1,NH3_to_EL_[KR]
KR,,,,48.0,0.0,NH3_to_HTH_[KR]
KR,,,,48.0,2.0,FF_to_HTH_[KR]
KR,,,,48.0,0.0,EL_Demand_[KR]
KR,,,,48.0,0.0,HTH_Demand_[KR]
KR,,,,0.0,2.1,RE_PV_Openfield_Lim_[KR]
KR,,,,0.0,0.8,RE_PV_Rooftop_Lim_[KR]
KR,,,,0.0,1.3,RE_WIND_Onshore_Lim_[KR]
KR,,,,0.0,23.3,RE_WIND_Offshore_Lim_[KR]
KR,,,,0.0,0.0,PP_CO2_[KR]
KR,,,,0.0,6.2,BESS_[KR]
KR,,,,0.0,0.3,EL_to_HTH_[KR]
KR,,,,0.0,3.9,EL_to_NH3_[KR]
KR,,,,0.0,9.7,NH3_Storage_[KR]
KR,,,,0.0,0.8,NH3_to_EL_[KR]
KR,,,,0.0,0.1,NH3_to_HTH_[KR]
KR,,,,0.0,0.0,FF_to_HTH_[KR]
KR,,,,0.0,0.0,EL_Demand_[KR]
KR,,,,0.0,0.0,HTH_Demand_[KR]
KR,,,,94.8,2.1,RE_PV_Openfield_Lim_[KR]
KR,,,,94.8,0.8,RE_PV_Rooftop_Lim_[KR]
KR,,,,94.8,1.3,RE_WIND_Onshore_Lim_[KR]
KR,,,,94.8,8.3,RE_WIND_Offshore_Lim_[KR]
KR,,,,94.8,7.6,PP_CO2_[KR]
KR,,,,94.8,2.4,BESS_[KR]
KR,,,,94.8,0.3,EL_to_HTH_[KR]
KR,,,,94.8,0.0,EL_to_NH3_[KR]
KR,,,,94.8,0.0,NH3_Storage_[KR]
KR,,,,94.8,0.0,NH3_to_EL_[KR]
KR,,,,94.8,0.0,NH3_to_HTH_[KR]
KR,,,,94.8,2.5,FF_to_HTH_[KR]
KR,,,,94.8,0.0,EL_Demand_[KR]
KR,,,,94.8,0.0,HTH_Demand_[KR]
KR,,,,63.2,2.1,RE_PV_Openfield_Lim_[KR]
KR,,,,63.2,0.8,RE_PV_Rooftop_Lim_[KR]
KR,,,,63.2,1.3,RE_WIND_Onshore_Lim_[KR]
KR,,,,63.2,12.5,RE_WIND_Offshore_Lim_[KR]
KR,,,,63.2,5.0,PP_CO2_[KR]
KR,,,,63.2,4.7,BESS_[KR]
KR,,,,63.2,0.3,EL_to_HTH_[KR]
KR,,,,63.2,0.0,EL_to_NH3_[KR]
KR,,,,63.2,0.0,NH3_Storage_[KR]
KR,,,,63.2,0.0,NH3_to_EL_[KR]
KR,,,,63.2,0.0,NH3_to_HTH_[KR]
KR,,,,63.2,2.1,FF_to_HTH_[KR]
KR,,,,63.2,0.0,EL_Demand_[KR]
KR,,,,63.2,0.0,HTH_Demand_[KR]
KR,,,,64.0,2.1,RE_PV_Openfield_Lim_[KR]
KR,,,,64.0,0.8,RE_PV_Rooftop_Lim_[KR]
KR,,,,64.0,1.3,RE_WIND_Onshore_Lim_[KR]
KR,,,,64.0,12.3,RE_WIND_Offshore_Lim_[KR]
KR,,,,64.0,5.0,PP_CO2_[KR]
KR,,,,64.0,4.7,BESS_[KR]
KR,,,,64.0,0.3,EL_to_HTH_[KR]
KR,,,,64.0,0.0,EL_to_NH3_[KR]
KR,,,,64.0,0.0,NH3_Storage_[KR]
KR,,,,64.0,0.0,NH3_to_EL_[KR]
KR,,,,64.0,0.0,NH3_to_HTH_[KR]
KR,,,,64.0,2.2,FF_to_HTH_[KR]
KR,,,,64.0,0.0,EL_Demand_[KR]
KR,,,,64.0,0.0,HTH_Demand_[KR]
KR,,,,96.0,2.1,RE_PV_Openfield_Lim_[KR]
KR,,,,96.0,0.8,RE_PV_Rooftop_Lim_[KR]
KR,,,,96.0,1.3,RE_WIND_Onshore_Lim_[KR]
KR,,,,96.0,8.2,RE_WIND_Offshore_Lim_[KR]
KR,,,,96.0,7.7,PP_CO2_[KR]
KR,,,,96.0,2.3,BESS_[KR]
KR,,,,96.0,0.3,EL_to_HTH_[KR]
KR,,,,96.0,0.0,EL_to_NH3_[KR]
KR,,,,96.0,0.0,NH3_Storage_[KR]
KR,,,,96.0,0.0,NH3_to_EL_[KR]
KR,,,,96.0,0.0,NH3_to_HTH_[KR]
KR,,,,96.0,2.5,FF_to_HTH_[KR]
KR,,,,96.0,0.0,EL_Demand_[KR]
KR,,,,96.0,0.0,HTH_Demand_[KR]
KR,,,,31.6,2.1,RE_PV_Openfield_Lim_[KR]
KR,,,,31.6,0.8,RE_PV_Rooftop_Lim_[KR]
KR,,,,31.6,1.3,RE_WIND_Onshore_Lim_[KR]
KR,,,,31.6,17.2,RE_WIND_Offshore_Lim_[KR]
KR,,,,31.6,2.0,PP_CO2_[KR]
KR,,,,31.6,7.0,BESS_[KR]
KR,,,,31.6,0.3,EL_to_HTH_[KR]
KR,,,,31.6,1.1,EL_to_NH3_[KR]
KR,,,,31.6,1.5,NH3_Storage_[KR]
KR,,,,31.6,0.3,NH3_to_EL_[KR]
KR,,,,31.6,0.0,NH3_to_HTH_[KR]
KR,,,,31.6,1.8,FF_to_HTH_[KR]
