country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_name
MA,,,,8.1,0.4,RE_PV_Openfield_Lim_[MA]
MA,,,,8.1,0.0,RE_PV_Rooftop_Lim_[MA]
MA,,,,8.1,1.5,RE_WIND_Onshore_Lim_[MA]
MA,,,,8.1,0.0,RE_WIND_Offshore_Lim_[MA]
MA,,,,8.1,0.6,PP_CO2_[MA]
MA,,,,8.1,0.1,BESS_[MA]
MA,,,,8.1,0.1,EL_to_HTH_[MA]
MA,,,,8.1,0.0,EL_to_NH3_[MA]
MA,,,,8.1,0.0,NH3_Storage_[MA]
MA,,,,8.1,0.0,NH3_to_EL_[MA]
MA,,,,8.1,0.0,NH3_to_HTH_[MA]
MA,,,,8.1,0.4,FF_to_HTH_[MA]
MA,,,,8.1,0.0,EL_Demand_[MA]
MA,,,,8.1,0.0,HTH_Demand_[MA]
MA,,,,0.0,0.6,RE_PV_Openfield_Lim_[MA]
MA,,,,0.0,0.0,RE_PV_Rooftop_Lim_[MA]
MA,,,,0.0,2.4,RE_WIND_Onshore_Lim_[MA]
MA,,,,0.0,0.0,RE_WIND_Offshore_Lim_[MA]
MA,,,,0.0,0.0,PP_CO2_[MA]
MA,,,,0.0,0.2,BESS_[MA]
MA,,,,0.0,0.1,EL_to_HTH_[MA]
MA,,,,0.0,0.4,EL_to_NH3_[MA]
MA,,,,0.0,0.7,NH3_Storage_[MA]
MA,,,,0.0,0.2,NH3_to_EL_[MA]
MA,,,,0.0,0.0,NH3_to_HTH_[MA]
MA,,,,0.0,0.0,FF_to_HTH_[MA]
MA,,,,0.0,0.0,EL_Demand_[MA]
MA,,,,0.0,0.0,HTH_Demand_[MA]
MA,,,,1.1,0.4,RE_PV_Openfield_Lim_[MA]
MA,,,,1.1,0.0,RE_PV_Rooftop_Lim_[MA]
MA,,,,1.1,2.1,RE_WIND_Onshore_Lim_[MA]
MA,,,,1.1,0.0,RE_WIND_Offshore_Lim_[MA]
