country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_name
MY,,,,95.5,0.0,RE_PV_Rooftop_Lim_[MY]
MY,,,,95.5,1.3,RE_PV_Openfield_Lim_[MY]
MY,,,,95.5,0.8,RE_WIND_Offshore_Lim_[MY]
MY,,,,95.5,0.9,RE_WIND_Onshore_Lim_[MY]
MY,,,,95.5,4.5,PP_CO2_[MY]
MY,,,,95.5,0.0,BESS_[MY]
MY,,,,95.5,0.1,EL_to_HTH_[MY]
MY,,,,95.5,0.0,EL_to_NH3_[MY]
MY,,,,95.5,0.0,NH3_Storage_[MY]
MY,,,,95.5,0.0,NH3_to_EL_[MY]
MY,,,,95.5,0.0,NH3_to_HTH_[MY]
MY,,,,95.5,1.7,FF_to_HTH_[MY]
MY,,,,95.5,0.0,EL_Demand_[MY]
MY,,,,95.5,0.0,HTH_Demand_[MY]
MY,,,,95.5,0.0,RE_PV_Rooftop_Lim_[MY]
MY,,,,95.5,1.3,RE_PV_Openfield_Lim_[MY]
MY,,,,95.5,0.8,RE_WIND_Offshore_Lim_[MY]
MY,,,,95.5,0.9,RE_WIND_Onshore_Lim_[MY]
MY,,,,95.5,4.5,PP_CO2_[MY]
MY,,,,95.5,0.0,BESS_[MY]
MY,,,,95.5,0.1,EL_to_HTH_[MY]
MY,,,,95.5,0.0,EL_to_NH3_[MY]
MY,,,,95.5,0.0,NH3_Storage_[MY]
MY,,,,95.5,0.0,NH3_to_EL_[MY]
MY,,,,95.5,0.0,NH3_to_HTH_[MY]
MY,,,,95.5,1.7,FF_to_HTH_[MY]
MY,,,,95.5,0.0,EL_Demand_[MY]
MY,,,,95.5,0.0,HTH_Demand_[MY]
MY,,,,95.5,0.0,RE_PV_Rooftop_Lim_[MY]
MY,,,,95.5,1.3,RE_PV_Openfield_Lim_[MY]
MY,,,,95.5,0.8,RE_WIND_Offshore_Lim_[MY]
MY,,,,95.5,0.9,RE_WIND_Onshore_Lim_[MY]
MY,,,,95.5,4.5,PP_CO2_[MY]
MY,,,,95.5,0.0,BESS_[MY]
MY,,,,95.5,0.1,EL_to_HTH_[MY]
MY,,,,95.5,0.0,EL_to_NH3_[MY]
MY,,,,95.5,0.0,NH3_Storage_[MY]
MY,,,,95.5,0.0,NH3_to_EL_[MY]
MY,,,,95.5,0.0,NH3_to_HTH_[MY]
MY,,,,95.5,1.7,FF_to_HTH_[MY]
MY,,,,95.5,0.0,EL_Demand_[MY]
MY,,,,95.5,0.0,HTH_Demand_[MY]
