country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_name
NG,,,,36.6,130.8,RE_PV_Openfield_Lim_[NG]
NG,,,,36.6,0.0,RE_PV_Rooftop_Lim_[NG]
NG,,,,36.6,122.0,RE_WIND_Onshore_Lim_[NG]
NG,,,,36.6,8.6,RE_WIND_Offshore_Lim_[NG]
NG,,,,36.6,0.0,PP_CO2_[NG]
NG,,,,36.6,189.8,BESS_[NG]
NG,,,,36.6,4.1,EL_to_HTH_[NG]
NG,,,,36.6,5.4,EL_to_NH3_[NG]
NG,,,,36.6,35.1,NH3_Storage_[NG]
NG,,,,36.6,1.8,NH3_to_EL_[NG]
NG,,,,36.6,0.5,NH3_to_HTH_[NG]
NG,,,,36.6,5.1,FF_to_HTH_[NG]
NG,,,,36.6,0.0,EL_Demand_[NG]
NG,,,,36.6,0.0,HTH_Demand_[NG]
NG,,,,37.2,130.7,RE_PV_Openfield_Lim_[NG]
NG,,,,37.2,0.0,RE_PV_Rooftop_Lim_[NG]
NG,,,,37.2,121.7,RE_WIND_Onshore_Lim_[NG]
NG,,,,37.2,8.2,RE_WIND_Offshore_Lim_[NG]
NG,,,,37.2,0.0,PP_CO2_[NG]
NG,,,,37.2,188.0,BESS_[NG]
NG,,,,37.2,4.2,EL_to_HTH_[NG]
NG,,,,37.2,5.6,EL_to_NH3_[NG]
NG,,,,37.2,40.0,NH3_Storage_[NG]
NG,,,,37.2,2.0,NH3_to_EL_[NG]
NG,,,,37.2,0.5,NH3_to_HTH_[NG]
NG,,,,37.2,5.1,FF_to_HTH_[NG]
NG,,,,37.2,0.0,EL_Demand_[NG]
NG,,,,37.2,0.0,HTH_Demand_[NG]
NG,,,,39.9,130.7,RE_PV_Openfield_Lim_[NG]
NG,,,,39.9,0.0,RE_PV_Rooftop_Lim_[NG]
NG,,,,39.9,121.8,RE_WIND_Onshore_Lim_[NG]
NG,,,,39.9,8.3,RE_WIND_Offshore_Lim_[NG]
NG,,,,39.9,0.0,PP_CO2_[NG]
NG,,,,39.9,190.8,BESS_[NG]
NG,,,,39.9,4.3,EL_to_HTH_[NG]
NG,,,,39.9,5.5,EL_to_NH3_[NG]
NG,,,,39.9,27.3,NH3_Storage_[NG]
NG,,,,39.9,1.9,NH3_to_EL_[NG]
NG,,,,39.9,0.4,NH3_to_HTH_[NG]
NG,,,,39.9,5.6,FF_to_HTH_[NG]
NG,,,,39.9,0.0,EL_Demand_[NG]
NG,,,,39.9,0.0,HTH_Demand_[NG]
NG,,,,39.7,130.8,RE_PV_Openfield_Lim_[NG]
NG,,,,39.7,0.0,RE_PV_Rooftop_Lim_[NG]
NG,,,,39.7,121.8,RE_WIND_Onshore_Lim_[NG]
NG,,,,39.7,8.2,RE_WIND_Offshore_Lim_[NG]
NG,,,,39.7,0.0,PP_CO2_[NG]
NG,,,,39.7,191.8,BESS_[NG]
NG,,,,39.7,4.3,EL_to_HTH_[NG]
NG,,,,39.7,5.3,EL_to_NH3_[NG]
NG,,,,39.7,27.6,NH3_Storage_[NG]
NG,,,,39.7,1.8,NH3_to_EL_[NG]
NG,,,,39.7,0.4,NH3_to_HTH_[NG]
NG,,,,39.7,5.6,FF_to_HTH_[NG]
NG,,,,39.7,0.0,EL_Demand_[NG]
NG,,,,39.7,0.0,HTH_Demand_[NG]
NG,,,,36.0,130.8,RE_PV_Openfield_Lim_[NG]
NG,,,,36.0,0.0,RE_PV_Rooftop_Lim_[NG]
NG,,,,36.0,121.9,RE_WIND_Onshore_Lim_[NG]
NG,,,,36.0,8.5,RE_WIND_Offshore_Lim_[NG]
NG,,,,36.0,0.0,PP_CO2_[NG]
NG,,,,36.0,190.5,BESS_[NG]
NG,,,,36.0,4.1,EL_to_HTH_[NG]
NG,,,,36.0,5.3,EL_to_NH3_[NG]
NG,,,,36.0,36.6,NH3_Storage_[NG]
NG,,,,36.0,1.8,NH3_to_EL_[NG]
NG,,,,36.0,0.5,NH3_to_HTH_[NG]
NG,,,,36.0,5.0,FF_to_HTH_[NG]
NG,,,,36.0,0.0,EL_Demand_[NG]
NG,,,,36.0,0.0,HTH_Demand_[NG]
NG,,,,34.6,130.7,RE_PV_Openfield_Lim_[NG]
NG,,,,34.6,0.0,RE_PV_Rooftop_Lim_[NG]
NG,,,,34.6,121.7,RE_WIND_Onshore_Lim_[NG]
NG,,,,34.6,8.1,RE_WIND_Offshore_Lim_[NG]
NG,,,,34.6,0.1,PP_CO2_[NG]
NG,,,,34.6,189.5,BESS_[NG]
NG,,,,34.6,4.2,EL_to_HTH_[NG]
NG,,,,34.6,5.4,EL_to_NH3_[NG]
NG,,,,34.6,43.1,NH3_Storage_[NG]
NG,,,,34.6,2.1,NH3_to_EL_[NG]
NG,,,,34.6,0.5,NH3_to_HTH_[NG]
NG,,,,34.6,4.6,FF_to_HTH_[NG]
NG,,,,34.6,0.0,EL_Demand_[NG]
NG,,,,34.6,0.0,HTH_Demand_[NG]
NG,,,,39.2,130.8,RE_PV_Openfield_Lim_[NG]
NG,,,,39.2,0.0,RE_PV_Rooftop_Lim_[NG]
NG,,,,39.2,121.8,RE_WIND_Onshore_Lim_[NG]
NG,,,,39.2,8.2,RE_WIND_Offshore_Lim_[NG]
NG,,,,39.2,0.0,PP_CO2_[NG]
NG,,,,39.2,191.6,BESS_[NG]
NG,,,,39.2,4.3,EL_to_HTH_[NG]
NG,,,,39.2,5.3,EL_to_NH3_[NG]
NG,,,,39.2,28.2,NH3_Storage_[NG]
NG,,,,39.2,1.9,NH3_to_EL_[NG]
NG,,,,39.2,0.4,NH3_to_HTH_[NG]
NG,,,,39.2,5.5,FF_to_HTH_[NG]
NG,,,,39.2,0.0,EL_Demand_[NG]
NG,,,,39.2,0.0,HTH_Demand_[NG]
NG,,,,35.5,130.8,RE_PV_Openfield_Lim_[NG]
NG,,,,35.5,0.0,RE_PV_Rooftop_Lim_[NG]
NG,,,,35.5,121.9,RE_WIND_Onshore_Lim_[NG]
NG,,,,35.5,8.4,RE_WIND_Offshore_Lim_[NG]
NG,,,,35.5,0.0,PP_CO2_[NG]
NG,,,,35.5,189.5,BESS_[NG]
NG,,,,35.5,4.3,EL_to_HTH_[NG]
NG,,,,35.5,5.6,EL_to_NH3_[NG]
NG,,,,35.5,33.5,NH3_Storage_[NG]
NG,,,,35.5,2.0,NH3_to_EL_[NG]
NG,,,,35.5,0.5,NH3_to_HTH_[NG]
NG,,,,35.5,4.9,FF_to_HTH_[NG]
NG,,,,35.5,0.0,EL_Demand_[NG]
NG,,,,35.5,0.0,HTH_Demand_[NG]
NG,,,,35.0,130.8,RE_PV_Openfield_Lim_[NG]
NG,,,,35.0,0.0,RE_PV_Rooftop_Lim_[NG]
NG,,,,35.0,121.9,RE_WIND_Onshore_Lim_[NG]
NG,,,,35.0,8.5,RE_WIND_Offshore_Lim_[NG]
NG,,,,35.0,0.1,PP_CO2_[NG]
NG,,,,35.0,191.0,BESS_[NG]
NG,,,,35.0,4.1,EL_to_HTH_[NG]
NG,,,,35.0,5.1,EL_to_NH3_[NG]
NG,,,,35.0,40.3,NH3_Storage_[NG]
NG,,,,35.0,2.1,NH3_to_EL_[NG]
NG,,,,35.0,0.5,NH3_to_HTH_[NG]
NG,,,,35.0,4.8,FF_to_HTH_[NG]
NG,,,,35.0,0.0,EL_Demand_[NG]
NG,,,,35.0,0.0,HTH_Demand_[NG]
NG,,,,37.2,130.8,RE_PV_Openfield_Lim_[NG]
NG,,,,37.2,0.1,RE_PV_Rooftop_Lim_[NG]
NG,,,,37.2,122.0,RE_WIND_Onshore_Lim_[NG]
NG,,,,37.2,8.6,RE_WIND_Offshore_Lim_[NG]
NG,,,,37.2,0.0,PP_CO2_[NG]
NG,,,,37.2,192.4,BESS_[NG]
NG,,,,37.2,4.0,EL_to_HTH_[NG]
NG,,,,37.2,5.5,EL_to_NH3_[NG]
NG,,,,37.2,32.4,NH3_Storage_[NG]
NG,,,,37.2,1.6,NH3_to_EL_[NG]
NG,,,,37.2,0.5,NH3_to_HTH_[NG]
NG,,,,37.2,5.2,FF_to_HTH_[NG]
NG,,,,37.2,0.0,EL_Demand_[NG]
NG,,,,37.2,0.0,HTH_Demand_[NG]
NG,,,,37.0,130.8,RE_PV_Openfield_Lim_[NG]
NG,,,,37.0,0.1,RE_PV_Rooftop_Lim_[NG]
NG,,,,37.0,122.1,RE_WIND_Onshore_Lim_[NG]
NG,,,,37.0,8.7,RE_WIND_Offshore_Lim_[NG]
NG,,,,37.0,0.0,PP_CO2_[NG]
NG,,,,37.0,190.9,BESS_[NG]
NG,,,,37.0,4.0,EL_to_HTH_[NG]
NG,,,,37.0,5.8,EL_to_NH3_[NG]
NG,,,,37.0,32.1,NH3_Storage_[NG]
NG,,,,37.0,1.7,NH3_to_EL_[NG]
NG,,,,37.0,0.5,NH3_to_HTH_[NG]
NG,,,,37.0,5.2,FF_to_HTH_[NG]
NG,,,,37.0,0.0,EL_Demand_[NG]
NG,,,,37.0,0.0,HTH_Demand_[NG]
