country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_capacity,technology_name
PE,,,,4.8,0.3,16.5,RE_PV_Openfield_Lim_[PE]
PE,,,,4.8,0.0,0.0,RE_PV_Rooftop_Lim_[PE]
PE,,,,4.8,2.6,67.3,RE_WIND_Onshore_Lim_[PE]
PE,,,,4.8,0.0,0.0,RE_WIND_Offshore_Lim_[PE]
PE,,,,4.8,0.4,5.8,PP_CO2_[PE]
PE,,,,4.8,0.7,39.6,BESS_[PE]
PE,,,,4.8,0.1,5.6,EL_to_HTH_[PE]
PE,,,,4.8,0.0,0.0,EL_to_NH3_[PE]
PE,,,,4.8,0.0,0.0,NH3_Storage_[PE]
PE,,,,4.8,0.0,0.0,NH3_to_EL_[PE]
PE,,,,4.8,0.0,0.0,NH3_to_HTH_[PE]
PE,,,,4.8,0.4,5.5,FF_to_HTH_[PE]
PE,,,,4.8,0.0,19.3,EL_Demand_[PE]
PE,,,,4.8,0.0,5.7,HTH_Demand_[PE]
PE,,,,1.2,0.3,21.2,RE_PV_Openfield_Lim_[PE]
PE,,,,1.2,0.0,0.0,RE_PV_Rooftop_Lim_[PE]
PE,,,,1.2,3.0,77.8,RE_WIND_Onshore_Lim_[PE]
PE,,,,1.2,0.0,0.0,RE_WIND_Offshore_Lim_[PE]
PE,,,,1.2,0.1,1.5,PP_CO2_[PE]
PE,,,,1.2,1.0,56.8,BESS_[PE]
PE,,,,1.2,0.1,5.6,EL_to_HTH_[PE]
PE,,,,1.2,0.2,3.3,EL_to_NH3_[PE]
PE,,,,1.2,0.1,8.2,NH3_Storage_[PE]
PE,,,,1.2,0.0,0.6,NH3_to_EL_[PE]
PE,,,,1.2,0.0,0.6,NH3_to_HTH_[PE]
PE,,,,1.2,0.1,2.8,FF_to_HTH_[PE]
PE,,,,1.2,0.0,19.3,EL_Demand_[PE]
PE,,,,1.2,0.0,5.7,HTH_Demand_[PE]
PE,,,,7.1,0.2,12.8,RE_PV_Openfield_Lim_[PE]
PE,,,,7.1,0.0,0.0,RE_PV_Rooftop_Lim_[PE]
PE,,,,7.1,2.5,64.5,RE_WIND_Onshore_Lim_[PE]
PE,,,,7.1,0.0,0.0,RE_WIND_Offshore_Lim_[PE]
PE,,,,7.1,0.8,8.2,PP_CO2_[PE]
PE,,,,7.1,0.3,16.3,BESS_[PE]
PE,,,,7.1,0.1,5.6,EL_to_HTH_[PE]
PE,,,,7.1,0.0,0.0,EL_to_NH3_[PE]
PE,,,,7.1,0.0,0.0,NH3_Storage_[PE]
PE,,,,7.1,0.0,0.0,NH3_to_EL_[PE]
PE,,,,7.1,0.0,0.0,NH3_to_HTH_[PE]
PE,,,,7.1,0.5,5.6,FF_to_HTH_[PE]
PE,,,,7.1,0.0,19.3,EL_Demand_[PE]
PE,,,,7.1,0.0,5.7,HTH_Demand_[PE]
PE,,,,3.5,0.3,17.5,RE_PV_Openfield_Lim_[PE]
PE,,,,3.5,0.0,0.0,RE_PV_Rooftop_Lim_[PE]
PE,,,,3.5,2.7,69.9,RE_WIND_Onshore_Lim_[PE]
PE,,,,3.5,0.0,0.0,RE_WIND_Offshore_Lim_[PE]
PE,,,,3.5,0.3,4.4,PP_CO2_[PE]
PE,,,,3.5,1.0,53.1,BESS_[PE]
PE,,,,3.5,0.1,5.6,EL_to_HTH_[PE]
PE,,,,3.5,0.0,0.1,EL_to_NH3_[PE]
PE,,,,3.5,0.0,0.3,NH3_Storage_[PE]
PE,,,,3.5,0.0,0.0,NH3_to_EL_[PE]
PE,,,,3.5,0.0,0.0,NH3_to_HTH_[PE]
PE,,,,3.5,0.3,5.4,FF_to_HTH_[PE]
PE,,,,3.5,0.0,19.3,EL_Demand_[PE]
PE,,,,3.5,0.0,5.7,HTH_Demand_[PE]
PE,,,,6.0,0.2,14.3,RE_PV_Openfield_Lim_[PE]
PE,,,,6.0,0.0,0.0,RE_PV_Rooftop_Lim_[PE]
PE,,,,6.0,2.6,66.0,RE_WIND_Onshore_Lim_[PE]
PE,,,,6.0,0.0,0.0,RE_WIND_Offshore_Lim_[PE]
PE,,,,6.0,0.6,7.0,PP_CO2_[PE]
PE,,,,6.0,0.5,26.8,BESS_[PE]
PE,,,,6.0,0.1,5.6,EL_to_HTH_[PE]
PE,,,,6.0,0.0,0.0,EL_to_NH3_[PE]
PE,,,,6.0,0.0,0.0,NH3_Storage_[PE]
PE,,,,6.0,0.0,0.0,NH3_to_EL_[PE]
PE,,,,6.0,0.0,0.0,NH3_to_HTH_[PE]
PE,,,,6.0,0.5,5.6,FF_to_HTH_[PE]
PE,,,,6.0,0.0,19.3,EL_Demand_[PE]
PE,,,,6.0,0.0,5.7,HTH_Demand_[PE]
PE,,,,8.4,0.2,13.1,RE_PV_Openfield_Lim_[PE]
PE,,,,8.4,0.0,0.0,RE_PV_Rooftop_Lim_[PE]
PE,,,,8.4,2.3,60.3,RE_WIND_Onshore_Lim_[PE]
PE,,,,8.4,0.0,0.0,RE_WIND_Offshore_Lim_[PE]
PE,,,,8.4,1.0,9.2,PP_CO2_[PE]
PE,,,,8.4,0.2,9.6,BESS_[PE]
PE,,,,8.4,0.1,5.6,EL_to_HTH_[PE]
PE,,,,8.4,0.0,0.0,EL_to_NH3_[PE]
PE,,,,8.4,0.0,0.0,NH3_Storage_[PE]
PE,,,,8.4,0.0,0.0,NH3_to_EL_[PE]
PE,,,,8.4,0.0,0.0,NH3_to_HTH_[PE]
PE,,,,8.4,0.5,5.6,FF_to_HTH_[PE]
PE,,,,8.4,0.0,19.3,EL_Demand_[PE]
PE,,,,8.4,0.0,5.7,HTH_Demand_[PE]
PE,,,,0.0,0.5,33.7,RE_PV_Openfield_Lim_[PE]
PE,,,,0.0,0.0,0.0,RE_PV_Rooftop_Lim_[PE]
PE,,,,0.0,3.0,77.0,RE_WIND_Onshore_Lim_[PE]
PE,,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_[PE]
PE,,,,0.0,0.0,0.0,PP_CO2_[PE]
PE,,,,0.0,1.4,78.3,BESS_[PE]
PE,,,,0.0,0.1,5.7,EL_to_HTH_[PE]
PE,,,,0.0,0.3,5.6,EL_to_NH3_[PE]
PE,,,,0.0,0.3,15.4,NH3_Storage_[PE]
PE,,,,0.0,0.0,0.4,NH3_to_EL_[PE]
PE,,,,0.0,0.0,1.0,NH3_to_HTH_[PE]
PE,,,,0.0,0.0,0.0,FF_to_HTH_[PE]
PE,,,,0.0,0.0,19.3,EL_Demand_[PE]
PE,,,,0.0,0.0,5.7,HTH_Demand_[PE]
PE,,,,9.6,0.2,14.3,RE_PV_Openfield_Lim_[PE]
PE,,,,9.6,0.0,0.0,RE_PV_Rooftop_Lim_[PE]
PE,,,,9.6,2.2,55.2,RE_WIND_Onshore_Lim_[PE]
PE,,,,9.6,0.0,0.0,RE_WIND_Offshore_Lim_[PE]
PE,,,,9.6,1.2,9.7,PP_CO2_[PE]
PE,,,,9.6,0.1,6.9,BESS_[PE]
PE,,,,9.6,0.1,5.6,EL_to_HTH_[PE]
PE,,,,9.6,0.0,0.0,EL_to_NH3_[PE]
PE,,,,9.6,0.0,0.0,NH3_Storage_[PE]
PE,,,,9.6,0.0,0.0,NH3_to_EL_[PE]
PE,,,,9.6,0.0,0.0,NH3_to_HTH_[PE]
PE,,,,9.6,0.6,5.6,FF_to_HTH_[PE]
PE,,,,9.6,0.0,19.3,EL_Demand_[PE]
PE,,,,9.6,0.0,5.7,HTH_Demand_[PE]
PE,,,,7.2,0.2,13.1,RE_PV_Openfield_Lim_[PE]
PE,,,,7.2,0.0,0.0,RE_PV_Rooftop_Lim_[PE]
PE,,,,7.2,2.5,63.7,RE_WIND_Onshore_Lim_[PE]
PE,,,,7.2,0.0,0.0,RE_WIND_Offshore_Lim_[PE]
PE,,,,7.2,0.8,8.2,PP_CO2_[PE]
PE,,,,7.2,0.3,17.2,BESS_[PE]
PE,,,,7.2,0.1,5.6,EL_to_HTH_[PE]
PE,,,,7.2,0.0,0.0,EL_to_NH3_[PE]
PE,,,,7.2,0.0,0.0,NH3_Storage_[PE]
PE,,,,7.2,0.0,0.0,NH3_to_EL_[PE]
PE,,,,7.2,0.0,0.0,NH3_to_HTH_[PE]
PE,,,,7.2,0.5,5.6,FF_to_HTH_[PE]
PE,,,,7.2,0.0,19.3,EL_Demand_[PE]
PE,,,,7.2,0.0,5.7,HTH_Demand_[PE]
PE,,,,2.4,0.3,19.6,RE_PV_Openfield_Lim_[PE]
PE,,,,2.4,0.0,0.0,RE_PV_Rooftop_Lim_[PE]
PE,,,,2.4,2.8,73.0,RE_WIND_Onshore_Lim_[PE]
PE,,,,2.4,0.0,0.0,RE_WIND_Offshore_Lim_[PE]
PE,,,,2.4,0.2,3.0,PP_CO2_[PE]
PE,,,,2.4,1.0,56.7,BESS_[PE]
PE,,,,2.4,0.1,5.6,EL_to_HTH_[PE]
PE,,,,2.4,0.1,1.4,EL_to_NH3_[PE]
PE,,,,2.4,0.0,2.9,NH3_Storage_[PE]
PE,,,,2.4,0.0,0.3,NH3_to_EL_[PE]
PE,,,,2.4,0.0,0.2,NH3_to_HTH_[PE]
PE,,,,2.4,0.2,4.6,FF_to_HTH_[PE]
PE,,,,2.4,0.0,19.3,EL_Demand_[PE]
PE,,,,2.4,0.0,5.7,HTH_Demand_[PE]
PE,,,,3.6,0.3,17.5,RE_PV_Openfield_Lim_[PE]
PE,,,,3.6,0.0,0.0,RE_PV_Rooftop_Lim_[PE]
PE,,,,3.6,2.7,69.7,RE_WIND_Onshore_Lim_[PE]
PE,,,,3.6,0.0,0.0,RE_WIND_Offshore_Lim_[PE]
PE,,,,3.6,0.3,4.4,PP_CO2_[PE]
PE,,,,3.6,0.9,52.6,BESS_[PE]
PE,,,,3.6,0.1,5.6,EL_to_HTH_[PE]
PE,,,,3.6,0.0,0.1,EL_to_NH3_[PE]
PE,,,,3.6,0.0,0.3,NH3_Storage_[PE]
PE,,,,3.6,0.0,0.0,NH3_to_EL_[PE]
PE,,,,3.6,0.0,0.0,NH3_to_HTH_[PE]
PE,,,,3.6,0.3,5.4,FF_to_HTH_[PE]
PE,,,,3.6,0.0,19.3,EL_Demand_[PE]
PE,,,,3.6,0.0,5.7,HTH_Demand_[PE]
