country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_name
PE,,,,35.6,31.8,RE_PV_Openfield_Lim_[PE]
PE,,,,35.6,0.0,RE_PV_Rooftop_Lim_[PE]
PE,,,,35.6,0.0,RE_WIND_Onshore_Lim_[PE]
PE,,,,35.6,17.8,RE_WIND_Offshore_Lim_[PE]
PE,,,,35.6,0.0,PP_CO2_[PE]
PE,,,,35.6,40.8,BESS_[PE]
PE,,,,35.6,2.3,EL_to_HTH_[PE]
PE,,,,35.6,2.3,EL_to_NH3_[PE]
PE,,,,35.6,2.3,NH3_Storage_[PE]
PE,,,,35.6,0.0,NH3_to_EL_[PE]
PE,,,,35.6,0.1,NH3_to_HTH_[PE]
PE,,,,35.6,4.1,FF_to_HTH_[PE]
PE,,,,35.6,0.0,EL_Demand_[PE]
PE,,,,35.6,0.0,HTH_Demand_[PE]
PE,,,,36.7,31.6,RE_PV_Openfield_Lim_[PE]
PE,,,,36.7,0.0,RE_PV_Rooftop_Lim_[PE]
PE,,,,36.7,0.0,RE_WIND_Onshore_Lim_[PE]
PE,,,,36.7,17.8,RE_WIND_Offshore_Lim_[PE]
PE,,,,36.7,0.0,PP_CO2_[PE]
PE,,,,36.7,40.3,BESS_[PE]
PE,,,,36.7,2.3,EL_to_HTH_[PE]
PE,,,,36.7,2.5,EL_to_NH3_[PE]
PE,,,,36.7,2.3,NH3_Storage_[PE]
PE,,,,36.7,0.0,NH3_to_EL_[PE]
PE,,,,36.7,0.1,NH3_to_HTH_[PE]
PE,,,,36.7,4.2,FF_to_HTH_[PE]
PE,,,,36.7,0.0,EL_Demand_[PE]
PE,,,,36.7,0.0,HTH_Demand_[PE]
PE,,,,38.0,31.5,RE_PV_Openfield_Lim_[PE]
PE,,,,38.0,0.0,RE_PV_Rooftop_Lim_[PE]
PE,,,,38.0,0.0,RE_WIND_Onshore_Lim_[PE]
PE,,,,38.0,17.8,RE_WIND_Offshore_Lim_[PE]
PE,,,,38.0,0.0,PP_CO2_[PE]
PE,,,,38.0,40.0,BESS_[PE]
PE,,,,38.0,2.3,EL_to_HTH_[PE]
PE,,,,38.0,2.5,EL_to_NH3_[PE]
PE,,,,38.0,2.1,NH3_Storage_[PE]
PE,,,,38.0,0.0,NH3_to_EL_[PE]
PE,,,,38.0,0.1,NH3_to_HTH_[PE]
PE,,,,38.0,4.4,FF_to_HTH_[PE]
PE,,,,38.0,0.0,EL_Demand_[PE]
PE,,,,38.0,0.0,HTH_Demand_[PE]
PE,,,,37.5,31.6,RE_PV_Openfield_Lim_[PE]
PE,,,,37.5,0.0,RE_PV_Rooftop_Lim_[PE]
PE,,,,37.5,0.0,RE_WIND_Onshore_Lim_[PE]
PE,,,,37.5,17.8,RE_WIND_Offshore_Lim_[PE]
PE,,,,37.5,0.0,PP_CO2_[PE]
PE,,,,37.5,40.1,BESS_[PE]
PE,,,,37.5,2.3,EL_to_HTH_[PE]
PE,,,,37.5,2.5,EL_to_NH3_[PE]
PE,,,,37.5,2.2,NH3_Storage_[PE]
PE,,,,37.5,0.0,NH3_to_EL_[PE]
PE,,,,37.5,0.1,NH3_to_HTH_[PE]
PE,,,,37.5,4.3,FF_to_HTH_[PE]
PE,,,,37.5,0.0,EL_Demand_[PE]
PE,,,,37.5,0.0,HTH_Demand_[PE]
PE,,,,35.2,31.9,RE_PV_Openfield_Lim_[PE]
PE,,,,35.2,0.0,RE_PV_Rooftop_Lim_[PE]
PE,,,,35.2,0.0,RE_WIND_Onshore_Lim_[PE]
PE,,,,35.2,17.8,RE_WIND_Offshore_Lim_[PE]
PE,,,,35.2,0.0,PP_CO2_[PE]
PE,,,,35.2,40.9,BESS_[PE]
PE,,,,35.2,2.3,EL_to_HTH_[PE]
PE,,,,35.2,2.3,EL_to_NH3_[PE]
PE,,,,35.2,2.3,NH3_Storage_[PE]
PE,,,,35.2,0.0,NH3_to_EL_[PE]
PE,,,,35.2,0.1,NH3_to_HTH_[PE]
PE,,,,35.2,4.1,FF_to_HTH_[PE]
PE,,,,35.2,0.0,EL_Demand_[PE]
PE,,,,35.2,0.0,HTH_Demand_[PE]
PE,,,,34.4,31.9,RE_PV_Openfield_Lim_[PE]
PE,,,,34.4,0.0,RE_PV_Rooftop_Lim_[PE]
PE,,,,34.4,0.0,RE_WIND_Onshore_Lim_[PE]
PE,,,,34.4,17.8,RE_WIND_Offshore_Lim_[PE]
PE,,,,34.4,0.0,PP_CO2_[PE]
PE,,,,34.4,41.1,BESS_[PE]
PE,,,,34.4,2.3,EL_to_HTH_[PE]
PE,,,,34.4,2.3,EL_to_NH3_[PE]
PE,,,,34.4,2.4,NH3_Storage_[PE]
PE,,,,34.4,0.0,NH3_to_EL_[PE]
PE,,,,34.4,0.1,NH3_to_HTH_[PE]
PE,,,,34.4,4.0,FF_to_HTH_[PE]
PE,,,,34.4,0.0,EL_Demand_[PE]
PE,,,,34.4,0.0,HTH_Demand_[PE]
PE,,,,37.1,31.6,RE_PV_Openfield_Lim_[PE]
PE,,,,37.1,0.0,RE_PV_Rooftop_Lim_[PE]
PE,,,,37.1,0.0,RE_WIND_Onshore_Lim_[PE]
PE,,,,37.1,17.8,RE_WIND_Offshore_Lim_[PE]
PE,,,,37.1,0.0,PP_CO2_[PE]
PE,,,,37.1,40.2,BESS_[PE]
PE,,,,37.1,2.3,EL_to_HTH_[PE]
PE,,,,37.1,2.5,EL_to_NH3_[PE]
PE,,,,37.1,2.2,NH3_Storage_[PE]
PE,,,,37.1,0.0,NH3_to_EL_[PE]
PE,,,,37.1,0.1,NH3_to_HTH_[PE]
PE,,,,37.1,4.3,FF_to_HTH_[PE]
PE,,,,37.1,0.0,EL_Demand_[PE]
PE,,,,37.1,0.0,HTH_Demand_[PE]
PE,,,,34.0,31.9,RE_PV_Openfield_Lim_[PE]
PE,,,,34.0,0.0,RE_PV_Rooftop_Lim_[PE]
PE,,,,34.0,0.0,RE_WIND_Onshore_Lim_[PE]
PE,,,,34.0,17.8,RE_WIND_Offshore_Lim_[PE]
PE,,,,34.0,0.0,PP_CO2_[PE]
PE,,,,34.0,41.2,BESS_[PE]
PE,,,,34.0,2.3,EL_to_HTH_[PE]
PE,,,,34.0,2.3,EL_to_NH3_[PE]
PE,,,,34.0,2.4,NH3_Storage_[PE]
PE,,,,34.0,0.0,NH3_to_EL_[PE]
PE,,,,34.0,0.1,NH3_to_HTH_[PE]
PE,,,,34.0,3.9,FF_to_HTH_[PE]
PE,,,,34.0,0.0,EL_Demand_[PE]
PE,,,,34.0,0.0,HTH_Demand_[PE]
PE,,,,34.8,31.9,RE_PV_Openfield_Lim_[PE]
PE,,,,34.8,0.0,RE_PV_Rooftop_Lim_[PE]
PE,,,,34.8,0.0,RE_WIND_Onshore_Lim_[PE]
PE,,,,34.8,17.8,RE_WIND_Offshore_Lim_[PE]
PE,,,,34.8,0.0,PP_CO2_[PE]
PE,,,,34.8,41.0,BESS_[PE]
PE,,,,34.8,2.3,EL_to_HTH_[PE]
PE,,,,34.8,2.3,EL_to_NH3_[PE]
PE,,,,34.8,2.3,NH3_Storage_[PE]
PE,,,,34.8,0.0,NH3_to_EL_[PE]
PE,,,,34.8,0.1,NH3_to_HTH_[PE]
PE,,,,34.8,4.0,FF_to_HTH_[PE]
PE,,,,34.8,0.0,EL_Demand_[PE]
PE,,,,34.8,0.0,HTH_Demand_[PE]
PE,,,,36.3,31.7,RE_PV_Openfield_Lim_[PE]
PE,,,,36.3,0.0,RE_PV_Rooftop_Lim_[PE]
PE,,,,36.3,0.0,RE_WIND_Onshore_Lim_[PE]
PE,,,,36.3,17.8,RE_WIND_Offshore_Lim_[PE]
PE,,,,36.3,0.0,PP_CO2_[PE]
PE,,,,36.3,40.4,BESS_[PE]
PE,,,,36.3,2.3,EL_to_HTH_[PE]
PE,,,,36.3,2.5,EL_to_NH3_[PE]
PE,,,,36.3,2.3,NH3_Storage_[PE]
PE,,,,36.3,0.0,NH3_to_EL_[PE]
PE,,,,36.3,0.1,NH3_to_HTH_[PE]
PE,,,,36.3,4.2,FF_to_HTH_[PE]
PE,,,,36.3,0.0,EL_Demand_[PE]
PE,,,,36.3,0.0,HTH_Demand_[PE]
