country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_name
PH,,,,25.1,0.0,RE_PV_Rooftop_Lim_[PH]
PH,,,,25.1,0.2,RE_PV_Openfield_Lim_[PH]
PH,,,,25.1,0.7,RE_WIND_Offshore_Lim_[PH]
PH,,,,25.1,2.9,RE_WIND_Onshore_Lim_[PH]
PH,,,,25.1,3.3,PP_CO2_[PH]
PH,,,,25.1,0.0,BESS_[PH]
PH,,,,25.1,1.3,EL_to_HTH_[PH]
PH,,,,25.1,0.0,EL_to_NH3_[PH]
PH,,,,25.1,0.1,NH3_Storage_[PH]
PH,,,,25.1,0.0,NH3_to_EL_[PH]
PH,,,,25.1,0.0,NH3_to_HTH_[PH]
PH,,,,25.1,0.0,EL_Demand_[PH]
PH,,,,25.1,0.0,HTH_Demand_[PH]
PH,,,,44.0,0.0,RE_PV_Rooftop_Lim_[PH]
PH,,,,44.0,0.2,RE_PV_Openfield_Lim_[PH]
PH,,,,44.0,0.0,RE_WIND_Offshore_Lim_[PH]
PH,,,,44.0,1.7,RE_WIND_Onshore_Lim_[PH]
PH,,,,44.0,4.9,PP_CO2_[PH]
PH,,,,44.0,0.0,BESS_[PH]
PH,,,,44.0,1.3,EL_to_HTH_[PH]
PH,,,,44.0,0.0,EL_to_NH3_[PH]
PH,,,,44.0,0.0,NH3_Storage_[PH]
PH,,,,44.0,0.0,NH3_to_EL_[PH]
PH,,,,44.0,0.0,NH3_to_HTH_[PH]
PH,,,,44.0,0.0,EL_Demand_[PH]
PH,,,,44.0,0.0,HTH_Demand_[PH]
PH,,,,61.9,0.0,RE_PV_Rooftop_Lim_[PH]
PH,,,,61.9,0.2,RE_PV_Openfield_Lim_[PH]
PH,,,,61.9,0.0,RE_WIND_Offshore_Lim_[PH]
PH,,,,61.9,0.0,RE_WIND_Onshore_Lim_[PH]
PH,,,,61.9,6.4,PP_CO2_[PH]
PH,,,,61.9,0.0,BESS_[PH]
PH,,,,61.9,1.3,EL_to_HTH_[PH]
PH,,,,61.9,0.0,EL_to_NH3_[PH]
PH,,,,61.9,0.0,NH3_Storage_[PH]
PH,,,,61.9,0.0,NH3_to_EL_[PH]
PH,,,,61.9,0.0,NH3_to_HTH_[PH]
PH,,,,61.9,0.0,EL_Demand_[PH]
PH,,,,61.9,0.0,HTH_Demand_[PH]
PH,,,,56.6,0.0,RE_PV_Rooftop_Lim_[PH]
PH,,,,56.6,0.2,RE_PV_Openfield_Lim_[PH]
PH,,,,56.6,0.0,RE_WIND_Offshore_Lim_[PH]
PH,,,,56.6,0.5,RE_WIND_Onshore_Lim_[PH]
PH,,,,56.6,5.9,PP_CO2_[PH]
PH,,,,56.6,0.0,BESS_[PH]
PH,,,,56.6,1.3,EL_to_HTH_[PH]
PH,,,,56.6,0.0,EL_to_NH3_[PH]
PH,,,,56.6,0.0,NH3_Storage_[PH]
PH,,,,56.6,0.0,NH3_to_EL_[PH]
PH,,,,56.6,0.0,NH3_to_HTH_[PH]
PH,,,,56.6,0.0,EL_Demand_[PH]
PH,,,,56.6,0.0,HTH_Demand_[PH]
PH,,,,18.9,0.0,RE_PV_Rooftop_Lim_[PH]
PH,,,,18.9,0.2,RE_PV_Openfield_Lim_[PH]
PH,,,,18.9,0.0,RE_WIND_Offshore_Lim_[PH]
PH,,,,18.9,4.5,RE_WIND_Onshore_Lim_[PH]
PH,,,,18.9,2.8,PP_CO2_[PH]
PH,,,,18.9,0.0,BESS_[PH]
PH,,,,18.9,1.3,EL_to_HTH_[PH]
PH,,,,18.9,0.1,EL_to_NH3_[PH]
PH,,,,18.9,0.1,NH3_Storage_[PH]
PH,,,,18.9,0.0,NH3_to_EL_[PH]
PH,,,,18.9,0.0,NH3_to_HTH_[PH]
PH,,,,18.9,0.0,EL_Demand_[PH]
PH,,,,18.9,0.0,HTH_Demand_[PH]
PH,,,,6.3,0.0,RE_PV_Rooftop_Lim_[PH]
PH,,,,6.3,1.6,RE_PV_Openfield_Lim_[PH]
PH,,,,6.3,0.0,RE_WIND_Offshore_Lim_[PH]
PH,,,,6.3,6.2,RE_WIND_Onshore_Lim_[PH]
PH,,,,6.3,1.4,PP_CO2_[PH]
PH,,,,6.3,0.3,BESS_[PH]
PH,,,,6.3,0.9,EL_to_HTH_[PH]
PH,,,,6.3,0.6,EL_to_NH3_[PH]
PH,,,,6.3,0.5,NH3_Storage_[PH]
PH,,,,6.3,0.0,NH3_to_EL_[PH]
PH,,,,6.3,0.0,NH3_to_HTH_[PH]
PH,,,,6.3,0.0,EL_Demand_[PH]
PH,,,,6.3,0.0,HTH_Demand_[PH]
PH,,,,50.3,0.0,RE_PV_Rooftop_Lim_[PH]
PH,,,,50.3,0.2,RE_PV_Openfield_Lim_[PH]
PH,,,,50.3,0.0,RE_WIND_Offshore_Lim_[PH]
PH,,,,50.3,1.1,RE_WIND_Onshore_Lim_[PH]
PH,,,,50.3,5.4,PP_CO2_[PH]
PH,,,,50.3,0.0,BESS_[PH]
PH,,,,50.3,1.3,EL_to_HTH_[PH]
PH,,,,50.3,0.0,EL_to_NH3_[PH]
PH,,,,50.3,0.0,NH3_Storage_[PH]
PH,,,,50.3,0.0,NH3_to_EL_[PH]
PH,,,,50.3,0.0,NH3_to_HTH_[PH]
PH,,,,50.3,0.0,EL_Demand_[PH]
PH,,,,50.3,0.0,HTH_Demand_[PH]
PH,,,,0.0,0.0,RE_PV_Rooftop_Lim_[PH]
PH,,,,0.0,4.2,RE_PV_Openfield_Lim_[PH]
PH,,,,0.0,0.0,RE_WIND_Offshore_Lim_[PH]
PH,,,,0.0,4.0,RE_WIND_Onshore_Lim_[PH]
PH,,,,0.0,0.0,PP_CO2_[PH]
PH,,,,0.0,4.5,BESS_[PH]
PH,,,,0.0,0.8,EL_to_HTH_[PH]
PH,,,,0.0,0.8,EL_to_NH3_[PH]
PH,,,,0.0,1.8,NH3_Storage_[PH]
PH,,,,0.0,0.1,NH3_to_EL_[PH]
PH,,,,0.0,0.0,NH3_to_HTH_[PH]
PH,,,,0.0,0.0,EL_Demand_[PH]
PH,,,,0.0,0.0,HTH_Demand_[PH]
PH,,,,12.6,0.0,RE_PV_Rooftop_Lim_[PH]
PH,,,,12.6,0.7,RE_PV_Openfield_Lim_[PH]
PH,,,,12.6,0.0,RE_WIND_Offshore_Lim_[PH]
PH,,,,12.6,5.2,RE_WIND_Onshore_Lim_[PH]
PH,,,,12.6,2.0,PP_CO2_[PH]
PH,,,,12.6,0.0,BESS_[PH]
