country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_name
VN,,,,49.9,0.0,RE_PV_Rooftop_Lim_[VN]
VN,,,,49.9,0.1,RE_PV_Openfield_Lim_[VN]
VN,,,,49.9,6.7,RE_WIND_Offshore_Lim_[VN]
VN,,,,49.9,0.0,RE_WIND_Onshore_Lim_[VN]
VN,,,,49.9,7.4,PP_CO2_[VN]
VN,,,,49.9,0.0,BESS_[VN]
VN,,,,49.9,5.5,EL_to_HTH_[VN]
VN,,,,49.9,0.0,EL_to_NH3_[VN]
VN,,,,49.9,0.1,NH3_Storage_[VN]
VN,,,,49.9,0.0,NH3_to_EL_[VN]
VN,,,,49.9,0.0,NH3_to_HTH_[VN]
VN,,,,49.9,0.0,EL_Demand_[VN]
VN,,,,49.9,0.0,HTH_Demand_[VN]
VN,,,,68.8,0.0,RE_PV_Rooftop_Lim_[VN]
VN,,,,68.8,0.0,RE_PV_Openfield_Lim_[VN]
VN,,,,68.8,5.1,RE_WIND_Offshore_Lim_[VN]
VN,,,,68.8,0.0,RE_WIND_Onshore_Lim_[VN]
VN,,,,68.8,8.9,PP_CO2_[VN]
VN,,,,68.8,0.0,BESS_[VN]
VN,,,,68.8,5.5,EL_to_HTH_[VN]
VN,,,,68.8,0.0,EL_to_NH3_[VN]
VN,,,,68.8,0.1,NH3_Storage_[VN]
VN,,,,68.8,0.0,NH3_to_EL_[VN]
VN,,,,68.8,0.0,NH3_to_HTH_[VN]
VN,,,,68.8,0.0,EL_Demand_[VN]
VN,,,,68.8,0.0,HTH_Demand_[VN]
VN,,,,68.8,0.0,RE_PV_Rooftop_Lim_[VN]
VN,,,,68.8,0.0,RE_PV_Openfield_Lim_[VN]
VN,,,,68.8,5.1,RE_WIND_Offshore_Lim_[VN]
VN,,,,68.8,0.0,RE_WIND_Onshore_Lim_[VN]
VN,,,,68.8,8.9,PP_CO2_[VN]
VN,,,,68.8,0.0,BESS_[VN]
VN,,,,68.8,5.5,EL_to_HTH_[VN]
VN,,,,68.8,0.0,EL_to_NH3_[VN]
VN,,,,68.8,0.1,NH3_Storage_[VN]
VN,,,,68.8,0.0,NH3_to_EL_[VN]
VN,,,,68.8,0.0,NH3_to_HTH_[VN]
VN,,,,68.8,0.0,EL_Demand_[VN]
VN,,,,68.8,0.0,HTH_Demand_[VN]
VN,,,,68.8,0.0,RE_PV_Rooftop_Lim_[VN]
VN,,,,68.8,0.0,RE_PV_Openfield_Lim_[VN]
VN,,,,68.8,5.1,RE_WIND_Offshore_Lim_[VN]
VN,,,,68.8,0.0,RE_WIND_Onshore_Lim_[VN]
VN,,,,68.8,8.9,PP_CO2_[VN]
VN,,,,68.8,0.0,BESS_[VN]
VN,,,,68.8,5.5,EL_to_HTH_[VN]
VN,,,,68.8,0.0,EL_to_NH3_[VN]
VN,,,,68.8,0.1,NH3_Storage_[VN]
VN,,,,68.8,0.0,NH3_to_EL_[VN]
VN,,,,68.8,0.0,NH3_to_HTH_[VN]
VN,,,,68.8,0.0,EL_Demand_[VN]
VN,,,,68.8,0.0,HTH_Demand_[VN]
VN,,,,37.4,0.0,RE_PV_Rooftop_Lim_[VN]
VN,,,,37.4,0.3,RE_PV_Openfield_Lim_[VN]
VN,,,,37.4,8.0,RE_WIND_Offshore_Lim_[VN]
VN,,,,37.4,0.1,RE_WIND_Onshore_Lim_[VN]
VN,,,,37.4,6.3,PP_CO2_[VN]
VN,,,,37.4,0.0,BESS_[VN]
VN,,,,37.4,5.4,EL_to_HTH_[VN]
VN,,,,37.4,0.1,EL_to_NH3_[VN]
VN,,,,37.4,0.2,NH3_Storage_[VN]
VN,,,,37.4,0.0,NH3_to_EL_[VN]
VN,,,,37.4,0.0,NH3_to_HTH_[VN]
VN,,,,37.4,0.0,EL_Demand_[VN]
VN,,,,37.4,0.0,HTH_Demand_[VN]
VN,,,,12.5,0.0,RE_PV_Rooftop_Lim_[VN]
VN,,,,12.5,2.3,RE_PV_Openfield_Lim_[VN]
VN,,,,12.5,2.5,RE_WIND_Offshore_Lim_[VN]
VN,,,,12.5,9.2,RE_WIND_Onshore_Lim_[VN]
VN,,,,12.5,2.5,PP_CO2_[VN]
VN,,,,12.5,0.0,BESS_[VN]
VN,,,,12.5,4.6,EL_to_HTH_[VN]
VN,,,,12.5,1.2,EL_to_NH3_[VN]
VN,,,,12.5,1.5,NH3_Storage_[VN]
VN,,,,12.5,0.0,NH3_to_EL_[VN]
VN,,,,12.5,0.1,NH3_to_HTH_[VN]
VN,,,,12.5,0.0,EL_Demand_[VN]
VN,,,,12.5,0.0,HTH_Demand_[VN]
VN,,,,68.8,0.0,RE_PV_Rooftop_Lim_[VN]
VN,,,,68.8,0.0,RE_PV_Openfield_Lim_[VN]
VN,,,,68.8,5.1,RE_WIND_Offshore_Lim_[VN]
VN,,,,68.8,0.0,RE_WIND_Onshore_Lim_[VN]
VN,,,,68.8,8.9,PP_CO2_[VN]
VN,,,,68.8,0.0,BESS_[VN]
VN,,,,68.8,5.5,EL_to_HTH_[VN]
VN,,,,68.8,0.0,EL_to_NH3_[VN]
VN,,,,68.8,0.1,NH3_Storage_[VN]
VN,,,,68.8,0.0,NH3_to_EL_[VN]
VN,,,,68.8,0.0,NH3_to_HTH_[VN]
VN,,,,68.8,0.0,EL_Demand_[VN]
VN,,,,68.8,0.0,HTH_Demand_[VN]
VN,,,,0.0,0.0,RE_PV_Rooftop_Lim_[VN]
VN,,,,0.0,4.5,RE_PV_Openfield_Lim_[VN]
VN,,,,0.0,0.3,RE_WIND_Offshore_Lim_[VN]
