country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_capacity,technology_name
ZA,,,,18.8,0.9,28.4,RE_PV_Openfield_Lim_[ZA]
ZA,,,,18.8,0.0,0.0,RE_PV_Rooftop_Lim_[ZA]
ZA,,,,18.8,6.7,126.5,RE_WIND_Onshore_Lim_[ZA]
ZA,,,,18.8,0.0,0.0,RE_WIND_Offshore_Lim_[ZA]
ZA,,,,18.8,0.9,15.6,PP_CO2_[ZA]
ZA,,,,18.8,0.7,36.4,BESS_[ZA]
ZA,,,,18.8,0.3,27.8,EL_to_HTH_[ZA]
ZA,,,,18.8,0.0,0.0,EL_to_NH3_[ZA]
ZA,,,,18.8,0.0,0.0,NH3_Storage_[ZA]
ZA,,,,18.8,0.0,0.0,NH3_to_EL_[ZA]
ZA,,,,18.8,0.0,0.0,NH3_to_HTH_[ZA]
ZA,,,,18.8,1.7,27.5,FF_to_HTH_[ZA]
ZA,,,,18.8,0.0,45.5,EL_Demand_[ZA]
ZA,,,,18.8,0.0,28.0,HTH_Demand_[ZA]
ZA,,,,7.5,1.3,40.6,RE_PV_Openfield_Lim_[ZA]
ZA,,,,7.5,0.0,0.0,RE_PV_Rooftop_Lim_[ZA]
ZA,,,,7.5,7.9,149.9,RE_WIND_Onshore_Lim_[ZA]
ZA,,,,7.5,0.0,0.0,RE_WIND_Offshore_Lim_[ZA]
ZA,,,,7.5,0.1,2.8,PP_CO2_[ZA]
ZA,,,,7.5,0.8,47.3,BESS_[ZA]
ZA,,,,7.5,0.3,27.8,EL_to_HTH_[ZA]
ZA,,,,7.5,0.2,4.0,EL_to_NH3_[ZA]
ZA,,,,7.5,0.2,13.8,NH3_Storage_[ZA]
ZA,,,,7.5,0.2,2.3,NH3_to_EL_[ZA]
ZA,,,,7.5,0.0,1.4,NH3_to_HTH_[ZA]
ZA,,,,7.5,0.9,27.5,FF_to_HTH_[ZA]
ZA,,,,7.5,0.0,45.5,EL_Demand_[ZA]
ZA,,,,7.5,0.0,28.0,HTH_Demand_[ZA]
ZA,,,,25.4,0.5,17.1,RE_PV_Openfield_Lim_[ZA]
ZA,,,,25.4,0.0,0.0,RE_PV_Rooftop_Lim_[ZA]
ZA,,,,25.4,6.4,120.7,RE_WIND_Onshore_Lim_[ZA]
ZA,,,,25.4,0.0,0.0,RE_WIND_Offshore_Lim_[ZA]
ZA,,,,25.4,1.2,18.4,PP_CO2_[ZA]
ZA,,,,25.4,0.5,28.0,BESS_[ZA]
ZA,,,,25.4,0.3,27.7,EL_to_HTH_[ZA]
ZA,,,,25.4,0.0,0.0,EL_to_NH3_[ZA]
ZA,,,,25.4,0.0,0.1,NH3_Storage_[ZA]
ZA,,,,25.4,0.0,0.0,NH3_to_EL_[ZA]
ZA,,,,25.4,0.0,0.0,NH3_to_HTH_[ZA]
ZA,,,,25.4,2.1,27.7,FF_to_HTH_[ZA]
ZA,,,,25.4,0.0,45.5,EL_Demand_[ZA]
ZA,,,,25.4,0.0,28.0,HTH_Demand_[ZA]
ZA,,,,0.0,2.1,65.8,RE_PV_Openfield_Lim_[ZA]
ZA,,,,0.0,0.0,0.0,RE_PV_Rooftop_Lim_[ZA]
ZA,,,,0.0,9.6,181.8,RE_WIND_Onshore_Lim_[ZA]
ZA,,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_[ZA]
ZA,,,,0.0,0.0,0.0,PP_CO2_[ZA]
ZA,,,,0.0,0.9,52.0,BESS_[ZA]
ZA,,,,0.0,0.3,27.7,EL_to_HTH_[ZA]
ZA,,,,0.0,0.6,10.7,EL_to_NH3_[ZA]
ZA,,,,0.0,2.3,140.8,NH3_Storage_[ZA]
ZA,,,,0.0,0.1,1.6,NH3_to_EL_[ZA]
ZA,,,,0.0,0.1,5.3,NH3_to_HTH_[ZA]
ZA,,,,0.0,0.0,0.0,FF_to_HTH_[ZA]
ZA,,,,0.0,0.0,45.5,EL_Demand_[ZA]
ZA,,,,0.0,0.0,28.0,HTH_Demand_[ZA]
ZA,,,,22.5,0.6,19.0,RE_PV_Openfield_Lim_[ZA]
ZA,,,,22.5,0.0,0.0,RE_PV_Rooftop_Lim_[ZA]
ZA,,,,22.5,6.5,124.1,RE_WIND_Onshore_Lim_[ZA]
ZA,,,,22.5,0.0,0.0,RE_WIND_Offshore_Lim_[ZA]
ZA,,,,22.5,1.0,16.2,PP_CO2_[ZA]
ZA,,,,22.5,0.6,35.2,BESS_[ZA]
ZA,,,,22.5,0.3,27.7,EL_to_HTH_[ZA]
ZA,,,,22.5,0.0,0.0,EL_to_NH3_[ZA]
ZA,,,,22.5,0.0,0.1,NH3_Storage_[ZA]
ZA,,,,22.5,0.0,0.0,NH3_to_EL_[ZA]
ZA,,,,22.5,0.0,0.0,NH3_to_HTH_[ZA]
ZA,,,,22.5,1.9,27.6,FF_to_HTH_[ZA]
ZA,,,,22.5,0.0,45.5,EL_Demand_[ZA]
ZA,,,,22.5,0.0,28.0,HTH_Demand_[ZA]
ZA,,,,30.0,0.5,16.8,RE_PV_Openfield_Lim_[ZA]
ZA,,,,30.0,0.0,0.0,RE_PV_Rooftop_Lim_[ZA]
ZA,,,,30.0,6.0,113.3,RE_WIND_Onshore_Lim_[ZA]
ZA,,,,30.0,0.0,0.0,RE_WIND_Offshore_Lim_[ZA]
ZA,,,,30.0,1.4,20.5,PP_CO2_[ZA]
ZA,,,,30.0,0.4,23.7,BESS_[ZA]
ZA,,,,30.0,0.3,27.5,EL_to_HTH_[ZA]
ZA,,,,30.0,0.0,0.0,EL_to_NH3_[ZA]
ZA,,,,30.0,0.0,0.0,NH3_Storage_[ZA]
ZA,,,,30.0,0.0,0.0,NH3_to_EL_[ZA]
ZA,,,,30.0,0.0,0.0,NH3_to_HTH_[ZA]
ZA,,,,30.0,2.3,27.6,FF_to_HTH_[ZA]
ZA,,,,30.0,0.0,45.5,EL_Demand_[ZA]
ZA,,,,30.0,0.0,28.0,HTH_Demand_[ZA]
ZA,,,,3.8,1.5,48.3,RE_PV_Openfield_Lim_[ZA]
ZA,,,,3.8,0.0,0.0,RE_PV_Rooftop_Lim_[ZA]
ZA,,,,3.8,8.8,167.0,RE_WIND_Onshore_Lim_[ZA]
ZA,,,,3.8,0.0,0.0,RE_WIND_Offshore_Lim_[ZA]
ZA,,,,3.8,0.0,0.0,PP_CO2_[ZA]
ZA,,,,3.8,0.8,44.9,BESS_[ZA]
ZA,,,,3.8,0.3,27.7,EL_to_HTH_[ZA]
ZA,,,,3.8,0.3,5.4,EL_to_NH3_[ZA]
ZA,,,,3.8,0.5,29.2,NH3_Storage_[ZA]
ZA,,,,3.8,0.2,2.6,NH3_to_EL_[ZA]
ZA,,,,3.8,0.0,2.2,NH3_to_HTH_[ZA]
ZA,,,,3.8,0.6,23.1,FF_to_HTH_[ZA]
ZA,,,,3.8,0.0,45.5,EL_Demand_[ZA]
ZA,,,,3.8,0.0,28.0,HTH_Demand_[ZA]
ZA,,,,31.2,0.5,17.0,RE_PV_Openfield_Lim_[ZA]
ZA,,,,31.2,0.0,0.0,RE_PV_Rooftop_Lim_[ZA]
ZA,,,,31.2,6.0,112.8,RE_WIND_Onshore_Lim_[ZA]
ZA,,,,31.2,0.0,0.0,RE_WIND_Offshore_Lim_[ZA]
ZA,,,,31.2,1.5,22.4,PP_CO2_[ZA]
ZA,,,,31.2,0.3,16.3,BESS_[ZA]
