country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_name
TH,,,,271.4,0.1,RE_PV_Openfield_BAU_[TH]
TH,,,,271.4,0.2,RE_WIND_Onshore_BAU_[TH]
TH,,,,271.4,14.9,PP_CO2_[TH]
TH,,,,271.4,5.2,FF_to_HTH_[TH]
TH,,,,271.4,0.0,EL_Demand_[TH]
TH,,,,271.4,0.0,HTH_Demand_[TH]
LA,,,,6.6,0.0,RE_PV_Openfield_BAU_[LA]
LA,,,,6.6,0.0,RE_WIND_Onshore_BAU_[LA]
LA,,,,6.6,0.4,PP_CO2_[LA]
LA,,,,6.6,0.0,FF_to_HTH_[LA]
LA,,,,6.6,0.0,EL_Demand_[LA]
LA,,,,6.6,0.0,HTH_Demand_[LA]
CL,,,,43.3,0.5,RE_PV_Openfield_BAU_[CL]
CL,,,,43.3,0.2,RE_WIND_Onshore_BAU_[CL]
CL,,,,43.3,3.0,PP_CO2_[CL]
CL,,,,43.3,1.9,FF_to_HTH_[CL]
CL,,,,43.3,0.0,EL_Demand_[CL]
CL,,,,43.3,0.0,HTH_Demand_[CL]
EG,,,,247.1,0.2,RE_PV_Openfield_BAU_[EG]
EG,,,,247.1,0.2,RE_WIND_Onshore_BAU_[EG]
EG,,,,247.1,21.0,PP_CO2_[EG]
EG,,,,247.1,5.8,FF_to_HTH_[EG]
EG,,,,247.1,0.0,EL_Demand_[EG]
EG,,,,247.1,0.0,HTH_Demand_[EG]
ID,,,,774.1,0.0,RE_PV_Openfield_BAU_[ID]
ID,,,,774.1,0.0,RE_WIND_Onshore_BAU_[ID]
ID,,,,774.1,32.9,PP_CO2_[ID]
ID,,,,774.1,18.1,FF_to_HTH_[ID]
ID,,,,774.1,0.0,EL_Demand_[ID]
ID,,,,774.1,0.0,HTH_Demand_[ID]
BR,,,,247.0,2.3,RE_PV_Openfield_BAU_[BR]
BR,,,,247.0,1.7,RE_WIND_Onshore_BAU_[BR]
BR,,,,247.0,37.7,PP_CO2_[BR]
BR,,,,247.0,18.9,FF_to_HTH_[BR]
BR,,,,247.0,0.0,EL_Demand_[BR]
BR,,,,247.0,0.0,HTH_Demand_[BR]
KH,,,,24.7,0.0,RE_PV_Openfield_BAU_[KH]
KH,,,,24.7,0.0,RE_WIND_Onshore_BAU_[KH]
KH,,,,24.7,0.6,PP_CO2_[KH]
KH,,,,24.7,1.7,FF_to_HTH_[KH]
KH,,,,24.7,0.0,EL_Demand_[KH]
KH,,,,24.7,0.0,HTH_Demand_[KH]
BN,,,,6.6,0.0,RE_PV_Openfield_BAU_[BN]
BN,,,,6.6,0.0,RE_WIND_Onshore_BAU_[BN]
BN,,,,6.6,0.3,PP_CO2_[BN]
BN,,,,6.6,0.0,FF_to_HTH_[BN]
BN,,,,6.6,0.0,EL_Demand_[BN]
BN,,,,6.6,0.0,HTH_Demand_[BN]
AU,,,,313.0,1.1,RE_PV_Openfield_BAU_[AU]
AU,,,,313.0,1.2,RE_WIND_Onshore_BAU_[AU]
AU,,,,313.0,14.4,PP_CO2_[AU]
AU,,,,313.0,9.9,FF_to_HTH_[AU]
AU,,,,313.0,0.0,EL_Demand_[AU]
AU,,,,313.0,0.0,HTH_Demand_[AU]
MY,,,,190.5,0.1,RE_PV_Openfield_BAU_[MY]
MY,,,,190.5,0.0,RE_WIND_Onshore_BAU_[MY]
MY,,,,190.5,8.3,PP_CO2_[MY]
MY,,,,190.5,1.9,FF_to_HTH_[MY]
MY,,,,190.5,0.0,EL_Demand_[MY]
MY,,,,190.5,0.0,HTH_Demand_[MY]
KR,,,,306.6,0.5,RE_PV_Openfield_BAU_[KR]
KR,,,,306.6,0.1,RE_WIND_Onshore_BAU_[KR]
KR,,,,306.6,24.2,PP_CO2_[KR]
KR,,,,306.6,3.4,FF_to_HTH_[KR]
KR,,,,306.6,0.0,EL_Demand_[KR]
KR,,,,306.6,0.0,HTH_Demand_[KR]
PH,,,,185.0,0.1,RE_PV_Openfield_BAU_[PH]
PH,,,,185.0,0.1,RE_WIND_Onshore_BAU_[PH]
PH,,,,185.0,8.1,PP_CO2_[PH]
PH,,,,185.0,1.7,FF_to_HTH_[PH]
PH,,,,185.0,0.0,EL_Demand_[PH]
PH,,,,185.0,0.0,HTH_Demand_[PH]
SG,,,,37.3,0.0,RE_PV_Openfield_BAU_[SG]
SG,,,,37.3,0.0,RE_WIND_Onshore_BAU_[SG]
SG,,,,37.3,3.6,PP_CO2_[SG]
SG,,,,37.3,0.7,FF_to_HTH_[SG]
SG,,,,37.3,0.0,EL_Demand_[SG]
SG,,,,37.3,0.0,HTH_Demand_[SG]
ZA,,,,241.0,0.3,RE_PV_Openfield_BAU_[ZA]
ZA,,,,241.0,0.2,RE_WIND_Onshore_BAU_[ZA]
ZA,,,,241.0,13.4,PP_CO2_[ZA]
ZA,,,,241.0,4.1,FF_to_HTH_[ZA]
ZA,,,,241.0,0.0,EL_Demand_[ZA]
ZA,,,,241.0,0.0,HTH_Demand_[ZA]
SA,,,,524.1,0.0,RE_PV_Openfield_BAU_[SA]
SA,,,,524.1,0.0,RE_WIND_Onshore_BAU_[SA]
SA,,,,524.1,24.8,PP_CO2_[SA]
SA,,,,524.1,14.2,FF_to_HTH_[SA]
SA,,,,524.1,0.0,EL_Demand_[SA]
SA,,,,524.1,0.0,HTH_Demand_[SA]
CO,,,,49.6,0.0,RE_PV_Openfield_BAU_[CO]
CO,,,,49.6,0.0,RE_WIND_Onshore_BAU_[CO]
CO,,,,49.6,7.4,PP_CO2_[CO]
CO,,,,49.6,1.8,FF_to_HTH_[CO]
CO,,,,49.6,0.0,EL_Demand_[CO]
CO,,,,49.6,0.0,HTH_Demand_[CO]
IN,,,,2815.2,2.4,RE_PV_Openfield_BAU_[IN]
IN,,,,2815.2,5.6,RE_WIND_Onshore_BAU_[IN]
IN,,,,2815.2,84.3,PP_CO2_[IN]
IN,,,,2815.2,53.8,FF_to_HTH_[IN]
IN,,,,2815.2,0.0,EL_Demand_[IN]
IN,,,,2815.2,0.0,HTH_Demand_[IN]
AE,,,,229.4,0.1,RE_PV_Openfield_BAU_[AE]
AE,,,,229.4,0.0,RE_WIND_Onshore_BAU_[AE]
AE,,,,229.4,9.3,PP_CO2_[AE]
AE,,,,229.4,13.3,FF_to_HTH_[AE]
AE,,,,229.4,0.0,EL_Demand_[AE]
AE,,,,229.4,0.0,HTH_Demand_[AE]
KE,,,,11.6,0.0,RE_PV_Openfield_BAU_[KE]
KE,,,,11.6,0.1,RE_WIND_Onshore_BAU_[KE]
KE,,,,11.6,3.1,PP_CO2_[KE]
KE,,,,11.6,0.8,FF_to_HTH_[KE]
KE,,,,11.6,0.0,EL_Demand_[KE]
KE,,,,11.6,0.0,HTH_Demand_[KE]
MA,,,,74.4,0.0,RE_PV_Openfield_BAU_[MA]
MA,,,,74.4,0.2,RE_WIND_Onshore_BAU_[MA]
MA,,,,74.4,4.3,PP_CO2_[MA]
MA,,,,74.4,1.1,FF_to_HTH_[MA]
MA,,,,74.4,0.0,EL_Demand_[MA]
MA,,,,74.4,0.0,HTH_Demand_[MA]
NG,,,,282.5,0.0,RE_PV_Openfield_BAU_[NG]
NG,,,,282.5,0.0,RE_WIND_Onshore_BAU_[NG]
NG,,,,282.5,28.3,PP_CO2_[NG]
NG,,,,282.5,6.3,FF_to_HTH_[NG]
NG,,,,282.5,0.0,EL_Demand_[NG]
NG,,,,282.5,0.0,HTH_Demand_[NG]
VN,,,,359.0,0.8,RE_PV_Openfield_BAU_[VN]
VN,,,,359.0,0.1,RE_WIND_Onshore_BAU_[VN]
VN,,,,359.0,11.2,PP_CO2_[VN]
VN,,,,359.0,7.0,FF_to_HTH_[VN]
VN,,,,359.0,0.0,EL_Demand_[VN]
VN,,,,359.0,0.0,HTH_Demand_[VN]
PE,,,,32.9,0.0,RE_PV_Openfield_BAU_[PE]
PE,,,,32.9,0.1,RE_WIND_Onshore_BAU_[PE]
PE,,,,32.9,5.0,PP_CO2_[PE]
PE,,,,32.9,0.8,FF_to_HTH_[PE]
PE,,,,32.9,0.0,EL_Demand_[PE]
PE,,,,32.9,0.0,HTH_Demand_[PE]
