country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_capacity,technology_name
ID,BN,,,101.4,0.0,0.0,RE_PV_Rooftop_Lim_[BN]
ID,BN,,,101.4,0.1,5.0,RE_PV_Openfield_Lim_[BN]
ID,BN,,,101.4,0.0,0.3,RE_WIND_Onshore_Lim_[BN]
ID,BN,,,101.4,0.0,0.6,RE_WIND_Offshore_Lim_[BN]
ID,BN,,,101.4,0.1,0.5,PP_CO2_[BN]
ID,BN,,,101.4,0.1,8.2,BESS_[BN]
ID,BN,,,101.4,0.0,0.1,EL_to_HTH_[BN]
ID,BN,,,101.4,0.0,0.0,EL_to_NH3_[BN]
ID,BN,,,101.4,0.0,0.0,NH3_Storage_[BN]
ID,BN,,,101.4,0.0,0.0,NH3_to_EL_[BN]
ID,BN,,,101.4,0.0,0.0,NH3_to_HTH_[BN]
ID,BN,,,101.4,0.0,0.1,FF_to_HTH_[BN]
ID,BN,,,101.4,0.0,1.5,EL_Demand_[BN]
ID,BN,,,101.4,0.0,0.1,HTH_Demand_[BN]
ID,BN,,,101.4,0.0,0.0,RE_PV_Rooftop_Lim_[ID]
ID,BN,,,101.4,4.2,202.3,RE_PV_Openfield_Lim_[ID]
ID,BN,,,101.4,14.5,301.5,RE_WIND_Onshore_Lim_[ID]
ID,BN,,,101.4,9.8,185.7,RE_WIND_Offshore_Lim_[ID]
ID,BN,,,101.4,3.8,58.9,PP_CO2_[ID]
ID,BN,,,101.4,0.6,32.2,BESS_[ID]
ID,BN,,,101.4,1.3,116.6,EL_to_HTH_[ID]
ID,BN,,,101.4,0.0,0.0,EL_to_NH3_[ID]
ID,BN,,,101.4,0.0,0.0,NH3_Storage_[ID]
ID,BN,,,101.4,0.0,0.0,NH3_to_EL_[ID]
ID,BN,,,101.4,0.0,0.0,NH3_to_HTH_[ID]
ID,BN,,,101.4,8.4,116.6,FF_to_HTH_[ID]
ID,BN,,,101.4,0.0,138.0,EL_Demand_[ID]
ID,BN,,,101.4,0.0,117.7,HTH_Demand_[ID]
ID,BN,,,25.3,0.0,0.4,RE_PV_Rooftop_Lim_[BN]
ID,BN,,,25.3,0.1,5.0,RE_PV_Openfield_Lim_[BN]
ID,BN,,,25.3,0.0,0.3,RE_WIND_Onshore_Lim_[BN]
ID,BN,,,25.3,0.2,3.0,RE_WIND_Offshore_Lim_[BN]
ID,BN,,,25.3,0.0,0.1,PP_CO2_[BN]
ID,BN,,,25.3,0.2,12.0,BESS_[BN]
ID,BN,,,25.3,0.0,0.1,EL_to_HTH_[BN]
ID,BN,,,25.3,0.0,0.3,EL_to_NH3_[BN]
ID,BN,,,25.3,0.0,1.6,NH3_Storage_[BN]
ID,BN,,,25.3,0.0,0.0,NH3_to_EL_[BN]
ID,BN,,,25.3,0.0,0.0,NH3_to_HTH_[BN]
ID,BN,,,25.3,0.0,0.1,FF_to_HTH_[BN]
ID,BN,,,25.3,0.0,1.5,EL_Demand_[BN]
ID,BN,,,25.3,0.0,0.1,HTH_Demand_[BN]
ID,BN,,,25.3,0.0,0.0,RE_PV_Rooftop_Lim_[ID]
ID,BN,,,25.3,6.6,321.4,RE_PV_Openfield_Lim_[ID]
ID,BN,,,25.3,32.1,666.0,RE_WIND_Onshore_Lim_[ID]
ID,BN,,,25.3,5.2,98.2,RE_WIND_Offshore_Lim_[ID]
ID,BN,,,25.3,0.0,0.0,PP_CO2_[ID]
ID,BN,,,25.3,2.6,144.2,BESS_[ID]
ID,BN,,,25.3,1.3,115.6,EL_to_HTH_[ID]
ID,BN,,,25.3,0.4,7.6,EL_to_NH3_[ID]
ID,BN,,,25.3,1.0,60.2,NH3_Storage_[ID]
ID,BN,,,25.3,0.1,1.4,NH3_to_EL_[ID]
ID,BN,,,25.3,0.1,7.0,NH3_to_HTH_[ID]
ID,BN,,,25.3,3.3,96.8,FF_to_HTH_[ID]
ID,BN,,,25.3,0.0,138.0,EL_Demand_[ID]
ID,BN,,,25.3,0.0,117.7,HTH_Demand_[ID]
ID,BN,,,156.4,0.0,0.0,RE_PV_Rooftop_Lim_[BN]
ID,BN,,,156.4,0.1,2.9,RE_PV_Openfield_Lim_[BN]
ID,BN,,,156.4,0.0,0.3,RE_WIND_Onshore_Lim_[BN]
ID,BN,,,156.4,0.0,0.5,RE_WIND_Offshore_Lim_[BN]
ID,BN,,,156.4,0.2,1.1,PP_CO2_[BN]
ID,BN,,,156.4,0.0,1.6,BESS_[BN]
ID,BN,,,156.4,0.0,0.1,EL_to_HTH_[BN]
ID,BN,,,156.4,0.0,0.0,EL_to_NH3_[BN]
ID,BN,,,156.4,0.0,0.0,NH3_Storage_[BN]
ID,BN,,,156.4,0.0,0.0,NH3_to_EL_[BN]
ID,BN,,,156.4,0.0,0.0,NH3_to_HTH_[BN]
ID,BN,,,156.4,0.0,0.1,FF_to_HTH_[BN]
ID,BN,,,156.4,0.0,1.5,EL_Demand_[BN]
ID,BN,,,156.4,0.0,0.1,HTH_Demand_[BN]
ID,BN,,,156.4,0.0,0.0,RE_PV_Rooftop_Lim_[ID]
ID,BN,,,156.4,4.1,201.3,RE_PV_Openfield_Lim_[ID]
ID,BN,,,156.4,4.8,99.4,RE_WIND_Onshore_Lim_[ID]
ID,BN,,,156.4,13.5,257.0,RE_WIND_Offshore_Lim_[ID]
ID,BN,,,156.4,6.4,83.7,PP_CO2_[ID]
ID,BN,,,156.4,0.1,4.6,BESS_[ID]
ID,BN,,,156.4,1.3,115.6,EL_to_HTH_[ID]
ID,BN,,,156.4,0.0,0.0,EL_to_NH3_[ID]
ID,BN,,,156.4,0.0,0.0,NH3_Storage_[ID]
