country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_capacity,technology_name
MY,BN,PH,,0.0,0.0,0.0,RE_PV_Rooftop_Lim_[BN]
MY,BN,PH,,0.0,0.1,5.0,RE_PV_Openfield_Lim_[BN]
MY,BN,PH,,0.0,0.0,0.3,RE_WIND_Onshore_Lim_[BN]
MY,BN,PH,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_[BN]
MY,BN,PH,,0.0,0.0,0.0,PP_CO2_[BN]
MY,BN,PH,,0.0,0.2,10.2,BESS_[BN]
MY,BN,PH,,0.0,0.0,0.1,EL_to_HTH_[BN]
MY,BN,PH,,0.0,0.0,0.0,EL_to_NH3_[BN]
MY,BN,PH,,0.0,0.1,5.2,NH3_Storage_[BN]
MY,BN,PH,,0.0,0.0,0.3,NH3_to_EL_[BN]
MY,BN,PH,,0.0,0.0,0.0,NH3_to_HTH_[BN]
MY,BN,PH,,0.0,0.0,0.0,FF_to_HTH_[BN]
MY,BN,PH,,0.0,0.0,1.5,EL_Demand_[BN]
MY,BN,PH,,0.0,0.0,0.1,HTH_Demand_[BN]
MY,BN,PH,,0.0,0.0,0.0,RE_PV_Rooftop_Lim_[PH]
MY,BN,PH,,0.0,2.0,98.9,RE_PV_Openfield_Lim_[PH]
MY,BN,PH,,0.0,5.5,115.1,RE_WIND_Onshore_Lim_[PH]
MY,BN,PH,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_[PH]
MY,BN,PH,,0.0,0.0,0.0,PP_CO2_[PH]
MY,BN,PH,,0.0,2.5,138.9,BESS_[PH]
MY,BN,PH,,0.0,0.1,11.3,EL_to_HTH_[PH]
MY,BN,PH,,0.0,0.5,7.9,EL_to_NH3_[PH]
MY,BN,PH,,0.0,1.6,95.5,NH3_Storage_[PH]
MY,BN,PH,,0.0,0.2,2.9,NH3_to_EL_[PH]
MY,BN,PH,,0.0,0.0,2.2,NH3_to_HTH_[PH]
MY,BN,PH,,0.0,0.0,0.0,FF_to_HTH_[PH]
MY,BN,PH,,0.0,0.0,36.4,EL_Demand_[PH]
MY,BN,PH,,0.0,0.0,11.5,HTH_Demand_[PH]
MY,BN,PH,,0.0,0.0,0.0,RE_PV_Rooftop_Lim_[MY]
MY,BN,PH,,0.0,3.1,150.3,RE_PV_Openfield_Lim_[MY]
MY,BN,PH,,0.0,4.8,100.3,RE_WIND_Onshore_Lim_[MY]
MY,BN,PH,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_[MY]
MY,BN,PH,,0.0,0.0,0.0,PP_CO2_[MY]
MY,BN,PH,,0.0,4.1,228.0,BESS_[MY]
MY,BN,PH,,0.0,0.1,12.5,EL_to_HTH_[MY]
MY,BN,PH,,0.0,0.4,6.6,EL_to_NH3_[MY]
MY,BN,PH,,0.0,1.5,87.7,NH3_Storage_[MY]
MY,BN,PH,,0.0,0.0,0.4,NH3_to_EL_[MY]
MY,BN,PH,,0.0,0.0,2.4,NH3_to_HTH_[MY]
MY,BN,PH,,0.0,0.0,0.0,FF_to_HTH_[MY]
MY,BN,PH,,0.0,0.0,34.4,EL_Demand_[MY]
MY,BN,PH,,0.0,0.0,12.7,HTH_Demand_[MY]
MY,BN,PH,,0.0,0.0,5.5,NH3_Transport_[BN-PH]
MY,BN,PH,,0.0,0.0,0.5,EL_Transport_[BN-PH]
MY,BN,PH,,0.0,0.0,5.2,NH3_Transport_[BN-MY]
MY,BN,PH,,0.0,0.0,0.3,EL_Transport_[BN-MY]
MY,BN,PH,,0.0,0.0,90.8,NH3_Transport_[PH-MY]
MY,BN,PH,,0.0,0.3,3.7,EL_Transport_[PH-MY]
MY,BN,PH,,15.3,0.0,0.0,RE_PV_Rooftop_Lim_[BN]
MY,BN,PH,,15.3,0.1,5.0,RE_PV_Openfield_Lim_[BN]
MY,BN,PH,,15.3,0.0,0.3,RE_WIND_Onshore_Lim_[BN]
MY,BN,PH,,15.3,0.0,0.0,RE_WIND_Offshore_Lim_[BN]
MY,BN,PH,,15.3,0.0,0.1,PP_CO2_[BN]
MY,BN,PH,,15.3,0.2,10.0,BESS_[BN]
MY,BN,PH,,15.3,0.0,0.1,EL_to_HTH_[BN]
MY,BN,PH,,15.3,0.0,0.0,EL_to_NH3_[BN]
MY,BN,PH,,15.3,0.0,0.2,NH3_Storage_[BN]
MY,BN,PH,,15.3,0.0,0.0,NH3_to_EL_[BN]
MY,BN,PH,,15.3,0.0,0.0,NH3_to_HTH_[BN]
MY,BN,PH,,15.3,0.0,0.1,FF_to_HTH_[BN]
MY,BN,PH,,15.3,0.0,1.5,EL_Demand_[BN]
MY,BN,PH,,15.3,0.0,0.1,HTH_Demand_[BN]
MY,BN,PH,,15.3,0.0,0.0,RE_PV_Rooftop_Lim_[PH]
MY,BN,PH,,15.3,1.3,63.4,RE_PV_Openfield_Lim_[PH]
MY,BN,PH,,15.3,5.5,113.7,RE_WIND_Onshore_Lim_[PH]
MY,BN,PH,,15.3,0.0,0.0,RE_WIND_Offshore_Lim_[PH]
MY,BN,PH,,15.3,0.4,5.2,PP_CO2_[PH]
MY,BN,PH,,15.3,1.6,87.9,BESS_[PH]
MY,BN,PH,,15.3,0.1,11.2,EL_to_HTH_[PH]
MY,BN,PH,,15.3,0.1,2.5,EL_to_NH3_[PH]
MY,BN,PH,,15.3,0.3,18.4,NH3_Storage_[PH]
MY,BN,PH,,15.3,0.1,1.7,NH3_to_EL_[PH]
MY,BN,PH,,15.3,0.0,0.7,NH3_to_HTH_[PH]
MY,BN,PH,,15.3,0.5,11.3,FF_to_HTH_[PH]
MY,BN,PH,,15.3,0.0,36.4,EL_Demand_[PH]
MY,BN,PH,,15.3,0.0,11.5,HTH_Demand_[PH]
MY,BN,PH,,15.3,0.0,0.0,RE_PV_Rooftop_Lim_[MY]
MY,BN,PH,,15.3,2.4,115.1,RE_PV_Openfield_Lim_[MY]
MY,BN,PH,,15.3,4.8,100.3,RE_WIND_Onshore_Lim_[MY]
MY,BN,PH,,15.3,0.0,0.0,RE_WIND_Offshore_Lim_[MY]
MY,BN,PH,,15.3,0.1,1.7,PP_CO2_[MY]
MY,BN,PH,,15.3,3.1,171.3,BESS_[MY]
MY,BN,PH,,15.3,0.1,12.5,EL_to_HTH_[MY]
MY,BN,PH,,15.3,0.2,2.7,EL_to_NH3_[MY]
MY,BN,PH,,15.3,0.3,17.0,NH3_Storage_[MY]
MY,BN,PH,,15.3,0.1,1.4,NH3_to_EL_[MY]
MY,BN,PH,,15.3,0.0,0.5,NH3_to_HTH_[MY]
MY,BN,PH,,15.3,0.6,12.4,FF_to_HTH_[MY]
MY,BN,PH,,15.3,0.0,34.4,EL_Demand_[MY]
MY,BN,PH,,15.3,0.0,12.7,HTH_Demand_[MY]
MY,BN,PH,,15.3,0.0,0.2,NH3_Transport_[BN-PH]
MY,BN,PH,,15.3,0.0,0.6,EL_Transport_[BN-PH]
MY,BN,PH,,15.3,0.0,0.2,NH3_Transport_[BN-MY]
MY,BN,PH,,15.3,0.0,0.4,EL_Transport_[BN-MY]
MY,BN,PH,,15.3,0.0,18.5,NH3_Transport_[PH-MY]
MY,BN,PH,,15.3,0.5,5.8,EL_Transport_[PH-MY]
MY,BN,PH,,30.5,0.0,0.0,RE_PV_Rooftop_Lim_[BN]
MY,BN,PH,,30.5,0.1,4.8,RE_PV_Openfield_Lim_[BN]
MY,BN,PH,,30.5,0.0,0.3,RE_WIND_Onshore_Lim_[BN]
MY,BN,PH,,30.5,0.0,0.0,RE_WIND_Offshore_Lim_[BN]
MY,BN,PH,,30.5,0.0,0.3,PP_CO2_[BN]
MY,BN,PH,,30.5,0.2,9.0,BESS_[BN]
MY,BN,PH,,30.5,0.0,0.1,EL_to_HTH_[BN]
MY,BN,PH,,30.5,0.0,0.0,EL_to_NH3_[BN]
MY,BN,PH,,30.5,0.0,0.0,NH3_Storage_[BN]
MY,BN,PH,,30.5,0.0,0.0,NH3_to_EL_[BN]
MY,BN,PH,,30.5,0.0,0.0,NH3_to_HTH_[BN]
MY,BN,PH,,30.5,0.0,0.1,FF_to_HTH_[BN]
MY,BN,PH,,30.5,0.0,1.5,EL_Demand_[BN]
MY,BN,PH,,30.5,0.0,0.1,HTH_Demand_[BN]
MY,BN,PH,,30.5,0.0,0.0,RE_PV_Rooftop_Lim_[PH]
MY,BN,PH,,30.5,0.8,38.7,RE_PV_Openfield_Lim_[PH]
MY,BN,PH,,30.5,5.6,115.6,RE_WIND_Onshore_Lim_[PH]
MY,BN,PH,,30.5,0.0,0.0,RE_WIND_Offshore_Lim_[PH]
MY,BN,PH,,30.5,1.2,16.4,PP_CO2_[PH]
MY,BN,PH,,30.5,0.3,19.1,BESS_[PH]
MY,BN,PH,,30.5,0.1,11.3,EL_to_HTH_[PH]
MY,BN,PH,,30.5,0.0,0.2,EL_to_NH3_[PH]
MY,BN,PH,,30.5,0.0,0.7,NH3_Storage_[PH]
MY,BN,PH,,30.5,0.0,0.1,NH3_to_EL_[PH]
MY,BN,PH,,30.5,0.0,0.1,NH3_to_HTH_[PH]
MY,BN,PH,,30.5,0.6,11.2,FF_to_HTH_[PH]
MY,BN,PH,,30.5,0.0,36.4,EL_Demand_[PH]
MY,BN,PH,,30.5,0.0,11.5,HTH_Demand_[PH]
MY,BN,PH,,30.5,0.0,0.0,RE_PV_Rooftop_Lim_[MY]
MY,BN,PH,,30.5,2.1,100.4,RE_PV_Openfield_Lim_[MY]
MY,BN,PH,,30.5,4.8,100.3,RE_WIND_Onshore_Lim_[MY]
MY,BN,PH,,30.5,0.0,0.0,RE_WIND_Offshore_Lim_[MY]
MY,BN,PH,,30.5,0.5,6.2,PP_CO2_[MY]
MY,BN,PH,,30.5,2.7,151.3,BESS_[MY]
MY,BN,PH,,30.5,0.1,12.4,EL_to_HTH_[MY]
MY,BN,PH,,30.5,0.0,0.2,EL_to_NH3_[MY]
MY,BN,PH,,30.5,0.0,0.7,NH3_Storage_[MY]
MY,BN,PH,,30.5,0.0,0.1,NH3_to_EL_[MY]
MY,BN,PH,,30.5,0.0,0.1,NH3_to_HTH_[MY]
MY,BN,PH,,30.5,0.9,12.4,FF_to_HTH_[MY]
MY,BN,PH,,30.5,0.0,34.4,EL_Demand_[MY]
MY,BN,PH,,30.5,0.0,12.7,HTH_Demand_[MY]
MY,BN,PH,,30.5,0.0,0.0,NH3_Transport_[BN-PH]
MY,BN,PH,,30.5,0.0,0.6,EL_Transport_[BN-PH]
MY,BN,PH,,30.5,0.0,0.0,NH3_Transport_[BN-MY]
MY,BN,PH,,30.5,0.0,0.3,EL_Transport_[BN-MY]
MY,BN,PH,,30.5,0.0,0.7,NH3_Transport_[PH-MY]
MY,BN,PH,,30.5,0.4,4.3,EL_Transport_[PH-MY]
MY,BN,PH,,45.8,0.0,0.0,RE_PV_Rooftop_Lim_[BN]
MY,BN,PH,,45.8,0.1,3.6,RE_PV_Openfield_Lim_[BN]
MY,BN,PH,,45.8,0.0,0.0,RE_WIND_Onshore_Lim_[BN]
MY,BN,PH,,45.8,0.0,0.0,RE_WIND_Offshore_Lim_[BN]
MY,BN,PH,,45.8,0.1,0.6,PP_CO2_[BN]
MY,BN,PH,,45.8,0.1,5.6,BESS_[BN]
MY,BN,PH,,45.8,0.0,0.1,EL_to_HTH_[BN]
MY,BN,PH,,45.8,0.0,0.0,EL_to_NH3_[BN]
MY,BN,PH,,45.8,0.0,0.0,NH3_Storage_[BN]
MY,BN,PH,,45.8,0.0,0.0,NH3_to_EL_[BN]
MY,BN,PH,,45.8,0.0,0.0,NH3_to_HTH_[BN]
MY,BN,PH,,45.8,0.0,0.1,FF_to_HTH_[BN]
MY,BN,PH,,45.8,0.0,1.5,EL_Demand_[BN]
MY,BN,PH,,45.8,0.0,0.1,HTH_Demand_[BN]
MY,BN,PH,,45.8,0.0,0.0,RE_PV_Rooftop_Lim_[PH]
MY,BN,PH,,45.8,0.6,30.2,RE_PV_Openfield_Lim_[PH]
MY,BN,PH,,45.8,5.2,106.8,RE_WIND_Onshore_Lim_[PH]
MY,BN,PH,,45.8,0.0,0.0,RE_WIND_Offshore_Lim_[PH]
MY,BN,PH,,45.8,1.4,18.0,PP_CO2_[PH]
MY,BN,PH,,45.8,0.2,11.3,BESS_[PH]
MY,BN,PH,,45.8,0.1,11.3,EL_to_HTH_[PH]
MY,BN,PH,,45.8,0.0,0.0,EL_to_NH3_[PH]
MY,BN,PH,,45.8,0.0,0.0,NH3_Storage_[PH]
MY,BN,PH,,45.8,0.0,0.0,NH3_to_EL_[PH]
MY,BN,PH,,45.8,0.0,0.0,NH3_to_HTH_[PH]
MY,BN,PH,,45.8,0.7,11.3,FF_to_HTH_[PH]
MY,BN,PH,,45.8,0.0,36.4,EL_Demand_[PH]
MY,BN,PH,,45.8,0.0,11.5,HTH_Demand_[PH]
MY,BN,PH,,45.8,0.0,0.0,RE_PV_Rooftop_Lim_[MY]
MY,BN,PH,,45.8,1.6,78.3,RE_PV_Openfield_Lim_[MY]
MY,BN,PH,,45.8,4.8,100.3,RE_WIND_Onshore_Lim_[MY]
MY,BN,PH,,45.8,0.0,0.0,RE_WIND_Offshore_Lim_[MY]
MY,BN,PH,,45.8,1.0,11.5,PP_CO2_[MY]
MY,BN,PH,,45.8,1.5,84.9,BESS_[MY]
MY,BN,PH,,45.8,0.1,12.3,EL_to_HTH_[MY]
MY,BN,PH,,45.8,0.0,0.0,EL_to_NH3_[MY]
MY,BN,PH,,45.8,0.0,0.0,NH3_Storage_[MY]
MY,BN,PH,,45.8,0.0,0.0,NH3_to_EL_[MY]
MY,BN,PH,,45.8,0.0,0.0,NH3_to_HTH_[MY]
MY,BN,PH,,45.8,1.1,12.5,FF_to_HTH_[MY]
MY,BN,PH,,45.8,0.0,34.4,EL_Demand_[MY]
MY,BN,PH,,45.8,0.0,12.7,HTH_Demand_[MY]
MY,BN,PH,,45.8,0.0,0.0,NH3_Transport_[BN-PH]
MY,BN,PH,,45.8,0.0,0.8,EL_Transport_[BN-PH]
MY,BN,PH,,45.8,0.0,0.0,NH3_Transport_[BN-MY]
MY,BN,PH,,45.8,0.0,0.2,EL_Transport_[BN-MY]
MY,BN,PH,,45.8,0.0,0.0,NH3_Transport_[PH-MY]
MY,BN,PH,,45.8,0.4,4.2,EL_Transport_[PH-MY]
MY,BN,PH,,61.1,0.0,0.0,RE_PV_Rooftop_Lim_[BN]
MY,BN,PH,,61.1,0.1,3.4,RE_PV_Openfield_Lim_[BN]
MY,BN,PH,,61.1,0.0,0.0,RE_WIND_Onshore_Lim_[BN]
MY,BN,PH,,61.1,0.0,0.0,RE_WIND_Offshore_Lim_[BN]
MY,BN,PH,,61.1,0.1,0.8,PP_CO2_[BN]
MY,BN,PH,,61.1,0.1,3.8,BESS_[BN]
MY,BN,PH,,61.1,0.0,0.1,EL_to_HTH_[BN]
MY,BN,PH,,61.1,0.0,0.0,EL_to_NH3_[BN]
MY,BN,PH,,61.1,0.0,0.0,NH3_Storage_[BN]
MY,BN,PH,,61.1,0.0,0.0,NH3_to_EL_[BN]
MY,BN,PH,,61.1,0.0,0.0,NH3_to_HTH_[BN]
MY,BN,PH,,61.1,0.0,0.1,FF_to_HTH_[BN]
MY,BN,PH,,61.1,0.0,1.5,EL_Demand_[BN]
MY,BN,PH,,61.1,0.0,0.1,HTH_Demand_[BN]
MY,BN,PH,,61.1,0.0,0.0,RE_PV_Rooftop_Lim_[PH]
MY,BN,PH,,61.1,0.6,29.6,RE_PV_Openfield_Lim_[PH]
MY,BN,PH,,61.1,4.2,87.0,RE_WIND_Onshore_Lim_[PH]
MY,BN,PH,,61.1,0.4,7.5,RE_WIND_Offshore_Lim_[PH]
MY,BN,PH,,61.1,1.7,20.5,PP_CO2_[PH]
MY,BN,PH,,61.1,0.1,4.6,BESS_[PH]
MY,BN,PH,,61.1,0.1,11.3,EL_to_HTH_[PH]
MY,BN,PH,,61.1,0.0,0.0,EL_to_NH3_[PH]
MY,BN,PH,,61.1,0.0,0.0,NH3_Storage_[PH]
MY,BN,PH,,61.1,0.0,0.0,NH3_to_EL_[PH]
MY,BN,PH,,61.1,0.0,0.0,NH3_to_HTH_[PH]
MY,BN,PH,,61.1,0.9,11.3,FF_to_HTH_[PH]
MY,BN,PH,,61.1,0.0,36.4,EL_Demand_[PH]
MY,BN,PH,,61.1,0.0,11.5,HTH_Demand_[PH]
MY,BN,PH,,61.1,0.0,0.0,RE_PV_Rooftop_Lim_[MY]
MY,BN,PH,,61.1,1.3,62.5,RE_PV_Openfield_Lim_[MY]
MY,BN,PH,,61.1,4.8,100.3,RE_WIND_Onshore_Lim_[MY]
MY,BN,PH,,61.1,0.0,0.0,RE_WIND_Offshore_Lim_[MY]
MY,BN,PH,,61.1,1.5,15.6,PP_CO2_[MY]
MY,BN,PH,,61.1,0.9,48.8,BESS_[MY]
MY,BN,PH,,61.1,0.1,12.2,EL_to_HTH_[MY]
MY,BN,PH,,61.1,0.0,0.0,EL_to_NH3_[MY]
MY,BN,PH,,61.1,0.0,0.0,NH3_Storage_[MY]
MY,BN,PH,,61.1,0.0,0.0,NH3_to_EL_[MY]
MY,BN,PH,,61.1,0.0,0.0,NH3_to_HTH_[MY]
MY,BN,PH,,61.1,1.2,12.6,FF_to_HTH_[MY]
MY,BN,PH,,61.1,0.0,34.4,EL_Demand_[MY]
MY,BN,PH,,61.1,0.0,12.7,HTH_Demand_[MY]
MY,BN,PH,,61.1,0.0,0.0,NH3_Transport_[BN-PH]
MY,BN,PH,,61.1,0.0,0.8,EL_Transport_[BN-PH]
MY,BN,PH,,61.1,0.0,0.0,NH3_Transport_[BN-MY]
MY,BN,PH,,61.1,0.0,0.2,EL_Transport_[BN-MY]
MY,BN,PH,,61.1,0.0,0.0,NH3_Transport_[PH-MY]
MY,BN,PH,,61.1,0.3,3.0,EL_Transport_[PH-MY]
MY,BN,PH,,76.4,0.0,0.0,RE_PV_Rooftop_Lim_[BN]
MY,BN,PH,,76.4,0.1,3.1,RE_PV_Openfield_Lim_[BN]
MY,BN,PH,,76.4,0.0,0.0,RE_WIND_Onshore_Lim_[BN]
MY,BN,PH,,76.4,0.0,0.0,RE_WIND_Offshore_Lim_[BN]
MY,BN,PH,,76.4,0.1,0.9,PP_CO2_[BN]
MY,BN,PH,,76.4,0.0,2.5,BESS_[BN]
MY,BN,PH,,76.4,0.0,0.1,EL_to_HTH_[BN]
MY,BN,PH,,76.4,0.0,0.0,EL_to_NH3_[BN]
MY,BN,PH,,76.4,0.0,0.0,NH3_Storage_[BN]
MY,BN,PH,,76.4,0.0,0.0,NH3_to_EL_[BN]
MY,BN,PH,,76.4,0.0,0.0,NH3_to_HTH_[BN]
MY,BN,PH,,76.4,0.0,0.1,FF_to_HTH_[BN]
MY,BN,PH,,76.4,0.0,1.5,EL_Demand_[BN]
MY,BN,PH,,76.4,0.0,0.1,HTH_Demand_[BN]
MY,BN,PH,,76.4,0.0,0.0,RE_PV_Rooftop_Lim_[PH]
MY,BN,PH,,76.4,0.7,35.6,RE_PV_Openfield_Lim_[PH]
MY,BN,PH,,76.4,2.7,55.3,RE_WIND_Onshore_Lim_[PH]
MY,BN,PH,,76.4,1.2,22.4,RE_WIND_Offshore_Lim_[PH]
MY,BN,PH,,76.4,2.1,23.2,PP_CO2_[PH]
MY,BN,PH,,76.4,0.0,2.0,BESS_[PH]
MY,BN,PH,,76.4,0.1,11.2,EL_to_HTH_[PH]
MY,BN,PH,,76.4,0.0,0.0,EL_to_NH3_[PH]
MY,BN,PH,,76.4,0.0,0.0,NH3_Storage_[PH]
MY,BN,PH,,76.4,0.0,0.0,NH3_to_EL_[PH]
MY,BN,PH,,76.4,0.0,0.0,NH3_to_HTH_[PH]
MY,BN,PH,,76.4,1.0,11.3,FF_to_HTH_[PH]
MY,BN,PH,,76.4,0.0,36.4,EL_Demand_[PH]
MY,BN,PH,,76.4,0.0,11.5,HTH_Demand_[PH]
MY,BN,PH,,76.4,0.0,0.0,RE_PV_Rooftop_Lim_[MY]
MY,BN,PH,,76.4,1.1,53.7,RE_PV_Openfield_Lim_[MY]
MY,BN,PH,,76.4,4.8,99.5,RE_WIND_Onshore_Lim_[MY]
MY,BN,PH,,76.4,0.0,0.0,RE_WIND_Offshore_Lim_[MY]
MY,BN,PH,,76.4,1.9,18.5,PP_CO2_[MY]
MY,BN,PH,,76.4,0.5,27.6,BESS_[MY]
MY,BN,PH,,76.4,0.1,12.0,EL_to_HTH_[MY]
MY,BN,PH,,76.4,0.0,0.0,EL_to_NH3_[MY]
MY,BN,PH,,76.4,0.0,0.0,NH3_Storage_[MY]
MY,BN,PH,,76.4,0.0,0.0,NH3_to_EL_[MY]
MY,BN,PH,,76.4,0.0,0.0,NH3_to_HTH_[MY]
MY,BN,PH,,76.4,1.3,12.6,FF_to_HTH_[MY]
MY,BN,PH,,76.4,0.0,34.4,EL_Demand_[MY]
MY,BN,PH,,76.4,0.0,12.7,HTH_Demand_[MY]
MY,BN,PH,,76.4,0.0,0.0,NH3_Transport_[BN-PH]
MY,BN,PH,,76.4,0.0,0.8,EL_Transport_[BN-PH]
MY,BN,PH,,76.4,0.0,0.0,NH3_Transport_[BN-MY]
MY,BN,PH,,76.4,0.0,0.2,EL_Transport_[BN-MY]
MY,BN,PH,,76.4,0.0,0.0,NH3_Transport_[PH-MY]
MY,BN,PH,,76.4,0.1,1.6,EL_Transport_[PH-MY]
MY,BN,PH,,91.6,0.0,0.0,RE_PV_Rooftop_Lim_[BN]
MY,BN,PH,,91.6,0.1,2.9,RE_PV_Openfield_Lim_[BN]
MY,BN,PH,,91.6,0.0,0.0,RE_WIND_Onshore_Lim_[BN]
MY,BN,PH,,91.6,0.0,0.0,RE_WIND_Offshore_Lim_[BN]
MY,BN,PH,,91.6,0.1,1.0,PP_CO2_[BN]
MY,BN,PH,,91.6,0.0,1.5,BESS_[BN]
MY,BN,PH,,91.6,0.0,0.1,EL_to_HTH_[BN]
MY,BN,PH,,91.6,0.0,0.0,EL_to_NH3_[BN]
MY,BN,PH,,91.6,0.0,0.0,NH3_Storage_[BN]
MY,BN,PH,,91.6,0.0,0.0,NH3_to_EL_[BN]
MY,BN,PH,,91.6,0.0,0.0,NH3_to_HTH_[BN]
MY,BN,PH,,91.6,0.0,0.1,FF_to_HTH_[BN]
MY,BN,PH,,91.6,0.0,1.5,EL_Demand_[BN]
MY,BN,PH,,91.6,0.0,0.1,HTH_Demand_[BN]
MY,BN,PH,,91.6,0.0,0.0,RE_PV_Rooftop_Lim_[PH]
MY,BN,PH,,91.6,0.7,34.4,RE_PV_Openfield_Lim_[PH]
MY,BN,PH,,91.6,2.1,43.8,RE_WIND_Onshore_Lim_[PH]
MY,BN,PH,,91.6,1.5,28.1,RE_WIND_Offshore_Lim_[PH]
MY,BN,PH,,91.6,2.2,23.8,PP_CO2_[PH]
MY,BN,PH,,91.6,0.0,0.5,BESS_[PH]
MY,BN,PH,,91.6,0.1,11.1,EL_to_HTH_[PH]
MY,BN,PH,,91.6,0.0,0.0,EL_to_NH3_[PH]
MY,BN,PH,,91.6,0.0,0.0,NH3_Storage_[PH]
MY,BN,PH,,91.6,0.0,0.0,NH3_to_EL_[PH]
MY,BN,PH,,91.6,0.0,0.0,NH3_to_HTH_[PH]
MY,BN,PH,,91.6,1.0,11.3,FF_to_HTH_[PH]
MY,BN,PH,,91.6,0.0,36.4,EL_Demand_[PH]
MY,BN,PH,,91.6,0.0,11.5,HTH_Demand_[PH]
MY,BN,PH,,91.6,0.0,0.0,RE_PV_Rooftop_Lim_[MY]
MY,BN,PH,,91.6,1.1,52.6,RE_PV_Openfield_Lim_[MY]
MY,BN,PH,,91.6,4.2,87.1,RE_WIND_Onshore_Lim_[MY]
MY,BN,PH,,91.6,0.0,0.0,RE_WIND_Offshore_Lim_[MY]
MY,BN,PH,,91.6,2.5,21.9,PP_CO2_[MY]
MY,BN,PH,,91.6,0.2,13.2,BESS_[MY]
MY,BN,PH,,91.6,0.1,11.9,EL_to_HTH_[MY]
MY,BN,PH,,91.6,0.0,0.0,EL_to_NH3_[MY]
MY,BN,PH,,91.6,0.0,0.0,NH3_Storage_[MY]
MY,BN,PH,,91.6,0.0,0.0,NH3_to_EL_[MY]
MY,BN,PH,,91.6,0.0,0.0,NH3_to_HTH_[MY]
MY,BN,PH,,91.6,1.4,12.5,FF_to_HTH_[MY]
MY,BN,PH,,91.6,0.0,34.4,EL_Demand_[MY]
MY,BN,PH,,91.6,0.0,12.7,HTH_Demand_[MY]
