country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_capacity,technology_name
BN,PH,,,0.0,0.0,0.0,RE_PV_Rooftop_Lim_[BN]
BN,PH,,,0.0,0.1,3.3,RE_PV_Openfield_Lim_[BN]
BN,PH,,,0.0,0.0,0.3,RE_WIND_Onshore_Lim_[BN]
BN,PH,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_[BN]
BN,PH,,,0.0,0.0,0.0,PP_CO2_[BN]
BN,PH,,,0.0,0.0,1.0,BESS_[BN]
BN,PH,,,0.0,0.0,0.1,EL_to_HTH_[BN]
BN,PH,,,0.0,0.1,1.6,EL_to_NH3_[BN]
BN,PH,,,0.0,0.8,47.8,NH3_Storage_[BN]
BN,PH,,,0.0,0.1,1.2,NH3_to_EL_[BN]
BN,PH,,,0.0,0.0,0.0,NH3_to_HTH_[BN]
BN,PH,,,0.0,0.0,0.0,FF_to_HTH_[BN]
BN,PH,,,0.0,0.0,1.5,EL_Demand_[BN]
BN,PH,,,0.0,0.0,0.1,HTH_Demand_[BN]
BN,PH,,,0.0,0.0,0.0,RE_PV_Rooftop_Lim_[PH]
BN,PH,,,0.0,2.2,106.9,RE_PV_Openfield_Lim_[PH]
BN,PH,,,0.0,5.6,115.7,RE_WIND_Onshore_Lim_[PH]
BN,PH,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_[PH]
BN,PH,,,0.0,0.0,0.0,PP_CO2_[PH]
BN,PH,,,0.0,2.7,150.0,BESS_[PH]
BN,PH,,,0.0,0.1,11.3,EL_to_HTH_[PH]
BN,PH,,,0.0,0.5,8.3,EL_to_NH3_[PH]
BN,PH,,,0.0,1.4,83.8,NH3_Storage_[PH]
BN,PH,,,0.0,0.2,2.9,NH3_to_EL_[PH]
BN,PH,,,0.0,0.0,2.2,NH3_to_HTH_[PH]
BN,PH,,,0.0,0.0,0.0,FF_to_HTH_[PH]
BN,PH,,,0.0,0.0,36.4,EL_Demand_[PH]
BN,PH,,,0.0,0.0,11.5,HTH_Demand_[PH]
BN,PH,,,0.0,0.0,49.0,NH3_Transport_[BN-PH]
BN,PH,,,0.0,0.1,2.8,EL_Transport_[BN-PH]
BN,PH,,,5.7,0.0,0.0,RE_PV_Rooftop_Lim_[BN]
BN,PH,,,5.7,0.1,4.3,RE_PV_Openfield_Lim_[BN]
BN,PH,,,5.7,0.0,0.3,RE_WIND_Onshore_Lim_[BN]
BN,PH,,,5.7,0.0,0.0,RE_WIND_Offshore_Lim_[BN]
BN,PH,,,5.7,0.0,0.0,PP_CO2_[BN]
BN,PH,,,5.7,0.1,3.6,BESS_[BN]
BN,PH,,,5.7,0.0,0.1,EL_to_HTH_[BN]
BN,PH,,,5.7,0.0,0.6,EL_to_NH3_[BN]
BN,PH,,,5.7,0.2,12.5,NH3_Storage_[BN]
BN,PH,,,5.7,0.1,0.7,NH3_to_EL_[BN]
BN,PH,,,5.7,0.0,0.0,NH3_to_HTH_[BN]
BN,PH,,,5.7,0.0,0.1,FF_to_HTH_[BN]
BN,PH,,,5.7,0.0,1.5,EL_Demand_[BN]
BN,PH,,,5.7,0.0,0.1,HTH_Demand_[BN]
BN,PH,,,5.7,0.0,0.0,RE_PV_Rooftop_Lim_[PH]
BN,PH,,,5.7,2.2,108.2,RE_PV_Openfield_Lim_[PH]
BN,PH,,,5.7,4.4,92.0,RE_WIND_Onshore_Lim_[PH]
BN,PH,,,5.7,0.0,0.0,RE_WIND_Offshore_Lim_[PH]
BN,PH,,,5.7,0.3,4.5,PP_CO2_[PH]
BN,PH,,,5.7,3.2,175.6,BESS_[PH]
BN,PH,,,5.7,0.1,11.2,EL_to_HTH_[PH]
BN,PH,,,5.7,0.1,1.9,EL_to_NH3_[PH]
BN,PH,,,5.7,0.2,13.0,NH3_Storage_[PH]
BN,PH,,,5.7,0.1,1.2,NH3_to_EL_[PH]
BN,PH,,,5.7,0.0,0.1,NH3_to_HTH_[PH]
BN,PH,,,5.7,0.4,11.3,FF_to_HTH_[PH]
BN,PH,,,5.7,0.0,36.4,EL_Demand_[PH]
BN,PH,,,5.7,0.0,11.5,HTH_Demand_[PH]
BN,PH,,,5.7,0.0,13.2,NH3_Transport_[BN-PH]
BN,PH,,,5.7,0.1,1.6,EL_Transport_[BN-PH]
BN,PH,,,11.4,0.0,0.0,RE_PV_Rooftop_Lim_[BN]
BN,PH,,,11.4,0.1,5.0,RE_PV_Openfield_Lim_[BN]
BN,PH,,,11.4,0.0,0.3,RE_WIND_Onshore_Lim_[BN]
BN,PH,,,11.4,0.0,0.0,RE_WIND_Offshore_Lim_[BN]
BN,PH,,,11.4,0.0,0.0,PP_CO2_[BN]
BN,PH,,,11.4,0.1,7.6,BESS_[BN]
BN,PH,,,11.4,0.0,0.1,EL_to_HTH_[BN]
BN,PH,,,11.4,0.0,0.1,EL_to_NH3_[BN]
BN,PH,,,11.4,0.1,6.1,NH3_Storage_[BN]
BN,PH,,,11.4,0.0,0.3,NH3_to_EL_[BN]
BN,PH,,,11.4,0.0,0.0,NH3_to_HTH_[BN]
BN,PH,,,11.4,0.0,0.1,FF_to_HTH_[BN]
BN,PH,,,11.4,0.0,1.5,EL_Demand_[BN]
BN,PH,,,11.4,0.0,0.1,HTH_Demand_[BN]
BN,PH,,,11.4,0.0,0.0,RE_PV_Rooftop_Lim_[PH]
BN,PH,,,11.4,1.8,87.7,RE_PV_Openfield_Lim_[PH]
BN,PH,,,11.4,4.5,93.8,RE_WIND_Onshore_Lim_[PH]
BN,PH,,,11.4,0.0,0.0,RE_WIND_Offshore_Lim_[PH]
BN,PH,,,11.4,0.8,11.0,PP_CO2_[PH]
BN,PH,,,11.4,2.1,119.5,BESS_[PH]
BN,PH,,,11.4,0.1,11.2,EL_to_HTH_[PH]
BN,PH,,,11.4,0.1,1.3,EL_to_NH3_[PH]
BN,PH,,,11.4,0.1,6.3,NH3_Storage_[PH]
BN,PH,,,11.4,0.0,0.6,NH3_to_EL_[PH]
BN,PH,,,11.4,0.0,0.2,NH3_to_HTH_[PH]
BN,PH,,,11.4,0.5,11.3,FF_to_HTH_[PH]
BN,PH,,,11.4,0.0,36.4,EL_Demand_[PH]
BN,PH,,,11.4,0.0,11.5,HTH_Demand_[PH]
BN,PH,,,11.4,0.0,6.5,NH3_Transport_[BN-PH]
BN,PH,,,11.4,0.0,0.7,EL_Transport_[BN-PH]
BN,PH,,,17.2,0.0,0.0,RE_PV_Rooftop_Lim_[BN]
BN,PH,,,17.2,0.1,5.0,RE_PV_Openfield_Lim_[BN]
BN,PH,,,17.2,0.0,0.3,RE_WIND_Onshore_Lim_[BN]
BN,PH,,,17.2,0.0,0.0,RE_WIND_Offshore_Lim_[BN]
BN,PH,,,17.2,0.0,0.4,PP_CO2_[BN]
BN,PH,,,17.2,0.1,7.6,BESS_[BN]
BN,PH,,,17.2,0.0,0.1,EL_to_HTH_[BN]
BN,PH,,,17.2,0.0,0.1,EL_to_NH3_[BN]
BN,PH,,,17.2,0.0,1.1,NH3_Storage_[BN]
BN,PH,,,17.2,0.0,0.1,NH3_to_EL_[BN]
BN,PH,,,17.2,0.0,0.0,NH3_to_HTH_[BN]
BN,PH,,,17.2,0.0,0.1,FF_to_HTH_[BN]
BN,PH,,,17.2,0.0,1.5,EL_Demand_[BN]
BN,PH,,,17.2,0.0,0.1,HTH_Demand_[BN]
BN,PH,,,17.2,0.0,0.0,RE_PV_Rooftop_Lim_[PH]
BN,PH,,,17.2,1.1,55.2,RE_PV_Openfield_Lim_[PH]
BN,PH,,,17.2,5.1,105.2,RE_WIND_Onshore_Lim_[PH]
BN,PH,,,17.2,0.0,0.0,RE_WIND_Offshore_Lim_[PH]
BN,PH,,,17.2,1.2,16.8,PP_CO2_[PH]
BN,PH,,,17.2,1.1,61.6,BESS_[PH]
BN,PH,,,17.2,0.1,11.2,EL_to_HTH_[PH]
BN,PH,,,17.2,0.0,0.3,EL_to_NH3_[PH]
BN,PH,,,17.2,0.0,1.2,NH3_Storage_[PH]
BN,PH,,,17.2,0.0,0.1,NH3_to_EL_[PH]
BN,PH,,,17.2,0.0,0.1,NH3_to_HTH_[PH]
BN,PH,,,17.2,0.6,11.2,FF_to_HTH_[PH]
BN,PH,,,17.2,0.0,36.4,EL_Demand_[PH]
BN,PH,,,17.2,0.0,11.5,HTH_Demand_[PH]
BN,PH,,,17.2,0.0,1.3,NH3_Transport_[BN-PH]
BN,PH,,,17.2,0.0,0.6,EL_Transport_[BN-PH]
BN,PH,,,22.9,0.0,0.0,RE_PV_Rooftop_Lim_[BN]
BN,PH,,,22.9,0.1,4.7,RE_PV_Openfield_Lim_[BN]
BN,PH,,,22.9,0.0,0.3,RE_WIND_Onshore_Lim_[BN]
BN,PH,,,22.9,0.0,0.0,RE_WIND_Offshore_Lim_[BN]
BN,PH,,,22.9,0.1,0.6,PP_CO2_[BN]
BN,PH,,,22.9,0.1,7.4,BESS_[BN]
BN,PH,,,22.9,0.0,0.1,EL_to_HTH_[BN]
BN,PH,,,22.9,0.0,0.0,EL_to_NH3_[BN]
BN,PH,,,22.9,0.0,0.2,NH3_Storage_[BN]
BN,PH,,,22.9,0.0,0.0,NH3_to_EL_[BN]
BN,PH,,,22.9,0.0,0.0,NH3_to_HTH_[BN]
BN,PH,,,22.9,0.0,0.1,FF_to_HTH_[BN]
BN,PH,,,22.9,0.0,1.5,EL_Demand_[BN]
BN,PH,,,22.9,0.0,0.1,HTH_Demand_[BN]
BN,PH,,,22.9,0.0,0.0,RE_PV_Rooftop_Lim_[PH]
BN,PH,,,22.9,0.9,42.2,RE_PV_Openfield_Lim_[PH]
BN,PH,,,22.9,5.0,103.3,RE_WIND_Onshore_Lim_[PH]
BN,PH,,,22.9,0.0,0.0,RE_WIND_Offshore_Lim_[PH]
BN,PH,,,22.9,1.6,20.5,PP_CO2_[PH]
BN,PH,,,22.9,0.4,24.7,BESS_[PH]
BN,PH,,,22.9,0.1,11.3,EL_to_HTH_[PH]
