Asset_Number,Asset_Class,Location_1,Location_2,Asset_Type
0,CO2_Budget,3,3,1228
1,RE_PV_Rooftop_Lim,3,3,3
2,RE_PV_Openfield_Lim,3,3,3
3,RE_WIND_Onshore_Lim,3,3,3
4,RE_WIND_Offshore_Lim,3,3,3
5,PP_CO2,3,3,3
6,BESS,3,3,3
7,EL_to_HTH,3,3,3
8,EL_to_NH3,3,3,3
9,NH3_Storage,3,3,3
10,NH3_to_EL,3,3,3
11,NH3_to_HTH,3,3,3
12,FF_to_HTH,3,3,3
13,EL_Demand,3,3,3
14,HTH_Demand,3,3,3
15,RE_PV_Rooftop_Lim,0,0,0
16,RE_PV_Openfield_Lim,0,0,0
17,RE_WIND_Onshore_Lim,0,0,0
18,RE_WIND_Offshore_Lim,0,0,0
19,PP_CO2,0,0,0
20,BESS,0,0,0
21,EL_to_HTH,0,0,0
22,EL_to_NH3,0,0,0
23,NH3_Storage,0,0,0
24,NH3_to_EL,0,0,0
25,NH3_to_HTH,0,0,0
26,FF_to_HTH,0,0,0
27,EL_Demand,0,0,0
28,HTH_Demand,0,0,0
29,RE_PV_Rooftop_Lim,1,1,1
30,RE_PV_Openfield_Lim,1,1,1
31,RE_WIND_Onshore_Lim,1,1,1
32,RE_WIND_Offshore_Lim,1,1,1
33,PP_CO2,1,1,1
34,BESS,1,1,1
35,EL_to_HTH,1,1,1
36,EL_to_NH3,1,1,1
37,NH3_Storage,1,1,1
38,NH3_to_EL,1,1,1
39,NH3_to_HTH,1,1,1
40,FF_to_HTH,1,1,1
41,EL_Demand,1,1,1
42,HTH_Demand,1,1,1
43,RE_PV_Rooftop_Lim,7,7,7
44,RE_PV_Openfield_Lim,7,7,7
45,RE_WIND_Onshore_Lim,7,7,7
46,RE_WIND_Offshore_Lim,7,7,7
47,PP_CO2,7,7,7
48,BESS,7,7,7
49,EL_to_HTH,7,7,7
50,EL_to_NH3,7,7,7
51,NH3_Storage,7,7,7
52,NH3_to_EL,7,7,7
53,NH3_to_HTH,7,7,7
54,FF_to_HTH,7,7,7
55,EL_Demand,7,7,7
56,HTH_Demand,7,7,7
