country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_name
SG,BN,,,26.7,0.0,RE_PV_Rooftop_Lim_[BN]
SG,BN,,,26.7,0.1,RE_PV_Openfield_Lim_[BN]
SG,BN,,,26.7,0.0,RE_WIND_Onshore_Lim_[BN]
SG,BN,,,26.7,0.8,RE_WIND_Offshore_Lim_[BN]
SG,BN,,,26.7,0.0,PP_CO2_[BN]
SG,BN,,,26.7,0.1,BESS_[BN]
SG,BN,,,26.7,0.0,EL_to_HTH_[BN]
SG,BN,,,26.7,0.0,EL_to_NH3_[BN]
SG,BN,,,26.7,0.0,NH3_Storage_[BN]
SG,BN,,,26.7,0.0,NH3_to_EL_[BN]
SG,BN,,,26.7,0.0,NH3_to_HTH_[BN]
SG,BN,,,26.7,0.0,FF_to_HTH_[BN]
SG,BN,,,26.7,0.0,EL_Demand_[BN]
SG,BN,,,26.7,0.0,HTH_Demand_[BN]
SG,BN,,,26.7,0.4,RE_PV_Rooftop_Lim_[SG]
SG,BN,,,26.7,0.0,RE_PV_Openfield_Lim_[SG]
SG,BN,,,26.7,0.0,RE_WIND_Onshore_Lim_[SG]
SG,BN,,,26.7,0.0,RE_WIND_Offshore_Lim_[SG]
SG,BN,,,26.7,2.5,PP_CO2_[SG]
SG,BN,,,26.7,0.0,BESS_[SG]
SG,BN,,,26.7,0.0,EL_to_HTH_[SG]
SG,BN,,,26.7,0.0,EL_to_NH3_[SG]
SG,BN,,,26.7,0.0,NH3_Storage_[SG]
SG,BN,,,26.7,0.0,NH3_to_EL_[SG]
SG,BN,,,26.7,0.0,NH3_to_HTH_[SG]
SG,BN,,,26.7,0.7,FF_to_HTH_[SG]
SG,BN,,,26.7,0.0,EL_Demand_[SG]
SG,BN,,,26.7,0.0,HTH_Demand_[SG]
SG,BN,,,26.7,0.0,NH3_Transport_[BN-SG]
SG,BN,,,26.7,0.4,EL_Transport_[BN-SG]
SG,BN,,,40.0,0.0,RE_PV_Rooftop_Lim_[BN]
SG,BN,,,40.0,0.1,RE_PV_Openfield_Lim_[BN]
SG,BN,,,40.0,0.0,RE_WIND_Onshore_Lim_[BN]
SG,BN,,,40.0,0.2,RE_WIND_Offshore_Lim_[BN]
SG,BN,,,40.0,0.5,PP_CO2_[BN]
SG,BN,,,40.0,0.0,BESS_[BN]
SG,BN,,,40.0,0.0,EL_to_HTH_[BN]
SG,BN,,,40.0,0.0,EL_to_NH3_[BN]
SG,BN,,,40.0,0.0,NH3_Storage_[BN]
SG,BN,,,40.0,0.0,NH3_to_EL_[BN]
SG,BN,,,40.0,0.0,NH3_to_HTH_[BN]
SG,BN,,,40.0,0.0,FF_to_HTH_[BN]
SG,BN,,,40.0,0.0,EL_Demand_[BN]
SG,BN,,,40.0,0.0,HTH_Demand_[BN]
SG,BN,,,40.0,0.0,RE_PV_Rooftop_Lim_[SG]
SG,BN,,,40.0,0.0,RE_PV_Openfield_Lim_[SG]
SG,BN,,,40.0,0.0,RE_WIND_Onshore_Lim_[SG]
SG,BN,,,40.0,0.0,RE_WIND_Offshore_Lim_[SG]
SG,BN,,,40.0,2.8,PP_CO2_[SG]
SG,BN,,,40.0,0.0,BESS_[SG]
SG,BN,,,40.0,0.0,EL_to_HTH_[SG]
SG,BN,,,40.0,0.0,EL_to_NH3_[SG]
