country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_name
MY,BN,PH,TH,198.1,0.0,RE_PV_Rooftop_Lim_[BN]
MY,BN,PH,TH,198.1,0.1,RE_PV_Openfield_Lim_[BN]
MY,BN,PH,TH,198.1,0.0,RE_WIND_Onshore_Lim_[BN]
MY,BN,PH,TH,198.1,0.0,RE_WIND_Offshore_Lim_[BN]
MY,BN,PH,TH,198.1,0.2,PP_CO2_[BN]
MY,BN,PH,TH,198.1,0.0,BESS_[BN]
MY,BN,PH,TH,198.1,0.0,EL_to_HTH_[BN]
MY,BN,PH,TH,198.1,0.0,EL_to_NH3_[BN]
MY,BN,PH,TH,198.1,0.0,NH3_Storage_[BN]
MY,BN,PH,TH,198.1,0.0,NH3_to_EL_[BN]
MY,BN,PH,TH,198.1,0.0,NH3_to_HTH_[BN]
MY,BN,PH,TH,198.1,0.0,FF_to_HTH_[BN]
MY,BN,PH,TH,198.1,0.0,EL_Demand_[BN]
MY,BN,PH,TH,198.1,0.0,HTH_Demand_[BN]
MY,BN,PH,TH,198.1,0.0,RE_PV_Rooftop_Lim_[TH]
MY,BN,PH,TH,198.1,1.7,RE_PV_Openfield_Lim_[TH]
MY,BN,PH,TH,198.1,6.0,RE_WIND_Onshore_Lim_[TH]
MY,BN,PH,TH,198.1,0.0,RE_WIND_Offshore_Lim_[TH]
MY,BN,PH,TH,198.1,3.9,PP_CO2_[TH]
MY,BN,PH,TH,198.1,0.1,BESS_[TH]
MY,BN,PH,TH,198.1,0.4,EL_to_HTH_[TH]
MY,BN,PH,TH,198.1,0.0,EL_to_NH3_[TH]
MY,BN,PH,TH,198.1,0.0,NH3_Storage_[TH]
MY,BN,PH,TH,198.1,0.0,NH3_to_EL_[TH]
MY,BN,PH,TH,198.1,0.0,NH3_to_HTH_[TH]
MY,BN,PH,TH,198.1,3.3,FF_to_HTH_[TH]
MY,BN,PH,TH,198.1,0.0,EL_Demand_[TH]
MY,BN,PH,TH,198.1,0.0,HTH_Demand_[TH]
MY,BN,PH,TH,198.1,0.0,RE_PV_Rooftop_Lim_[PH]
MY,BN,PH,TH,198.1,0.6,RE_PV_Openfield_Lim_[PH]
MY,BN,PH,TH,198.1,1.3,RE_WIND_Onshore_Lim_[PH]
MY,BN,PH,TH,198.1,1.7,RE_WIND_Offshore_Lim_[PH]
MY,BN,PH,TH,198.1,2.7,PP_CO2_[PH]
MY,BN,PH,TH,198.1,0.0,BESS_[PH]
MY,BN,PH,TH,198.1,0.1,EL_to_HTH_[PH]
MY,BN,PH,TH,198.1,0.0,EL_to_NH3_[PH]
MY,BN,PH,TH,198.1,0.0,NH3_Storage_[PH]
MY,BN,PH,TH,198.1,0.0,NH3_to_EL_[PH]
MY,BN,PH,TH,198.1,0.0,NH3_to_HTH_[PH]
MY,BN,PH,TH,198.1,1.1,FF_to_HTH_[PH]
MY,BN,PH,TH,198.1,0.0,EL_Demand_[PH]
MY,BN,PH,TH,198.1,0.0,HTH_Demand_[PH]
MY,BN,PH,TH,198.1,0.0,RE_PV_Rooftop_Lim_[MY]
MY,BN,PH,TH,198.1,1.2,RE_PV_Openfield_Lim_[MY]
MY,BN,PH,TH,198.1,2.1,RE_WIND_Onshore_Lim_[MY]
MY,BN,PH,TH,198.1,0.4,RE_WIND_Offshore_Lim_[MY]
MY,BN,PH,TH,198.1,3.8,PP_CO2_[MY]
MY,BN,PH,TH,198.1,0.1,BESS_[MY]
MY,BN,PH,TH,198.1,0.1,EL_to_HTH_[MY]
MY,BN,PH,TH,198.1,0.0,EL_to_NH3_[MY]
MY,BN,PH,TH,198.1,0.0,NH3_Storage_[MY]
MY,BN,PH,TH,198.1,0.0,NH3_to_EL_[MY]
MY,BN,PH,TH,198.1,0.0,NH3_to_HTH_[MY]
MY,BN,PH,TH,198.1,1.6,FF_to_HTH_[MY]
MY,BN,PH,TH,198.1,0.0,EL_Demand_[MY]
MY,BN,PH,TH,198.1,0.0,HTH_Demand_[MY]
MY,BN,PH,TH,132.1,0.0,RE_PV_Rooftop_Lim_[BN]
MY,BN,PH,TH,132.1,0.1,RE_PV_Openfield_Lim_[BN]
MY,BN,PH,TH,132.1,0.0,RE_WIND_Onshore_Lim_[BN]
MY,BN,PH,TH,132.1,0.0,RE_WIND_Offshore_Lim_[BN]
MY,BN,PH,TH,132.1,0.2,PP_CO2_[BN]
MY,BN,PH,TH,132.1,0.0,BESS_[BN]
MY,BN,PH,TH,132.1,0.0,EL_to_HTH_[BN]
MY,BN,PH,TH,132.1,0.0,EL_to_NH3_[BN]
MY,BN,PH,TH,132.1,0.0,NH3_Storage_[BN]
MY,BN,PH,TH,132.1,0.0,NH3_to_EL_[BN]
MY,BN,PH,TH,132.1,0.0,NH3_to_HTH_[BN]
MY,BN,PH,TH,132.1,0.0,FF_to_HTH_[BN]
MY,BN,PH,TH,132.1,0.0,EL_Demand_[BN]
MY,BN,PH,TH,132.1,0.0,HTH_Demand_[BN]
MY,BN,PH,TH,132.1,0.0,RE_PV_Rooftop_Lim_[TH]
MY,BN,PH,TH,132.1,2.0,RE_PV_Openfield_Lim_[TH]
MY,BN,PH,TH,132.1,7.0,RE_WIND_Onshore_Lim_[TH]
MY,BN,PH,TH,132.1,0.0,RE_WIND_Offshore_Lim_[TH]
MY,BN,PH,TH,132.1,3.1,PP_CO2_[TH]
MY,BN,PH,TH,132.1,0.4,BESS_[TH]
MY,BN,PH,TH,132.1,0.4,EL_to_HTH_[TH]
MY,BN,PH,TH,132.1,0.0,EL_to_NH3_[TH]
MY,BN,PH,TH,132.1,0.0,NH3_Storage_[TH]
MY,BN,PH,TH,132.1,0.0,NH3_to_EL_[TH]
MY,BN,PH,TH,132.1,0.0,NH3_to_HTH_[TH]
MY,BN,PH,TH,132.1,2.7,FF_to_HTH_[TH]
MY,BN,PH,TH,132.1,0.0,EL_Demand_[TH]
MY,BN,PH,TH,132.1,0.0,HTH_Demand_[TH]
MY,BN,PH,TH,132.1,0.0,RE_PV_Rooftop_Lim_[PH]
MY,BN,PH,TH,132.1,0.9,RE_PV_Openfield_Lim_[PH]
MY,BN,PH,TH,132.1,1.5,RE_WIND_Onshore_Lim_[PH]
MY,BN,PH,TH,132.1,1.8,RE_WIND_Offshore_Lim_[PH]
MY,BN,PH,TH,132.1,2.3,PP_CO2_[PH]
MY,BN,PH,TH,132.1,0.1,BESS_[PH]
MY,BN,PH,TH,132.1,0.1,EL_to_HTH_[PH]
MY,BN,PH,TH,132.1,0.0,EL_to_NH3_[PH]
MY,BN,PH,TH,132.1,0.0,NH3_Storage_[PH]
MY,BN,PH,TH,132.1,0.0,NH3_to_EL_[PH]
MY,BN,PH,TH,132.1,0.0,NH3_to_HTH_[PH]
MY,BN,PH,TH,132.1,1.0,FF_to_HTH_[PH]
MY,BN,PH,TH,132.1,0.0,EL_Demand_[PH]
MY,BN,PH,TH,132.1,0.0,HTH_Demand_[PH]
MY,BN,PH,TH,132.1,0.0,RE_PV_Rooftop_Lim_[MY]
MY,BN,PH,TH,132.1,1.1,RE_PV_Openfield_Lim_[MY]
MY,BN,PH,TH,132.1,4.8,RE_WIND_Onshore_Lim_[MY]
MY,BN,PH,TH,132.1,0.0,RE_WIND_Offshore_Lim_[MY]
