country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_name
BN,PH,TH,,0.0,0.0,RE_PV_Rooftop_Lim_[BN]
BN,PH,TH,,0.0,0.1,RE_PV_Openfield_Lim_[BN]
BN,PH,TH,,0.0,0.0,RE_WIND_Onshore_Lim_[BN]
BN,PH,TH,,0.0,0.0,RE_WIND_Offshore_Lim_[BN]
BN,PH,TH,,0.0,0.0,PP_CO2_[BN]
BN,PH,TH,,0.0,0.1,BESS_[BN]
BN,PH,TH,,0.0,0.0,EL_to_HTH_[BN]
BN,PH,TH,,0.0,0.0,EL_to_NH3_[BN]
BN,PH,TH,,0.0,0.1,NH3_Storage_[BN]
BN,PH,TH,,0.0,0.0,NH3_to_EL_[BN]
BN,PH,TH,,0.0,0.0,NH3_to_HTH_[BN]
BN,PH,TH,,0.0,0.0,FF_to_HTH_[BN]
BN,PH,TH,,0.0,0.0,EL_Demand_[BN]
BN,PH,TH,,0.0,0.0,HTH_Demand_[BN]
BN,PH,TH,,0.0,0.0,RE_PV_Rooftop_Lim_[TH]
BN,PH,TH,,0.0,3.8,RE_PV_Openfield_Lim_[TH]
BN,PH,TH,,0.0,10.9,RE_WIND_Onshore_Lim_[TH]
BN,PH,TH,,0.0,0.0,RE_WIND_Offshore_Lim_[TH]
BN,PH,TH,,0.0,0.0,PP_CO2_[TH]
BN,PH,TH,,0.0,1.3,BESS_[TH]
BN,PH,TH,,0.0,0.4,EL_to_HTH_[TH]
BN,PH,TH,,0.0,0.8,EL_to_NH3_[TH]
BN,PH,TH,,0.0,5.1,NH3_Storage_[TH]
BN,PH,TH,,0.0,0.5,NH3_to_EL_[TH]
BN,PH,TH,,0.0,0.1,NH3_to_HTH_[TH]
BN,PH,TH,,0.0,0.0,FF_to_HTH_[TH]
BN,PH,TH,,0.0,0.0,EL_Demand_[TH]
BN,PH,TH,,0.0,0.0,HTH_Demand_[TH]
BN,PH,TH,,0.0,0.0,RE_PV_Rooftop_Lim_[PH]
BN,PH,TH,,0.0,1.3,RE_PV_Openfield_Lim_[PH]
BN,PH,TH,,0.0,6.5,RE_WIND_Onshore_Lim_[PH]
BN,PH,TH,,0.0,0.0,RE_WIND_Offshore_Lim_[PH]
BN,PH,TH,,0.0,0.0,PP_CO2_[PH]
BN,PH,TH,,0.0,0.7,BESS_[PH]
BN,PH,TH,,0.0,0.1,EL_to_HTH_[PH]
BN,PH,TH,,0.0,0.8,EL_to_NH3_[PH]
BN,PH,TH,,0.0,1.9,NH3_Storage_[PH]
BN,PH,TH,,0.0,0.3,NH3_to_EL_[PH]
BN,PH,TH,,0.0,0.0,NH3_to_HTH_[PH]
BN,PH,TH,,0.0,0.0,FF_to_HTH_[PH]
BN,PH,TH,,0.0,0.0,EL_Demand_[PH]
BN,PH,TH,,0.0,0.0,HTH_Demand_[PH]
BN,PH,TH,,0.0,0.0,NH3_Transport_[BN-TH]
BN,PH,TH,,0.0,0.0,EL_Transport_[BN-TH]
BN,PH,TH,,0.0,0.0,NH3_Transport_[BN-PH]
BN,PH,TH,,0.0,0.0,EL_Transport_[BN-PH]
BN,PH,TH,,0.0,0.0,NH3_Transport_[TH-PH]
BN,PH,TH,,0.0,0.6,EL_Transport_[TH-PH]
BN,PH,TH,,12.3,0.0,RE_PV_Rooftop_Lim_[BN]
BN,PH,TH,,12.3,0.1,RE_PV_Openfield_Lim_[BN]
BN,PH,TH,,12.3,0.0,RE_WIND_Onshore_Lim_[BN]
BN,PH,TH,,12.3,0.0,RE_WIND_Offshore_Lim_[BN]
BN,PH,TH,,12.3,0.0,PP_CO2_[BN]
BN,PH,TH,,12.3,0.1,BESS_[BN]
BN,PH,TH,,12.3,0.0,EL_to_HTH_[BN]
BN,PH,TH,,12.3,0.0,EL_to_NH3_[BN]
BN,PH,TH,,12.3,0.0,NH3_Storage_[BN]
BN,PH,TH,,12.3,0.0,NH3_to_EL_[BN]
