country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_capacity,technology_name
BR,CL,,,41.2,0.0,0.0,RE_PV_Rooftop_Lim_[BR]
BR,CL,,,41.2,4.3,148.8,RE_PV_Openfield_Lim_[BR]
BR,CL,,,41.2,18.5,699.2,RE_WIND_Onshore_Lim_[BR]
BR,CL,,,41.2,0.0,0.0,RE_WIND_Offshore_Lim_[BR]
BR,CL,,,41.2,3.9,76.3,PP_CO2_[BR]
BR,CL,,,41.2,0.5,28.8,BESS_[BR]
BR,CL,,,41.2,1.5,133.0,EL_to_HTH_[BR]
BR,CL,,,41.2,0.1,1.1,EL_to_NH3_[BR]
BR,CL,,,41.2,0.1,6.6,NH3_Storage_[BR]
BR,CL,,,41.2,0.1,1.5,NH3_to_EL_[BR]
BR,CL,,,41.2,0.0,0.6,NH3_to_HTH_[BR]
BR,CL,,,41.2,4.9,130.2,FF_to_HTH_[BR]
BR,CL,,,41.2,0.0,206.6,EL_Demand_[BR]
BR,CL,,,41.2,0.0,137.1,HTH_Demand_[BR]
BR,CL,,,41.2,0.0,0.0,RE_PV_Rooftop_Lim_[CL]
BR,CL,,,41.2,0.0,0.0,RE_PV_Openfield_Lim_[CL]
BR,CL,,,41.2,1.8,56.1,RE_WIND_Onshore_Lim_[CL]
BR,CL,,,41.2,0.0,0.0,RE_WIND_Offshore_Lim_[CL]
BR,CL,,,41.2,0.0,0.6,PP_CO2_[CL]
BR,CL,,,41.2,0.0,1.3,BESS_[CL]
BR,CL,,,41.2,0.2,13.4,EL_to_HTH_[CL]
BR,CL,,,41.2,0.0,0.0,EL_to_NH3_[CL]
BR,CL,,,41.2,0.0,0.3,NH3_Storage_[CL]
BR,CL,,,41.2,0.0,0.3,NH3_to_EL_[CL]
BR,CL,,,41.2,0.0,0.0,NH3_to_HTH_[CL]
BR,CL,,,41.2,0.2,13.2,FF_to_HTH_[CL]
BR,CL,,,41.2,0.0,24.8,EL_Demand_[CL]
BR,CL,,,41.2,0.0,13.6,HTH_Demand_[CL]
BR,CL,,,10.3,0.0,0.0,RE_PV_Rooftop_Lim_[BR]
BR,CL,,,10.3,6.2,213.1,RE_PV_Openfield_Lim_[BR]
BR,CL,,,10.3,21.9,828.6,RE_WIND_Onshore_Lim_[BR]
BR,CL,,,10.3,0.0,0.0,RE_WIND_Offshore_Lim_[BR]
BR,CL,,,10.3,5.3,62.9,PP_CO2_[BR]
BR,CL,,,10.3,0.4,24.2,BESS_[BR]
BR,CL,,,10.3,1.5,132.9,EL_to_HTH_[BR]
BR,CL,,,10.3,0.3,5.7,EL_to_NH3_[BR]
BR,CL,,,10.3,0.5,29.2,NH3_Storage_[BR]
BR,CL,,,10.3,0.0,0.0,NH3_to_EL_[BR]
BR,CL,,,10.3,0.1,7.3,NH3_to_HTH_[BR]
BR,CL,,,10.3,1.2,94.4,FF_to_HTH_[BR]
BR,CL,,,10.3,0.0,206.6,EL_Demand_[BR]
BR,CL,,,10.3,0.0,137.1,HTH_Demand_[BR]
BR,CL,,,10.3,0.0,0.0,RE_PV_Rooftop_Lim_[CL]
BR,CL,,,10.3,0.0,0.0,RE_PV_Openfield_Lim_[CL]
BR,CL,,,10.3,1.9,59.5,RE_WIND_Onshore_Lim_[CL]
BR,CL,,,10.3,0.0,0.0,RE_WIND_Offshore_Lim_[CL]
BR,CL,,,10.3,0.0,0.1,PP_CO2_[CL]
BR,CL,,,10.3,0.0,0.9,BESS_[CL]
BR,CL,,,10.3,0.1,13.3,EL_to_HTH_[CL]
BR,CL,,,10.3,0.0,0.6,EL_to_NH3_[CL]
BR,CL,,,10.3,0.1,3.9,NH3_Storage_[CL]
BR,CL,,,10.3,0.0,0.2,NH3_to_EL_[CL]
BR,CL,,,10.3,0.0,0.8,NH3_to_HTH_[CL]
BR,CL,,,10.3,0.1,10.0,FF_to_HTH_[CL]
BR,CL,,,10.3,0.0,24.8,EL_Demand_[CL]
BR,CL,,,10.3,0.0,13.6,HTH_Demand_[CL]
BR,CL,,,52.9,0.0,0.0,RE_PV_Rooftop_Lim_[BR]
BR,CL,,,52.9,3.8,132.2,RE_PV_Openfield_Lim_[BR]
BR,CL,,,52.9,17.2,649.4,RE_WIND_Onshore_Lim_[BR]
BR,CL,,,52.9,0.0,0.0,RE_WIND_Offshore_Lim_[BR]
BR,CL,,,52.9,4.9,90.8,PP_CO2_[BR]
BR,CL,,,52.9,0.3,17.4,BESS_[BR]
BR,CL,,,52.9,1.5,132.3,EL_to_HTH_[BR]
BR,CL,,,52.9,0.0,0.0,EL_to_NH3_[BR]
BR,CL,,,52.9,0.0,0.2,NH3_Storage_[BR]
BR,CL,,,52.9,0.0,0.0,NH3_to_EL_[BR]
BR,CL,,,52.9,0.0,0.2,NH3_to_HTH_[BR]
BR,CL,,,52.9,6.0,131.6,FF_to_HTH_[BR]
BR,CL,,,52.9,0.0,206.6,EL_Demand_[BR]
BR,CL,,,52.9,0.0,137.1,HTH_Demand_[BR]
BR,CL,,,52.9,0.0,0.0,RE_PV_Rooftop_Lim_[CL]
BR,CL,,,52.9,0.0,0.0,RE_PV_Openfield_Lim_[CL]
BR,CL,,,52.9,1.7,51.9,RE_WIND_Onshore_Lim_[CL]
BR,CL,,,52.9,0.0,0.0,RE_WIND_Offshore_Lim_[CL]
BR,CL,,,52.9,0.1,2.3,PP_CO2_[CL]
