country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_capacity,technology_name
BR,CO,CL,,63.6,0.0,0.0,RE_PV_Rooftop_Lim_[BR]
BR,CO,CL,,63.6,3.8,132.0,RE_PV_Openfield_Lim_[BR]
BR,CO,CL,,63.6,17.3,645.5,RE_WIND_Onshore_Lim_[BR]
BR,CO,CL,,63.6,0.0,0.0,RE_WIND_Offshore_Lim_[BR]
BR,CO,CL,,63.6,5.0,91.2,PP_CO2_[BR]
BR,CO,CL,,63.6,0.3,17.4,BESS_[BR]
BR,CO,CL,,63.6,1.5,132.3,EL_to_HTH_[BR]
BR,CO,CL,,63.6,0.0,0.0,EL_to_NH3_[BR]
BR,CO,CL,,63.6,0.0,0.2,NH3_Storage_[BR]
BR,CO,CL,,63.6,0.0,0.0,NH3_to_EL_[BR]
BR,CO,CL,,63.6,0.0,0.2,NH3_to_HTH_[BR]
BR,CO,CL,,63.6,6.0,131.4,FF_to_HTH_[BR]
BR,CO,CL,,63.6,0.0,206.6,EL_Demand_[BR]
BR,CO,CL,,63.6,0.0,137.1,HTH_Demand_[BR]
BR,CO,CL,,63.6,0.0,0.0,RE_PV_Rooftop_Lim_[CO]
BR,CO,CL,,63.6,0.4,27.5,RE_PV_Openfield_Lim_[CO]
BR,CO,CL,,63.6,2.6,72.2,RE_WIND_Onshore_Lim_[CO]
BR,CO,CL,,63.6,0.0,0.0,RE_WIND_Offshore_Lim_[CO]
BR,CO,CL,,63.6,0.8,11.8,PP_CO2_[CO]
BR,CO,CL,,63.6,0.3,17.6,BESS_[CO]
BR,CO,CL,,63.6,0.1,12.7,EL_to_HTH_[CO]
BR,CO,CL,,63.6,0.0,0.0,EL_to_NH3_[CO]
BR,CO,CL,,63.6,0.0,0.0,NH3_Storage_[CO]
BR,CO,CL,,63.6,0.0,0.0,NH3_to_EL_[CO]
BR,CO,CL,,63.6,0.0,0.0,NH3_to_HTH_[CO]
BR,CO,CL,,63.6,0.9,12.5,FF_to_HTH_[CO]
BR,CO,CL,,63.6,0.0,33.0,EL_Demand_[CO]
BR,CO,CL,,63.6,0.0,12.9,HTH_Demand_[CO]
BR,CO,CL,,63.6,0.0,0.0,RE_PV_Rooftop_Lim_[CL]
BR,CO,CL,,63.6,0.0,0.0,RE_PV_Openfield_Lim_[CL]
BR,CO,CL,,63.6,1.6,52.2,RE_WIND_Onshore_Lim_[CL]
BR,CO,CL,,63.6,0.0,0.0,RE_WIND_Offshore_Lim_[CL]
BR,CO,CL,,63.6,0.1,2.4,PP_CO2_[CL]
BR,CO,CL,,63.6,0.0,1.9,BESS_[CL]
BR,CO,CL,,63.6,0.2,13.4,EL_to_HTH_[CL]
BR,CO,CL,,63.6,0.0,0.0,EL_to_NH3_[CL]
BR,CO,CL,,63.6,0.0,0.0,NH3_Storage_[CL]
BR,CO,CL,,63.6,0.0,0.0,NH3_to_EL_[CL]
BR,CO,CL,,63.6,0.0,0.0,NH3_to_HTH_[CL]
BR,CO,CL,,63.6,0.3,13.2,FF_to_HTH_[CL]
BR,CO,CL,,63.6,0.0,24.8,EL_Demand_[CL]
BR,CO,CL,,63.6,0.0,13.6,HTH_Demand_[CL]
BR,CO,CL,,38.5,0.0,0.0,RE_PV_Rooftop_Lim_[BR]
BR,CO,CL,,38.5,4.9,168.6,RE_PV_Openfield_Lim_[BR]
BR,CO,CL,,38.5,19.7,737.1,RE_WIND_Onshore_Lim_[BR]
BR,CO,CL,,38.5,0.0,0.0,RE_WIND_Offshore_Lim_[BR]
BR,CO,CL,,38.5,3.0,59.6,PP_CO2_[BR]
BR,CO,CL,,38.5,0.8,43.6,BESS_[BR]
BR,CO,CL,,38.5,1.5,131.9,EL_to_HTH_[BR]
BR,CO,CL,,38.5,0.1,2.5,EL_to_NH3_[BR]
BR,CO,CL,,38.5,0.2,14.6,NH3_Storage_[BR]
BR,CO,CL,,38.5,0.3,3.4,NH3_to_EL_[BR]
BR,CO,CL,,38.5,0.0,1.1,NH3_to_HTH_[BR]
BR,CO,CL,,38.5,4.2,129.8,FF_to_HTH_[BR]
BR,CO,CL,,38.5,0.0,206.6,EL_Demand_[BR]
BR,CO,CL,,38.5,0.0,137.1,HTH_Demand_[BR]
BR,CO,CL,,38.5,0.0,0.0,RE_PV_Rooftop_Lim_[CO]
BR,CO,CL,,38.5,0.5,29.1,RE_PV_Openfield_Lim_[CO]
BR,CO,CL,,38.5,3.3,91.5,RE_WIND_Onshore_Lim_[CO]
BR,CO,CL,,38.5,0.0,0.0,RE_WIND_Offshore_Lim_[CO]
BR,CO,CL,,38.5,0.5,8.2,PP_CO2_[CO]
BR,CO,CL,,38.5,0.4,22.8,BESS_[CO]
BR,CO,CL,,38.5,0.1,12.7,EL_to_HTH_[CO]
BR,CO,CL,,38.5,0.0,0.0,EL_to_NH3_[CO]
BR,CO,CL,,38.5,0.0,0.1,NH3_Storage_[CO]
BR,CO,CL,,38.5,0.0,0.0,NH3_to_EL_[CO]
BR,CO,CL,,38.5,0.0,0.0,NH3_to_HTH_[CO]
BR,CO,CL,,38.5,0.5,12.4,FF_to_HTH_[CO]
BR,CO,CL,,38.5,0.0,33.0,EL_Demand_[CO]
BR,CO,CL,,38.5,0.0,12.9,HTH_Demand_[CO]
BR,CO,CL,,38.5,0.0,0.0,RE_PV_Rooftop_Lim_[CL]
BR,CO,CL,,38.5,0.0,0.0,RE_PV_Openfield_Lim_[CL]
BR,CO,CL,,38.5,1.8,57.7,RE_WIND_Onshore_Lim_[CL]
BR,CO,CL,,38.5,0.0,0.0,RE_WIND_Offshore_Lim_[CL]
BR,CO,CL,,38.5,0.0,0.0,PP_CO2_[CL]
BR,CO,CL,,38.5,0.0,2.7,BESS_[CL]
BR,CO,CL,,38.5,0.2,13.4,EL_to_HTH_[CL]
BR,CO,CL,,38.5,0.0,0.0,EL_to_NH3_[CL]
BR,CO,CL,,38.5,0.0,0.1,NH3_Storage_[CL]
BR,CO,CL,,38.5,0.0,0.0,NH3_to_EL_[CL]
BR,CO,CL,,38.5,0.0,0.0,NH3_to_HTH_[CL]
BR,CO,CL,,38.5,0.2,13.2,FF_to_HTH_[CL]
BR,CO,CL,,38.5,0.0,24.8,EL_Demand_[CL]
BR,CO,CL,,38.5,0.0,13.6,HTH_Demand_[CL]
BR,CO,CL,,0.0,0.0,0.0,RE_PV_Rooftop_Lim_[BR]
BR,CO,CL,,0.0,7.8,268.0,RE_PV_Openfield_Lim_[BR]
BR,CO,CL,,0.0,26.7,997.0,RE_WIND_Onshore_Lim_[BR]
BR,CO,CL,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_[BR]
BR,CO,CL,,0.0,0.0,0.0,PP_CO2_[BR]
BR,CO,CL,,0.0,0.7,41.6,BESS_[BR]
BR,CO,CL,,0.0,1.5,133.0,EL_to_HTH_[BR]
BR,CO,CL,,0.0,0.6,11.2,EL_to_NH3_[BR]
BR,CO,CL,,0.0,8.7,519.2,NH3_Storage_[BR]
BR,CO,CL,,0.0,0.9,11.7,NH3_to_EL_[BR]
BR,CO,CL,,0.0,0.2,25.8,NH3_to_HTH_[BR]
BR,CO,CL,,0.0,0.0,0.0,FF_to_HTH_[BR]
BR,CO,CL,,0.0,0.0,206.6,EL_Demand_[BR]
BR,CO,CL,,0.0,0.0,137.1,HTH_Demand_[BR]
BR,CO,CL,,0.0,0.0,0.0,RE_PV_Rooftop_Lim_[CO]
BR,CO,CL,,0.0,1.2,73.4,RE_PV_Openfield_Lim_[CO]
BR,CO,CL,,0.0,4.6,127.7,RE_WIND_Onshore_Lim_[CO]
BR,CO,CL,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_[CO]
BR,CO,CL,,0.0,0.0,0.0,PP_CO2_[CO]
BR,CO,CL,,0.0,0.5,30.4,BESS_[CO]
BR,CO,CL,,0.0,0.1,12.7,EL_to_HTH_[CO]
BR,CO,CL,,0.0,0.4,6.7,EL_to_NH3_[CO]
BR,CO,CL,,0.0,1.0,62.0,NH3_Storage_[CO]
BR,CO,CL,,0.0,0.1,0.8,NH3_to_EL_[CO]
BR,CO,CL,,0.0,0.0,2.4,NH3_to_HTH_[CO]
BR,CO,CL,,0.0,0.0,0.0,FF_to_HTH_[CO]
BR,CO,CL,,0.0,0.0,33.0,EL_Demand_[CO]
BR,CO,CL,,0.0,0.0,12.9,HTH_Demand_[CO]
BR,CO,CL,,0.0,0.0,0.0,RE_PV_Rooftop_Lim_[CL]
BR,CO,CL,,0.0,0.0,0.0,RE_PV_Openfield_Lim_[CL]
BR,CO,CL,,0.0,2.1,67.1,RE_WIND_Onshore_Lim_[CL]
BR,CO,CL,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_[CL]
BR,CO,CL,,0.0,0.0,0.0,PP_CO2_[CL]
BR,CO,CL,,0.0,0.0,0.0,BESS_[CL]
BR,CO,CL,,0.0,0.1,13.1,EL_to_HTH_[CL]
BR,CO,CL,,0.0,0.0,0.9,EL_to_NH3_[CL]
BR,CO,CL,,0.0,0.3,20.3,NH3_Storage_[CL]
BR,CO,CL,,0.0,0.0,0.0,NH3_to_EL_[CL]
BR,CO,CL,,0.0,0.0,2.0,NH3_to_HTH_[CL]
BR,CO,CL,,0.0,0.0,0.0,FF_to_HTH_[CL]
BR,CO,CL,,0.0,0.0,24.8,EL_Demand_[CL]
BR,CO,CL,,0.0,0.0,13.6,HTH_Demand_[CL]
BR,CO,CL,,12.2,0.0,0.0,RE_PV_Rooftop_Lim_[BR]
BR,CO,CL,,12.2,6.2,212.8,RE_PV_Openfield_Lim_[BR]
BR,CO,CL,,12.2,22.4,837.8,RE_WIND_Onshore_Lim_[BR]
BR,CO,CL,,12.2,0.0,0.0,RE_WIND_Offshore_Lim_[BR]
BR,CO,CL,,12.2,5.1,62.4,PP_CO2_[BR]
BR,CO,CL,,12.2,0.4,23.7,BESS_[BR]
BR,CO,CL,,12.2,1.5,133.0,EL_to_HTH_[BR]
BR,CO,CL,,12.2,0.4,6.7,EL_to_NH3_[BR]
BR,CO,CL,,12.2,0.6,34.9,NH3_Storage_[BR]
BR,CO,CL,,12.2,0.0,0.0,NH3_to_EL_[BR]
BR,CO,CL,,12.2,0.1,8.2,NH3_to_HTH_[BR]
BR,CO,CL,,12.2,1.2,90.0,FF_to_HTH_[BR]
BR,CO,CL,,12.2,0.0,206.6,EL_Demand_[BR]
BR,CO,CL,,12.2,0.0,137.1,HTH_Demand_[BR]
BR,CO,CL,,12.2,0.0,0.0,RE_PV_Rooftop_Lim_[CO]
BR,CO,CL,,12.2,0.5,33.5,RE_PV_Openfield_Lim_[CO]
BR,CO,CL,,12.2,3.9,109.1,RE_WIND_Onshore_Lim_[CO]
BR,CO,CL,,12.2,0.0,0.0,RE_WIND_Offshore_Lim_[CO]
BR,CO,CL,,12.2,0.3,5.1,PP_CO2_[CO]
BR,CO,CL,,12.2,0.5,25.4,BESS_[CO]
BR,CO,CL,,12.2,0.1,12.6,EL_to_HTH_[CO]
BR,CO,CL,,12.2,0.1,1.1,EL_to_NH3_[CO]
BR,CO,CL,,12.2,0.1,5.2,NH3_Storage_[CO]
BR,CO,CL,,12.2,0.0,0.1,NH3_to_EL_[CO]
BR,CO,CL,,12.2,0.0,0.7,NH3_to_HTH_[CO]
BR,CO,CL,,12.2,0.3,11.2,FF_to_HTH_[CO]
BR,CO,CL,,12.2,0.0,33.0,EL_Demand_[CO]
BR,CO,CL,,12.2,0.0,12.9,HTH_Demand_[CO]
BR,CO,CL,,12.2,0.0,0.0,RE_PV_Rooftop_Lim_[CL]
BR,CO,CL,,12.2,0.0,0.0,RE_PV_Openfield_Lim_[CL]
BR,CO,CL,,12.2,2.0,62.8,RE_WIND_Onshore_Lim_[CL]
BR,CO,CL,,12.2,0.0,0.0,RE_WIND_Offshore_Lim_[CL]
BR,CO,CL,,12.2,0.0,0.0,PP_CO2_[CL]
BR,CO,CL,,12.2,0.0,1.3,BESS_[CL]
BR,CO,CL,,12.2,0.1,13.3,EL_to_HTH_[CL]
BR,CO,CL,,12.2,0.0,0.5,EL_to_NH3_[CL]
BR,CO,CL,,12.2,0.1,4.0,NH3_Storage_[CL]
BR,CO,CL,,12.2,0.0,0.0,NH3_to_EL_[CL]
BR,CO,CL,,12.2,0.0,0.6,NH3_to_HTH_[CL]
BR,CO,CL,,12.2,0.1,8.5,FF_to_HTH_[CL]
BR,CO,CL,,12.2,0.0,24.8,EL_Demand_[CL]
BR,CO,CL,,12.2,0.0,13.6,HTH_Demand_[CL]
BR,CO,CL,,24.5,0.0,0.0,RE_PV_Rooftop_Lim_[BR]
BR,CO,CL,,24.5,5.7,196.4,RE_PV_Openfield_Lim_[BR]
BR,CO,CL,,24.5,20.5,765.7,RE_WIND_Onshore_Lim_[BR]
BR,CO,CL,,24.5,0.0,0.0,RE_WIND_Offshore_Lim_[BR]
BR,CO,CL,,24.5,4.8,56.4,PP_CO2_[BR]
BR,CO,CL,,24.5,0.8,44.3,BESS_[BR]
BR,CO,CL,,24.5,1.5,132.3,EL_to_HTH_[BR]
BR,CO,CL,,24.5,0.1,1.4,EL_to_NH3_[BR]
BR,CO,CL,,24.5,0.1,7.8,NH3_Storage_[BR]
BR,CO,CL,,24.5,0.2,2.3,NH3_to_EL_[BR]
BR,CO,CL,,24.5,0.0,0.9,NH3_to_HTH_[BR]
BR,CO,CL,,24.5,2.5,129.8,FF_to_HTH_[BR]
BR,CO,CL,,24.5,0.0,206.6,EL_Demand_[BR]
BR,CO,CL,,24.5,0.0,137.1,HTH_Demand_[BR]
BR,CO,CL,,24.5,0.0,0.0,RE_PV_Rooftop_Lim_[CO]
BR,CO,CL,,24.5,0.4,28.3,RE_PV_Openfield_Lim_[CO]
BR,CO,CL,,24.5,3.5,97.6,RE_WIND_Onshore_Lim_[CO]
BR,CO,CL,,24.5,0.0,0.0,RE_WIND_Offshore_Lim_[CO]
BR,CO,CL,,24.5,0.5,6.9,PP_CO2_[CO]
BR,CO,CL,,24.5,0.5,25.1,BESS_[CO]
BR,CO,CL,,24.5,0.1,12.7,EL_to_HTH_[CO]
BR,CO,CL,,24.5,0.0,0.0,EL_to_NH3_[CO]
BR,CO,CL,,24.5,0.0,0.1,NH3_Storage_[CO]
BR,CO,CL,,24.5,0.0,0.0,NH3_to_EL_[CO]
BR,CO,CL,,24.5,0.0,0.0,NH3_to_HTH_[CO]
BR,CO,CL,,24.5,0.5,12.5,FF_to_HTH_[CO]
BR,CO,CL,,24.5,0.0,33.0,EL_Demand_[CO]
BR,CO,CL,,24.5,0.0,12.9,HTH_Demand_[CO]
BR,CO,CL,,24.5,0.0,0.0,RE_PV_Rooftop_Lim_[CL]
BR,CO,CL,,24.5,0.0,0.0,RE_PV_Openfield_Lim_[CL]
BR,CO,CL,,24.5,1.8,57.8,RE_WIND_Onshore_Lim_[CL]
BR,CO,CL,,24.5,0.0,0.0,RE_WIND_Offshore_Lim_[CL]
BR,CO,CL,,24.5,0.0,0.0,PP_CO2_[CL]
BR,CO,CL,,24.5,0.0,2.7,BESS_[CL]
BR,CO,CL,,24.5,0.2,13.4,EL_to_HTH_[CL]
BR,CO,CL,,24.5,0.0,0.0,EL_to_NH3_[CL]
BR,CO,CL,,24.5,0.0,0.1,NH3_Storage_[CL]
BR,CO,CL,,24.5,0.0,0.0,NH3_to_EL_[CL]
BR,CO,CL,,24.5,0.0,0.0,NH3_to_HTH_[CL]
BR,CO,CL,,24.5,0.2,13.1,FF_to_HTH_[CL]
BR,CO,CL,,24.5,0.0,24.8,EL_Demand_[CL]
BR,CO,CL,,24.5,0.0,13.6,HTH_Demand_[CL]
BR,CO,CL,,36.7,0.0,0.0,RE_PV_Rooftop_Lim_[BR]
BR,CO,CL,,36.7,4.9,169.0,RE_PV_Openfield_Lim_[BR]
BR,CO,CL,,36.7,20.0,746.7,RE_WIND_Onshore_Lim_[BR]
BR,CO,CL,,36.7,0.0,0.0,RE_WIND_Offshore_Lim_[BR]
BR,CO,CL,,36.7,2.9,58.5,PP_CO2_[BR]
BR,CO,CL,,36.7,0.8,43.3,BESS_[BR]
BR,CO,CL,,36.7,1.5,131.8,EL_to_HTH_[BR]
BR,CO,CL,,36.7,0.1,2.6,EL_to_NH3_[BR]
BR,CO,CL,,36.7,0.3,15.1,NH3_Storage_[BR]
BR,CO,CL,,36.7,0.3,3.6,NH3_to_EL_[BR]
BR,CO,CL,,36.7,0.0,1.2,NH3_to_HTH_[BR]
BR,CO,CL,,36.7,4.1,129.8,FF_to_HTH_[BR]
BR,CO,CL,,36.7,0.0,206.6,EL_Demand_[BR]
BR,CO,CL,,36.7,0.0,137.1,HTH_Demand_[BR]
BR,CO,CL,,36.7,0.0,0.0,RE_PV_Rooftop_Lim_[CO]
BR,CO,CL,,36.7,0.4,28.1,RE_PV_Openfield_Lim_[CO]
BR,CO,CL,,36.7,3.4,95.8,RE_WIND_Onshore_Lim_[CO]
BR,CO,CL,,36.7,0.0,0.0,RE_WIND_Offshore_Lim_[CO]
BR,CO,CL,,36.7,0.5,7.3,PP_CO2_[CO]
BR,CO,CL,,36.7,0.4,24.7,BESS_[CO]
BR,CO,CL,,36.7,0.1,12.7,EL_to_HTH_[CO]
BR,CO,CL,,36.7,0.0,0.0,EL_to_NH3_[CO]
BR,CO,CL,,36.7,0.0,0.1,NH3_Storage_[CO]
BR,CO,CL,,36.7,0.0,0.0,NH3_to_EL_[CO]
BR,CO,CL,,36.7,0.0,0.0,NH3_to_HTH_[CO]
