Asset_Number,Asset_Class,Location_1,Location_2,Asset_Type
0,CO2_Budget,20,20,1
1,RE_PV_Rooftop_Lim,20,20,20
2,RE_PV_Openfield_Lim,20,20,20
3,RE_WIND_Onshore_Lim,20,20,20
4,RE_WIND_Offshore_Lim,20,20,20
5,PP_CO2,20,20,20
6,BESS,20,20,20
7,EL_to_HTH,20,20,20
8,EL_to_NH3,20,20,20
9,NH3_Storage,20,20,20
10,NH3_to_EL,20,20,20
11,NH3_to_HTH,20,20,20
12,FF_to_HTH,20,20,20
13,EL_Demand,20,20,20
14,HTH_Demand,20,20,20
15,RE_PV_Rooftop_Lim,21,21,21
16,RE_PV_Openfield_Lim,21,21,21
17,RE_WIND_Onshore_Lim,21,21,21
18,RE_WIND_Offshore_Lim,21,21,21
19,PP_CO2,21,21,21
20,BESS,21,21,21
21,EL_to_HTH,21,21,21
22,EL_to_NH3,21,21,21
23,NH3_Storage,21,21,21
24,NH3_to_EL,21,21,21
25,NH3_to_HTH,21,21,21
26,FF_to_HTH,21,21,21
27,EL_Demand,21,21,21
28,HTH_Demand,21,21,21
29,RE_PV_Rooftop_Lim,23,23,23
30,RE_PV_Openfield_Lim,23,23,23
31,RE_WIND_Onshore_Lim,23,23,23
32,RE_WIND_Offshore_Lim,23,23,23
33,PP_CO2,23,23,23
34,BESS,23,23,23
35,EL_to_HTH,23,23,23
36,EL_to_NH3,23,23,23
37,NH3_Storage,23,23,23
38,NH3_to_EL,23,23,23
39,NH3_to_HTH,23,23,23
40,FF_to_HTH,23,23,23
41,EL_Demand,23,23,23
42,HTH_Demand,23,23,23
43,NH3_Transport,20,21,0
44,EL_Transport,20,21,0
45,NH3_Transport,20,23,0
46,EL_Transport,20,23,0
47,NH3_Transport,21,23,0
48,EL_Transport,21,23,0
