country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_capacity,technology_name
BR,CO,PE,CL,60.3,0.0,0.0,RE_PV_Rooftop_Lim_[BR]
BR,CO,PE,CL,60.3,3.8,131.2,RE_PV_Openfield_Lim_[BR]
BR,CO,PE,CL,60.3,16.8,636.1,RE_WIND_Onshore_Lim_[BR]
BR,CO,PE,CL,60.3,0.0,0.0,RE_WIND_Offshore_Lim_[BR]
BR,CO,PE,CL,60.3,3.8,73.5,PP_CO2_[BR]
BR,CO,PE,CL,60.3,0.3,17.3,BESS_[BR]
BR,CO,PE,CL,60.3,1.5,132.2,EL_to_HTH_[BR]
BR,CO,PE,CL,60.3,0.0,0.0,EL_to_NH3_[BR]
BR,CO,PE,CL,60.3,0.0,0.2,NH3_Storage_[BR]
BR,CO,PE,CL,60.3,0.0,0.0,NH3_to_EL_[BR]
BR,CO,PE,CL,60.3,0.0,0.2,NH3_to_HTH_[BR]
BR,CO,PE,CL,60.3,5.9,131.4,FF_to_HTH_[BR]
BR,CO,PE,CL,60.3,0.0,206.6,EL_Demand_[BR]
BR,CO,PE,CL,60.3,0.0,137.1,HTH_Demand_[BR]
BR,CO,PE,CL,60.3,0.0,0.0,RE_PV_Rooftop_Lim_[CO]
BR,CO,PE,CL,60.3,0.4,25.3,RE_PV_Openfield_Lim_[CO]
BR,CO,PE,CL,60.3,2.7,69.8,RE_WIND_Onshore_Lim_[CO]
BR,CO,PE,CL,60.3,0.0,0.0,RE_WIND_Offshore_Lim_[CO]
BR,CO,PE,CL,60.3,0.1,2.3,PP_CO2_[CO]
BR,CO,PE,CL,60.3,0.3,16.7,BESS_[CO]
BR,CO,PE,CL,60.3,0.1,12.6,EL_to_HTH_[CO]
BR,CO,PE,CL,60.3,0.0,0.0,EL_to_NH3_[CO]
BR,CO,PE,CL,60.3,0.0,0.0,NH3_Storage_[CO]
BR,CO,PE,CL,60.3,0.0,0.0,NH3_to_EL_[CO]
BR,CO,PE,CL,60.3,0.0,0.0,NH3_to_HTH_[CO]
BR,CO,PE,CL,60.3,0.7,12.5,FF_to_HTH_[CO]
BR,CO,PE,CL,60.3,0.0,33.0,EL_Demand_[CO]
BR,CO,PE,CL,60.3,0.0,12.9,HTH_Demand_[CO]
BR,CO,PE,CL,60.3,0.0,0.0,RE_PV_Rooftop_Lim_[PE]
BR,CO,PE,CL,60.3,0.3,19.1,RE_PV_Openfield_Lim_[PE]
BR,CO,PE,CL,60.3,0.5,12.3,RE_WIND_Onshore_Lim_[PE]
BR,CO,PE,CL,60.3,0.0,0.0,RE_WIND_Offshore_Lim_[PE]
BR,CO,PE,CL,60.3,0.0,0.0,PP_CO2_[PE]
BR,CO,PE,CL,60.3,0.0,1.5,BESS_[PE]
BR,CO,PE,CL,60.3,0.1,5.5,EL_to_HTH_[PE]
BR,CO,PE,CL,60.3,0.0,0.0,EL_to_NH3_[PE]
BR,CO,PE,CL,60.3,0.0,0.0,NH3_Storage_[PE]
BR,CO,PE,CL,60.3,0.0,0.0,NH3_to_EL_[PE]
BR,CO,PE,CL,60.3,0.0,0.0,NH3_to_HTH_[PE]
BR,CO,PE,CL,60.3,0.4,5.6,FF_to_HTH_[PE]
BR,CO,PE,CL,60.3,0.0,19.3,EL_Demand_[PE]
BR,CO,PE,CL,60.3,0.0,5.7,HTH_Demand_[PE]
BR,CO,PE,CL,60.3,0.0,0.0,RE_PV_Rooftop_Lim_[CL]
BR,CO,PE,CL,60.3,0.0,0.0,RE_PV_Openfield_Lim_[CL]
BR,CO,PE,CL,60.3,2.2,66.6,RE_WIND_Onshore_Lim_[CL]
BR,CO,PE,CL,60.3,0.0,0.0,RE_WIND_Offshore_Lim_[CL]
BR,CO,PE,CL,60.3,0.0,0.0,PP_CO2_[CL]
BR,CO,PE,CL,60.3,0.0,0.0,BESS_[CL]
BR,CO,PE,CL,60.3,0.2,13.4,EL_to_HTH_[CL]
BR,CO,PE,CL,60.3,0.0,0.0,EL_to_NH3_[CL]
BR,CO,PE,CL,60.3,0.0,0.0,NH3_Storage_[CL]
BR,CO,PE,CL,60.3,0.0,0.0,NH3_to_EL_[CL]
BR,CO,PE,CL,60.3,0.0,0.0,NH3_to_HTH_[CL]
BR,CO,PE,CL,60.3,0.2,8.2,FF_to_HTH_[CL]
BR,CO,PE,CL,60.3,0.0,24.8,EL_Demand_[CL]
BR,CO,PE,CL,60.3,0.0,13.6,HTH_Demand_[CL]
BR,CO,PE,CL,60.3,0.0,0.0,NH3_Transport_[BR-CO]
BR,CO,PE,CL,60.3,1.2,8.9,EL_Transport_[BR-CO]
BR,CO,PE,CL,60.3,0.0,0.0,NH3_Transport_[BR-PE]
BR,CO,PE,CL,60.3,0.4,3.6,EL_Transport_[BR-PE]
BR,CO,PE,CL,60.3,0.0,0.0,NH3_Transport_[BR-CL]
BR,CO,PE,CL,60.3,0.8,7.3,EL_Transport_[BR-CL]
BR,CO,PE,CL,60.3,0.0,0.0,NH3_Transport_[CO-PE]
