country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_capacity,technology_name
BR,CO,PE,,71.5,0.0,0.0,RE_PV_Rooftop_Lim_[BR]
BR,CO,PE,,71.5,3.8,132.0,RE_PV_Openfield_Lim_[BR]
BR,CO,PE,,71.5,17.3,645.5,RE_WIND_Onshore_Lim_[BR]
BR,CO,PE,,71.5,0.0,0.0,RE_WIND_Offshore_Lim_[BR]
BR,CO,PE,,71.5,5.0,91.2,PP_CO2_[BR]
BR,CO,PE,,71.5,0.3,17.4,BESS_[BR]
BR,CO,PE,,71.5,1.5,132.3,EL_to_HTH_[BR]
BR,CO,PE,,71.5,0.0,0.0,EL_to_NH3_[BR]
BR,CO,PE,,71.5,0.0,0.2,NH3_Storage_[BR]
BR,CO,PE,,71.5,0.0,0.0,NH3_to_EL_[BR]
BR,CO,PE,,71.5,0.0,0.2,NH3_to_HTH_[BR]
BR,CO,PE,,71.5,6.0,131.4,FF_to_HTH_[BR]
BR,CO,PE,,71.5,0.0,206.6,EL_Demand_[BR]
BR,CO,PE,,71.5,0.0,137.1,HTH_Demand_[BR]
BR,CO,PE,,71.5,0.0,0.0,RE_PV_Rooftop_Lim_[CO]
BR,CO,PE,,71.5,0.4,27.5,RE_PV_Openfield_Lim_[CO]
BR,CO,PE,,71.5,2.6,72.2,RE_WIND_Onshore_Lim_[CO]
BR,CO,PE,,71.5,0.0,0.0,RE_WIND_Offshore_Lim_[CO]
BR,CO,PE,,71.5,0.8,11.8,PP_CO2_[CO]
BR,CO,PE,,71.5,0.3,17.6,BESS_[CO]
BR,CO,PE,,71.5,0.1,12.7,EL_to_HTH_[CO]
BR,CO,PE,,71.5,0.0,0.0,EL_to_NH3_[CO]
BR,CO,PE,,71.5,0.0,0.0,NH3_Storage_[CO]
BR,CO,PE,,71.5,0.0,0.0,NH3_to_EL_[CO]
BR,CO,PE,,71.5,0.0,0.0,NH3_to_HTH_[CO]
BR,CO,PE,,71.5,0.9,12.5,FF_to_HTH_[CO]
BR,CO,PE,,71.5,0.0,33.0,EL_Demand_[CO]
BR,CO,PE,,71.5,0.0,12.9,HTH_Demand_[CO]
BR,CO,PE,,71.5,0.0,0.0,RE_PV_Rooftop_Lim_[PE]
BR,CO,PE,,71.5,0.2,11.2,RE_PV_Openfield_Lim_[PE]
BR,CO,PE,,71.5,2.1,57.8,RE_WIND_Onshore_Lim_[PE]
BR,CO,PE,,71.5,0.0,0.0,RE_WIND_Offshore_Lim_[PE]
BR,CO,PE,,71.5,1.2,10.1,PP_CO2_[PE]
BR,CO,PE,,71.5,0.1,3.7,BESS_[PE]
BR,CO,PE,,71.5,0.1,5.6,EL_to_HTH_[PE]
BR,CO,PE,,71.5,0.0,0.0,EL_to_NH3_[PE]
BR,CO,PE,,71.5,0.0,0.0,NH3_Storage_[PE]
BR,CO,PE,,71.5,0.0,0.0,NH3_to_EL_[PE]
BR,CO,PE,,71.5,0.0,0.0,NH3_to_HTH_[PE]
BR,CO,PE,,71.5,0.6,5.6,FF_to_HTH_[PE]
BR,CO,PE,,71.5,0.0,19.3,EL_Demand_[PE]
