country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_capacity,technology_name
BR,PE,CL,,46.0,0.0,0.0,RE_PV_Rooftop_Lim_[BR]
BR,PE,CL,,46.0,5.3,184.0,RE_PV_Openfield_Lim_[BR]
BR,PE,CL,,46.0,23.6,671.9,RE_WIND_Onshore_Lim_[BR]
BR,PE,CL,,46.0,0.0,0.0,RE_WIND_Offshore_Lim_[BR]
BR,PE,CL,,46.0,3.3,64.3,PP_CO2_[BR]
BR,PE,CL,,46.0,1.1,58.9,BESS_[BR]
BR,PE,CL,,46.0,1.5,133.1,EL_to_HTH_[BR]
BR,PE,CL,,46.0,0.0,0.8,EL_to_NH3_[BR]
BR,PE,CL,,46.0,0.1,4.9,NH3_Storage_[BR]
BR,PE,CL,,46.0,0.1,1.0,NH3_to_EL_[BR]
BR,PE,CL,,46.0,0.0,0.5,NH3_to_HTH_[BR]
BR,PE,CL,,46.0,4.9,130.3,FF_to_HTH_[BR]
BR,PE,CL,,46.0,0.0,206.6,EL_Demand_[BR]
BR,PE,CL,,46.0,0.0,137.1,HTH_Demand_[BR]
BR,PE,CL,,46.0,0.0,0.0,RE_PV_Rooftop_Lim_[PE]
BR,PE,CL,,46.0,0.2,15.2,RE_PV_Openfield_Lim_[PE]
BR,PE,CL,,46.0,2.6,67.9,RE_WIND_Onshore_Lim_[PE]
BR,PE,CL,,46.0,0.0,0.0,RE_WIND_Offshore_Lim_[PE]
BR,PE,CL,,46.0,0.5,6.2,PP_CO2_[PE]
BR,PE,CL,,46.0,0.6,34.5,BESS_[PE]
BR,PE,CL,,46.0,0.1,5.6,EL_to_HTH_[PE]
BR,PE,CL,,46.0,0.0,0.0,EL_to_NH3_[PE]
BR,PE,CL,,46.0,0.0,0.0,NH3_Storage_[PE]
BR,PE,CL,,46.0,0.0,0.0,NH3_to_EL_[PE]
BR,PE,CL,,46.0,0.0,0.0,NH3_to_HTH_[PE]
BR,PE,CL,,46.0,0.4,5.6,FF_to_HTH_[PE]
BR,PE,CL,,46.0,0.0,19.3,EL_Demand_[PE]
BR,PE,CL,,46.0,0.0,5.7,HTH_Demand_[PE]
BR,PE,CL,,46.0,0.0,0.0,RE_PV_Rooftop_Lim_[CL]
BR,PE,CL,,46.0,0.0,0.0,RE_PV_Openfield_Lim_[CL]
BR,PE,CL,,46.0,2.1,54.6,RE_WIND_Onshore_Lim_[CL]
BR,PE,CL,,46.0,0.0,0.0,RE_WIND_Offshore_Lim_[CL]
BR,PE,CL,,46.0,0.1,1.3,PP_CO2_[CL]
BR,PE,CL,,46.0,0.0,2.3,BESS_[CL]
BR,PE,CL,,46.0,0.2,13.4,EL_to_HTH_[CL]
BR,PE,CL,,46.0,0.0,0.0,EL_to_NH3_[CL]
BR,PE,CL,,46.0,0.0,0.1,NH3_Storage_[CL]
BR,PE,CL,,46.0,0.0,0.0,NH3_to_EL_[CL]
BR,PE,CL,,46.0,0.0,0.0,NH3_to_HTH_[CL]
BR,PE,CL,,46.0,0.2,13.2,FF_to_HTH_[CL]
BR,PE,CL,,46.0,0.0,24.8,EL_Demand_[CL]
BR,PE,CL,,46.0,0.0,13.6,HTH_Demand_[CL]
BR,PE,CL,,11.5,0.0,0.0,RE_PV_Rooftop_Lim_[BR]
BR,PE,CL,,11.5,7.5,257.3,RE_PV_Openfield_Lim_[BR]
BR,PE,CL,,11.5,26.7,760.6,RE_WIND_Onshore_Lim_[BR]
BR,PE,CL,,11.5,0.0,0.0,RE_WIND_Offshore_Lim_[BR]
BR,PE,CL,,11.5,5.4,60.7,PP_CO2_[BR]
BR,PE,CL,,11.5,0.6,31.9,BESS_[BR]
BR,PE,CL,,11.5,1.5,133.0,EL_to_HTH_[BR]
BR,PE,CL,,11.5,0.5,9.6,EL_to_NH3_[BR]
BR,PE,CL,,11.5,0.8,45.3,NH3_Storage_[BR]
BR,PE,CL,,11.5,0.0,0.0,NH3_to_EL_[BR]
BR,PE,CL,,11.5,0.1,9.3,NH3_to_HTH_[BR]
BR,PE,CL,,11.5,1.1,84.0,FF_to_HTH_[BR]
BR,PE,CL,,11.5,0.0,206.6,EL_Demand_[BR]
BR,PE,CL,,11.5,0.0,137.1,HTH_Demand_[BR]
BR,PE,CL,,11.5,0.0,0.0,RE_PV_Rooftop_Lim_[PE]
BR,PE,CL,,11.5,0.4,24.2,RE_PV_Openfield_Lim_[PE]
BR,PE,CL,,11.5,3.0,76.9,RE_WIND_Onshore_Lim_[PE]
BR,PE,CL,,11.5,0.0,0.0,RE_WIND_Offshore_Lim_[PE]
BR,PE,CL,,11.5,0.1,1.7,PP_CO2_[PE]
BR,PE,CL,,11.5,1.2,67.1,BESS_[PE]
BR,PE,CL,,11.5,0.1,5.7,EL_to_HTH_[PE]
BR,PE,CL,,11.5,0.2,2.9,EL_to_NH3_[PE]
BR,PE,CL,,11.5,0.2,9.6,NH3_Storage_[PE]
BR,PE,CL,,11.5,0.0,0.3,NH3_to_EL_[PE]
BR,PE,CL,,11.5,0.0,0.6,NH3_to_HTH_[PE]
BR,PE,CL,,11.5,0.1,2.0,FF_to_HTH_[PE]
BR,PE,CL,,11.5,0.0,19.3,EL_Demand_[PE]
BR,PE,CL,,11.5,0.0,5.7,HTH_Demand_[PE]
BR,PE,CL,,11.5,0.0,0.0,RE_PV_Rooftop_Lim_[CL]
BR,PE,CL,,11.5,0.0,0.0,RE_PV_Openfield_Lim_[CL]
BR,PE,CL,,11.5,2.2,57.8,RE_WIND_Onshore_Lim_[CL]
BR,PE,CL,,11.5,0.0,0.0,RE_WIND_Offshore_Lim_[CL]
BR,PE,CL,,11.5,0.0,0.0,PP_CO2_[CL]
BR,PE,CL,,11.5,0.0,2.7,BESS_[CL]
BR,PE,CL,,11.5,0.1,13.3,EL_to_HTH_[CL]
BR,PE,CL,,11.5,0.0,0.8,EL_to_NH3_[CL]
BR,PE,CL,,11.5,0.1,6.4,NH3_Storage_[CL]
BR,PE,CL,,11.5,0.0,0.0,NH3_to_EL_[CL]
BR,PE,CL,,11.5,0.0,1.0,NH3_to_HTH_[CL]
BR,PE,CL,,11.5,0.1,9.1,FF_to_HTH_[CL]
BR,PE,CL,,11.5,0.0,24.8,EL_Demand_[CL]
BR,PE,CL,,11.5,0.0,13.6,HTH_Demand_[CL]
BR,PE,CL,,73.8,0.0,0.0,RE_PV_Rooftop_Lim_[BR]
BR,PE,CL,,73.8,4.4,151.5,RE_PV_Openfield_Lim_[BR]
BR,PE,CL,,73.8,20.5,582.3,RE_WIND_Onshore_Lim_[BR]
BR,PE,CL,,73.8,0.0,0.0,RE_WIND_Offshore_Lim_[BR]
BR,PE,CL,,73.8,4.9,85.6,PP_CO2_[BR]
BR,PE,CL,,73.8,0.7,39.0,BESS_[BR]
BR,PE,CL,,73.8,1.5,132.2,EL_to_HTH_[BR]
BR,PE,CL,,73.8,0.0,0.0,EL_to_NH3_[BR]
BR,PE,CL,,73.8,0.0,0.2,NH3_Storage_[BR]
BR,PE,CL,,73.8,0.0,0.0,NH3_to_EL_[BR]
BR,PE,CL,,73.8,0.0,0.2,NH3_to_HTH_[BR]
BR,PE,CL,,73.8,7.0,131.4,FF_to_HTH_[BR]
BR,PE,CL,,73.8,0.0,206.6,EL_Demand_[BR]
BR,PE,CL,,73.8,0.0,137.1,HTH_Demand_[BR]
BR,PE,CL,,73.8,0.0,0.0,RE_PV_Rooftop_Lim_[PE]
BR,PE,CL,,73.8,0.2,14.0,RE_PV_Openfield_Lim_[PE]
BR,PE,CL,,73.8,2.2,56.0,RE_WIND_Onshore_Lim_[PE]
BR,PE,CL,,73.8,0.0,0.0,RE_WIND_Offshore_Lim_[PE]
BR,PE,CL,,73.8,1.1,9.7,PP_CO2_[PE]
BR,PE,CL,,73.8,0.1,7.2,BESS_[PE]
BR,PE,CL,,73.8,0.1,5.6,EL_to_HTH_[PE]
BR,PE,CL,,73.8,0.0,0.0,EL_to_NH3_[PE]
BR,PE,CL,,73.8,0.0,0.0,NH3_Storage_[PE]
BR,PE,CL,,73.8,0.0,0.0,NH3_to_EL_[PE]
BR,PE,CL,,73.8,0.0,0.0,NH3_to_HTH_[PE]
BR,PE,CL,,73.8,0.6,5.6,FF_to_HTH_[PE]
BR,PE,CL,,73.8,0.0,19.3,EL_Demand_[PE]
BR,PE,CL,,73.8,0.0,5.7,HTH_Demand_[PE]
BR,PE,CL,,73.8,0.0,0.0,RE_PV_Rooftop_Lim_[CL]
BR,PE,CL,,73.8,0.0,0.0,RE_PV_Openfield_Lim_[CL]
BR,PE,CL,,73.8,1.9,50.3,RE_WIND_Onshore_Lim_[CL]
BR,PE,CL,,73.8,0.0,0.0,RE_WIND_Offshore_Lim_[CL]
BR,PE,CL,,73.8,0.2,3.2,PP_CO2_[CL]
BR,PE,CL,,73.8,0.0,1.6,BESS_[CL]
BR,PE,CL,,73.8,0.2,13.4,EL_to_HTH_[CL]
BR,PE,CL,,73.8,0.0,0.0,EL_to_NH3_[CL]
BR,PE,CL,,73.8,0.0,0.0,NH3_Storage_[CL]
BR,PE,CL,,73.8,0.0,0.0,NH3_to_EL_[CL]
BR,PE,CL,,73.8,0.0,0.0,NH3_to_HTH_[CL]
BR,PE,CL,,73.8,0.3,13.2,FF_to_HTH_[CL]
BR,PE,CL,,73.8,0.0,24.8,EL_Demand_[CL]
BR,PE,CL,,73.8,0.0,13.6,HTH_Demand_[CL]
BR,PE,CL,,36.9,0.0,0.0,RE_PV_Rooftop_Lim_[BR]
BR,PE,CL,,36.9,6.2,213.6,RE_PV_Openfield_Lim_[BR]
BR,PE,CL,,36.9,23.9,680.6,RE_WIND_Onshore_Lim_[BR]
BR,PE,CL,,36.9,0.0,0.0,RE_WIND_Offshore_Lim_[BR]
BR,PE,CL,,36.9,3.6,53.0,PP_CO2_[BR]
BR,PE,CL,,36.9,1.1,59.6,BESS_[BR]
BR,PE,CL,,36.9,1.5,132.3,EL_to_HTH_[BR]
BR,PE,CL,,36.9,0.1,2.3,EL_to_NH3_[BR]
BR,PE,CL,,36.9,0.2,13.2,NH3_Storage_[BR]
BR,PE,CL,,36.9,0.2,2.9,NH3_to_EL_[BR]
BR,PE,CL,,36.9,0.0,1.2,NH3_to_HTH_[BR]
BR,PE,CL,,36.9,3.9,129.8,FF_to_HTH_[BR]
BR,PE,CL,,36.9,0.0,206.6,EL_Demand_[BR]
BR,PE,CL,,36.9,0.0,137.1,HTH_Demand_[BR]
BR,PE,CL,,36.9,0.0,0.0,RE_PV_Rooftop_Lim_[PE]
BR,PE,CL,,36.9,0.3,17.2,RE_PV_Openfield_Lim_[PE]
BR,PE,CL,,36.9,2.6,67.4,RE_WIND_Onshore_Lim_[PE]
BR,PE,CL,,36.9,0.0,0.0,RE_WIND_Offshore_Lim_[PE]
BR,PE,CL,,36.9,0.4,5.4,PP_CO2_[PE]
