country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_name
BR,PE,CL,,63.2,0.0,RE_PV_Rooftop_Lim_[BR]
BR,PE,CL,,63.2,3.8,RE_PV_Openfield_Lim_[BR]
BR,PE,CL,,63.2,17.3,RE_WIND_Onshore_Lim_[BR]
BR,PE,CL,,63.2,0.0,RE_WIND_Offshore_Lim_[BR]
BR,PE,CL,,63.2,5.0,PP_CO2_[BR]
BR,PE,CL,,63.2,0.3,BESS_[BR]
BR,PE,CL,,63.2,1.5,EL_to_HTH_[BR]
BR,PE,CL,,63.2,0.0,EL_to_NH3_[BR]
BR,PE,CL,,63.2,0.0,NH3_Storage_[BR]
BR,PE,CL,,63.2,0.0,NH3_to_EL_[BR]
BR,PE,CL,,63.2,0.0,NH3_to_HTH_[BR]
BR,PE,CL,,63.2,6.0,FF_to_HTH_[BR]
BR,PE,CL,,63.2,0.0,EL_Demand_[BR]
BR,PE,CL,,63.2,0.0,HTH_Demand_[BR]
BR,PE,CL,,63.2,0.0,RE_PV_Rooftop_Lim_[PE]
BR,PE,CL,,63.2,0.2,RE_PV_Openfield_Lim_[PE]
BR,PE,CL,,63.2,2.1,RE_WIND_Onshore_Lim_[PE]
BR,PE,CL,,63.2,0.0,RE_WIND_Offshore_Lim_[PE]
BR,PE,CL,,63.2,1.2,PP_CO2_[PE]
BR,PE,CL,,63.2,0.1,BESS_[PE]
BR,PE,CL,,63.2,0.1,EL_to_HTH_[PE]
BR,PE,CL,,63.2,0.0,EL_to_NH3_[PE]
BR,PE,CL,,63.2,0.0,NH3_Storage_[PE]
BR,PE,CL,,63.2,0.0,NH3_to_EL_[PE]
BR,PE,CL,,63.2,0.0,NH3_to_HTH_[PE]
BR,PE,CL,,63.2,0.6,FF_to_HTH_[PE]
BR,PE,CL,,63.2,0.0,EL_Demand_[PE]
BR,PE,CL,,63.2,0.0,HTH_Demand_[PE]
BR,PE,CL,,63.2,0.0,RE_PV_Rooftop_Lim_[CL]
BR,PE,CL,,63.2,0.0,RE_PV_Openfield_Lim_[CL]
BR,PE,CL,,63.2,1.6,RE_WIND_Onshore_Lim_[CL]
BR,PE,CL,,63.2,0.0,RE_WIND_Offshore_Lim_[CL]
BR,PE,CL,,63.2,0.1,PP_CO2_[CL]
BR,PE,CL,,63.2,0.0,BESS_[CL]
BR,PE,CL,,63.2,0.2,EL_to_HTH_[CL]
BR,PE,CL,,63.2,0.0,EL_to_NH3_[CL]
BR,PE,CL,,63.2,0.0,NH3_Storage_[CL]
BR,PE,CL,,63.2,0.0,NH3_to_EL_[CL]
BR,PE,CL,,63.2,0.0,NH3_to_HTH_[CL]
BR,PE,CL,,63.2,0.3,FF_to_HTH_[CL]
BR,PE,CL,,63.2,0.0,EL_Demand_[CL]
BR,PE,CL,,63.2,0.0,HTH_Demand_[CL]
BR,PE,CL,,36.9,0.0,RE_PV_Rooftop_Lim_[BR]
BR,PE,CL,,36.9,4.9,RE_PV_Openfield_Lim_[BR]
BR,PE,CL,,36.9,20.0,RE_WIND_Onshore_Lim_[BR]
BR,PE,CL,,36.9,0.0,RE_WIND_Offshore_Lim_[BR]
BR,PE,CL,,36.9,2.9,PP_CO2_[BR]
BR,PE,CL,,36.9,0.8,BESS_[BR]
BR,PE,CL,,36.9,1.5,EL_to_HTH_[BR]
BR,PE,CL,,36.9,0.2,EL_to_NH3_[BR]
BR,PE,CL,,36.9,0.3,NH3_Storage_[BR]
BR,PE,CL,,36.9,0.3,NH3_to_EL_[BR]
BR,PE,CL,,36.9,0.0,NH3_to_HTH_[BR]
BR,PE,CL,,36.9,4.1,FF_to_HTH_[BR]
