country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_capacity,technology_name
BR,PE,,,61.3,0.0,0.0,RE_PV_Rooftop_Lim_[BR]
BR,PE,,,61.3,3.8,132.3,RE_PV_Openfield_Lim_[BR]
BR,PE,,,61.3,17.2,649.4,RE_WIND_Onshore_Lim_[BR]
BR,PE,,,61.3,0.0,0.0,RE_WIND_Offshore_Lim_[BR]
BR,PE,,,61.3,4.9,90.8,PP_CO2_[BR]
BR,PE,,,61.3,0.3,17.4,BESS_[BR]
BR,PE,,,61.3,1.5,132.3,EL_to_HTH_[BR]
BR,PE,,,61.3,0.0,0.0,EL_to_NH3_[BR]
BR,PE,,,61.3,0.0,0.2,NH3_Storage_[BR]
BR,PE,,,61.3,0.0,0.0,NH3_to_EL_[BR]
BR,PE,,,61.3,0.0,0.2,NH3_to_HTH_[BR]
BR,PE,,,61.3,6.0,131.4,FF_to_HTH_[BR]
BR,PE,,,61.3,0.0,206.6,EL_Demand_[BR]
BR,PE,,,61.3,0.0,137.1,HTH_Demand_[BR]
BR,PE,,,61.3,0.0,0.0,RE_PV_Rooftop_Lim_[PE]
BR,PE,,,61.3,0.2,13.9,RE_PV_Openfield_Lim_[PE]
BR,PE,,,61.3,2.1,54.0,RE_WIND_Onshore_Lim_[PE]
BR,PE,,,61.3,0.0,0.0,RE_WIND_Offshore_Lim_[PE]
BR,PE,,,61.3,1.2,10.2,PP_CO2_[PE]
BR,PE,,,61.3,0.1,4.3,BESS_[PE]
BR,PE,,,61.3,0.1,5.6,EL_to_HTH_[PE]
BR,PE,,,61.3,0.0,0.0,EL_to_NH3_[PE]
BR,PE,,,61.3,0.0,0.0,NH3_Storage_[PE]
BR,PE,,,61.3,0.0,0.0,NH3_to_EL_[PE]
BR,PE,,,61.3,0.0,0.0,NH3_to_HTH_[PE]
BR,PE,,,61.3,0.6,5.6,FF_to_HTH_[PE]
BR,PE,,,61.3,0.0,19.3,EL_Demand_[PE]
BR,PE,,,61.3,0.0,5.7,HTH_Demand_[PE]
BR,PE,,,31.0,0.0,0.0,RE_PV_Rooftop_Lim_[BR]
BR,PE,,,31.0,5.7,195.0,RE_PV_Openfield_Lim_[BR]
BR,PE,,,31.0,20.3,766.9,RE_WIND_Onshore_Lim_[BR]
BR,PE,,,31.0,0.0,0.0,RE_WIND_Offshore_Lim_[BR]
BR,PE,,,31.0,2.8,56.3,PP_CO2_[BR]
BR,PE,,,31.0,0.8,46.0,BESS_[BR]
BR,PE,,,31.0,1.5,132.3,EL_to_HTH_[BR]
BR,PE,,,31.0,0.1,1.4,EL_to_NH3_[BR]
BR,PE,,,31.0,0.1,7.7,NH3_Storage_[BR]
BR,PE,,,31.0,0.2,2.2,NH3_to_EL_[BR]
BR,PE,,,31.0,0.0,0.9,NH3_to_HTH_[BR]
BR,PE,,,31.0,3.7,129.8,FF_to_HTH_[BR]
BR,PE,,,31.0,0.0,206.6,EL_Demand_[BR]
BR,PE,,,31.0,0.0,137.1,HTH_Demand_[BR]
BR,PE,,,31.0,0.0,0.0,RE_PV_Rooftop_Lim_[PE]
BR,PE,,,31.0,0.3,17.2,RE_PV_Openfield_Lim_[PE]
BR,PE,,,31.0,2.6,67.4,RE_WIND_Onshore_Lim_[PE]
BR,PE,,,31.0,0.0,0.0,RE_WIND_Offshore_Lim_[PE]
BR,PE,,,31.0,0.4,5.4,PP_CO2_[PE]
BR,PE,,,31.0,0.8,43.7,BESS_[PE]
BR,PE,,,31.0,0.1,5.6,EL_to_HTH_[PE]
BR,PE,,,31.0,0.0,0.0,EL_to_NH3_[PE]
BR,PE,,,31.0,0.0,0.0,NH3_Storage_[PE]
BR,PE,,,31.0,0.0,0.0,NH3_to_EL_[PE]
BR,PE,,,31.0,0.0,0.0,NH3_to_HTH_[PE]
BR,PE,,,31.0,0.4,5.6,FF_to_HTH_[PE]
BR,PE,,,31.0,0.0,19.3,EL_Demand_[PE]
BR,PE,,,31.0,0.0,5.7,HTH_Demand_[PE]
BR,PE,,,0.0,0.0,0.0,RE_PV_Rooftop_Lim_[BR]
BR,PE,,,0.0,7.9,271.3,RE_PV_Openfield_Lim_[BR]
BR,PE,,,0.0,26.4,997.9,RE_WIND_Onshore_Lim_[BR]
BR,PE,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_[BR]
BR,PE,,,0.0,0.0,0.0,PP_CO2_[BR]
BR,PE,,,0.0,0.8,43.0,BESS_[BR]
BR,PE,,,0.0,1.5,133.0,EL_to_HTH_[BR]
BR,PE,,,0.0,0.6,10.9,EL_to_NH3_[BR]
BR,PE,,,0.0,8.6,513.0,NH3_Storage_[BR]
BR,PE,,,0.0,0.9,11.4,NH3_to_EL_[BR]
BR,PE,,,0.0,0.2,25.8,NH3_to_HTH_[BR]
BR,PE,,,0.0,0.0,0.0,FF_to_HTH_[BR]
BR,PE,,,0.0,0.0,206.6,EL_Demand_[BR]
BR,PE,,,0.0,0.0,137.1,HTH_Demand_[BR]
BR,PE,,,0.0,0.0,0.0,RE_PV_Rooftop_Lim_[PE]
BR,PE,,,0.0,0.5,33.3,RE_PV_Openfield_Lim_[PE]
BR,PE,,,0.0,3.0,76.9,RE_WIND_Onshore_Lim_[PE]
BR,PE,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_[PE]
BR,PE,,,0.0,0.0,0.0,PP_CO2_[PE]
BR,PE,,,0.0,1.4,79.5,BESS_[PE]
BR,PE,,,0.0,0.1,5.7,EL_to_HTH_[PE]
BR,PE,,,0.0,0.3,5.4,EL_to_NH3_[PE]
BR,PE,,,0.0,0.3,15.1,NH3_Storage_[PE]
BR,PE,,,0.0,0.0,0.4,NH3_to_EL_[PE]
