country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_name
CO,CL,,,11.1,0.0,RE_PV_Rooftop_Lim_[CO]
CO,CL,,,11.1,0.7,RE_PV_Openfield_Lim_[CO]
CO,CL,,,11.1,4.5,RE_WIND_Onshore_Lim_[CO]
CO,CL,,,11.1,0.0,RE_WIND_Offshore_Lim_[CO]
CO,CL,,,11.1,0.6,PP_CO2_[CO]
CO,CL,,,11.1,0.3,BESS_[CO]
CO,CL,,,11.1,0.1,EL_to_HTH_[CO]
CO,CL,,,11.1,0.0,EL_to_NH3_[CO]
CO,CL,,,11.1,0.0,NH3_Storage_[CO]
CO,CL,,,11.1,0.0,NH3_to_EL_[CO]
CO,CL,,,11.1,0.0,NH3_to_HTH_[CO]
CO,CL,,,11.1,1.0,FF_to_HTH_[CO]
CO,CL,,,11.1,0.0,EL_Demand_[CO]
CO,CL,,,11.1,0.0,HTH_Demand_[CO]
CO,CL,,,11.1,0.0,RE_PV_Rooftop_Lim_[CL]
CO,CL,,,11.1,0.0,RE_PV_Openfield_Lim_[CL]
CO,CL,,,11.1,2.3,RE_WIND_Onshore_Lim_[CL]
CO,CL,,,11.1,0.0,RE_WIND_Offshore_Lim_[CL]
CO,CL,,,11.1,0.0,PP_CO2_[CL]
CO,CL,,,11.1,0.0,BESS_[CL]
CO,CL,,,11.1,0.2,EL_to_HTH_[CL]
CO,CL,,,11.1,0.0,EL_to_NH3_[CL]
CO,CL,,,11.1,0.0,NH3_Storage_[CL]
CO,CL,,,11.1,0.0,NH3_to_EL_[CL]
CO,CL,,,11.1,0.0,NH3_to_HTH_[CL]
CO,CL,,,11.1,0.2,FF_to_HTH_[CL]
CO,CL,,,11.1,0.0,EL_Demand_[CL]
CO,CL,,,11.1,0.0,HTH_Demand_[CL]
CO,CL,,,0.0,0.0,RE_PV_Rooftop_Lim_[CO]
CO,CL,,,0.0,1.3,RE_PV_Openfield_Lim_[CO]
CO,CL,,,0.0,7.0,RE_WIND_Onshore_Lim_[CO]
CO,CL,,,0.0,0.0,RE_WIND_Offshore_Lim_[CO]
CO,CL,,,0.0,0.0,PP_CO2_[CO]
CO,CL,,,0.0,0.4,BESS_[CO]
CO,CL,,,0.0,0.1,EL_to_HTH_[CO]
CO,CL,,,0.0,0.5,EL_to_NH3_[CO]
CO,CL,,,0.0,0.8,NH3_Storage_[CO]
CO,CL,,,0.0,0.1,NH3_to_EL_[CO]
CO,CL,,,0.0,0.0,NH3_to_HTH_[CO]
CO,CL,,,0.0,0.0,FF_to_HTH_[CO]
CO,CL,,,0.0,0.0,EL_Demand_[CO]
CO,CL,,,0.0,0.0,HTH_Demand_[CO]
CO,CL,,,0.0,0.0,RE_PV_Rooftop_Lim_[CL]
CO,CL,,,0.0,0.0,RE_PV_Openfield_Lim_[CL]
CO,CL,,,0.0,2.5,RE_WIND_Onshore_Lim_[CL]
CO,CL,,,0.0,0.0,RE_WIND_Offshore_Lim_[CL]
CO,CL,,,0.0,0.0,PP_CO2_[CL]
CO,CL,,,0.0,0.0,BESS_[CL]
CO,CL,,,0.0,0.1,EL_to_HTH_[CL]
CO,CL,,,0.0,0.2,EL_to_NH3_[CL]
CO,CL,,,0.0,0.3,NH3_Storage_[CL]
CO,CL,,,0.0,0.0,NH3_to_EL_[CL]
CO,CL,,,0.0,0.0,NH3_to_HTH_[CL]
CO,CL,,,0.0,0.0,FF_to_HTH_[CL]
CO,CL,,,0.0,0.0,EL_Demand_[CL]
CO,CL,,,0.0,0.0,HTH_Demand_[CL]
CO,CL,,,2.0,0.0,RE_PV_Rooftop_Lim_[CO]
CO,CL,,,2.0,0.8,RE_PV_Openfield_Lim_[CO]
CO,CL,,,2.0,6.4,RE_WIND_Onshore_Lim_[CO]
CO,CL,,,2.0,0.0,RE_WIND_Offshore_Lim_[CO]
CO,CL,,,2.0,0.2,PP_CO2_[CO]
CO,CL,,,2.0,0.5,BESS_[CO]
CO,CL,,,2.0,0.1,EL_to_HTH_[CO]
CO,CL,,,2.0,0.1,EL_to_NH3_[CO]
CO,CL,,,2.0,0.3,NH3_Storage_[CO]
CO,CL,,,2.0,0.0,NH3_to_EL_[CO]
CO,CL,,,2.0,0.0,NH3_to_HTH_[CO]
CO,CL,,,2.0,0.2,FF_to_HTH_[CO]
CO,CL,,,2.0,0.0,EL_Demand_[CO]
CO,CL,,,2.0,0.0,HTH_Demand_[CO]
CO,CL,,,2.0,0.0,RE_PV_Rooftop_Lim_[CL]
CO,CL,,,2.0,0.0,RE_PV_Openfield_Lim_[CL]
CO,CL,,,2.0,2.5,RE_WIND_Onshore_Lim_[CL]
CO,CL,,,2.0,0.0,RE_WIND_Offshore_Lim_[CL]
CO,CL,,,2.0,0.0,PP_CO2_[CL]
CO,CL,,,2.0,0.0,BESS_[CL]
CO,CL,,,2.0,0.1,EL_to_HTH_[CL]
