country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_name
CO,CL,,,10.834036110749947,1.65055792460256e-11,RE_PV_Rooftop_Lim_[CO]
CO,CL,,,10.834036110749947,0.4115984840322542,RE_PV_Openfield_Lim_[CO]
CO,CL,,,10.834036110749947,2.4815355690533094,RE_WIND_Onshore_Lim_[CO]
CO,CL,,,10.834036110749947,4.129764242786097e-12,RE_WIND_Offshore_Lim_[CO]
CO,CL,,,10.834036110749947,0.6759676266758239,PP_CO2_[CO]
CO,CL,,,10.834036110749947,0.3047970098424868,BESS_[CO]
CO,CL,,,10.834036110749947,0.1423598772741603,EL_to_HTH_[CO]
CO,CL,,,10.834036110749947,4.3102443014812585e-08,EL_to_NH3_[CO]
CO,CL,,,10.834036110749947,8.411061502934944e-05,NH3_Storage_[CO]
CO,CL,,,10.834036110749947,0.00013371728565729157,NH3_to_EL_[CO]
CO,CL,,,10.834036110749947,6.5880968862979114e-09,NH3_to_HTH_[CO]
CO,CL,,,10.834036110749947,0.8885413232328626,FF_to_HTH_[CO]
CO,CL,,,10.834036110749947,0.0,EL_Demand_[CO]
CO,CL,,,10.834036110749947,0.0,HTH_Demand_[CO]
CO,CL,,,10.834036110749947,3.1416968757809514e-12,RE_PV_Rooftop_Lim_[CL]
CO,CL,,,10.834036110749947,4.9262176229490455e-12,RE_PV_Openfield_Lim_[CL]
CO,CL,,,10.834036110749947,1.6496995583234237,RE_WIND_Onshore_Lim_[CL]
CO,CL,,,10.834036110749947,3.767853659416467e-12,RE_WIND_Offshore_Lim_[CL]
CO,CL,,,10.834036110749947,1.5329663454634724e-08,PP_CO2_[CL]
CO,CL,,,10.834036110749947,0.034812517561597686,BESS_[CL]
CO,CL,,,10.834036110749947,0.1504483627934223,EL_to_HTH_[CL]
CO,CL,,,10.834036110749947,0.0004794295473026365,EL_to_NH3_[CL]
CO,CL,,,10.834036110749947,0.0007184819751506015,NH3_Storage_[CL]
CO,CL,,,10.834036110749947,6.1597580277563664e-09,NH3_to_EL_[CL]
CO,CL,,,10.834036110749947,0.00020184347171749005,NH3_to_HTH_[CL]
CO,CL,,,10.834036110749947,0.2776414270384554,FF_to_HTH_[CL]
CO,CL,,,10.834036110749947,0.0,EL_Demand_[CL]
CO,CL,,,10.834036110749947,0.0,HTH_Demand_[CL]
CO,CL,,,10.834036110749947,8.642788918805334e-07,NH3_Transport_[CO-CL]
CO,CL,,,10.834036110749947,0.37628756820964593,EL_Transport_[CO-CL]
CO,CL,,,3.0957009194057044e-11,4.261354397833021e-11,RE_PV_Rooftop_Lim_[CO]
CO,CL,,,3.0957009194057044e-11,0.8543900246582499,RE_PV_Openfield_Lim_[CO]
CO,CL,,,3.0957009194057044e-11,3.331566559444627,RE_WIND_Onshore_Lim_[CO]
CO,CL,,,3.0957009194057044e-11,1.720234617155624e-11,RE_WIND_Offshore_Lim_[CO]
CO,CL,,,3.0957009194057044e-11,3.19617272190823e-12,PP_CO2_[CO]
CO,CL,,,3.0957009194057044e-11,0.3231262373529266,BESS_[CO]
CO,CL,,,3.0957009194057044e-11,0.14236540564747982,EL_to_HTH_[CO]
CO,CL,,,3.0957009194057044e-11,0.2818072298538927,EL_to_NH3_[CO]
CO,CL,,,3.0957009194057044e-11,0.595286942374012,NH3_Storage_[CO]
CO,CL,,,3.0957009194057044e-11,4.420939390977547e-08,NH3_to_EL_[CO]
CO,CL,,,3.0957009194057044e-11,0.02672855421040949,NH3_to_HTH_[CO]
CO,CL,,,3.0957009194057044e-11,8.608105344278967e-13,FF_to_HTH_[CO]
CO,CL,,,3.0957009194057044e-11,0.0,EL_Demand_[CO]
CO,CL,,,3.0957009194057044e-11,0.0,HTH_Demand_[CO]
CO,CL,,,3.0957009194057044e-11,1.2447334942465293e-11,RE_PV_Rooftop_Lim_[CL]
CO,CL,,,3.0957009194057044e-11,1.6225847197770075e-11,RE_PV_Openfield_Lim_[CL]
CO,CL,,,3.0957009194057044e-11,2.050647657517261,RE_WIND_Onshore_Lim_[CL]
CO,CL,,,3.0957009194057044e-11,1.4902180970114566e-11,RE_WIND_Offshore_Lim_[CL]
CO,CL,,,3.0957009194057044e-11,0.0,PP_CO2_[CL]
CO,CL,,,3.0957009194057044e-11,1.1990150189809381e-07,BESS_[CL]
CO,CL,,,3.0957009194057044e-11,0.15044955878918817,EL_to_HTH_[CL]
CO,CL,,,3.0957009194057044e-11,0.012344749641070006,EL_to_NH3_[CL]
CO,CL,,,3.0957009194057044e-11,0.26461943090465107,NH3_Storage_[CL]
CO,CL,,,3.0957009194057044e-11,7.451257589480413e-09,NH3_to_EL_[CL]
CO,CL,,,3.0957009194057044e-11,0.015342553399122792,NH3_to_HTH_[CL]
CO,CL,,,3.0957009194057044e-11,8.581625989465016e-13,FF_to_HTH_[CL]
CO,CL,,,3.0957009194057044e-11,0.0,EL_Demand_[CL]
CO,CL,,,3.0957009194057044e-11,0.0,HTH_Demand_[CL]
CO,CL,,,3.0957009194057044e-11,0.007449841160867793,NH3_Transport_[CO-CL]
CO,CL,,,3.0957009194057044e-11,1.4131008360956825,EL_Transport_[CO-CL]
CO,CL,,,1.9915187906453677,1.9314562776423927e-11,RE_PV_Rooftop_Lim_[CO]
CO,CL,,,1.9915187906453677,0.6395412155785271,RE_PV_Openfield_Lim_[CO]
CO,CL,,,1.9915187906453677,3.3483577262151174,RE_WIND_Onshore_Lim_[CO]
CO,CL,,,1.9915187906453677,7.270212093332093e-12,RE_WIND_Offshore_Lim_[CO]
CO,CL,,,1.9915187906453677,0.09471905277803111,PP_CO2_[CO]
CO,CL,,,1.9915187906453677,0.36175494894783833,BESS_[CO]
CO,CL,,,1.9915187906453677,0.1411788052473421,EL_to_HTH_[CO]
CO,CL,,,1.9915187906453677,0.058789644958001076,EL_to_NH3_[CO]
CO,CL,,,1.9915187906453677,0.14102700391253736,NH3_Storage_[CO]
CO,CL,,,1.9915187906453677,0.03713711202156058,NH3_to_EL_[CO]
CO,CL,,,1.9915187906453677,0.010840037742361053,NH3_to_HTH_[CO]
CO,CL,,,1.9915187906453677,0.2699686712609513,FF_to_HTH_[CO]
CO,CL,,,1.9915187906453677,0.0,EL_Demand_[CO]
CO,CL,,,1.9915187906453677,0.0,HTH_Demand_[CO]
CO,CL,,,1.9915187906453677,5.4486621520132804e-12,RE_PV_Rooftop_Lim_[CL]
CO,CL,,,1.9915187906453677,9.127347527001205e-12,RE_PV_Openfield_Lim_[CL]
CO,CL,,,1.9915187906453677,2.007423070155233,RE_WIND_Onshore_Lim_[CL]
CO,CL,,,1.9915187906453677,6.158083385712023e-12,RE_WIND_Offshore_Lim_[CL]
CO,CL,,,1.9915187906453677,6.277382252309262e-09,PP_CO2_[CL]
CO,CL,,,1.9915187906453677,4.9683179210437557e-08,BESS_[CL]
CO,CL,,,1.9915187906453677,0.1491959947695458,EL_to_HTH_[CL]
CO,CL,,,1.9915187906453677,0.04627879624014966,EL_to_NH3_[CL]
CO,CL,,,1.9915187906453677,0.116736214285715,NH3_Storage_[CL]
CO,CL,,,1.9915187906453677,6.449003720317957e-09,NH3_to_EL_[CL]
CO,CL,,,1.9915187906453677,0.009874151114396127,NH3_to_HTH_[CL]
CO,CL,,,1.9915187906453677,0.013460563626243044,FF_to_HTH_[CL]
CO,CL,,,1.9915187906453677,0.0,EL_Demand_[CL]
CO,CL,,,1.9915187906453677,0.0,HTH_Demand_[CL]
CO,CL,,,1.9915187906453677,0.0014041514797425534,NH3_Transport_[CO-CL]
CO,CL,,,1.9915187906453677,0.8320316570247399,EL_Transport_[CO-CL]
CO,CL,,,3.9830375799643942,1.8783083872141544e-11,RE_PV_Rooftop_Lim_[CO]
CO,CL,,,3.9830375799643942,0.4955772683626624,RE_PV_Openfield_Lim_[CO]
CO,CL,,,3.9830375799643942,3.3957646634372476,RE_WIND_Onshore_Lim_[CO]
CO,CL,,,3.9830375799643942,6.157726727168258e-12,RE_WIND_Offshore_Lim_[CO]
CO,CL,,,3.9830375799643942,0.2600990588114516,PP_CO2_[CO]
CO,CL,,,3.9830375799643942,0.3535440979051951,BESS_[CO]
CO,CL,,,3.9830375799643942,0.14117826592955485,EL_to_HTH_[CO]
CO,CL,,,3.9830375799643942,0.01157319571662111,EL_to_NH3_[CO]
CO,CL,,,3.9830375799643942,0.020682150441099393,NH3_Storage_[CO]
CO,CL,,,3.9830375799643942,0.028630932855325798,NH3_to_EL_[CO]
CO,CL,,,3.9830375799643942,0.0014233356632153563,NH3_to_HTH_[CO]
CO,CL,,,3.9830375799643942,0.39891432314125036,FF_to_HTH_[CO]
CO,CL,,,3.9830375799643942,0.0,EL_Demand_[CO]
CO,CL,,,3.9830375799643942,0.0,HTH_Demand_[CO]
CO,CL,,,3.9830375799643942,4.670236902205999e-12,RE_PV_Rooftop_Lim_[CL]
CO,CL,,,3.9830375799643942,7.726332842641442e-12,RE_PV_Openfield_Lim_[CL]
CO,CL,,,3.9830375799643942,1.8553777750526086,RE_WIND_Onshore_Lim_[CL]
CO,CL,,,3.9830375799643942,5.289026380726498e-12,RE_WIND_Offshore_Lim_[CL]
CO,CL,,,3.9830375799643942,7.038351629918182e-09,PP_CO2_[CL]
CO,CL,,,3.9830375799643942,5.1966305630183875e-08,BESS_[CL]
CO,CL,,,3.9830375799643942,0.14919564588306022,EL_to_HTH_[CL]
CO,CL,,,3.9830375799643942,0.014194815831422437,EL_to_NH3_[CL]
CO,CL,,,3.9830375799643942,0.020602159548444673,NH3_Storage_[CL]
CO,CL,,,3.9830375799643942,6.433200219249542e-09,NH3_to_EL_[CL]
CO,CL,,,3.9830375799643942,0.0032333047621964763,NH3_to_HTH_[CL]
CO,CL,,,3.9830375799643942,0.13756124031181588,FF_to_HTH_[CL]
CO,CL,,,3.9830375799643942,0.0,EL_Demand_[CL]
CO,CL,,,3.9830375799643942,0.0,HTH_Demand_[CL]
CO,CL,,,3.9830375799643942,0.00021063447732617063,NH3_Transport_[CO-CL]
CO,CL,,,3.9830375799643942,0.5116521257708951,EL_Transport_[CO-CL]
CO,CL,,,5.974556369908688,2.4418782574222247e-11,RE_PV_Rooftop_Lim_[CO]
CO,CL,,,5.974556369908688,0.4075112060003552,RE_PV_Openfield_Lim_[CO]
CO,CL,,,5.974556369908688,3.1325873576981125,RE_WIND_Onshore_Lim_[CO]
CO,CL,,,5.974556369908688,6.712459446290642e-12,RE_WIND_Offshore_Lim_[CO]
CO,CL,,,5.974556369908688,0.39011897427587944,PP_CO2_[CO]
CO,CL,,,5.974556369908688,0.41589921392206547,BESS_[CO]
CO,CL,,,5.974556369908688,0.1423634225852436,EL_to_HTH_[CO]
CO,CL,,,5.974556369908688,0.0012655440504192614,EL_to_NH3_[CO]
CO,CL,,,5.974556369908688,0.0022117832499912184,NH3_Storage_[CO]
CO,CL,,,5.974556369908688,0.0029761607208571286,NH3_to_EL_[CO]
CO,CL,,,5.974556369908688,0.0002116412872908471,NH3_to_HTH_[CO]
CO,CL,,,5.974556369908688,0.5215271160041595,FF_to_HTH_[CO]
CO,CL,,,5.974556369908688,0.0,EL_Demand_[CO]
CO,CL,,,5.974556369908688,0.0,HTH_Demand_[CO]
CO,CL,,,5.974556369908688,5.129007090755956e-12,RE_PV_Rooftop_Lim_[CL]
CO,CL,,,5.974556369908688,8.473764823293042e-12,RE_PV_Openfield_Lim_[CL]
CO,CL,,,5.974556369908688,1.7605678217856744,RE_WIND_Onshore_Lim_[CL]
CO,CL,,,5.974556369908688,6.00912165584332e-12,RE_WIND_Offshore_Lim_[CL]
CO,CL,,,5.974556369908688,1.2420789986603709e-08,PP_CO2_[CL]
CO,CL,,,5.974556369908688,0.010964708857636389,BESS_[CL]
CO,CL,,,5.974556369908688,0.15044888765301484,EL_to_HTH_[CL]
CO,CL,,,5.974556369908688,0.002176558223330957,EL_to_NH3_[CL]
CO,CL,,,5.974556369908688,0.002518952863479097,NH3_Storage_[CL]
CO,CL,,,5.974556369908688,1.2417415377023654e-08,NH3_to_EL_[CL]
CO,CL,,,5.974556369908688,0.00042824669635823195,NH3_to_HTH_[CL]
CO,CL,,,5.974556369908688,0.20904905519510847,FF_to_HTH_[CL]
CO,CL,,,5.974556369908688,0.0,EL_Demand_[CL]
CO,CL,,,5.974556369908688,0.0,HTH_Demand_[CL]
CO,CL,,,5.974556369908688,2.6290145618401974e-05,NH3_Transport_[CO-CL]
CO,CL,,,5.974556369908688,0.40872205011439544,EL_Transport_[CO-CL]
CO,CL,,,7.966075163158882,2.8804126207931415e-11,RE_PV_Rooftop_Lim_[CO]
CO,CL,,,7.966075163158882,0.44282132168999394,RE_PV_Openfield_Lim_[CO]
CO,CL,,,7.966075163158882,2.875173034007851,RE_WIND_Onshore_Lim_[CO]
CO,CL,,,7.966075163158882,7.552770954100553e-12,RE_WIND_Offshore_Lim_[CO]
CO,CL,,,7.966075163158882,0.5340489319123222,PP_CO2_[CO]
CO,CL,,,7.966075163158882,0.35694015562319265,BESS_[CO]
CO,CL,,,7.966075163158882,0.14236214412387455,EL_to_HTH_[CO]
CO,CL,,,7.966075163158882,1.923223598929573e-07,EL_to_NH3_[CO]
CO,CL,,,7.966075163158882,3.2108674681017486e-07,NH3_Storage_[CO]
CO,CL,,,7.966075163158882,4.27273689031568e-07,NH3_to_EL_[CO]
CO,CL,,,7.966075163158882,3.141453408297127e-08,NH3_to_HTH_[CO]
CO,CL,,,7.966075163158882,0.6554817784230783,FF_to_HTH_[CO]
CO,CL,,,7.966075163158882,0.0,EL_Demand_[CO]
CO,CL,,,7.966075163158882,0.0,HTH_Demand_[CO]
CO,CL,,,7.966075163158882,5.706588081664225e-12,RE_PV_Rooftop_Lim_[CL]
CO,CL,,,7.966075163158882,9.205302695637873e-12,RE_PV_Openfield_Lim_[CL]
CO,CL,,,7.966075163158882,1.6753526837238613,RE_WIND_Onshore_Lim_[CL]
CO,CL,,,7.966075163158882,6.7242668601963595e-12,RE_WIND_Offshore_Lim_[CL]
CO,CL,,,7.966075163158882,1.5666307075012637e-08,PP_CO2_[CL]
CO,CL,,,7.966075163158882,0.03591266895967461,BESS_[CL]
CO,CL,,,7.966075163158882,0.15044853305470818,EL_to_HTH_[CL]
CO,CL,,,7.966075163158882,3.130584301600919e-07,EL_to_NH3_[CL]
CO,CL,,,7.966075163158882,3.1091350037479123e-07,NH3_Storage_[CL]
CO,CL,,,7.966075163158882,1.2113228084133141e-08,NH3_to_EL_[CL]
CO,CL,,,7.966075163158882,5.589062167893271e-08,NH3_to_HTH_[CL]
CO,CL,,,7.966075163158882,0.2610255749994427,FF_to_HTH_[CL]
CO,CL,,,7.966075163158882,0.0,EL_Demand_[CL]
CO,CL,,,7.966075163158882,0.0,HTH_Demand_[CL]
CO,CL,,,7.966075163158882,3.521200399724008e-09,NH3_Transport_[CO-CL]
CO,CL,,,7.966075163158882,0.3231265035339931,EL_Transport_[CO-CL]
CO,CL,,,9.957593953252118,4.529831750626744e-12,RE_PV_Rooftop_Lim_[CO]
CO,CL,,,9.957593953252118,0.4316392970312284,RE_PV_Openfield_Lim_[CO]
CO,CL,,,9.957593953252118,2.578082626168245,RE_WIND_Onshore_Lim_[CO]
CO,CL,,,9.957593953252118,1.0887047302074736e-12,RE_WIND_Offshore_Lim_[CO]
CO,CL,,,9.957593953252118,0.6181073887778692,PP_CO2_[CO]
CO,CL,,,9.957593953252118,0.31465264117986963,BESS_[CO]
CO,CL,,,9.957593953252118,0.14236060277580884,EL_to_HTH_[CO]
CO,CL,,,9.957593953252118,4.5252562308414405e-09,EL_to_NH3_[CO]
CO,CL,,,9.957593953252118,6.800374435247038e-08,NH3_Storage_[CO]
CO,CL,,,9.957593953252118,1.034681419853913e-07,NH3_to_EL_[CO]
CO,CL,,,9.957593953252118,1.8449402581538522e-09,NH3_to_HTH_[CO]
CO,CL,,,9.957593953252118,0.8140285680584002,FF_to_HTH_[CO]
CO,CL,,,9.957593953252118,0.0,EL_Demand_[CO]
CO,CL,,,9.957593953252118,0.0,HTH_Demand_[CO]
CO,CL,,,9.957593953252118,8.32342640219131e-13,RE_PV_Rooftop_Lim_[CL]
CO,CL,,,9.957593953252118,1.3733441215122829e-12,RE_PV_Openfield_Lim_[CL]
CO,CL,,,9.957593953252118,1.644252507128789,RE_WIND_Onshore_Lim_[CL]
CO,CL,,,9.957593953252118,9.782905753791975e-13,RE_WIND_Offshore_Lim_[CL]
CO,CL,,,9.957593953252118,3.37474194965765e-09,PP_CO2_[CL]
CO,CL,,,9.957593953252118,0.03332857723680024,BESS_[CL]
CO,CL,,,9.957593953252118,0.15044833296086957,EL_to_HTH_[CL]
CO,CL,,,9.957593953252118,2.1543151105890828e-07,EL_to_NH3_[CL]
CO,CL,,,9.957593953252118,2.310501672582054e-07,NH3_Storage_[CL]
CO,CL,,,9.957593953252118,1.7934774569157352e-09,NH3_to_EL_[CL]
CO,CL,,,9.957593953252118,6.650942709686494e-08,NH3_to_HTH_[CL]
CO,CL,,,9.957593953252118,0.281152624561929,FF_to_HTH_[CL]
CO,CL,,,9.957593953252118,0.0,EL_Demand_[CL]
CO,CL,,,9.957593953252118,0.0,HTH_Demand_[CL]
CO,CL,,,9.957593953252118,8.976175495255478e-10,NH3_Transport_[CO-CL]
CO,CL,,,9.957593953252118,0.3941465298996514,EL_Transport_[CO-CL]
CO,CL,,,10.834036644447668,2.1297898828446003e-11,RE_PV_Rooftop_Lim_[CO]
CO,CL,,,10.834036644447668,0.41159851505845196,RE_PV_Openfield_Lim_[CO]
CO,CL,,,10.834036644447668,2.4815355070603546,RE_WIND_Onshore_Lim_[CO]
CO,CL,,,10.834036644447668,5.345889468980382e-12,RE_WIND_Offshore_Lim_[CO]
CO,CL,,,10.834036644447668,0.6759676372423876,PP_CO2_[CO]
CO,CL,,,10.834036644447668,0.30479702203228054,BESS_[CO]
CO,CL,,,10.834036644447668,0.14235987674139616,EL_to_HTH_[CO]
CO,CL,,,10.834036644447668,4.533240445102283e-08,EL_to_NH3_[CO]
CO,CL,,,10.834036644447668,8.410284318079774e-05,NH3_Storage_[CO]
CO,CL,,,10.834036644447668,0.00013370064874617006,NH3_to_EL_[CO]
CO,CL,,,10.834036644447668,8.46613003131556e-09,NH3_to_HTH_[CO]
CO,CL,,,10.834036644447668,0.8885413224858634,FF_to_HTH_[CO]
CO,CL,,,10.834036644447668,0.0,EL_Demand_[CO]
CO,CL,,,10.834036644447668,0.0,HTH_Demand_[CO]
CO,CL,,,10.834036644447668,4.065572420027174e-12,RE_PV_Rooftop_Lim_[CL]
CO,CL,,,10.834036644447668,6.359478847953381e-12,RE_PV_Openfield_Lim_[CL]
CO,CL,,,10.834036644447668,1.649699562212671,RE_WIND_Onshore_Lim_[CL]
CO,CL,,,10.834036644447668,4.8788445257843825e-12,RE_WIND_Offshore_Lim_[CL]
CO,CL,,,10.834036644447668,1.977787324331959e-08,PP_CO2_[CL]
CO,CL,,,10.834036644447668,0.03481251623615231,BESS_[CL]
CO,CL,,,10.834036644447668,0.15044836332667336,EL_to_HTH_[CL]
CO,CL,,,10.834036644447668,0.0004794307701784725,EL_to_NH3_[CL]
CO,CL,,,10.834036644447668,0.0007184819869914066,NH3_Storage_[CL]
CO,CL,,,10.834036644447668,7.948789870283427e-09,NH3_to_EL_[CL]
CO,CL,,,10.834036644447668,0.00020184218177452873,NH3_to_HTH_[CL]
CO,CL,,,10.834036644447668,0.2776414784448354,FF_to_HTH_[CL]
CO,CL,,,10.834036644447668,0.0,EL_Demand_[CL]
CO,CL,,,10.834036644447668,0.0,HTH_Demand_[CL]
CO,CL,,,10.834036644447668,8.665122353393851e-07,NH3_Transport_[CO-CL]
CO,CL,,,10.834036644447668,0.37628755392550206,EL_Transport_[CO-CL]
CO,CL,,,10.834036178856172,1.6599309132341878e-11,RE_PV_Rooftop_Lim_[CO]
CO,CL,,,10.834036178856172,0.4115984918513403,RE_PV_Openfield_Lim_[CO]
CO,CL,,,10.834036178856172,2.481535549780607,RE_WIND_Onshore_Lim_[CO]
CO,CL,,,10.834036178856172,4.194013135668958e-12,RE_WIND_Offshore_Lim_[CO]
CO,CL,,,10.834036178856172,0.6759676405219992,PP_CO2_[CO]
CO,CL,,,10.834036178856172,0.30479701285598754,BESS_[CO]
CO,CL,,,10.834036178856172,0.14235987726216706,EL_to_HTH_[CO]
CO,CL,,,10.834036178856172,4.292639614817888e-08,EL_to_NH3_[CO]
CO,CL,,,10.834036178856172,8.410708818939204e-05,NH3_Storage_[CO]
CO,CL,,,10.834036178856172,0.00013371162045359696,NH3_to_EL_[CO]
CO,CL,,,10.834036178856172,6.628408649660659e-09,NH3_to_HTH_[CO]
CO,CL,,,10.834036178856172,0.8885413298628967,FF_to_HTH_[CO]
CO,CL,,,10.834036178856172,0.0,EL_Demand_[CO]
CO,CL,,,10.834036178856172,0.0,HTH_Demand_[CO]
CO,CL,,,10.834036178856172,3.1875325523132446e-12,RE_PV_Rooftop_Lim_[CL]
CO,CL,,,10.834036178856172,4.961257990767082e-12,RE_PV_Openfield_Lim_[CL]
CO,CL,,,10.834036178856172,1.6496995584436118,RE_WIND_Onshore_Lim_[CL]
CO,CL,,,10.834036178856172,3.8299542363158945e-12,RE_WIND_Offshore_Lim_[CL]
CO,CL,,,10.834036178856172,1.5410380059711765e-08,PP_CO2_[CL]
CO,CL,,,10.834036178856172,0.03481251756034986,BESS_[CL]
CO,CL,,,10.834036178856172,0.1504483628047491,EL_to_HTH_[CL]
CO,CL,,,10.834036178856172,0.00047942984670100664,EL_to_NH3_[CL]
CO,CL,,,10.834036178856172,0.0007184820024816242,NH3_Storage_[CL]
CO,CL,,,10.834036178856172,6.192645588016015e-09,NH3_to_EL_[CL]
CO,CL,,,10.834036178856172,0.00020184356450160667,NH3_to_HTH_[CL]
CO,CL,,,10.834036178856172,0.2776414238702392,FF_to_HTH_[CL]
CO,CL,,,10.834036178856172,0.0,EL_Demand_[CL]
CO,CL,,,10.834036178856172,0.0,HTH_Demand_[CL]
CO,CL,,,10.834036178856172,8.641297111064105e-07,NH3_Transport_[CO-CL]
CO,CL,,,10.834036178856172,0.3762875681790946,EL_Transport_[CO-CL]
CO,CL,,,10.83403618746494,1.7036227797159688e-11,RE_PV_Rooftop_Lim_[CO]
CO,CL,,,10.83403618746494,0.4115984882363954,RE_PV_Openfield_Lim_[CO]
CO,CL,,,10.83403618746494,2.4815355600821656,RE_WIND_Onshore_Lim_[CO]
CO,CL,,,10.83403618746494,4.2842096889356085e-12,RE_WIND_Offshore_Lim_[CO]
CO,CL,,,10.83403618746494,0.6759676279890042,PP_CO2_[CO]
CO,CL,,,10.83403618746494,0.3047970114853466,BESS_[CO]
CO,CL,,,10.83403618746494,0.14235987721849727,EL_to_HTH_[CO]
CO,CL,,,10.83403618746494,4.3318586960713384e-08,EL_to_NH3_[CO]
CO,CL,,,10.83403618746494,8.41092444336926e-05,NH3_Storage_[CO]
CO,CL,,,10.83403618746494,0.00013371462680877372,NH3_to_EL_[CO]
CO,CL,,,10.83403618746494,6.794860091377145e-09,NH3_to_HTH_[CO]
CO,CL,,,10.83403618746494,0.8885413239471129,FF_to_HTH_[CO]
