country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_capacity,technology_name
CO,PE,,,17.4,0.0,0.0,RE_PV_Rooftop_Lim_[CO]
CO,PE,,,17.4,0.5,28.9,RE_PV_Openfield_Lim_[CO]
CO,PE,,,17.4,3.0,76.3,RE_WIND_Onshore_Lim_[CO]
CO,PE,,,17.4,0.0,0.0,RE_WIND_Offshore_Lim_[CO]
CO,PE,,,17.4,0.8,11.1,PP_CO2_[CO]
CO,PE,,,17.4,0.3,18.2,BESS_[CO]
CO,PE,,,17.4,0.1,12.7,EL_to_HTH_[CO]
CO,PE,,,17.4,0.0,0.0,EL_to_NH3_[CO]
CO,PE,,,17.4,0.0,0.0,NH3_Storage_[CO]
CO,PE,,,17.4,0.0,0.0,NH3_to_EL_[CO]
CO,PE,,,17.4,0.0,0.0,NH3_to_HTH_[CO]
CO,PE,,,17.4,0.8,12.5,FF_to_HTH_[CO]
CO,PE,,,17.4,0.0,33.0,EL_Demand_[CO]
CO,PE,,,17.4,0.0,12.9,HTH_Demand_[CO]
CO,PE,,,17.4,0.0,0.0,RE_PV_Rooftop_Lim_[PE]
CO,PE,,,17.4,0.2,13.6,RE_PV_Openfield_Lim_[PE]
CO,PE,,,17.4,2.3,58.6,RE_WIND_Onshore_Lim_[PE]
CO,PE,,,17.4,0.0,0.0,RE_WIND_Offshore_Lim_[PE]
CO,PE,,,17.4,1.0,9.3,PP_CO2_[PE]
CO,PE,,,17.4,0.2,8.9,BESS_[PE]
CO,PE,,,17.4,0.1,5.6,EL_to_HTH_[PE]
CO,PE,,,17.4,0.0,0.0,EL_to_NH3_[PE]
CO,PE,,,17.4,0.0,0.0,NH3_Storage_[PE]
CO,PE,,,17.4,0.0,0.0,NH3_to_EL_[PE]
CO,PE,,,17.4,0.0,0.0,NH3_to_HTH_[PE]
CO,PE,,,17.4,0.5,5.6,FF_to_HTH_[PE]
CO,PE,,,17.4,0.0,19.3,EL_Demand_[PE]
CO,PE,,,17.4,0.0,5.7,HTH_Demand_[PE]
CO,PE,,,8.7,0.0,0.0,RE_PV_Rooftop_Lim_[CO]
CO,PE,,,8.7,0.5,28.7,RE_PV_Openfield_Lim_[CO]
CO,PE,,,8.7,3.7,96.2,RE_WIND_Onshore_Lim_[CO]
CO,PE,,,8.7,0.0,0.0,RE_WIND_Offshore_Lim_[CO]
CO,PE,,,8.7,0.5,7.2,PP_CO2_[CO]
CO,PE,,,8.7,0.4,24.5,BESS_[CO]
CO,PE,,,8.7,0.1,12.7,EL_to_HTH_[CO]
CO,PE,,,8.7,0.0,0.0,EL_to_NH3_[CO]
CO,PE,,,8.7,0.0,0.1,NH3_Storage_[CO]
CO,PE,,,8.7,0.0,0.0,NH3_to_EL_[CO]
CO,PE,,,8.7,0.0,0.0,NH3_to_HTH_[CO]
CO,PE,,,8.7,0.5,12.3,FF_to_HTH_[CO]
CO,PE,,,8.7,0.0,33.0,EL_Demand_[CO]
CO,PE,,,8.7,0.0,12.9,HTH_Demand_[CO]
CO,PE,,,8.7,0.0,0.0,RE_PV_Rooftop_Lim_[PE]
CO,PE,,,8.7,0.3,17.1,RE_PV_Openfield_Lim_[PE]
CO,PE,,,8.7,2.7,68.8,RE_WIND_Onshore_Lim_[PE]
CO,PE,,,8.7,0.0,0.0,RE_WIND_Offshore_Lim_[PE]
CO,PE,,,8.7,0.4,5.2,PP_CO2_[PE]
CO,PE,,,8.7,0.8,45.0,BESS_[PE]
CO,PE,,,8.7,0.1,5.6,EL_to_HTH_[PE]
CO,PE,,,8.7,0.0,0.0,EL_to_NH3_[PE]
CO,PE,,,8.7,0.0,0.0,NH3_Storage_[PE]
CO,PE,,,8.7,0.0,0.0,NH3_to_EL_[PE]
CO,PE,,,8.7,0.0,0.0,NH3_to_HTH_[PE]
CO,PE,,,8.7,0.4,5.6,FF_to_HTH_[PE]
CO,PE,,,8.7,0.0,19.3,EL_Demand_[PE]
CO,PE,,,8.7,0.0,5.7,HTH_Demand_[PE]
CO,PE,,,0.0,0.0,0.0,RE_PV_Rooftop_Lim_[CO]
CO,PE,,,0.0,1.2,77.5,RE_PV_Openfield_Lim_[CO]
CO,PE,,,0.0,4.9,125.0,RE_WIND_Onshore_Lim_[CO]
CO,PE,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_[CO]
CO,PE,,,0.0,0.0,0.0,PP_CO2_[CO]
CO,PE,,,0.0,0.7,36.5,BESS_[CO]
CO,PE,,,0.0,0.1,12.7,EL_to_HTH_[CO]
CO,PE,,,0.0,0.4,6.7,EL_to_NH3_[CO]
CO,PE,,,0.0,1.0,58.0,NH3_Storage_[CO]
CO,PE,,,0.0,0.1,0.7,NH3_to_EL_[CO]
CO,PE,,,0.0,0.0,2.4,NH3_to_HTH_[CO]
CO,PE,,,0.0,0.0,0.0,FF_to_HTH_[CO]
CO,PE,,,0.0,0.0,33.0,EL_Demand_[CO]
CO,PE,,,0.0,0.0,12.9,HTH_Demand_[CO]
CO,PE,,,0.0,0.0,0.0,RE_PV_Rooftop_Lim_[PE]
CO,PE,,,0.0,0.5,33.3,RE_PV_Openfield_Lim_[PE]
CO,PE,,,0.0,3.0,76.9,RE_WIND_Onshore_Lim_[PE]
CO,PE,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_[PE]
CO,PE,,,0.0,0.0,0.0,PP_CO2_[PE]
CO,PE,,,0.0,1.4,79.5,BESS_[PE]
CO,PE,,,0.0,0.1,5.7,EL_to_HTH_[PE]
CO,PE,,,0.0,0.3,5.4,EL_to_NH3_[PE]
CO,PE,,,0.0,0.3,15.1,NH3_Storage_[PE]
CO,PE,,,0.0,0.0,0.4,NH3_to_EL_[PE]
CO,PE,,,0.0,0.0,1.0,NH3_to_HTH_[PE]
CO,PE,,,0.0,0.0,0.0,FF_to_HTH_[PE]
CO,PE,,,0.0,0.0,19.3,EL_Demand_[PE]
CO,PE,,,0.0,0.0,5.7,HTH_Demand_[PE]
CO,PE,,,3.1,0.0,0.0,RE_PV_Rooftop_Lim_[CO]
CO,PE,,,3.1,0.6,37.5,RE_PV_Openfield_Lim_[CO]
CO,PE,,,3.1,4.2,106.9,RE_WIND_Onshore_Lim_[CO]
CO,PE,,,3.1,0.0,0.0,RE_WIND_Offshore_Lim_[CO]
CO,PE,,,3.1,0.4,5.5,PP_CO2_[CO]
CO,PE,,,3.1,0.4,24.8,BESS_[CO]
CO,PE,,,3.1,0.1,12.7,EL_to_HTH_[CO]
CO,PE,,,3.1,0.1,1.8,EL_to_NH3_[CO]
CO,PE,,,3.1,0.1,7.8,NH3_Storage_[CO]
CO,PE,,,3.1,0.0,0.1,NH3_to_EL_[CO]
CO,PE,,,3.1,0.0,1.2,NH3_to_HTH_[CO]
CO,PE,,,3.1,0.3,10.2,FF_to_HTH_[CO]
CO,PE,,,3.1,0.0,33.0,EL_Demand_[CO]
CO,PE,,,3.1,0.0,12.9,HTH_Demand_[CO]
CO,PE,,,3.1,0.0,0.0,RE_PV_Rooftop_Lim_[PE]
CO,PE,,,3.1,0.4,26.3,RE_PV_Openfield_Lim_[PE]
CO,PE,,,3.1,3.0,76.3,RE_WIND_Onshore_Lim_[PE]
CO,PE,,,3.1,0.0,0.0,RE_WIND_Offshore_Lim_[PE]
CO,PE,,,3.1,0.1,1.5,PP_CO2_[PE]
CO,PE,,,3.1,1.2,69.1,BESS_[PE]
CO,PE,,,3.1,0.1,5.7,EL_to_HTH_[PE]
CO,PE,,,3.1,0.2,2.7,EL_to_NH3_[PE]
CO,PE,,,3.1,0.2,9.2,NH3_Storage_[PE]
CO,PE,,,3.1,0.0,0.3,NH3_to_EL_[PE]
CO,PE,,,3.1,0.0,0.6,NH3_to_HTH_[PE]
CO,PE,,,3.1,0.1,1.9,FF_to_HTH_[PE]
CO,PE,,,3.1,0.0,19.3,EL_Demand_[PE]
CO,PE,,,3.1,0.0,5.7,HTH_Demand_[PE]
CO,PE,,,6.2,0.0,0.0,RE_PV_Rooftop_Lim_[CO]
CO,PE,,,6.2,0.5,30.2,RE_PV_Openfield_Lim_[CO]
CO,PE,,,6.2,4.0,101.5,RE_WIND_Onshore_Lim_[CO]
CO,PE,,,6.2,0.0,0.0,RE_WIND_Offshore_Lim_[CO]
CO,PE,,,6.2,0.4,6.4,PP_CO2_[CO]
CO,PE,,,6.2,0.5,25.2,BESS_[CO]
CO,PE,,,6.2,0.1,12.7,EL_to_HTH_[CO]
CO,PE,,,6.2,0.0,0.0,EL_to_NH3_[CO]
CO,PE,,,6.2,0.0,0.1,NH3_Storage_[CO]
CO,PE,,,6.2,0.0,0.0,NH3_to_EL_[CO]
CO,PE,,,6.2,0.0,0.0,NH3_to_HTH_[CO]
CO,PE,,,6.2,0.4,12.3,FF_to_HTH_[CO]
CO,PE,,,6.2,0.0,33.0,EL_Demand_[CO]
CO,PE,,,6.2,0.0,12.9,HTH_Demand_[CO]
CO,PE,,,6.2,0.0,0.0,RE_PV_Rooftop_Lim_[PE]
CO,PE,,,6.2,0.3,18.5,RE_PV_Openfield_Lim_[PE]
CO,PE,,,6.2,2.9,73.2,RE_WIND_Onshore_Lim_[PE]
CO,PE,,,6.2,0.0,0.0,RE_WIND_Offshore_Lim_[PE]
CO,PE,,,6.2,0.2,3.2,PP_CO2_[PE]
