Asset_Number,Asset_Class,Location_1,Location_2,Start_Time,End_Time,Period,Transport_Time
0,CO2_Budget,20,20,0,720,1,0
1,RE_PV_Rooftop_Lim,20,20,0,720,1,0
2,RE_PV_Openfield_Lim,20,20,0,720,1,0
3,RE_WIND_Onshore_Lim,20,20,0,720,1,0
4,RE_WIND_Offshore_Lim,20,20,0,720,1,0
5,PP_CO2,20,20,0,720,1,0
6,BESS,20,20,0,720,1,0
7,EL_to_HTH,20,20,0,720,1,0
8,EL_to_NH3,20,20,0,720,1,0
9,NH3_Storage,20,20,0,720,1,0
10,NH3_to_EL,20,20,0,720,1,0
11,NH3_to_HTH,20,20,0,720,1,0
12,FF_to_HTH,20,20,0,720,1,0
13,EL_Demand,20,20,0,720,1,0
14,HTH_Demand,20,20,0,720,1,0
15,RE_PV_Rooftop_Lim,21,21,0,720,1,0
16,RE_PV_Openfield_Lim,21,21,0,720,1,0
17,RE_WIND_Onshore_Lim,21,21,0,720,1,0
18,RE_WIND_Offshore_Lim,21,21,0,720,1,0
19,PP_CO2,21,21,0,720,1,0
20,BESS,21,21,0,720,1,0
21,EL_to_HTH,21,21,0,720,1,0
22,EL_to_NH3,21,21,0,720,1,0
23,NH3_Storage,21,21,0,720,1,0
24,NH3_to_EL,21,21,0,720,1,0
25,NH3_to_HTH,21,21,0,720,1,0
26,FF_to_HTH,21,21,0,720,1,0
27,EL_Demand,21,21,0,720,1,0
28,HTH_Demand,21,21,0,720,1,0
29,RE_PV_Rooftop_Lim,22,22,0,720,1,0
30,RE_PV_Openfield_Lim,22,22,0,720,1,0
31,RE_WIND_Onshore_Lim,22,22,0,720,1,0
32,RE_WIND_Offshore_Lim,22,22,0,720,1,0
33,PP_CO2,22,22,0,720,1,0
34,BESS,22,22,0,720,1,0
35,EL_to_HTH,22,22,0,720,1,0
36,EL_to_NH3,22,22,0,720,1,0
37,NH3_Storage,22,22,0,720,1,0
38,NH3_to_EL,22,22,0,720,1,0
39,NH3_to_HTH,22,22,0,720,1,0
40,FF_to_HTH,22,22,0,720,1,0
41,EL_Demand,22,22,0,720,1,0
42,HTH_Demand,22,22,0,720,1,0
43,RE_PV_Rooftop_Lim,23,23,0,720,1,0
44,RE_PV_Openfield_Lim,23,23,0,720,1,0
45,RE_WIND_Onshore_Lim,23,23,0,720,1,0
46,RE_WIND_Offshore_Lim,23,23,0,720,1,0
47,PP_CO2,23,23,0,720,1,0
48,BESS,23,23,0,720,1,0
49,EL_to_HTH,23,23,0,720,1,0
50,EL_to_NH3,23,23,0,720,1,0
51,NH3_Storage,23,23,0,720,1,0
52,NH3_to_EL,23,23,0,720,1,0
53,NH3_to_HTH,23,23,0,720,1,0
54,FF_to_HTH,23,23,0,720,1,0
55,EL_Demand,23,23,0,720,1,0
56,HTH_Demand,23,23,0,720,1,0
