country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_name
BR,PE,,,62.0,0.0,RE_PV_Rooftop_Lim_[BR]
BR,PE,,,62.0,5.9,RE_PV_Openfield_Lim_[BR]
BR,PE,,,62.0,25.2,RE_WIND_Onshore_Lim_[BR]
BR,PE,,,62.0,0.0,RE_WIND_Offshore_Lim_[BR]
BR,PE,,,62.0,2.9,PP_CO2_[BR]
BR,PE,,,62.0,0.7,BESS_[BR]
BR,PE,,,62.0,1.5,EL_to_HTH_[BR]
BR,PE,,,62.0,0.0,EL_to_NH3_[BR]
BR,PE,,,62.0,0.0,NH3_Storage_[BR]
BR,PE,,,62.0,0.0,NH3_to_EL_[BR]
BR,PE,,,62.0,0.0,NH3_to_HTH_[BR]
BR,PE,,,62.0,6.7,FF_to_HTH_[BR]
BR,PE,,,62.0,0.0,EL_Demand_[BR]
BR,PE,,,62.0,0.0,HTH_Demand_[BR]
BR,PE,,,62.0,0.0,RE_PV_Rooftop_Lim_[PE]
BR,PE,,,62.0,0.3,RE_PV_Openfield_Lim_[PE]
BR,PE,,,62.0,0.0,RE_WIND_Onshore_Lim_[PE]
BR,PE,,,62.0,2.6,RE_WIND_Offshore_Lim_[PE]
BR,PE,,,62.0,0.3,PP_CO2_[PE]
BR,PE,,,62.0,0.1,BESS_[PE]
BR,PE,,,62.0,0.1,EL_to_HTH_[PE]
BR,PE,,,62.0,0.0,EL_to_NH3_[PE]
BR,PE,,,62.0,0.0,NH3_Storage_[PE]
BR,PE,,,62.0,0.0,NH3_to_EL_[PE]
BR,PE,,,62.0,0.0,NH3_to_HTH_[PE]
BR,PE,,,62.0,0.4,FF_to_HTH_[PE]
BR,PE,,,62.0,0.0,EL_Demand_[PE]
BR,PE,,,62.0,0.0,HTH_Demand_[PE]
BR,PE,,,62.0,0.6,EL_Transport_[BR-PE]
BR,PE,,,62.0,0.0,NH3_Transport_[BR-PE]
BR,PE,,,31.0,0.0,RE_PV_Rooftop_Lim_[BR]
BR,PE,,,31.0,6.7,RE_PV_Openfield_Lim_[BR]
BR,PE,,,31.0,28.9,RE_WIND_Onshore_Lim_[BR]
BR,PE,,,31.0,0.0,RE_WIND_Offshore_Lim_[BR]
BR,PE,,,31.0,2.9,PP_CO2_[BR]
BR,PE,,,31.0,0.7,BESS_[BR]
BR,PE,,,31.0,1.5,EL_to_HTH_[BR]
BR,PE,,,31.0,0.3,EL_to_NH3_[BR]
BR,PE,,,31.0,0.3,NH3_Storage_[BR]
BR,PE,,,31.0,0.3,NH3_to_EL_[BR]
BR,PE,,,31.0,0.0,NH3_to_HTH_[BR]
BR,PE,,,31.0,3.6,FF_to_HTH_[BR]
BR,PE,,,31.0,0.0,EL_Demand_[BR]
BR,PE,,,31.0,0.0,HTH_Demand_[BR]
BR,PE,,,31.0,0.0,RE_PV_Rooftop_Lim_[PE]
BR,PE,,,31.0,0.4,RE_PV_Openfield_Lim_[PE]
BR,PE,,,31.0,0.0,RE_WIND_Onshore_Lim_[PE]
BR,PE,,,31.0,2.7,RE_WIND_Offshore_Lim_[PE]
BR,PE,,,31.0,0.1,PP_CO2_[PE]
BR,PE,,,31.0,0.2,BESS_[PE]
BR,PE,,,31.0,0.1,EL_to_HTH_[PE]
BR,PE,,,31.0,0.0,EL_to_NH3_[PE]
BR,PE,,,31.0,0.0,NH3_Storage_[PE]
BR,PE,,,31.0,0.0,NH3_to_EL_[PE]
BR,PE,,,31.0,0.0,NH3_to_HTH_[PE]
BR,PE,,,31.0,0.3,FF_to_HTH_[PE]
BR,PE,,,31.0,0.0,EL_Demand_[PE]
BR,PE,,,31.0,0.0,HTH_Demand_[PE]
BR,PE,,,31.0,0.7,EL_Transport_[BR-PE]
BR,PE,,,31.0,0.0,NH3_Transport_[BR-PE]
BR,PE,,,0.0,0.0,RE_PV_Rooftop_Lim_[BR]
BR,PE,,,0.0,10.1,RE_PV_Openfield_Lim_[BR]
BR,PE,,,0.0,34.8,RE_WIND_Onshore_Lim_[BR]
BR,PE,,,0.0,0.0,RE_WIND_Offshore_Lim_[BR]
BR,PE,,,0.0,0.0,PP_CO2_[BR]
BR,PE,,,0.0,0.6,BESS_[BR]
BR,PE,,,0.0,1.5,EL_to_HTH_[BR]
BR,PE,,,0.0,0.9,EL_to_NH3_[BR]
BR,PE,,,0.0,8.7,NH3_Storage_[BR]
BR,PE,,,0.0,0.6,NH3_to_EL_[BR]
BR,PE,,,0.0,0.3,NH3_to_HTH_[BR]
BR,PE,,,0.0,0.0,FF_to_HTH_[BR]
BR,PE,,,0.0,0.0,EL_Demand_[BR]
BR,PE,,,0.0,0.0,HTH_Demand_[BR]
BR,PE,,,0.0,0.0,RE_PV_Rooftop_Lim_[PE]
BR,PE,,,0.0,0.5,RE_PV_Openfield_Lim_[PE]
BR,PE,,,0.0,0.0,RE_WIND_Onshore_Lim_[PE]
BR,PE,,,0.0,3.3,RE_WIND_Offshore_Lim_[PE]
BR,PE,,,0.0,0.0,PP_CO2_[PE]
BR,PE,,,0.0,0.1,BESS_[PE]
BR,PE,,,0.0,0.1,EL_to_HTH_[PE]
BR,PE,,,0.0,0.1,EL_to_NH3_[PE]
BR,PE,,,0.0,0.9,NH3_Storage_[PE]
BR,PE,,,0.0,0.1,NH3_to_EL_[PE]
BR,PE,,,0.0,0.0,NH3_to_HTH_[PE]
BR,PE,,,0.0,0.0,FF_to_HTH_[PE]
BR,PE,,,0.0,0.0,EL_Demand_[PE]
BR,PE,,,0.0,0.0,HTH_Demand_[PE]
BR,PE,,,0.0,0.8,EL_Transport_[BR-PE]
BR,PE,,,0.0,0.0,NH3_Transport_[BR-PE]
BR,PE,,,11.2,0.0,RE_PV_Rooftop_Lim_[BR]
BR,PE,,,11.2,7.7,RE_PV_Openfield_Lim_[BR]
BR,PE,,,11.2,31.3,RE_WIND_Onshore_Lim_[BR]
BR,PE,,,11.2,0.0,RE_WIND_Offshore_Lim_[BR]
BR,PE,,,11.2,4.0,PP_CO2_[BR]
BR,PE,,,11.2,0.5,BESS_[BR]
BR,PE,,,11.2,1.5,EL_to_HTH_[BR]
BR,PE,,,11.2,0.5,EL_to_NH3_[BR]
BR,PE,,,11.2,0.4,NH3_Storage_[BR]
BR,PE,,,11.2,0.0,NH3_to_EL_[BR]
BR,PE,,,11.2,0.1,NH3_to_HTH_[BR]
BR,PE,,,11.2,1.5,FF_to_HTH_[BR]
BR,PE,,,11.2,0.0,EL_Demand_[BR]
BR,PE,,,11.2,0.0,HTH_Demand_[BR]
BR,PE,,,11.2,0.0,RE_PV_Rooftop_Lim_[PE]
BR,PE,,,11.2,0.5,RE_PV_Openfield_Lim_[PE]
BR,PE,,,11.2,0.0,RE_WIND_Onshore_Lim_[PE]
BR,PE,,,11.2,3.2,RE_WIND_Offshore_Lim_[PE]
BR,PE,,,11.2,0.0,PP_CO2_[PE]
BR,PE,,,11.2,0.2,BESS_[PE]
BR,PE,,,11.2,0.1,EL_to_HTH_[PE]
BR,PE,,,11.2,0.2,EL_to_NH3_[PE]
BR,PE,,,11.2,0.3,NH3_Storage_[PE]
BR,PE,,,11.2,0.0,NH3_to_EL_[PE]
BR,PE,,,11.2,0.0,NH3_to_HTH_[PE]
BR,PE,,,11.2,0.0,FF_to_HTH_[PE]
BR,PE,,,11.2,0.0,EL_Demand_[PE]
BR,PE,,,11.2,0.0,HTH_Demand_[PE]
BR,PE,,,11.2,0.8,EL_Transport_[BR-PE]
BR,PE,,,11.2,0.0,NH3_Transport_[BR-PE]
BR,PE,,,22.4,0.0,RE_PV_Rooftop_Lim_[BR]
BR,PE,,,22.4,6.9,RE_PV_Openfield_Lim_[BR]
BR,PE,,,22.4,29.1,RE_WIND_Onshore_Lim_[BR]
BR,PE,,,22.4,0.0,RE_WIND_Offshore_Lim_[BR]
BR,PE,,,22.4,5.0,PP_CO2_[BR]
BR,PE,,,22.4,0.7,BESS_[BR]
BR,PE,,,22.4,1.5,EL_to_HTH_[BR]
BR,PE,,,22.4,0.2,EL_to_NH3_[BR]
BR,PE,,,22.4,0.3,NH3_Storage_[BR]
BR,PE,,,22.4,0.2,NH3_to_EL_[BR]
BR,PE,,,22.4,0.0,NH3_to_HTH_[BR]
BR,PE,,,22.4,2.4,FF_to_HTH_[BR]
BR,PE,,,22.4,0.0,EL_Demand_[BR]
BR,PE,,,22.4,0.0,HTH_Demand_[BR]
BR,PE,,,22.4,0.0,RE_PV_Rooftop_Lim_[PE]
BR,PE,,,22.4,0.4,RE_PV_Openfield_Lim_[PE]
BR,PE,,,22.4,0.0,RE_WIND_Onshore_Lim_[PE]
BR,PE,,,22.4,2.7,RE_WIND_Offshore_Lim_[PE]
BR,PE,,,22.4,0.0,PP_CO2_[PE]
BR,PE,,,22.4,0.2,BESS_[PE]
