country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_name
KR,EG,PE,,72.7,0.0,RE_PV_Rooftop_Lim_[KR]
KR,EG,PE,,72.7,2.7,RE_PV_Openfield_Lim_[KR]
KR,EG,PE,,72.7,0.0,RE_WIND_Onshore_Lim_[KR]
KR,EG,PE,,72.7,11.0,RE_WIND_Offshore_Lim_[KR]
KR,EG,PE,,72.7,4.9,PP_CO2_[KR]
KR,EG,PE,,72.7,2.5,BESS_[KR]
KR,EG,PE,,72.7,0.3,EL_to_HTH_[KR]
KR,EG,PE,,72.7,0.1,EL_to_NH3_[KR]
KR,EG,PE,,72.7,0.1,NH3_Storage_[KR]
KR,EG,PE,,72.7,0.1,NH3_to_EL_[KR]
KR,EG,PE,,72.7,0.0,NH3_to_HTH_[KR]
KR,EG,PE,,72.7,1.8,FF_to_HTH_[KR]
KR,EG,PE,,72.7,0.0,EL_Demand_[KR]
KR,EG,PE,,72.7,0.0,HTH_Demand_[KR]
KR,EG,PE,,72.7,0.0,RE_PV_Rooftop_Lim_[EG]
KR,EG,PE,,72.7,2.0,RE_PV_Openfield_Lim_[EG]
KR,EG,PE,,72.7,8.2,RE_WIND_Onshore_Lim_[EG]
KR,EG,PE,,72.7,0.0,RE_WIND_Offshore_Lim_[EG]
KR,EG,PE,,72.7,0.5,PP_CO2_[EG]
KR,EG,PE,,72.7,0.5,BESS_[EG]
KR,EG,PE,,72.7,0.5,EL_to_HTH_[EG]
KR,EG,PE,,72.7,0.2,EL_to_NH3_[EG]
KR,EG,PE,,72.7,0.3,NH3_Storage_[EG]
KR,EG,PE,,72.7,0.3,NH3_to_EL_[EG]
KR,EG,PE,,72.7,0.0,NH3_to_HTH_[EG]
KR,EG,PE,,72.7,1.4,FF_to_HTH_[EG]
KR,EG,PE,,72.7,0.0,EL_Demand_[EG]
KR,EG,PE,,72.7,0.0,HTH_Demand_[EG]
KR,EG,PE,,72.7,0.0,RE_PV_Rooftop_Lim_[PE]
KR,EG,PE,,72.7,0.4,RE_PV_Openfield_Lim_[PE]
KR,EG,PE,,72.7,0.0,RE_WIND_Onshore_Lim_[PE]
KR,EG,PE,,72.7,3.1,RE_WIND_Offshore_Lim_[PE]
KR,EG,PE,,72.7,0.4,PP_CO2_[PE]
KR,EG,PE,,72.7,0.5,BESS_[PE]
KR,EG,PE,,72.7,0.1,EL_to_HTH_[PE]
KR,EG,PE,,72.7,0.0,EL_to_NH3_[PE]
KR,EG,PE,,72.7,0.0,NH3_Storage_[PE]
KR,EG,PE,,72.7,0.0,NH3_to_EL_[PE]
KR,EG,PE,,72.7,0.0,NH3_to_HTH_[PE]
KR,EG,PE,,72.7,0.4,FF_to_HTH_[PE]
KR,EG,PE,,72.7,0.0,EL_Demand_[PE]
KR,EG,PE,,72.7,0.0,HTH_Demand_[PE]
KR,EG,PE,,72.7,0.0,NH3_Transport_[KR-EG]
KR,EG,PE,,72.7,0.0,EL_Transport_[KR-EG]
KR,EG,PE,,72.7,0.0,NH3_Transport_[KR-PE]
KR,EG,PE,,72.7,0.0,EL_Transport_[KR-PE]
KR,EG,PE,,72.7,0.0,NH3_Transport_[EG-PE]
KR,EG,PE,,72.7,0.0,EL_Transport_[EG-PE]
KR,EG,PE,,18.2,0.0,RE_PV_Rooftop_Lim_[KR]
KR,EG,PE,,18.2,2.7,RE_PV_Openfield_Lim_[KR]
KR,EG,PE,,18.2,0.0,RE_WIND_Onshore_Lim_[KR]
KR,EG,PE,,18.2,15.1,RE_WIND_Offshore_Lim_[KR]
KR,EG,PE,,18.2,0.4,PP_CO2_[KR]
KR,EG,PE,,18.2,3.4,BESS_[KR]
KR,EG,PE,,18.2,0.3,EL_to_HTH_[KR]
KR,EG,PE,,18.2,2.0,EL_to_NH3_[KR]
KR,EG,PE,,18.2,3.1,NH3_Storage_[KR]
KR,EG,PE,,18.2,1.0,NH3_to_EL_[KR]
KR,EG,PE,,18.2,0.0,NH3_to_HTH_[KR]
KR,EG,PE,,18.2,1.1,FF_to_HTH_[KR]
KR,EG,PE,,18.2,0.0,EL_Demand_[KR]
KR,EG,PE,,18.2,0.0,HTH_Demand_[KR]
KR,EG,PE,,18.2,0.0,RE_PV_Rooftop_Lim_[EG]
KR,EG,PE,,18.2,2.4,RE_PV_Openfield_Lim_[EG]
KR,EG,PE,,18.2,8.7,RE_WIND_Onshore_Lim_[EG]
KR,EG,PE,,18.2,0.0,RE_WIND_Offshore_Lim_[EG]
KR,EG,PE,,18.2,0.0,PP_CO2_[EG]
KR,EG,PE,,18.2,0.4,BESS_[EG]
KR,EG,PE,,18.2,0.5,EL_to_HTH_[EG]
KR,EG,PE,,18.2,0.5,EL_to_NH3_[EG]
KR,EG,PE,,18.2,1.2,NH3_Storage_[EG]
KR,EG,PE,,18.2,0.4,NH3_to_EL_[EG]
KR,EG,PE,,18.2,0.0,NH3_to_HTH_[EG]
KR,EG,PE,,18.2,0.7,FF_to_HTH_[EG]
KR,EG,PE,,18.2,0.0,EL_Demand_[EG]
KR,EG,PE,,18.2,0.0,HTH_Demand_[EG]
KR,EG,PE,,18.2,0.0,RE_PV_Rooftop_Lim_[PE]
KR,EG,PE,,18.2,0.5,RE_PV_Openfield_Lim_[PE]
KR,EG,PE,,18.2,0.0,RE_WIND_Onshore_Lim_[PE]
KR,EG,PE,,18.2,3.4,RE_WIND_Offshore_Lim_[PE]
KR,EG,PE,,18.2,0.3,PP_CO2_[PE]
KR,EG,PE,,18.2,0.5,BESS_[PE]
KR,EG,PE,,18.2,0.1,EL_to_HTH_[PE]
KR,EG,PE,,18.2,0.2,EL_to_NH3_[PE]
KR,EG,PE,,18.2,0.2,NH3_Storage_[PE]
KR,EG,PE,,18.2,0.0,NH3_to_EL_[PE]
KR,EG,PE,,18.2,0.0,NH3_to_HTH_[PE]
KR,EG,PE,,18.2,0.1,FF_to_HTH_[PE]
KR,EG,PE,,18.2,0.0,EL_Demand_[PE]
KR,EG,PE,,18.2,0.0,HTH_Demand_[PE]
KR,EG,PE,,18.2,0.0,NH3_Transport_[KR-EG]
KR,EG,PE,,18.2,1.8,EL_Transport_[KR-EG]
KR,EG,PE,,18.2,0.0,NH3_Transport_[KR-PE]
KR,EG,PE,,18.2,0.0,EL_Transport_[KR-PE]
KR,EG,PE,,18.2,0.0,NH3_Transport_[EG-PE]
KR,EG,PE,,18.2,0.0,EL_Transport_[EG-PE]
KR,EG,PE,,121.6,0.0,RE_PV_Rooftop_Lim_[KR]
KR,EG,PE,,121.6,2.7,RE_PV_Openfield_Lim_[KR]
KR,EG,PE,,121.6,0.0,RE_WIND_Onshore_Lim_[KR]
KR,EG,PE,,121.6,7.5,RE_WIND_Offshore_Lim_[KR]
KR,EG,PE,,121.6,8.0,PP_CO2_[KR]
KR,EG,PE,,121.6,0.7,BESS_[KR]
KR,EG,PE,,121.6,0.3,EL_to_HTH_[KR]
KR,EG,PE,,121.6,0.0,EL_to_NH3_[KR]
KR,EG,PE,,121.6,0.0,NH3_Storage_[KR]
KR,EG,PE,,121.6,0.0,NH3_to_EL_[KR]
KR,EG,PE,,121.6,0.0,NH3_to_HTH_[KR]
KR,EG,PE,,121.6,2.2,FF_to_HTH_[KR]
KR,EG,PE,,121.6,0.0,EL_Demand_[KR]
KR,EG,PE,,121.6,0.0,HTH_Demand_[KR]
KR,EG,PE,,121.6,0.0,RE_PV_Rooftop_Lim_[EG]
KR,EG,PE,,121.6,1.7,RE_PV_Openfield_Lim_[EG]
KR,EG,PE,,121.6,7.3,RE_WIND_Onshore_Lim_[EG]
KR,EG,PE,,121.6,0.0,RE_WIND_Offshore_Lim_[EG]
KR,EG,PE,,121.6,1.4,PP_CO2_[EG]
KR,EG,PE,,121.6,0.4,BESS_[EG]
KR,EG,PE,,121.6,0.5,EL_to_HTH_[EG]
KR,EG,PE,,121.6,0.0,EL_to_NH3_[EG]
KR,EG,PE,,121.6,0.0,NH3_Storage_[EG]
KR,EG,PE,,121.6,0.0,NH3_to_EL_[EG]
KR,EG,PE,,121.6,0.0,NH3_to_HTH_[EG]
KR,EG,PE,,121.6,2.0,FF_to_HTH_[EG]
KR,EG,PE,,121.6,0.0,EL_Demand_[EG]
KR,EG,PE,,121.6,0.0,HTH_Demand_[EG]
KR,EG,PE,,121.6,0.0,RE_PV_Rooftop_Lim_[PE]
KR,EG,PE,,121.6,0.3,RE_PV_Openfield_Lim_[PE]
KR,EG,PE,,121.6,0.0,RE_WIND_Onshore_Lim_[PE]
KR,EG,PE,,121.6,2.7,RE_WIND_Offshore_Lim_[PE]
KR,EG,PE,,121.6,0.9,PP_CO2_[PE]
KR,EG,PE,,121.6,0.2,BESS_[PE]
KR,EG,PE,,121.6,0.1,EL_to_HTH_[PE]
KR,EG,PE,,121.6,0.0,EL_to_NH3_[PE]
KR,EG,PE,,121.6,0.0,NH3_Storage_[PE]
KR,EG,PE,,121.6,0.0,NH3_to_EL_[PE]
KR,EG,PE,,121.6,0.0,NH3_to_HTH_[PE]
KR,EG,PE,,121.6,0.6,FF_to_HTH_[PE]
KR,EG,PE,,121.6,0.0,EL_Demand_[PE]
KR,EG,PE,,121.6,0.0,HTH_Demand_[PE]
KR,EG,PE,,121.6,0.0,NH3_Transport_[KR-EG]
KR,EG,PE,,121.6,0.0,EL_Transport_[KR-EG]
KR,EG,PE,,121.6,0.0,NH3_Transport_[KR-PE]
KR,EG,PE,,121.6,0.0,EL_Transport_[KR-PE]
KR,EG,PE,,121.6,0.0,NH3_Transport_[EG-PE]
KR,EG,PE,,121.6,0.0,EL_Transport_[EG-PE]
KR,EG,PE,,60.8,0.0,RE_PV_Rooftop_Lim_[KR]
KR,EG,PE,,60.8,2.7,RE_PV_Openfield_Lim_[KR]
KR,EG,PE,,60.8,0.0,RE_WIND_Onshore_Lim_[KR]
KR,EG,PE,,60.8,12.0,RE_WIND_Offshore_Lim_[KR]
KR,EG,PE,,60.8,4.0,PP_CO2_[KR]
KR,EG,PE,,60.8,2.6,BESS_[KR]
KR,EG,PE,,60.8,0.3,EL_to_HTH_[KR]
KR,EG,PE,,60.8,0.5,EL_to_NH3_[KR]
KR,EG,PE,,60.8,0.5,NH3_Storage_[KR]
KR,EG,PE,,60.8,0.2,NH3_to_EL_[KR]
KR,EG,PE,,60.8,0.0,NH3_to_HTH_[KR]
KR,EG,PE,,60.8,1.7,FF_to_HTH_[KR]
KR,EG,PE,,60.8,0.0,EL_Demand_[KR]
KR,EG,PE,,60.8,0.0,HTH_Demand_[KR]
KR,EG,PE,,60.8,0.0,RE_PV_Rooftop_Lim_[EG]
KR,EG,PE,,60.8,2.1,RE_PV_Openfield_Lim_[EG]
KR,EG,PE,,60.8,8.2,RE_WIND_Onshore_Lim_[EG]
KR,EG,PE,,60.8,0.0,RE_WIND_Offshore_Lim_[EG]
KR,EG,PE,,60.8,0.2,PP_CO2_[EG]
KR,EG,PE,,60.8,0.4,BESS_[EG]
KR,EG,PE,,60.8,0.5,EL_to_HTH_[EG]
KR,EG,PE,,60.8,0.3,EL_to_NH3_[EG]
KR,EG,PE,,60.8,0.5,NH3_Storage_[EG]
KR,EG,PE,,60.8,0.4,NH3_to_EL_[EG]
KR,EG,PE,,60.8,0.0,NH3_to_HTH_[EG]
KR,EG,PE,,60.8,1.3,FF_to_HTH_[EG]
KR,EG,PE,,60.8,0.0,EL_Demand_[EG]
KR,EG,PE,,60.8,0.0,HTH_Demand_[EG]
KR,EG,PE,,60.8,0.0,RE_PV_Rooftop_Lim_[PE]
KR,EG,PE,,60.8,0.4,RE_PV_Openfield_Lim_[PE]
KR,EG,PE,,60.8,0.0,RE_WIND_Onshore_Lim_[PE]
KR,EG,PE,,60.8,3.2,RE_WIND_Offshore_Lim_[PE]
KR,EG,PE,,60.8,0.3,PP_CO2_[PE]
KR,EG,PE,,60.8,0.5,BESS_[PE]
KR,EG,PE,,60.8,0.1,EL_to_HTH_[PE]
KR,EG,PE,,60.8,0.0,EL_to_NH3_[PE]
KR,EG,PE,,60.8,0.0,NH3_Storage_[PE]
KR,EG,PE,,60.8,0.0,NH3_to_EL_[PE]
KR,EG,PE,,60.8,0.0,NH3_to_HTH_[PE]
KR,EG,PE,,60.8,0.3,FF_to_HTH_[PE]
KR,EG,PE,,60.8,0.0,EL_Demand_[PE]
KR,EG,PE,,60.8,0.0,HTH_Demand_[PE]
KR,EG,PE,,60.8,0.0,NH3_Transport_[KR-EG]
KR,EG,PE,,60.8,0.4,EL_Transport_[KR-EG]
KR,EG,PE,,60.8,0.0,NH3_Transport_[KR-PE]
KR,EG,PE,,60.8,0.0,EL_Transport_[KR-PE]
KR,EG,PE,,60.8,0.0,NH3_Transport_[EG-PE]
KR,EG,PE,,60.8,0.0,EL_Transport_[EG-PE]
KR,EG,PE,,90.9,0.0,RE_PV_Rooftop_Lim_[KR]
KR,EG,PE,,90.9,2.7,RE_PV_Openfield_Lim_[KR]
KR,EG,PE,,90.9,0.0,RE_WIND_Onshore_Lim_[KR]
KR,EG,PE,,90.9,9.6,RE_WIND_Offshore_Lim_[KR]
KR,EG,PE,,90.9,6.2,PP_CO2_[KR]
KR,EG,PE,,90.9,1.6,BESS_[KR]
KR,EG,PE,,90.9,0.3,EL_to_HTH_[KR]
KR,EG,PE,,90.9,0.0,EL_to_NH3_[KR]
KR,EG,PE,,90.9,0.0,NH3_Storage_[KR]
KR,EG,PE,,90.9,0.0,NH3_to_EL_[KR]
KR,EG,PE,,90.9,0.0,NH3_to_HTH_[KR]
KR,EG,PE,,90.9,2.0,FF_to_HTH_[KR]
KR,EG,PE,,90.9,0.0,EL_Demand_[KR]
KR,EG,PE,,90.9,0.0,HTH_Demand_[KR]
KR,EG,PE,,90.9,0.0,RE_PV_Rooftop_Lim_[EG]
KR,EG,PE,,90.9,1.8,RE_PV_Openfield_Lim_[EG]
KR,EG,PE,,90.9,7.9,RE_WIND_Onshore_Lim_[EG]
KR,EG,PE,,90.9,0.0,RE_WIND_Offshore_Lim_[EG]
KR,EG,PE,,90.9,1.0,PP_CO2_[EG]
KR,EG,PE,,90.9,0.6,BESS_[EG]
KR,EG,PE,,90.9,0.5,EL_to_HTH_[EG]
KR,EG,PE,,90.9,0.0,EL_to_NH3_[EG]
KR,EG,PE,,90.9,0.1,NH3_Storage_[EG]
KR,EG,PE,,90.9,0.1,NH3_to_EL_[EG]
KR,EG,PE,,90.9,0.0,NH3_to_HTH_[EG]
KR,EG,PE,,90.9,1.6,FF_to_HTH_[EG]
KR,EG,PE,,90.9,0.0,EL_Demand_[EG]
KR,EG,PE,,90.9,0.0,HTH_Demand_[EG]
KR,EG,PE,,90.9,0.0,RE_PV_Rooftop_Lim_[PE]
KR,EG,PE,,90.9,0.4,RE_PV_Openfield_Lim_[PE]
KR,EG,PE,,90.9,0.0,RE_WIND_Onshore_Lim_[PE]
KR,EG,PE,,90.9,2.9,RE_WIND_Offshore_Lim_[PE]
KR,EG,PE,,90.9,0.6,PP_CO2_[PE]
KR,EG,PE,,90.9,0.4,BESS_[PE]
KR,EG,PE,,90.9,0.1,EL_to_HTH_[PE]
KR,EG,PE,,90.9,0.0,EL_to_NH3_[PE]
KR,EG,PE,,90.9,0.0,NH3_Storage_[PE]
KR,EG,PE,,90.9,0.0,NH3_to_EL_[PE]
KR,EG,PE,,90.9,0.0,NH3_to_HTH_[PE]
KR,EG,PE,,90.9,0.4,FF_to_HTH_[PE]
KR,EG,PE,,90.9,0.0,EL_Demand_[PE]
KR,EG,PE,,90.9,0.0,HTH_Demand_[PE]
KR,EG,PE,,90.9,0.0,NH3_Transport_[KR-EG]
KR,EG,PE,,90.9,0.0,EL_Transport_[KR-EG]
KR,EG,PE,,90.9,0.0,NH3_Transport_[KR-PE]
KR,EG,PE,,90.9,0.0,EL_Transport_[KR-PE]
KR,EG,PE,,90.9,0.0,NH3_Transport_[EG-PE]
KR,EG,PE,,90.9,0.0,EL_Transport_[EG-PE]
KR,EG,PE,,127.2,0.0,RE_PV_Rooftop_Lim_[KR]
KR,EG,PE,,127.2,2.7,RE_PV_Openfield_Lim_[KR]
KR,EG,PE,,127.2,0.0,RE_WIND_Onshore_Lim_[KR]
KR,EG,PE,,127.2,7.1,RE_WIND_Offshore_Lim_[KR]
KR,EG,PE,,127.2,8.4,PP_CO2_[KR]
KR,EG,PE,,127.2,0.5,BESS_[KR]
KR,EG,PE,,127.2,0.3,EL_to_HTH_[KR]
KR,EG,PE,,127.2,0.0,EL_to_NH3_[KR]
KR,EG,PE,,127.2,0.0,NH3_Storage_[KR]
KR,EG,PE,,127.2,0.0,NH3_to_EL_[KR]
KR,EG,PE,,127.2,0.0,NH3_to_HTH_[KR]
KR,EG,PE,,127.2,2.3,FF_to_HTH_[KR]
KR,EG,PE,,127.2,0.0,EL_Demand_[KR]
KR,EG,PE,,127.2,0.0,HTH_Demand_[KR]
KR,EG,PE,,127.2,0.0,RE_PV_Rooftop_Lim_[EG]
KR,EG,PE,,127.2,1.7,RE_PV_Openfield_Lim_[EG]
KR,EG,PE,,127.2,7.1,RE_WIND_Onshore_Lim_[EG]
KR,EG,PE,,127.2,0.0,RE_WIND_Offshore_Lim_[EG]
KR,EG,PE,,127.2,1.4,PP_CO2_[EG]
KR,EG,PE,,127.2,0.4,BESS_[EG]
KR,EG,PE,,127.2,0.5,EL_to_HTH_[EG]
KR,EG,PE,,127.2,0.0,EL_to_NH3_[EG]
KR,EG,PE,,127.2,0.0,NH3_Storage_[EG]
KR,EG,PE,,127.2,0.0,NH3_to_EL_[EG]
KR,EG,PE,,127.2,0.0,NH3_to_HTH_[EG]
KR,EG,PE,,127.2,2.0,FF_to_HTH_[EG]
KR,EG,PE,,127.2,0.0,EL_Demand_[EG]
KR,EG,PE,,127.2,0.0,HTH_Demand_[EG]
KR,EG,PE,,127.2,0.0,RE_PV_Rooftop_Lim_[PE]
KR,EG,PE,,127.2,0.3,RE_PV_Openfield_Lim_[PE]
KR,EG,PE,,127.2,0.0,RE_WIND_Onshore_Lim_[PE]
KR,EG,PE,,127.2,2.6,RE_WIND_Offshore_Lim_[PE]
KR,EG,PE,,127.2,0.9,PP_CO2_[PE]
KR,EG,PE,,127.2,0.1,BESS_[PE]
KR,EG,PE,,127.2,0.1,EL_to_HTH_[PE]
KR,EG,PE,,127.2,0.0,EL_to_NH3_[PE]
KR,EG,PE,,127.2,0.0,NH3_Storage_[PE]
KR,EG,PE,,127.2,0.0,NH3_to_EL_[PE]
KR,EG,PE,,127.2,0.0,NH3_to_HTH_[PE]
KR,EG,PE,,127.2,0.6,FF_to_HTH_[PE]
KR,EG,PE,,127.2,0.0,EL_Demand_[PE]
KR,EG,PE,,127.2,0.0,HTH_Demand_[PE]
KR,EG,PE,,127.2,0.0,NH3_Transport_[KR-EG]
KR,EG,PE,,127.2,0.0,EL_Transport_[KR-EG]
KR,EG,PE,,127.2,0.0,NH3_Transport_[KR-PE]
KR,EG,PE,,127.2,0.0,EL_Transport_[KR-PE]
KR,EG,PE,,127.2,0.0,NH3_Transport_[EG-PE]
KR,EG,PE,,127.2,0.0,EL_Transport_[EG-PE]
KR,EG,PE,,0.0,0.0,RE_PV_Rooftop_Lim_[KR]
KR,EG,PE,,0.0,2.7,RE_PV_Openfield_Lim_[KR]
KR,EG,PE,,0.0,0.0,RE_WIND_Onshore_Lim_[KR]
KR,EG,PE,,0.0,16.1,RE_WIND_Offshore_Lim_[KR]
KR,EG,PE,,0.0,0.0,PP_CO2_[KR]
KR,EG,PE,,0.0,3.8,BESS_[KR]
KR,EG,PE,,0.0,0.3,EL_to_HTH_[KR]
KR,EG,PE,,0.0,2.3,EL_to_NH3_[KR]
KR,EG,PE,,0.0,5.5,NH3_Storage_[KR]
KR,EG,PE,,0.0,1.0,NH3_to_EL_[KR]
KR,EG,PE,,0.0,0.1,NH3_to_HTH_[KR]
KR,EG,PE,,0.0,0.0,FF_to_HTH_[KR]
KR,EG,PE,,0.0,0.0,EL_Demand_[KR]
KR,EG,PE,,0.0,0.0,HTH_Demand_[KR]
KR,EG,PE,,0.0,0.0,RE_PV_Rooftop_Lim_[EG]
KR,EG,PE,,0.0,2.5,RE_PV_Openfield_Lim_[EG]
KR,EG,PE,,0.0,9.5,RE_WIND_Onshore_Lim_[EG]
KR,EG,PE,,0.0,0.0,RE_WIND_Offshore_Lim_[EG]
KR,EG,PE,,0.0,0.0,PP_CO2_[EG]
KR,EG,PE,,0.0,0.3,BESS_[EG]
KR,EG,PE,,0.0,0.5,EL_to_HTH_[EG]
KR,EG,PE,,0.0,1.0,EL_to_NH3_[EG]
KR,EG,PE,,0.0,2.2,NH3_Storage_[EG]
KR,EG,PE,,0.0,0.3,NH3_to_EL_[EG]
KR,EG,PE,,0.0,0.1,NH3_to_HTH_[EG]
KR,EG,PE,,0.0,0.0,FF_to_HTH_[EG]
KR,EG,PE,,0.0,0.0,EL_Demand_[EG]
KR,EG,PE,,0.0,0.0,HTH_Demand_[EG]
KR,EG,PE,,0.0,0.0,RE_PV_Rooftop_Lim_[PE]
KR,EG,PE,,0.0,0.5,RE_PV_Openfield_Lim_[PE]
KR,EG,PE,,0.0,0.0,RE_WIND_Onshore_Lim_[PE]
KR,EG,PE,,0.0,3.6,RE_WIND_Offshore_Lim_[PE]
KR,EG,PE,,0.0,0.0,PP_CO2_[PE]
KR,EG,PE,,0.0,0.7,BESS_[PE]
KR,EG,PE,,0.0,0.1,EL_to_HTH_[PE]
KR,EG,PE,,0.0,0.2,EL_to_NH3_[PE]
KR,EG,PE,,0.0,0.6,NH3_Storage_[PE]
KR,EG,PE,,0.0,0.1,NH3_to_EL_[PE]
KR,EG,PE,,0.0,0.0,NH3_to_HTH_[PE]
KR,EG,PE,,0.0,0.0,FF_to_HTH_[PE]
KR,EG,PE,,0.0,0.0,EL_Demand_[PE]
KR,EG,PE,,0.0,0.0,HTH_Demand_[PE]
KR,EG,PE,,0.0,0.1,NH3_Transport_[KR-EG]
KR,EG,PE,,0.0,2.8,EL_Transport_[KR-EG]
KR,EG,PE,,0.0,0.0,NH3_Transport_[KR-PE]
KR,EG,PE,,0.0,0.0,EL_Transport_[KR-PE]
KR,EG,PE,,0.0,0.0,NH3_Transport_[EG-PE]
KR,EG,PE,,0.0,0.0,EL_Transport_[EG-PE]
KR,EG,PE,,145.4,0.0,RE_PV_Rooftop_Lim_[KR]
KR,EG,PE,,145.4,2.5,RE_PV_Openfield_Lim_[KR]
KR,EG,PE,,145.4,0.0,RE_WIND_Onshore_Lim_[KR]
