country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_name
EG,NG,MA,,58.5,0.0,RE_PV_Rooftop_Lim_[MA]
EG,NG,MA,,58.5,0.4,RE_PV_Openfield_Lim_[MA]
EG,NG,MA,,58.5,2.1,RE_WIND_Onshore_Lim_[MA]
EG,NG,MA,,58.5,0.0,RE_WIND_Offshore_Lim_[MA]
EG,NG,MA,,58.5,0.2,PP_CO2_[MA]
EG,NG,MA,,58.5,0.3,BESS_[MA]
EG,NG,MA,,58.5,0.1,EL_to_HTH_[MA]
EG,NG,MA,,58.5,0.0,EL_to_NH3_[MA]
EG,NG,MA,,58.5,0.0,NH3_Storage_[MA]
EG,NG,MA,,58.5,0.0,NH3_to_EL_[MA]
EG,NG,MA,,58.5,0.0,NH3_to_HTH_[MA]
EG,NG,MA,,58.5,0.4,FF_to_HTH_[MA]
EG,NG,MA,,58.5,0.0,EL_Demand_[MA]
EG,NG,MA,,58.5,0.0,HTH_Demand_[MA]
EG,NG,MA,,58.5,3.3,RE_PV_Rooftop_Lim_[EG]
EG,NG,MA,,58.5,1.0,RE_PV_Openfield_Lim_[EG]
EG,NG,MA,,58.5,7.9,RE_WIND_Onshore_Lim_[EG]
EG,NG,MA,,58.5,0.0,RE_WIND_Offshore_Lim_[EG]
EG,NG,MA,,58.5,0.7,PP_CO2_[EG]
EG,NG,MA,,58.5,0.5,BESS_[EG]
EG,NG,MA,,58.5,0.5,EL_to_HTH_[EG]
EG,NG,MA,,58.5,0.1,EL_to_NH3_[EG]
EG,NG,MA,,58.5,0.2,NH3_Storage_[EG]
EG,NG,MA,,58.5,0.2,NH3_to_EL_[EG]
EG,NG,MA,,58.5,0.0,NH3_to_HTH_[EG]
EG,NG,MA,,58.5,1.5,FF_to_HTH_[EG]
EG,NG,MA,,58.5,0.0,EL_Demand_[EG]
EG,NG,MA,,58.5,0.0,HTH_Demand_[EG]
EG,NG,MA,,58.5,0.0,RE_PV_Rooftop_Lim_[NG]
