country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_name
NG,MA,KE,,43.0,0.0,RE_PV_Rooftop_Lim_[MA]
NG,MA,KE,,43.0,0.4,RE_PV_Openfield_Lim_[MA]
NG,MA,KE,,43.0,2.2,RE_WIND_Onshore_Lim_[MA]
NG,MA,KE,,43.0,0.0,RE_WIND_Offshore_Lim_[MA]
NG,MA,KE,,43.0,0.2,PP_CO2_[MA]
NG,MA,KE,,43.0,0.2,BESS_[MA]
NG,MA,KE,,43.0,0.1,EL_to_HTH_[MA]
NG,MA,KE,,43.0,0.1,EL_to_NH3_[MA]
NG,MA,KE,,43.0,0.1,NH3_Storage_[MA]
NG,MA,KE,,43.0,0.0,NH3_to_EL_[MA]
NG,MA,KE,,43.0,0.0,NH3_to_HTH_[MA]
NG,MA,KE,,43.0,0.3,FF_to_HTH_[MA]
NG,MA,KE,,43.0,0.0,EL_Demand_[MA]
NG,MA,KE,,43.0,0.0,HTH_Demand_[MA]
NG,MA,KE,,43.0,0.0,RE_PV_Rooftop_Lim_[KE]
NG,MA,KE,,43.0,0.2,RE_PV_Openfield_Lim_[KE]
NG,MA,KE,,43.0,1.6,RE_WIND_Onshore_Lim_[KE]
NG,MA,KE,,43.0,0.0,RE_WIND_Offshore_Lim_[KE]
NG,MA,KE,,43.0,0.5,PP_CO2_[KE]
NG,MA,KE,,43.0,0.1,BESS_[KE]
NG,MA,KE,,43.0,0.1,EL_to_HTH_[KE]
NG,MA,KE,,43.0,0.0,EL_to_NH3_[KE]
NG,MA,KE,,43.0,0.0,NH3_Storage_[KE]
NG,MA,KE,,43.0,0.0,NH3_to_EL_[KE]
NG,MA,KE,,43.0,0.0,NH3_to_HTH_[KE]
NG,MA,KE,,43.0,0.3,FF_to_HTH_[KE]
NG,MA,KE,,43.0,0.0,EL_Demand_[KE]
NG,MA,KE,,43.0,0.0,HTH_Demand_[KE]
NG,MA,KE,,43.0,0.0,RE_PV_Rooftop_Lim_[NG]
NG,MA,KE,,43.0,4.6,RE_PV_Openfield_Lim_[NG]
NG,MA,KE,,43.0,13.0,RE_WIND_Onshore_Lim_[NG]
NG,MA,KE,,43.0,0.0,RE_WIND_Offshore_Lim_[NG]
NG,MA,KE,,43.0,2.6,PP_CO2_[NG]
NG,MA,KE,,43.0,2.1,BESS_[NG]
NG,MA,KE,,43.0,0.5,EL_to_HTH_[NG]
NG,MA,KE,,43.0,0.0,EL_to_NH3_[NG]
NG,MA,KE,,43.0,0.0,NH3_Storage_[NG]
NG,MA,KE,,43.0,0.0,NH3_to_EL_[NG]
NG,MA,KE,,43.0,0.0,NH3_to_HTH_[NG]
NG,MA,KE,,43.0,2.9,FF_to_HTH_[NG]
NG,MA,KE,,43.0,0.0,EL_Demand_[NG]
NG,MA,KE,,43.0,0.0,HTH_Demand_[NG]
NG,MA,KE,,10.8,0.0,RE_PV_Rooftop_Lim_[MA]
NG,MA,KE,,10.8,0.5,RE_PV_Openfield_Lim_[MA]
NG,MA,KE,,10.8,2.7,RE_WIND_Onshore_Lim_[MA]
NG,MA,KE,,10.8,0.0,RE_WIND_Offshore_Lim_[MA]
NG,MA,KE,,10.8,0.0,PP_CO2_[MA]
NG,MA,KE,,10.8,0.2,BESS_[MA]
NG,MA,KE,,10.8,0.1,EL_to_HTH_[MA]
NG,MA,KE,,10.8,0.3,EL_to_NH3_[MA]
NG,MA,KE,,10.8,0.4,NH3_Storage_[MA]
NG,MA,KE,,10.8,0.1,NH3_to_EL_[MA]
NG,MA,KE,,10.8,0.0,NH3_to_HTH_[MA]
NG,MA,KE,,10.8,0.1,FF_to_HTH_[MA]
NG,MA,KE,,10.8,0.0,EL_Demand_[MA]
NG,MA,KE,,10.8,0.0,HTH_Demand_[MA]
NG,MA,KE,,10.8,0.0,RE_PV_Rooftop_Lim_[KE]
NG,MA,KE,,10.8,0.4,RE_PV_Openfield_Lim_[KE]
NG,MA,KE,,10.8,1.9,RE_WIND_Onshore_Lim_[KE]
NG,MA,KE,,10.8,0.0,RE_WIND_Offshore_Lim_[KE]
NG,MA,KE,,10.8,0.8,PP_CO2_[KE]
NG,MA,KE,,10.8,0.0,BESS_[KE]
NG,MA,KE,,10.8,0.1,EL_to_HTH_[KE]
NG,MA,KE,,10.8,0.0,EL_to_NH3_[KE]
NG,MA,KE,,10.8,0.1,NH3_Storage_[KE]
NG,MA,KE,,10.8,0.0,NH3_to_EL_[KE]
NG,MA,KE,,10.8,0.0,NH3_to_HTH_[KE]
NG,MA,KE,,10.8,0.0,FF_to_HTH_[KE]
NG,MA,KE,,10.8,0.0,EL_Demand_[KE]
NG,MA,KE,,10.8,0.0,HTH_Demand_[KE]
NG,MA,KE,,10.8,0.0,RE_PV_Rooftop_Lim_[NG]
NG,MA,KE,,10.8,6.7,RE_PV_Openfield_Lim_[NG]
NG,MA,KE,,10.8,19.5,RE_WIND_Onshore_Lim_[NG]
NG,MA,KE,,10.8,0.0,RE_WIND_Offshore_Lim_[NG]
NG,MA,KE,,10.8,0.3,PP_CO2_[NG]
NG,MA,KE,,10.8,3.3,BESS_[NG]
NG,MA,KE,,10.8,0.5,EL_to_HTH_[NG]
NG,MA,KE,,10.8,0.3,EL_to_NH3_[NG]
NG,MA,KE,,10.8,0.4,NH3_Storage_[NG]
NG,MA,KE,,10.8,0.2,NH3_to_EL_[NG]
NG,MA,KE,,10.8,0.0,NH3_to_HTH_[NG]
NG,MA,KE,,10.8,1.3,FF_to_HTH_[NG]
NG,MA,KE,,10.8,0.0,EL_Demand_[NG]
NG,MA,KE,,10.8,0.0,HTH_Demand_[NG]
NG,MA,KE,,76.5,0.0,RE_PV_Rooftop_Lim_[MA]
NG,MA,KE,,76.5,0.2,RE_PV_Openfield_Lim_[MA]
NG,MA,KE,,76.5,1.9,RE_WIND_Onshore_Lim_[MA]
NG,MA,KE,,76.5,0.0,RE_WIND_Offshore_Lim_[MA]
NG,MA,KE,,76.5,0.5,PP_CO2_[MA]
NG,MA,KE,,76.5,0.1,BESS_[MA]
NG,MA,KE,,76.5,0.1,EL_to_HTH_[MA]
NG,MA,KE,,76.5,0.0,EL_to_NH3_[MA]
NG,MA,KE,,76.5,0.0,NH3_Storage_[MA]
NG,MA,KE,,76.5,0.0,NH3_to_EL_[MA]
NG,MA,KE,,76.5,0.0,NH3_to_HTH_[MA]
NG,MA,KE,,76.5,0.5,FF_to_HTH_[MA]
NG,MA,KE,,76.5,0.0,EL_Demand_[MA]
NG,MA,KE,,76.5,0.0,HTH_Demand_[MA]
NG,MA,KE,,76.5,0.0,RE_PV_Rooftop_Lim_[KE]
NG,MA,KE,,76.5,0.1,RE_PV_Openfield_Lim_[KE]
NG,MA,KE,,76.5,1.4,RE_WIND_Onshore_Lim_[KE]
NG,MA,KE,,76.5,0.0,RE_WIND_Offshore_Lim_[KE]
NG,MA,KE,,76.5,0.6,PP_CO2_[KE]
NG,MA,KE,,76.5,0.0,BESS_[KE]
NG,MA,KE,,76.5,0.1,EL_to_HTH_[KE]
NG,MA,KE,,76.5,0.0,EL_to_NH3_[KE]
NG,MA,KE,,76.5,0.0,NH3_Storage_[KE]
NG,MA,KE,,76.5,0.0,NH3_to_EL_[KE]
NG,MA,KE,,76.5,0.0,NH3_to_HTH_[KE]
NG,MA,KE,,76.5,0.4,FF_to_HTH_[KE]
NG,MA,KE,,76.5,0.0,EL_Demand_[KE]
NG,MA,KE,,76.5,0.0,HTH_Demand_[KE]
NG,MA,KE,,76.5,0.0,RE_PV_Rooftop_Lim_[NG]
NG,MA,KE,,76.5,3.3,RE_PV_Openfield_Lim_[NG]
NG,MA,KE,,76.5,10.6,RE_WIND_Onshore_Lim_[NG]
NG,MA,KE,,76.5,0.0,RE_WIND_Offshore_Lim_[NG]
NG,MA,KE,,76.5,4.9,PP_CO2_[NG]
NG,MA,KE,,76.5,0.9,BESS_[NG]
NG,MA,KE,,76.5,0.5,EL_to_HTH_[NG]
NG,MA,KE,,76.5,0.0,EL_to_NH3_[NG]
NG,MA,KE,,76.5,0.0,NH3_Storage_[NG]
NG,MA,KE,,76.5,0.0,NH3_to_EL_[NG]
NG,MA,KE,,76.5,0.0,NH3_to_HTH_[NG]
NG,MA,KE,,76.5,4.1,FF_to_HTH_[NG]
NG,MA,KE,,76.5,0.0,EL_Demand_[NG]
NG,MA,KE,,76.5,0.0,HTH_Demand_[NG]
NG,MA,KE,,38.2,0.0,RE_PV_Rooftop_Lim_[MA]
NG,MA,KE,,38.2,0.4,RE_PV_Openfield_Lim_[MA]
NG,MA,KE,,38.2,2.3,RE_WIND_Onshore_Lim_[MA]
NG,MA,KE,,38.2,0.0,RE_WIND_Offshore_Lim_[MA]
NG,MA,KE,,38.2,0.2,PP_CO2_[MA]
NG,MA,KE,,38.2,0.2,BESS_[MA]
NG,MA,KE,,38.2,0.1,EL_to_HTH_[MA]
NG,MA,KE,,38.2,0.1,EL_to_NH3_[MA]
NG,MA,KE,,38.2,0.2,NH3_Storage_[MA]
NG,MA,KE,,38.2,0.1,NH3_to_EL_[MA]
NG,MA,KE,,38.2,0.0,NH3_to_HTH_[MA]
NG,MA,KE,,38.2,0.3,FF_to_HTH_[MA]
NG,MA,KE,,38.2,0.0,EL_Demand_[MA]
NG,MA,KE,,38.2,0.0,HTH_Demand_[MA]
NG,MA,KE,,38.2,0.0,RE_PV_Rooftop_Lim_[KE]
NG,MA,KE,,38.2,0.2,RE_PV_Openfield_Lim_[KE]
NG,MA,KE,,38.2,1.7,RE_WIND_Onshore_Lim_[KE]
NG,MA,KE,,38.2,0.0,RE_WIND_Offshore_Lim_[KE]
NG,MA,KE,,38.2,0.4,PP_CO2_[KE]
NG,MA,KE,,38.2,0.1,BESS_[KE]
NG,MA,KE,,38.2,0.1,EL_to_HTH_[KE]
NG,MA,KE,,38.2,0.0,EL_to_NH3_[KE]
NG,MA,KE,,38.2,0.0,NH3_Storage_[KE]
NG,MA,KE,,38.2,0.0,NH3_to_EL_[KE]
NG,MA,KE,,38.2,0.0,NH3_to_HTH_[KE]
NG,MA,KE,,38.2,0.3,FF_to_HTH_[KE]
NG,MA,KE,,38.2,0.0,EL_Demand_[KE]
NG,MA,KE,,38.2,0.0,HTH_Demand_[KE]
NG,MA,KE,,38.2,0.0,RE_PV_Rooftop_Lim_[NG]
NG,MA,KE,,38.2,4.7,RE_PV_Openfield_Lim_[NG]
NG,MA,KE,,38.2,14.1,RE_WIND_Onshore_Lim_[NG]
NG,MA,KE,,38.2,0.0,RE_WIND_Offshore_Lim_[NG]
NG,MA,KE,,38.2,2.5,PP_CO2_[NG]
NG,MA,KE,,38.2,1.8,BESS_[NG]
NG,MA,KE,,38.2,0.5,EL_to_HTH_[NG]
NG,MA,KE,,38.2,0.0,EL_to_NH3_[NG]
NG,MA,KE,,38.2,0.0,NH3_Storage_[NG]
NG,MA,KE,,38.2,0.0,NH3_to_EL_[NG]
NG,MA,KE,,38.2,0.0,NH3_to_HTH_[NG]
NG,MA,KE,,38.2,2.6,FF_to_HTH_[NG]
NG,MA,KE,,38.2,0.0,EL_Demand_[NG]
NG,MA,KE,,38.2,0.0,HTH_Demand_[NG]
NG,MA,KE,,53.7,0.0,RE_PV_Rooftop_Lim_[MA]
NG,MA,KE,,53.7,0.4,RE_PV_Openfield_Lim_[MA]
NG,MA,KE,,53.7,2.1,RE_WIND_Onshore_Lim_[MA]
NG,MA,KE,,53.7,0.0,RE_WIND_Offshore_Lim_[MA]
NG,MA,KE,,53.7,0.3,PP_CO2_[MA]
NG,MA,KE,,53.7,0.2,BESS_[MA]
NG,MA,KE,,53.7,0.1,EL_to_HTH_[MA]
NG,MA,KE,,53.7,0.0,EL_to_NH3_[MA]
NG,MA,KE,,53.7,0.0,NH3_Storage_[MA]
NG,MA,KE,,53.7,0.0,NH3_to_EL_[MA]
NG,MA,KE,,53.7,0.0,NH3_to_HTH_[MA]
NG,MA,KE,,53.7,0.4,FF_to_HTH_[MA]
NG,MA,KE,,53.7,0.0,EL_Demand_[MA]
NG,MA,KE,,53.7,0.0,HTH_Demand_[MA]
NG,MA,KE,,53.7,0.0,RE_PV_Rooftop_Lim_[KE]
NG,MA,KE,,53.7,0.2,RE_PV_Openfield_Lim_[KE]
NG,MA,KE,,53.7,1.5,RE_WIND_Onshore_Lim_[KE]
NG,MA,KE,,53.7,0.0,RE_WIND_Offshore_Lim_[KE]
